Plate,Group,Well ID,Sample ID,Location,Standard,C-Peptide 2,Ghrelin,GIP,GLP-1,Glucagon,Insulin,Leptin,Secretin,PP,PYY,Resistin,Amylin
Plate 1,Unknown Group 1,21,3M1_GTT,A5,Standard Curve Group 1,138.90,7.88,124.59,219.87,-,1129.10,872.79,19.13,60.44,77.65,13392.29,14.22
Plate 1,Unknown Group 1,22,3M2_GTT,B5,Standard Curve Group 1,25.06,-,4.94,30.33,17.96,21.41,78.95,3.67,36.29,21.39,42.17,19.01
Plate 1,Unknown Group 1,23,3M3_GTT,C5,Standard Curve Group 1,252.34,24.99,192.66,238.89,84.64,832.12,3452.74,13.70,437.17,80.39,11058.75,25.01
Plate 1,Unknown Group 1,24,3M4_GTT,D5,Standard Curve Group 1,179.75,-,215.02,121.18,95.18,498.87,1296.59,3.43,104.52,48.29,5612.06,22.90
Plate 1,Unknown Group 1,25,3M5_GTT,E5,Standard Curve Group 1,376.10,-,245.26,196.46,65.64,1252.74,2890.82,6.22,68.67,42.08,6261.45,42.05
Plate 1,Unknown Group 1,26,3M6_GTT,F5,Standard Curve Group 1,657.54,22.53,108.54,446.95,81.75,1260.62,4783.99,46.49,1206.64,170.90,5838.36,53.85
Plate 1,Unknown Group 1,27,3M7_GTT,G5,Standard Curve Group 1,260.26,31.70,145.88,70.28,96.09,498.11,1315.96,10.47,27.41,35.80,9499.36,10.36
Plate 1,Unknown Group 1,28,3M8_GTT,H5,Standard Curve Group 1,297.29,6.50,60.62,65.91,71.34,690.47,2390.88,2.42,-,29.74,6056.37,5.12
Plate 1,Unknown Group 1,29,3M9_GTT,I5,Standard Curve Group 1,232.32,12.96,129.86,72.00,73.67,928.82,1585.18,6.51,-,31.98,8738.75,7.57
Plate 1,Unknown Group 1,30,3M10_GTT,J5,Standard Curve Group 1,272.97,12.52,150.10,132.32,71.98,883.99,1584.47,4.11,-,15.66,7788.18,14.89
Plate 1,Unknown Group 1,31,3M11_GTT,K5,Standard Curve Group 1,377.87,-,71.49,38.80,31.07,708.03,1939.66,3.29,-,28.20,8635.45,11.23
Plate 1,Unknown Group 1,32,3M12_GTT,L5,Standard Curve Group 1,357.73,5.66,53.17,52.51,53.56,873.70,1600.79,4.76,-,37.70,13198.69,14.61
Plate 1,Unknown Group 1,33,3M13_GTT,M5,Standard Curve Group 1,-,-,82.80,77.50,22.04,953.06,2223.37,5.48,38.16,40.45,7272.93,23.70
Plate 1,Unknown Group 1,34,3M14_GTT,N5,Standard Curve Group 1,435.56,-,70.36,120.07,107.90,1798.76,3117.24,12.75,2.12,47.19,11456.10,7.93
Plate 1,Unknown Group 1,35,3M15_GTT,O5,Standard Curve Group 1,157.05,-,41.64,33.08,26.94,123.91,469.61,9.19,-,19.50,6454.13,10.54
Plate 1,Unknown Group 1,36,3M16_GTT,P5,Standard Curve Group 1,185.04,-,48.79,58.08,39.35,532.64,695.27,12.64,-,40.43,6858.47,7.98
Plate 1,Unknown Group 1,37,3M17_GTT,A6,Standard Curve Group 1,346.37,-,115.21,88.24,129.85,1574.06,2030.88,17.87,-,68.74,7448.72,24.65
Plate 1,Unknown Group 1,38,3M18_GTT,B6,Standard Curve Group 1,182.33,9.34,38.90,56.61,89.66,647.11,628.47,16.36,-,55.25,4345.62,-
Plate 1,Unknown Group 1,39,3M19_GTT,C6,Standard Curve Group 1,245.24,-,151.50,84.25,128.75,1010.19,1690.52,6.97,-,46.33,10842.29,10.13
Plate 1,Unknown Group 1,40,3M20_GTT,D6,Standard Curve Group 1,102.01,-,68.32,70.39,74.22,315.23,324.41,6.35,-,40.79,8095.00,8.96
Plate 1,Unknown Group 1,41,3M21_GTT,E6,Standard Curve Group 1,1192.44,-,184.99,86.13,59.58,3214.38,6143.17,13.80,-,32.64,24285.62,10.20
Plate 1,Unknown Group 1,42,3M22_GTT,F6,Standard Curve Group 1,1063.23,-,224.55,65.05,83.78,1763.18,5415.46,10.22,-,32.65,19921.90,9.57
Plate 1,Unknown Group 1,43,3M23_GTT,G6,Standard Curve Group 1,340.54,-,92.62,262.76,161.53,912.44,801.69,2.26,-,10.57,4944.73,11.78
Plate 1,Unknown Group 1,44,3M24_GTT,H6,Standard Curve Group 1,1003.34,-,188.83,81.18,46.08,2641.31,5276.09,2.01,-,28.39,22713.81,10.11
Plate 1,Unknown Group 1,45,3M25_GTT,I6,Standard Curve Group 1,1188.12,-,260.96,82.96,73.99,2419.49,5194.53,3.52,-,33.43,23250.84,7.27
Plate 1,Unknown Group 1,46,3M26_GTT,J6,Standard Curve Group 1,1350.83,-,285.33,132.29,129.81,5049.74,5664.01,5.31,-,46.60,18390.82,18.09
Plate 1,Unknown Group 1,47,3M27_GTT,K6,Standard Curve Group 1,573.69,-,88.55,59.62,47.44,1492.49,5339.58,2.25,-,27.02,9776.00,6.18
Plate 1,Unknown Group 1,48,3M28_GTT,L6,Standard Curve Group 1,751.69,-,194.77,62.40,17.67,2069.11,7198.48,6.89,-,68.80,20295.19,6.83
Plate 1,Unknown Group 1,49,3M29_GTT,A7,Standard Curve Group 1,1408.65,-,82.20,39.75,-,2603.00,5226.84,2.36,-,8.53,16038.23,9.27
Plate 1,Unknown Group 1,50,3M30_GTT,B7,Standard Curve Group 1,1502.42,-,249.67,75.14,100.99,6516.84,5327.52,5.70,-,20.50,30708.92,6.22
Plate 1,Unknown Group 1,51,3M31_GTT,C7,Standard Curve Group 1,792.87,-,91.95,34.78,110.01,1553.25,1706.90,23.81,-,37.14,7451.36,8.42
Plate 1,Unknown Group 1,52,3M32_GTT,D7,Standard Curve Group 1,604.07,-,9.74,24.20,-,375.42,4458.63,2.75,-,-,9240.51,6.59
Plate 1,Unknown Group 1,53,3M33_GTT,E7,Standard Curve Group 1,656.70,-,290.77,77.37,133.64,2234.27,3244.93,7.37,-,39.57,8187.58,10.66
Plate 1,Unknown Group 1,54,3M34_GTT,F7,Standard Curve Group 1,734.03,-,81.54,34.90,57.78,1252.61,2302.29,21.66,-,37.88,8538.40,6.45
Plate 1,Unknown Group 1,55,3M35_GTT,G7,Standard Curve Group 1,1055.64,-,-,25.37,-,1271.77,7988.85,3.49,-,1.63,7699.00,11.00
Plate 1,Unknown Group 1,56,3M36_GTT,H7,Standard Curve Group 1,1743.56,-,150.43,58.25,89.06,6231.05,5959.81,10.47,-,39.02,14028.37,5.48
Plate 1,Unknown Group 1,57,3M37_GTT,I7,Standard Curve Group 1,865.09,-,64.09,48.05,119.10,1213.85,2074.35,26.26,-,51.42,10067.70,9.36
Plate 1,Unknown Group 1,58,3M38_GTT,J7,Standard Curve Group 1,190.82,-,145.85,41.33,24.33,3151.78,3181.72,21.85,-,52.92,8747.98,8.03
Plate 1,Unknown Group 1,59,3M39_GTT,K7,Standard Curve Group 1,1121.61,-,159.68,40.35,87.07,2921.26,4096.57,18.59,-,55.23,17260.03,4.59
Plate 1,Unknown Group 1,60,3M40_GTT,L7,Standard Curve Group 1,-,-,-,-,-,705.39,-,-,-,-,-,1.81
Plate 1,Unknown Group 1,61,2M16_SAC,A8,Standard Curve Group 1,730.47,-,654.31,52.35,305.42,1634.09,7640.21,49.34,-,84.10,15131.84,5.98
Plate 1,Unknown Group 1,62,2M17_SAC,B8,Standard Curve Group 1,231.55,-,77.05,267.85,191.19,2555.98,6548.22,15.09,-,73.34,14530.03,11.12
Plate 1,Unknown Group 1,63,2M20_SAC,C8,Standard Curve Group 1,339.89,-,147.98,125.42,177.89,652.31,2198.03,53.52,66.00,80.33,30283.28,30.76
Plate 1,Unknown Group 1,64,2M22_SAC,D8,Standard Curve Group 1,493.97,-,-,112.28,173.25,1800.64,3123.58,54.97,-,86.36,10804.59,7.14
Plate 1,Unknown Group 1,65,2M23_SAC,E8,Standard Curve Group 1,265.27,-,49.00,211.58,229.37,1145.93,628.94,11.69,-,114.78,33529.51,9.59
Plate 1,Unknown Group 1,66,2M26_SAC,F8,Standard Curve Group 1,120.06,-,222.57,235.47,459.23,391.48,651.83,29.84,-,345.42,31254.30,8.61
Plate 1,Unknown Group 1,67,2M31_SAC,G8,Standard Curve Group 1,257.45,-,427.80,354.34,353.30,1446.51,2153.90,34.34,-,352.53,24865.02,4.31
Plate 1,Unknown Group 1,68,2M33_SAC,H8,Standard Curve Group 1,35.40,-,33.18,613.77,314.87,248.17,4449.02,1747.92,539.87,454.75,19939.72,9.98
Plate 1,Unknown Group 1,69,3M1_SAC,A9,Standard Curve Group 1,309.48,-,452.30,272.56,596.46,934.35,3347.02,6.73,-,55.72,12703.75,6.53
Plate 1,Unknown Group 1,70,3M4_SAC,B9,Standard Curve Group 1,362.69,7.83,1397.63,419.71,423.54,882.92,5095.05,27.63,417.10,119.97,36391.02,40.32
Plate 1,Unknown Group 1,71,3M6_SAC,C9,Standard Curve Group 1,1354.08,8.86,1216.20,692.09,212.46,7178.21,9954.55,65.60,2736.72,240.37,41223.26,58.69
Plate 1,Unknown Group 1,72,3M7_SAC,D9,Standard Curve Group 1,640.14,-,4759.64,325.09,172.00,933.47,1309.44,44.74,-,130.10,58609.94,9.64
Plate 1,Unknown Group 1,73,3M11_SAC,E9,Standard Curve Group 1,166.18,-,263.02,233.11,239.02,314.42,1592.60,59.75,-,152.25,15443.89,10.84
