CJ,HMDB Name,Formula,RT,Detected.in,confirmation,HMDB ID,other ID,Classification
CJ0001,ciliatine,C2H8NO3P,15.16,Both,Sigma,HMDB0011747,,
CJ0002,"1,3-diaminopropane",C3H10N2,,not detected in both,Sigma,HMDB0000002,,
CJ0003,10-hydroxydecanoic acid,C10H20O3,2.88,Nega,Sigma,HMDB0244272,,FA
CJ0004,17alpha-estradiol,C18H24O2,2.43,Both,Sigma,HMDB0000429,,Steroids and steroid derivatives  
CJ0005,1-aminocyclopropanecarboxylic acid,C4H7NO2,12.6,Both,Sigma,HMDB0036458,,Amino acids related and peptides
CJ0006,1-hydroxy-2-naphthoate,C11H8O3,1.99,Both,Sigma,,METPA0374,
CJ0007,1-methyladenosine,C11H15N5O4,5.08,Both,Sigma,HMDB0003331,,"Nucleosides, nucleotides, and analogues  "
CJ0008,1-methylhistidine,C7H11N3O2,18.23,Both,Sigma,HMDB0000001,,Amino acids related and peptides
CJ0009,1-methylnicotinamide,C7H9N2O,15.64,Posi,Sigma,HMDB0000699,,"Nucleosides, nucleotides, and analogues  "
CJ0010,1-phenylethanol,C8H10O,2.51,Posi,Sigma,HMDB0032619,,
CJ0011,"2,3-butanediol",C4H10O2,7.65,Posi,Sigma,HMDB0003156,,
CJ0012,"2,3-diaminopropionic acid",C3H8N2O2,18.19,Both,Sigma,HMDB0002006,,Amino acids related and peptides
CJ0013,2-pyrocatechuic acid,C7H6O4,2.4,Nega,Sigma,HMDB0000397,,
CJ0014,"2',4'-dihydroxyacetophenone",C8H8O3,2.51,Both,Sigma,HMDB0029659,,
CJ0015,lumazine,C6H4N4O2,4.64,Both,Sigma,HMDB0254198,,
CJ0016,gentisic acid,C7H6O4,9.62,Nega,Sigma,HMDB0000152,,Microbiota related
CJ0017,gentisic acid,C7H6O4,2.38,Nega,Sigma,HMDB0000152,,Microbiota related
CJ0018,"2,5-dimethylpyrazine",C6H8N2,9.04,Posi,Sigma,HMDB0035289,,
CJ0019,"2,6-dihydroxypyridine",C5H5NO2,6.68,Both,Sigma,,METPA0354,
CJ0020,25-hydroxycholesterol,C27H46O2,4.22,Posi,Sigma,HMDB0006247,,Cholesterols and derivatives  
CJ0021,n-acetyl-b-glucosaminylamine,C8H16N2O5,12.61,Both,Sigma,HMDB0001104,,
CJ0022,2-aminoisobutyric acid,C4H9NO2,13.11,Both,Sigma,HMDB0001906,,Amino acids related and peptides
CJ0023,2-aminophenol,C6H7NO,2.6,Both,Sigma,,METPA0236,
CJ0024,2-deoxy-d-glucose,C6H12O5,8.95,Both,Sigma,,YMDB00294,Carbohydrates and carbohydrate conjugates  
CJ0025,(â±)-2-hydroxy-4-(methylthio)butanoic acid,C5H10O3S,2.87,Both,Sigma,HMDB0037115,,FA
CJ0026,2-hydroxybutyric acid,C4H8O3,4.62,Nega,Sigma,HMDB0000008,,
CJ0027,ortho-hydroxyphenylacetic acid,C8H8O3,2.68,Nega,Sigma,HMDB0000669,,
CJ0028,2-hydroxypyridine,C5H5NO,3.64,Both,Sigma,HMDB0013751,,
CJ0029,2-keto-3-deoxy-d-gluconic acid,C6H10O6,9.82,Both,Sigma,HMDB0001353,,
CJ0030,2-methoxyethanol,C3H8O2,,not detected in both,Sigma,HMDB0245203,,
CJ0031,(â±)-2-methylbutanal,C5H10O,2.52,Posi,Sigma,HMDB0031526,,
CJ0032,2-methylcitric acid,C7H710O7,,not detected in both,Sigma,HMDB0000379,,
CJ0033,2-methylglutaric acid,C6H10O4,12.05,Nega,Sigma,HMDB0000422,,FA
CJ0034,citraconic acid,C5H6O4,6.63,Nega,Sigma,HMDB0000634,,FA
CJ0035,2-methylpropanal,C4H8O,2.55,Both,Sigma,HMDB0031243,,
