tissue,name,sample.clean,diet,med.adj.ic,n_obs
Liver,(+)-Nootkatone,1M1,CD,3359081.04136649,1
Liver,(+)-Nootkatone,1M10,CD,2823814.08662698,1
Liver,(+)-Nootkatone,1M11,CD,896861.874964892,1
Liver,(+)-Nootkatone,1M2,CD,802742.549944797,1
Liver,(+)-Nootkatone,1M4,CD,1757077.66210121,1
Liver,(+)-Nootkatone,1M5,ID,1686489.27824585,1
Liver,(+)-Nootkatone,1M6,ID,1512663.67741436,1
Liver,(+)-Nootkatone,1M7,ID,1449523.34625863,1
Liver,(+)-Nootkatone,1M9,ID,1739628.62489005,1
Liver,(+)-Nootkatone,2M16,CD,1335228.70279636,1
Liver,(+)-Nootkatone,2M17,CD,347948.182474027,1
Liver,(+)-Nootkatone,2M20,CD,851628.117796145,1
Liver,(+)-Nootkatone,2M22,ID,1451151.07700536,1
Liver,(+)-Nootkatone,2M23,ID,1471766.03432025,1
Liver,(+)-Nootkatone,2M26,ID,1145388.16514914,1
Liver,(+)-Nootkatone,2M31,ID,1406513.65598265,1
Liver,(+)-Nootkatone,2M33,ID,823435.269017117,1
Liver,(+)-castanospermine,1M1,CD,6491421.37007132,1
Liver,(+)-castanospermine,1M10,CD,6065803.83463161,1
Liver,(+)-castanospermine,1M11,CD,12129673.7389911,1
Liver,(+)-castanospermine,1M2,CD,2565432.52819611,1
Liver,(+)-castanospermine,1M4,CD,6983873.73561125,1
Liver,(+)-castanospermine,1M5,ID,7075603.08090762,1
Liver,(+)-castanospermine,1M6,ID,52276968.6274823,1
Liver,(+)-castanospermine,1M7,ID,7326838.6295675,1
Liver,(+)-castanospermine,1M9,ID,4001592.65282447,1
Liver,(+)-castanospermine,2M16,CD,12437650.8525021,1
Liver,(+)-castanospermine,2M17,CD,14204887.5309634,1
Liver,(+)-castanospermine,2M20,CD,8132158.98321214,1
Liver,(+)-castanospermine,2M22,ID,5302571.77654199,1
Liver,(+)-castanospermine,2M23,ID,12363822.510167,1
Liver,(+)-castanospermine,2M26,ID,53183912.4646195,1
Liver,(+)-castanospermine,2M31,ID,9932108.06379619,1
Liver,(+)-castanospermine,2M33,ID,9925854.49793046,1
Liver,"(10E,12Z)-10,12-Hexadecadienal",1M1,CD,498815.31532928,1
Liver,"(10E,12Z)-10,12-Hexadecadienal",1M10,CD,93083.412832063,1
Liver,"(10E,12Z)-10,12-Hexadecadienal",1M11,CD,373428.365346443,1
Liver,"(10E,12Z)-10,12-Hexadecadienal",1M2,CD,337807.394978686,1
Liver,"(10E,12Z)-10,12-Hexadecadienal",1M4,CD,800145.021784153,1
Liver,"(10E,12Z)-10,12-Hexadecadienal",1M5,ID,546051.771162706,1
Liver,"(10E,12Z)-10,12-Hexadecadienal",1M6,ID,148846.279007147,1
Liver,"(10E,12Z)-10,12-Hexadecadienal",1M7,ID,542195.078556372,1
Liver,"(10E,12Z)-10,12-Hexadecadienal",1M9,ID,437788.860136427,1
Liver,"(10E,12Z)-10,12-Hexadecadienal",2M16,CD,606214.843041932,1
Liver,"(10E,12Z)-10,12-Hexadecadienal",2M17,CD,394204.871506982,1
Liver,"(10E,12Z)-10,12-Hexadecadienal",2M20,CD,387407.107023371,1
Liver,"(10E,12Z)-10,12-Hexadecadienal",2M22,ID,438507.977445672,1
Liver,"(10E,12Z)-10,12-Hexadecadienal",2M23,ID,276586.796683856,1
Liver,"(10E,12Z)-10,12-Hexadecadienal",2M26,ID,327084.016123432,1
Liver,"(10E,12Z)-10,12-Hexadecadienal",2M31,ID,269865.121440668,1
Liver,"(10E,12Z)-10,12-Hexadecadienal",2M33,ID,440079.69460061,1
Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",1M1,CD,14388.6402677394,1
Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",1M10,CD,7978975.48920168,1
Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",1M11,CD,344134.274497458,1
Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",1M2,CD,11049.6279923942,1
Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",1M4,CD,4054165.76695384,1
Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",1M5,ID,269210.91270458,1
Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",1M6,ID,15061680.1709688,1
Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",1M7,ID,159290.903249381,1
Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",1M9,ID,309162.753472678,1
Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",2M16,CD,9334.1162618546,1
Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",2M17,CD,7400904.32827517,1
Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",2M20,CD,37110.5973760591,1
Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",2M22,ID,9388.20797877985,1
Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",2M23,ID,6125072.70194518,1
Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",2M26,ID,5174783.3787104,1
Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",2M31,ID,2085548.95509491,1
Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",2M33,ID,616854.654171244,1
Liver,(11E)-15-Oxo-11-icosenoic acid,1M1,CD,1147960.53345917,1
Liver,(11E)-15-Oxo-11-icosenoic acid,1M10,CD,5952867.87245032,1
Liver,(11E)-15-Oxo-11-icosenoic acid,1M11,CD,1118313.16347422,1
Liver,(11E)-15-Oxo-11-icosenoic acid,1M2,CD,3325280.36443819,1
Liver,(11E)-15-Oxo-11-icosenoic acid,1M4,CD,1659271.73058444,1
Liver,(11E)-15-Oxo-11-icosenoic acid,1M5,ID,1051054.65695067,1
Liver,(11E)-15-Oxo-11-icosenoic acid,1M6,ID,847656.17507517,1
Liver,(11E)-15-Oxo-11-icosenoic acid,1M7,ID,1199834.66606862,1
Liver,(11E)-15-Oxo-11-icosenoic acid,1M9,ID,2846122.11029271,1
Liver,(11E)-15-Oxo-11-icosenoic acid,2M16,CD,2096410.62322232,1
Liver,(11E)-15-Oxo-11-icosenoic acid,2M17,CD,1809573.68026179,1
Liver,(11E)-15-Oxo-11-icosenoic acid,2M20,CD,408564.34824722,1
Liver,(11E)-15-Oxo-11-icosenoic acid,2M22,ID,813706.304606339,1
Liver,(11E)-15-Oxo-11-icosenoic acid,2M23,ID,63867.3339157864,1
Liver,(11E)-15-Oxo-11-icosenoic acid,2M26,ID,921067.485088537,1
Liver,(11E)-15-Oxo-11-icosenoic acid,2M31,ID,730991.24613261,1
Liver,(11E)-15-Oxo-11-icosenoic acid,2M33,ID,1305120.06189228,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",1M1,CD,242548.703892231,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",1M10,CD,886501.308257067,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",1M11,CD,425662.975885743,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",1M2,CD,784495.311649529,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",1M4,CD,746551.053034718,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",1M5,ID,103310.30179084,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",1M6,ID,505566.348472748,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",1M7,ID,457355.459282012,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",1M9,ID,878351.160415608,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",2M16,CD,965516.71794045,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",2M17,CD,338816.052789585,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",2M20,CD,450597.913592275,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",2M22,ID,100525.064319224,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",2M23,ID,242325.134534658,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",2M26,ID,628310.388403935,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",2M31,ID,331523.852651823,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",2M33,ID,968305.096555029,1
