plate,assay_group,well_id,raw_sample_id,sample,sample_suffix,sampling_tissue,sampling_time,sampling_month,diet,cohort,animal,age,group,cytokine,concentration_pg_ml,mfi
Plate 1,Unknown Group 1,21,1M1_sys_sac,1M1,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,1,Old,Old CD,GDF-15,211.207241239182,41521.44922
Plate 1,Unknown Group 1,21,1M1_sys_sac,1M1,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,1,Old,Old CD,IFN-gamma,N/A,1301.28516
Plate 1,Unknown Group 1,21,1M1_sys_sac,1M1,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,1,Old,Old CD,IL-10,N/A,3000.12158
Plate 1,Unknown Group 1,21,1M1_sys_sac,1M1,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,1,Old,Old CD,IL-17A,N/A,2949.06494
Plate 1,Unknown Group 1,21,1M1_sys_sac,1M1,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,1,Old,Old CD,IL-17F,N/A,2160.61011
Plate 1,Unknown Group 1,21,1M1_sys_sac,1M1,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,1,Old,Old CD,IL-1a,27.047904889534404,4371.66211
Plate 1,Unknown Group 1,21,1M1_sys_sac,1M1,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,1,Old,Old CD,IL-6,N/A,2994.68921
Plate 1,Unknown Group 1,21,1M1_sys_sac,1M1,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,1,Old,Old CD,IL-7,0.5260265691194683,2754.07422
Plate 1,Unknown Group 1,21,1M1_sys_sac,1M1,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,1,Old,Old CD,TNF-alpha,12.432597779048182,1797.13232
Plate 1,Unknown Group 1,28,1M10_sys_sac,1M10,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,10,Old,Old CD,GDF-15,191.694515799697,38038.52734
Plate 1,Unknown Group 1,28,1M10_sys_sac,1M10,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,10,Old,Old CD,IFN-gamma,11.89636537814015,1774.01648
Plate 1,Unknown Group 1,28,1M10_sys_sac,1M10,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,10,Old,Old CD,IL-10,N/A,3077.13867
Plate 1,Unknown Group 1,28,1M10_sys_sac,1M10,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,10,Old,Old CD,IL-17A,N/A,3274.44531
Plate 1,Unknown Group 1,28,1M10_sys_sac,1M10,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,10,Old,Old CD,IL-17F,N/A,2097.13086
Plate 1,Unknown Group 1,28,1M10_sys_sac,1M10,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,10,Old,Old CD,IL-1a,43.16497966343571,5876.31543
Plate 1,Unknown Group 1,28,1M10_sys_sac,1M10,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,10,Old,Old CD,IL-6,N/A,1981.80176
Plate 1,Unknown Group 1,28,1M10_sys_sac,1M10,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,10,Old,Old CD,IL-7,0.7405736828103748,2955.22656
Plate 1,Unknown Group 1,28,1M10_sys_sac,1M10,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,10,Old,Old CD,TNF-alpha,10.614561375999653,1675.87781
Plate 1,Unknown Group 1,29,1M11_sys_sac,1M11,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,11,Old,Old CD,GDF-15,539.328470549919,98638.07812
