correlation_method,metabolite_tissue,metabolite,cytokine_sampling_tissue,cytokine,cytokine_measurement,n,n_unique_samples,correlation,p_value,p_adj_bh,metabolite_min,metabolite_max,cytokine_min,cytokine_max
pearson,Muscle,Methylphosphonic acid,systemic blood,IFN-gamma,mfi,14,14,0.9888501517603044,2.7083610324788608e-11,1.0565169377393605e-6,180.488079732533,62249491.0803404,1067.5177,25376.40039
pearson,Liver,Thymidine,systemic blood,IFN-gamma,mfi,14,14,0.9888299627112277,2.7377997868343108e-11,1.0565169377393605e-6,1081573.36937594,11046348.8231213,1067.5177,25376.40039
pearson,Liver,Thymine,systemic blood,IFN-gamma,mfi,14,14,0.9867330454928469,7.651393274104276e-11,1.8345680103762476e-6,4240975.29181174,44674822.1694221,1067.5177,25376.40039
pearson,Muscle,Pyrocatechol sulfate,systemic blood,IL-17F,mfi,14,14,0.9862414506187169,9.507996944162983e-11,1.8345680103762476e-6,5618.08163170272,611108.290706714,1297.72559,11042.40039
pearson,Muscle,1-Phenylethanol,systemic blood,IL-17F,mfi,14,14,0.9850528698384057,1.5591491160508673e-10,2.406702575536119e-6,24207.8656905864,14236950.4939803,1297.72559,11042.40039
pearson,Liver,Deoxyinosine,systemic blood,IFN-gamma,mfi,14,14,0.9791930136196053,1.1202216248764874e-9,1.440978416799455e-5,92820.0242124555,857797.769748569,1067.5177,25376.40039
pearson,Muscle,Bethanechol,systemic blood,IFN-gamma,mfi,14,14,0.9757436635189637,2.7910100443157243e-9,3.07494709648146e-5,749365.030961705,10256387.7889994,1067.5177,25376.40039
pearson,Liver,Ammeline,systemic blood,IFN-gamma,mfi,14,14,0.9750279641519471,3.3178847776172425e-9,3.07494709648146e-5,9242.80214958478,7074340.3848602,1067.5177,25376.40039
pearson,Muscle,"N~6~,N~6~-Dimethyllysine",systemic blood,IFN-gamma,mfi,14,14,0.9746997755295687,3.5857118253865177e-9,3.07494709648146e-5,200849.816609061,2339134.92498861,1067.5177,25376.40039
pearson,Liver,Trepibutone,systemic blood,IFN-gamma,mfi,14,14,0.9731709094195906,5.081914316961863e-9,3.922221469831166e-5,189544.074106195,2986813.03739332,1067.5177,25376.40039
pearson,Muscle,2-Dodecylbenzenesulfonic acid,portal blood,IL-17F,mfi,8,8,0.9978868953718228,2.3551277812313774e-8,1.6524432923221608e-4,15654358.2676405,167751191.775588,811.51361,62971.27344
pearson,Liver,Proline betaine,systemic blood,IL-17F,mfi,14,14,0.963046698705233,3.394453290496734e-8,2.1831992080044828e-4,142579.562800141,4834326.86858143,1297.72559,11042.40039
pearson,Liver,"N~6~,N~6~-Dimethyllysine",systemic blood,IFN-gamma,mfi,14,14,0.9609341311288457,4.7167140248197256e-8,2.686458350031762e-4,152186.849262373,1440327.10359781,1067.5177,25376.40039
pearson,Liver,Deoxyuridine,systemic blood,IFN-gamma,mfi,14,14,0.9607181302499624,4.8730781161498664e-8,2.686458350031762e-4,3305406.57194371,29173200.2700816,1067.5177,25376.40039
pearson,Muscle,"PG(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))",portal blood,IL-17F,mfi,8,8,0.9971853880671726,5.562606676474957e-8,2.8621465552689147e-4,88778.1586140704,2670937.56263582,811.51361,62971.27344
pearson,Liver,Nelarabine,portal blood,IL-17F,mfi,8,8,0.9969205741035961,7.283593630889014e-8,3.369845305629182e-4,68196.4740978257,487463.036471943,811.51361,62971.27344
pearson,Muscle,L-Arginine,systemic blood,IFN-gamma,mfi,14,14,0.9578199170672983,7.422566752487186e-8,3.369845305629182e-4,57627932.1143844,250796380.237866,1067.5177,25376.40039
