correlation_method,metabolite_tissue,metabolite,cytokine_sampling_tissue,cytokine,cytokine_measurement,n,n_unique_samples,correlation,p_value,p_adj_bh,metabolite_min,metabolite_max,cytokine_min,cytokine_max
spearman,Liver,(+)-Nootkatone,portal blood,IL-10,concentration_pg_ml,4,4,1,0,0,823435.269017117,1471766.03432025,51.44777336431313,1101.7441425819327
spearman,Liver,(+)-Nootkatone,portal blood,IL-17F,concentration_pg_ml,3,3,-1,0,0,823435.269017117,1451151.07700536,24.621261975161335,748.6666386884577
spearman,Liver,(+)-castanospermine,portal blood,IL-17F,concentration_pg_ml,3,3,1,0,0,5302571.77654199,9925854.49793046,24.621261975161335,748.6666386884577
spearman,Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",portal blood,IL-17F,concentration_pg_ml,3,3,1,0,0,9388.20797877985,616854.654171244,24.621261975161335,748.6666386884577
spearman,Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",systemic blood,IL-17A,concentration_pg_ml,4,4,-1,0,0,11049.6279923942,15061680.1709688,12.814446799875316,24.97808587839473
spearman,Liver,(11E)-15-Oxo-11-icosenoic acid,portal blood,IL-10,concentration_pg_ml,4,4,-1,0,0,63867.3339157864,1305120.06189228,51.44777336431313,1101.7441425819327
spearman,Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",portal blood,IL-17F,concentration_pg_ml,3,3,1,0,0,100525.064319224,968305.096555029,24.621261975161335,748.6666386884577
spearman,Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",portal blood,IL-17F,concentration_pg_ml,3,3,1,0,0,37180.7095460149,179713.733735315,24.621261975161335,748.6666386884577
spearman,Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",portal blood,IFN-gamma,concentration_pg_ml,4,4,-1,0,0,24336.0953067401,18827209.5927546,11.486764464416169,165.9685216422923
spearman,Liver,(17Z)-tricos-17-enoic acid,portal blood,IL-17A,concentration_pg_ml,4,4,1,0,0,218409.937399452,774204.610802457,11.689201474353736,34.287789395062916
spearman,Liver,(17Z)-tricos-17-enoic acid,portal blood,IL-17F,concentration_pg_ml,3,3,1,0,0,218409.937399452,446249.581378156,24.621261975161335,748.6666386884577
spearman,Liver,(17Z)-tricos-17-enoic acid,systemic blood,IL-17A,concentration_pg_ml,4,4,-1,0,0,226690.235523674,290255.265683188,12.814446799875316,24.97808587839473
spearman,Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,portal blood,IFN-gamma,concentration_pg_ml,4,4,1,0,0,464152.83612636,646132.989588897,11.486764464416169,165.9685216422923
spearman,Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",portal blood,IL-17F,concentration_pg_ml,3,3,-1,0,0,90082763.168688,149892695.158985,24.621261975161335,748.6666386884577
spearman,Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",portal blood,IL-17F,concentration_pg_ml,3,3,-1,0,0,536518.136797861,686859.19411059,24.621261975161335,748.6666386884577
spearman,Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",systemic blood,IL-17A,concentration_pg_ml,4,4,-1,0,0,18935662.6353071,29349536.2818234,12.814446799875316,24.97808587839473
spearman,Liver,"(2R)-1-[(Hydroxy{[(1s,3R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-3-(palmitoyloxy)-2-propanyl (9Z)-9-hexadecenoate",portal blood,IFN-gamma,concentration_pg_ml,4,4,-1,0,0,1457254.81860096,2780497.75903447,11.486764464416169,165.9685216422923
spearman,Liver,"(2R)-1-[(Hydroxy{[(1s,3R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-3-(stearoyloxy)-2-propanyl (5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoate",portal blood,IL-17F,concentration_pg_ml,3,3,-1,0,0,1014621.81540625,1845580.85016746,24.621261975161335,748.6666386884577
spearman,Liver,"(2R)-2-Hydroxy-3-[(hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]propyl palmitate",portal blood,IL-17F,concentration_pg_ml,3,3,1,0,0,76126.3733286152,177311.993488652,24.621261975161335,748.6666386884577
spearman,Liver,"(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid",portal blood,IL-17A,concentration_pg_ml,4,4,-1,0,0,2584387.63827677,2914374.24229377,11.689201474353736,34.287789395062916
spearman,Liver,"(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid",portal blood,IL-17F,concentration_pg_ml,3,3,-1,0,0,2598631.21876007,2914374.24229377,24.621261975161335,748.6666386884577
spearman,Liver,"(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid",systemic blood,IL-17A,concentration_pg_ml,4,4,-1,0,0,2604776.09784054,4536772.53797917,12.814446799875316,24.97808587839473
spearman,Liver,"(2S)-1-Hydroxy-3-[(9Z)-9-tetradecenoyloxy]-2-propanyl (4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,16,19-docosahexaenoate",portal blood,IL-17A,concentration_pg_ml,4,4,-1,0,0,102669.294697719,1318054.62773221,11.689201474353736,34.287789395062916
spearman,Liver,"(2S)-1-Hydroxy-3-[(9Z)-9-tetradecenoyloxy]-2-propanyl (4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,16,19-docosahexaenoate",portal blood,IL-17F,concentration_pg_ml,3,3,-1,0,0,162180.56551232,1318054.62773221,24.621261975161335,748.6666386884577
spearman,Liver,"(2S,3R,5S)-3-(2-Aminoethyl)-7-oxo-4-oxa-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",portal blood,IL-17F,concentration_pg_ml,3,3,-1,0,0,478064.121804194,3732991.2110666,24.621261975161335,748.6666386884577
spearman,Liver,"(3s,6R,7S)-6,7-Dihydroxy-8-methyl-8-azabicyclo[3.2.1]oct-3-yl (2E)-2-methyl-2-butenoate",systemic blood,IL-17A,concentration_pg_ml,4,4,1,0,0,458823.2277484,1618085.22783881,12.814446799875316,24.97808587839473
spearman,Liver,"(5Z,8Z)-Tetradecadienoylcarnitine",portal blood,IL-10,concentration_pg_ml,4,4,-1,0,0,805159.12868024,1388319.08887005,51.44777336431313,1101.7441425819327
spearman,Liver,"(8Z,10E)-Dodeca-8,10-dienoylcarnitine",portal blood,IL-17A,concentration_pg_ml,4,4,-1,0,0,86035.3322249936,396682.17261633603,11.689201474353736,34.287789395062916
spearman,Liver,"(8Z,10E)-Dodeca-8,10-dienoylcarnitine",portal blood,IL-17F,concentration_pg_ml,3,3,-1,0,0,153482.179969698,396682.17261633603,24.621261975161335,748.6666386884577
spearman,Liver,(E)-3-O-Methyl entacapone,systemic blood,IL-17A,concentration_pg_ml,4,4,1,0,0,76673.1000413837,293729.107181623,12.814446799875316,24.97808587839473
spearman,Liver,"(E,E)-2,4-Dodecadienal",portal blood,IL-10,concentration_pg_ml,4,4,-1,0,0,1353429.9528666,1516825.11410035,51.44777336431313,1101.7441425819327
spearman,Liver,(Methylthio)pyrazine,portal blood,IL-10,concentration_pg_ml,4,4,1,0,0,2785.38638635179,9683.67759969419,51.44777336431313,1101.7441425819327
spearman,Liver,(Methylthio)pyrazine,portal blood,IL-17F,concentration_pg_ml,3,3,-1,0,0,2785.38638635179,5487.98154888113,24.621261975161335,748.6666386884577
spearman,Liver,(R)-2-Benzylsuccinate,portal blood,IL-17F,concentration_pg_ml,3,3,1,0,0,188512.363546648,778339.617843273,24.621261975161335,748.6666386884577
spearman,Liver,(R)-Lipoic acid,portal blood,IL-17A,concentration_pg_ml,4,4,1,0,0,283324.984773875,461856.249417603,11.689201474353736,34.287789395062916
spearman,Liver,(S)-beta-Aminoisobutyric acid,portal blood,IL-17F,concentration_pg_ml,3,3,1,0,0,4835940.89392697,8685942.10421796,24.621261975161335,748.6666386884577
spearman,Liver,(±)18-HEPE,portal blood,IFN-gamma,concentration_pg_ml,4,4,-1,0,0,2498064.87783018,2761736.88592882,11.486764464416169,165.9685216422923
spearman,Liver,(Â±)-Metalaxyl,systemic blood,IL-17A,concentration_pg_ml,4,4,-1,0,0,297792.681872053,714615.726425175,12.814446799875316,24.97808587839473
spearman,Liver,(−)-Inosine,portal blood,IL-17F,concentration_pg_ml,3,3,-1,0,0,25149.3542281128,88413.7717496408,24.621261975161335,748.6666386884577
spearman,Liver,(−)-Inosine,systemic blood,IL-17A,concentration_pg_ml,4,4,-1,0,0,26826.2264796141,60980.9136526118,12.814446799875316,24.97808587839473
spearman,Liver,.alpha.-Aminoadipic acid,portal blood,IFN-gamma,concentration_pg_ml,4,4,1,0,0,173148.082281426,280235.650147776,11.486764464416169,165.9685216422923
spearman,Liver,"1,1,6-Trimethyl-1,2-dihydronaphthalene",portal blood,IFN-gamma,concentration_pg_ml,4,4,1,0,0,743082.127568781,2217860.35934051,11.486764464416169,165.9685216422923
spearman,Liver,"1,1′-MONOGLYCERIDE CITRATE",portal blood,IL-17F,concentration_pg_ml,3,3,-1,0,0,40827.1158622568,3480164.144112,24.621261975161335,748.6666386884577
spearman,Liver,"1,2,3-Trihydroxybenzene",systemic blood,IL-17A,concentration_pg_ml,4,4,-1,0,0,4662006.09059307,8728876.82197827,12.814446799875316,24.97808587839473
spearman,Liver,"1,2-Benzisothiazol-3(2H)-one",portal blood,IFN-gamma,concentration_pg_ml,4,4,-1,0,0,481528.146602669,1006306.9412202,11.486764464416169,165.9685216422923
spearman,Liver,"1,2-DIPHENYLCYCLOBUTANE",portal blood,IFN-gamma,concentration_pg_ml,4,4,-1,0,0,325462.929377311,1045371.40143317,11.486764464416169,165.9685216422923
spearman,Liver,"1,2-Diarachidonoyl-sn-glycero-3-PC",portal blood,IL-17A,concentration_pg_ml,4,4,-1,0,0,310910.967169146,675212.47718891,11.689201474353736,34.287789395062916
