metabolite_tissue,metabolite,hormone,correlation_direction,pearson_r,pearson_p_value,pearson_p_adj_bh,n,n_outlier_removed,removed_samples,n_old_cd,n_old_id,clustering_category,old_diet_metabolite_cohens_d,old_diet_hormone_cohens_d,mean_metabolite_abundance__Old CD,mean_metabolite_abundance__Old ID,mean_metabolite_abundance__Young CD,mean_hormone_abundance__Old CD,mean_hormone_abundance__Old ID,mean_hormone_abundance__Young CD
Liver,Tetracosanoic acid,GLP-1,positive,0.8286011123391835,8.670011514705099e-4,0.5993076568054627,12,1,2M33,3,4,CD groups cluster; Old ID separate,1.0671757961318848,0.7707687524700032,956174.8321496913,1432709.2851174667,800819.7421713563,148.54000000000002,228.4175,113.734
Liver,Nonadecenoic acid,GLP-1,positive,0.7929610294331424,0.002091516559214547,0.6423820927965666,12,1,2M33,3,4,CD groups cluster; Old ID separate,1.59140994293417,0.7707687524700032,1825162.8878794566,3011870.05915675,1700859.810983292,148.54000000000002,228.4175,113.734
Liver,"DG(14:0/18:3(9Z,12Z,15Z)/0:0)",GIP,positive,0.7873168267759306,0.0023682666604323012,0.6577404384459886,12,0,,3,4,CD groups cluster; Old ID separate,-1.3972050752710143,-0.44889601269907653,120970.456362703,52264.8239018528,155169.58764292102,293.11333333333334,183.1375,648.106
Liver,7-Dehydrocholesterol,Secretin,negative,-0.7734533492254376,0.003166756259951766,0.6776185814384534,12,0,,3,4,CD groups cluster; Old ID separate,1.2640362172740507,-0.34464222725767063,1575163.6466316413,3250836.08590998,1604171.2849236906,39.31666666666667,32.71,40.77
Muscle,1-(4-Aminobutyl)urea,GIP,positive,0.7701169383232351,0.003386254593828772,0.6776185814384534,12,0,,3,4,CD groups cluster; Old ID separate,-1.2125148664966294,-0.44889601269907653,1061946.9379895774,672692.3485132742,1175822.9152966335,293.11333333333334,183.1375,648.106
Liver,ZAPA,GLP-1,positive,0.7693750020137501,0.003436597862255548,0.6776185814384534,12,1,2M33,3,4,CD groups cluster; Old ID separate,1.1700419696306854,0.7707687524700032,1855128.254335989,3283725.788880598,2586199.848759458,148.54000000000002,228.4175,113.734
Liver,PC(16:0/15:0),GLP-1,positive,0.7595505914330726,0.004158278618678103,0.6776185814384534,12,1,2M33,3,4,CD groups cluster; Old ID separate,2.320239787678822,0.7707687524700032,513772.07877584035,2936790.1094233673,1394919.588342239,148.54000000000002,228.4175,113.734
Liver,Homocitrulline,GIP,positive,0.7491409485073083,0.005042469570100614,0.7273700474951355,12,0,,3,4,CD groups cluster; Old ID separate,-1.2921259066622663,-0.44889601269907653,1390634.5566751112,717368.5896232527,1630218.821375352,293.11333333333334,183.1375,648.106
Liver,N1-(2-Chlorobenzoyl)-4-[2-nitro-4-(trifluoromethyl)phenyl]piperazine-1-carboxamide,GLP-1,negative,-0.7489395432262799,0.0050608682667695965,0.7273700474951355,12,1,2M33,3,4,CD groups cluster; Old ID separate,-1.6546399685284083,0.7707687524700032,3449204.0962450337,1592350.8979149144,3224721.898025412,148.54000000000002,228.4175,113.734
Liver,asn-val,GLP-1,positive,0.7457330468439344,0.005360667825379777,0.7419230451409876,12,1,2M33,3,4,CD groups cluster; Old ID separate,1.2119256978865403,0.7707687524700032,42793.0286538196,71851.6123927219,26184.991942954322,148.54000000000002,228.4175,113.734
