correlation_method,metabolite_tissue,metabolite,hormone,n,n_unique_samples,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone,n_cd,n_id,n_old_cd,n_old_id,correlation,p_value,p_adj_bh,old_diet_stratifying,all_diet_stratifying,old_diet_metabolite_cohens_d,old_diet_hormone_cohens_d,all_diet_metabolite_cohens_d,all_diet_hormone_cohens_d,metabolite_min,metabolite_max,hormone_min,hormone_max
pearson,Liver,pg (39:7),Leptin,10,10,13,3,2M16;2M17;2M33,,2M16;2M17;2M33,6,4,1,4,0.9464272348936255,3.377203752179575e-5,0.4151731042603,N/A,FALSE,N/A,N/A,0.8343989043366139,0.8291244991681774,45277.500016084,161413.189064855,221.83,3123.58
pearson,Muscle,"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",PYY,10,10,13,3,2M26;2M31;2M33,,2M26;2M31;2M33,8,2,3,2,-0.9430843211431991,4.2848003742412034e-5,0.4151731042603,TRUE,TRUE,-2.48316702475957,1.714760623087141,-1.5315376804490346,1.5651901757184394,641660.882855275,2418976.32230467,72.52,114.78
pearson,Muscle,azolimine,Leptin,9,9,13,4,2M16;2M17;2M26;2M33,2M26,2M16;2M17;2M33,6,3,1,3,0.951413152233701,7.937013680373523e-5,0.4151731042603,N/A,TRUE,N/A,N/A,1.245385087964743,1.23456726319069,42046.330852231,206450.723129297,221.83,3123.58
pearson,Muscle,Epinephrine,Leptin,9,9,13,4,2M16;2M17;2M31;2M33,2M31,2M16;2M17;2M33,6,3,1,3,0.9500773719139548,8.715825103961522e-5,0.4151731042603,N/A,FALSE,N/A,N/A,0.5217143564562513,0.6177198778778412,112198.028996669,246787.05992222,221.83,3123.58
pearson,Muscle,4-Oxoproline,Leptin,10,10,13,3,2M16;2M17;2M33,,2M16;2M17;2M33,6,4,1,4,0.926711799487818,1.1545120972819888e-4,0.4151731042603,N/A,TRUE,N/A,N/A,1.0849536806046294,0.8291244991681774,6801634.93613011,27107753.816678,221.83,3123.58
pearson,Liver,7-Hydroxy-2-methyl-4-oxo-4H-1-benzopyran-5-carboxylic acid 7-glucoside,GIP,12,12,12,0,,,,8,4,3,4,0.8865939668049747,1.2176624641325959e-4,0.4151731042603,FALSE,TRUE,-0.320020858510311,-0.44889601269907653,-1.0156958820180617,-1.169512315049918,45554.6484717378,940044.929085586,33.18,1104.9
pearson,Muscle,ATPA,Leptin,8,8,13,5,2M16;2M17;2M31;2M33;4M2,2M16;2M31;2M33;4M2,2M16;2M17;2M33,5,3,1,3,0.961273862695555,1.410108206090803e-4,0.4151731042603,N/A,FALSE,N/A,N/A,0.5432474260835976,0.5593405275774465,9797.67946882702,39707.6021919644,221.83,3123.58
pearson,Liver,"1,2-dioleoyl-sn-glycero-3-phospho-(1′-sn-glycerol)",Resistin,13,13,13,0,,,,8,5,3,5,0.86080446564732,1.5801550482988147e-4,0.4151731042603,TRUE,FALSE,1.8627363915285788,0.4514552437965252,-0.10266216566029808,-0.2597827710416183,848729.623351543,2282194.99903063,7458,50393.88
pearson,Liver,Heptyl 4-hydroxybenzoate,Insulin,13,13,13,0,,,,8,5,3,5,-0.8581141987988556,1.746117087189078e-4,0.4151731042603,FALSE,FALSE,0.42600924608199625,-0.7833395778180952,-0.003568952322377746,-0.015669237473629045,328652.853373632,609723.604472689,155.89,2555.98
pearson,Liver,5-Aminopentanoic acid,Leptin,10,10,13,3,2M16;2M17;2M33,,2M16;2M17;2M33,6,4,1,4,-0.9172834451282741,1.8517153751407164e-4,0.4151731042603,N/A,FALSE,N/A,N/A,-0.4048995838528026,0.8291244991681774,98546127.9817347,487706162.838637,221.83,3123.58
pearson,Muscle,4-Oxoproline,C-Peptide 2,12,12,13,1,2M16,,2M16,7,5,2,5,0.8656633454170423,2.7379373015519774e-4,0.437694107553917,FALSE,FALSE,0.17151302244037228,-0.32131110669417345,0.45782703437988714,-0.017775142969253886,2407949.64856936,27107753.816678,35.4,493.97
pearson,Muscle,9-Decenoic acid,C-Peptide 2,12,12,13,1,2M16,,2M16,7,5,2,5,0.8639012593541054,2.913246353603919e-4,0.437694107553917,FALSE,FALSE,-0.2359144331771355,-0.32131110669417345,0.180947229026136,-0.017775142969253886,146651.678625118,845048.787551127,35.4,493.97
pearson,Liver,"dTDP-4-amino-4,6-dideoxy-5-C-methyl-L-mannose",GIP,12,12,12,0,,,,8,4,3,4,0.8630879704168433,2.997050093296803e-4,0.437694107553917,TRUE,TRUE,-1.097948858724547,-0.44889601269907653,-1.67409020627075,-1.169512315049918,5644156.5333814,19646691.6713284,33.18,1104.9
pearson,Liver,Pomalidomide,Leptin,10,10,13,3,2M16;2M17;2M33,,2M16;2M17;2M33,6,4,1,4,0.9043343445036655,3.2602657235703144e-4,0.437694107553917,N/A,TRUE,N/A,N/A,1.0446856815782726,0.8291244991681774,15418.2527080586,359830.668154837,221.83,3123.58
pearson,Muscle,2-Amino-6-purinethiol,Leptin,10,10,13,3,2M16;2M17;2M33,,2M16;2M17;2M33,6,4,1,4,0.9037312075663635,3.3407590167391124e-4,0.437694107553917,N/A,FALSE,N/A,N/A,0.649201780824671,0.8291244991681774,40394.0999434805,260870.876979236,221.83,3123.58
pearson,Muscle,"2-trans,4-cis-Decadienoylcarnitine",Leptin,9,9,13,4,2M16;2M17;2M20;2M33,2M20,2M16;2M17;2M33,5,4,0,4,0.9259678288598955,3.37931362495649e-4,0.437694107553917,N/A,TRUE,N/A,N/A,1.601822144414399,1.2561500251691955,63692.4986673964,698474.627589063,221.83,3123.58
pearson,Liver,"3-(1-cyano-1,2-dihydroisoquinolin-2-yl)-3-oxopropyl propionate",GLP-1,12,12,13,1,2M33,,2M33,8,4,3,4,0.8595444179015324,3.384341141711965e-4,0.437694107553917,FALSE,TRUE,0.7912610980775063,0.7707687524700032,1.4289964021132666,1.277845624706336,377738.370476738,1351702.46066088,52.35,354.34
pearson,Muscle,"PE(P-18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C-Peptide 2,12,12,13,1,2M16,,2M16,7,5,2,5,0.8547079975934535,3.974541936772851e-4,0.437694107553917,FALSE,FALSE,0.3309979642799467,-0.32131110669417345,0.37739173154349187,-0.017775142969253886,198998.127786492,8234418.83126667,35.4,493.97
pearson,Muscle,1-Pentanesulfenothioic acid,Leptin,10,10,13,3,2M16;2M17;2M33,,2M16;2M17;2M33,6,4,1,4,0.8989211843037773,4.0359261213854296e-4,0.437694107553917,N/A,TRUE,N/A,N/A,1.2386875297086262,0.8291244991681774,11552683.3815099,35940273.9956134,221.83,3123.58
pearson,Liver,ser-arg,C-Peptide 2,11,11,13,2,2M16;2M23,2M23,2M16,7,4,2,4,0.875494952763938,4.135057625321223e-4,0.437694107553917,FALSE,FALSE,-0.02602919977673543,-0.33214359565903095,0.23780189474505478,-0.0786029619142268,670426.7817139,3077751.30106449,35.4,493.97
pearson,Muscle,"N,N,N,N′,N′,N′-Hexamethyl-1,10-decanediaminium",Leptin,10,10,13,3,2M16;2M17;2M33,,2M16;2M17;2M33,6,4,1,4,-0.8970124148678504,4.339192225625202e-4,0.437694107553917,N/A,FALSE,N/A,N/A,-0.8613359383808867,0.8291244991681774,67324.7435410872,133660.27861635,221.83,3123.58
pearson,Liver,Pseudouridine,GIP,12,12,12,0,,,,8,4,3,4,-0.851067207535302,4.4693027334793343e-4,0.437694107553917,FALSE,TRUE,0.4287764323489278,-0.44889601269907653,1.1003793589658053,-1.169512315049918,1997849.90236465,3429138.56495415,33.18,1104.9
