correlation_method,metabolite_tissue,metabolite,hormone,n,n_unique_samples,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone,n_cd,n_id,n_old_cd,n_old_id,correlation,p_value,p_adj_bh,old_diet_stratifying,all_diet_stratifying,old_diet_metabolite_cohens_d,old_diet_hormone_cohens_d,all_diet_metabolite_cohens_d,all_diet_hormone_cohens_d,metabolite_min,metabolite_max,hormone_min,hormone_max
pearson,Liver,"1,2-dioleoyl-sn-glycero-3-phospho-(1′-sn-glycerol)",Resistin,13,13,13,0,,,,8,5,3,5,0.86080446564732,1.5801550482988147e-4,0.4151731042603,TRUE,FALSE,1.8627363915285788,0.4514552437965252,-0.10266216566029808,-0.2597827710416183,848729.623351543,2282194.99903063,7458,50393.88
pearson,Liver,"dTDP-4-amino-4,6-dideoxy-5-C-methyl-L-mannose",GIP,12,12,12,0,,,,8,4,3,4,0.8630879704168433,2.997050093296803e-4,0.437694107553917,TRUE,TRUE,-1.097948858724547,-0.44889601269907653,-1.67409020627075,-1.169512315049918,5644156.5333814,19646691.6713284,33.18,1104.9
pearson,Muscle,Nitrosoguvacoline,GIP,12,12,12,0,,,,8,4,3,4,0.8406356174446139,6.154983967206849e-4,0.5307726751105567,TRUE,TRUE,-1.025785040386533,-0.44889601269907653,-1.7121570894655567,-1.169512315049918,84913.286844612,956371.83713576,33.18,1104.9
pearson,Liver,L-Lysinamide,GIP,10,10,12,2,2M33;4M2,2M33;4M2,,7,3,3,3,0.8807442574436587,7.644518799777036e-4,0.5910267448613825,TRUE,TRUE,-1.198693872726335,-0.23084952860498786,-1.248859394070603,-0.8760084739210929,165046.989524859,376973.663207633,49,1104.9
pearson,Liver,oxiracetam,Insulin,13,13,13,0,,,,8,5,3,5,-0.8086709258705833,8.175828867717879e-4,0.5993076568054627,TRUE,FALSE,1.4326793942316975,-0.7833395778180952,0.23978738061543117,-0.015669237473629045,147938.282144342,10413473.619994,155.89,2555.98
pearson,Liver,Tetracosanoic acid,GLP-1,12,12,13,1,2M33,,2M33,8,4,3,4,0.8286011123391835,8.670011514705099e-4,0.5993076568054627,TRUE,TRUE,1.0671757961318848,0.7707687524700032,1.394379340185114,1.277845624706336,531323.093173502,2086885.30140973,52.35,354.34
pearson,Muscle,Nitrosoheptamethyleneimine,GIP,12,12,12,0,,,,8,4,3,4,0.8214892362338319,0.001049035458451679,0.5993076568054627,TRUE,TRUE,-1.2445913922516345,-0.44889601269907653,-1.9724478825157232,-1.169512315049918,2236332.91364237,7823646.8775659,33.18,1104.9
pearson,Liver,L-Dopa,Insulin,13,13,13,0,,,,8,5,3,5,-0.7976585195195046,0.001087317148533148,0.5993076568054627,TRUE,FALSE,1.0086807155412019,-0.7833395778180952,0.15029422830697955,-0.015669237473629045,47131.8561442442,161830.572151546,155.89,2555.98
pearson,Liver,c19:2,Resistin,13,13,13,0,,,,8,5,3,5,-0.7938283312243214,0.0011959505410093034,0.5993076568054627,TRUE,FALSE,-1.2291635358394002,0.4514552437965252,-0.582960239037257,-0.2597827710416183,205288.398510437,1059121.86159203,7458,50393.88
pearson,Muscle,Nicotinamide,GIP,12,12,12,0,,,,8,4,3,4,0.8135481343957571,0.001285668643574133,0.5993076568054627,TRUE,TRUE,-1.2402360015254226,-0.44889601269907653,-1.8476130185749557,-1.169512315049918,4481680.20997562,35589524.4306363,33.18,1104.9
pearson,Liver,L-2-Amino-4-methylenepentanedioic acid,Insulin,12,12,13,1,2M22,2M22,,8,4,3,4,0.8131284703499864,0.0012992248864330033,0.5993076568054627,TRUE,FALSE,-1.507275637326396,-1.073115127423688,-0.5897669027771346,-0.28815235880172246,388809.703863708,2291787.23604204,155.89,2555.98
pearson,Muscle,Alchornine,GIP,12,12,12,0,,,,8,4,3,4,0.8108928414085614,0.001373304510770379,0.5993076568054627,TRUE,TRUE,-1.2034218598536681,-0.44889601269907653,-1.9307025730508585,-1.169512315049918,355973.221966076,2730021.72624243,33.18,1104.9
pearson,Muscle,L-Carnitine,GIP,12,12,12,0,,,,8,4,3,4,0.8017479649106298,0.0017107038060545745,0.5993076568054627,TRUE,TRUE,-1.196577904120962,-0.44889601269907653,-1.8213377540216935,-1.169512315049918,400210207.799596,1180090466.07659,33.18,1104.9
pearson,Liver,Nonadecenoic acid,GLP-1,12,12,13,1,2M33,2M33,2M33,8,4,3,4,0.7929610294331424,0.002091516559214547,0.6423820927965666,TRUE,TRUE,1.59140994293417,0.7707687524700032,2.2040009552976967,1.277845624706336,1198924.0188896,4057444.90687358,52.35,354.34
pearson,Liver,dibutyl oxopropanedioate,Insulin,13,13,13,0,,,,8,5,3,5,0.7677335053395751,0.0021818793106992505,0.6436831055945775,TRUE,FALSE,-1.2317750110215084,-0.7833395778180952,0.053467516837534604,-0.015669237473629045,10267.2055221919,144485.918105637,155.89,2555.98
pearson,Liver,"PG(18:2(9Z,12Z)/18:2(9Z,12Z))",Insulin,13,13,13,0,,,,8,5,3,5,0.7664979811866293,0.002240690409206914,0.6440835854465157,TRUE,FALSE,-1.256525269878048,-0.7833395778180952,0.018627060591219376,-0.015669237473629045,8071105.98649748,47092293.1264032,155.89,2555.98
pearson,Liver,"DG(14:0/18:3(9Z,12Z,15Z)/0:0)",GIP,12,12,12,0,,,,8,4,3,4,0.7873168267759306,0.0023682666604323012,0.6577404384459886,TRUE,TRUE,-1.3972050752710143,-0.44889601269907653,-1.5695962104195906,-1.169512315049918,20252.9012700175,247487.492664017,33.18,1104.9
