correlation_method,metabolite_tissue,metabolite,hormone,n,n_unique_samples,correlation,p_value,p_adj_bh,metabolite_min,metabolite_max,hormone_min,hormone_max
pearson,Liver,Nonadecenoic acid,PYY,13,13,0.9311204833337379,3.791616784474201e-6,0.044206393583054414,1198924.0188896,4857874.77742036,72.52,454.75
pearson,Liver,4-Aminophenol,Amylin,13,13,0.9275132479754261,4.98523111517996e-6,0.044206393583054414,625417.480773714,5820494.43549611,2.52,30.76
pearson,Muscle,cis-2-Methylaconitate,GLP-1,13,13,0.9197488683008676,8.592698734901456e-6,0.044206393583054414,10054.8048245646,756027.495978365,52.35,613.77
pearson,Muscle,"PC(18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))",Amylin,13,13,0.9181099715404114,9.572381394476137e-6,0.044206393583054414,864486.738619843,44167869.2602692,2.52,30.76
pearson,Muscle,cis-2-Methylaconitate,PYY,13,13,0.9178478666524411,9.737091097589077e-6,0.044206393583054414,10054.8048245646,756027.495978365,72.52,454.75
pearson,Liver,7-Dehydrocholesterol,GLP-1,13,13,0.9123383728610711,1.3764754223775977e-5,0.05207665347995245,73098.5678605151,9230838.84584321,52.35,613.77
pearson,Liver,Terpestacin,Leptin,13,13,0.9067868374520592,1.908468569209255e-5,0.0603216325435775,928460.931944994,33891525.8435425,221.83,7640.21
pearson,Liver,Desogestrel,Leptin,13,13,0.9048751394435334,2.1258725125489868e-5,0.0603216325435775,2062959.72740164,14304058.2729692,221.83,7640.21
pearson,Muscle,Methylmalonylcarnitine,GLP-1,13,13,0.901221148782791,2.59676986731756e-5,0.06549630665345402,2263495.67119023,19535643.0536624,52.35,613.77
pearson,Liver,"PG(18:0/20:4(5Z,8Z,11Z,14Z))",Leptin,13,13,0.8964932520402107,3.3269149855586344e-5,0.06758681093200367,1139648.41910703,10811869.1083448,221.83,7640.21
pearson,Liver,"1,2-Diarachidonoyl-sn-glycero-3-PC",Leptin,13,13,0.893321134766269,3.903119101229471e-5,0.06758681093200367,76713.7469370107,1368225.41057292,221.83,7640.21
