sample,metabolite_tissue,metabolite,metabolite_abundance,metabolite_n_obs,metabolite_group,metabolite_cohort,metabolite_age,metabolite_diet,metabolite_animal,raw_sample_id,sampling_time,hormone,hormone_abundance,hormone_cohort,hormone_animal,plate,assay_group,well_id,metabolite_modified_z,hormone_modified_z,metabolite_outlier,hormone_outlier,pearson_triage_outlier
2M33,Muscle,Rosterolone,3868245.19376006,1,Old ID,2,Old,ID,33,2M33_SAC,SAC,PYY,454.75,2,33,Plate 1,Unknown Group 1,68,2234.922002343684,19.084412826420895,TRUE,TRUE,TRUE
2M33,Muscle,Rosterolone,3868245.19376006,1,Old ID,2,Old,ID,33,2M33_SAC,SAC,GLP-1,613.77,2,33,Plate 1,Unknown Group 1,68,2234.922002343684,4.573133488102146,TRUE,TRUE,TRUE
2M33,Muscle,Rosterolone,3868245.19376006,1,Old ID,2,Old,ID,33,2M33_SAC,SAC,Leptin,4449.02,2,33,Plate 1,Unknown Group 1,68,2234.922002343684,4.175536835748793,TRUE,TRUE,TRUE
2M33,Muscle,Rosterolone,3868245.19376006,1,Old ID,2,Old,ID,33,2M33_SAC,SAC,C-Peptide 2,35.4,2,33,Plate 1,Unknown Group 1,68,2234.922002343684,-2.3058120709861045,TRUE,FALSE,TRUE
2M33,Muscle,Rosterolone,3868245.19376006,1,Old ID,2,Old,ID,33,2M33_SAC,SAC,Insulin,248.17,2,33,Plate 1,Unknown Group 1,68,2234.922002343684,-0.7923269635598142,TRUE,FALSE,TRUE
2M33,Muscle,Rosterolone,3868245.19376006,1,Old ID,2,Old,ID,33,2M33_SAC,SAC,Glucagon,314.87,2,33,Plate 1,Unknown Group 1,68,2234.922002343684,0.6745,TRUE,FALSE,TRUE
2M33,Muscle,Rosterolone,3868245.19376006,1,Old ID,2,Old,ID,33,2M33_SAC,SAC,Resistin,19939.72,2,33,Plate 1,Unknown Group 1,68,2234.922002343684,-0.6745,TRUE,FALSE,TRUE
2M33,Muscle,Rosterolone,3868245.19376006,1,Old ID,2,Old,ID,33,2M33_SAC,SAC,Amylin,9.98,2,33,Plate 1,Unknown Group 1,68,2234.922002343684,0.15942727272727292,TRUE,FALSE,TRUE
2M33,Muscle,Rosterolone,3868245.19376006,1,Old ID,2,Old,ID,33,2M33_SAC,SAC,GIP,33.18,2,33,Plate 1,Unknown Group 1,68,2115.15711242542,-1.2987413605410667,TRUE,FALSE,TRUE
2M33,Muscle,Pregnenolone,1628054.06155346,1,Old ID,2,Old,ID,33,2M33_SAC,SAC,PYY,454.75,2,33,Plate 1,Unknown Group 1,68,1865.8967710917934,19.084412826420895,TRUE,TRUE,TRUE
2M33,Muscle,Pregnenolone,1628054.06155346,1,Old ID,2,Old,ID,33,2M33_SAC,SAC,GLP-1,613.77,2,33,Plate 1,Unknown Group 1,68,1865.8967710917934,4.573133488102146,TRUE,TRUE,TRUE
2M33,Muscle,Pregnenolone,1628054.06155346,1,Old ID,2,Old,ID,33,2M33_SAC,SAC,Leptin,4449.02,2,33,Plate 1,Unknown Group 1,68,1865.8967710917934,4.175536835748793,TRUE,TRUE,TRUE
