metabolite_tissue,metabolite,hormone,n_group__Old CD,n_group__Old ID,n_group__Young CD,centroid_metabolite__Old CD,centroid_metabolite__Old ID,centroid_metabolite__Young CD,centroid_hormone__Old CD,centroid_hormone__Old ID,centroid_hormone__Young CD,mean_metabolite__Old CD,mean_metabolite__Old ID,mean_metabolite__Young CD,mean_hormone__Old CD,mean_hormone__Old ID,mean_hormone__Young CD,distance_young_cd_to_old_id,distance_young_cd_to_old_cd,distance_old_id_to_old_cd,young_cd_closer_to_old_id,old_cd_most_separated,clustering_score,correlation_method,n,n_unique_samples,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone,n_cd,n_id,n_old_cd,n_old_id,correlation,p_value,p_adj_bh,old_diet_stratifying,all_diet_stratifying,old_diet_metabolite_cohens_d,old_diet_hormone_cohens_d,all_diet_metabolite_cohens_d,all_diet_hormone_cohens_d,metabolite_min,metabolite_max,hormone_min,hormone_max
Liver,Hexaethylene glycol,Insulin,3,4,3,-0.9023308619024838,0.3636092372727132,0.41751854553880136,0.8418479923250165,-0.25616579691835095,-0.5002935964338813,1586581.2540118,1767788.052366095,1769687.85183599,1614.1266666666666,808.0225,628.7966666666666,0.2500091918590656,1.8823778851759203,1.675780002287975,TRUE,TRUE,7.529234710046374,pearson,10,10,13,3,2M22;4M1;4M5,2M22;4M1;4M5,N/A,6,4,3,4,-0.6331117090382508,0.04942616245851088,0.8541690911969478,TRUE,FALSE,1.164679230022373,-1.073115127423688,0.6100473406093316,-0.41268045707396234,1462161.82121433,2032717.27704832,155.89,2555.98
Muscle,Stearoylcarnitine,Glucagon,3,4,5,0.5158157034121185,-0.1696650224800167,-0.17375740406325607,-0.2556283154777509,0.024579540957604992,0.1337133565205664,2838882.0731283766,1589673.7388164396,1630095.7713970717,224.83333333333334,267.6975,284.392,0.10921051820384937,0.7918952002049828,0.7405405244668961,TRUE,TRUE,7.251089118786643,pearson,12,12,13,1,2M26,2M26,N/A,8,4,3,4,-0.6367833506518046,0.02596763141935901,0.802990002341614,TRUE,FALSE,-1.2970696064784657,0.5554877620462959,-0.45677633223774144,0.03515930279436215,3156.18984941856,3637317.52870693,88.58,661.43
Liver,PG(16:0/18:1(11Z)),Glucagon,3,5,4,0.519957610764935,-0.16742460275764634,-0.1806874546266228,-0.44125626296272724,0.08459530665410597,0.22519806390441302,11958472.680199267,10043224.90605105,10459139.25166928,224.83333333333334,306.004,327.7075,0.14122690461129275,0.9669875270433809,0.865456053613175,TRUE,TRUE,6.847048936637664,pearson,12,12,13,1,4M1,4M1,N/A,7,5,3,5,-0.6590091246323632,0.01976221332476722,0.777282054507849,TRUE,FALSE,-1.0585854429333763,0.8177262978081293,-0.3977430978307539,0.13865879408586831,5519067.76725692,15225305.1985476,88.58,661.43
Liver,L-2-Amino-4-methylenepentanedioic acid,Insulin,3,4,5,1.0545709470647264,-0.46178142662864896,-0.2633174269359028,0.9470705171064564,-0.199283657956488,-0.4088153838986833,1616213.70596207,829786.6068286992,846040.5626053378,1614.1266666666666,808.0225,660.682,0.28860267384478194,1.890834826966793,1.9009083133833093,TRUE,TRUE,6.5516885265717715,pearson,12,12,13,1,2M22,2M22,N/A,8,4,3,4,0.8131284703499864,0.001299224886433,0.5993076568054627,TRUE,FALSE,-1.507275637326396,-1.073115127423688,-0.5897669027771346,-0.28815235880172246,388809.703863708,2291787.23604204,155.89,2555.98
Liver,Succinic semialdehyde,Glucagon,3,5,5,0.9013787331065981,-0.19178702480541218,-0.3490402150585588,-0.3466213775997461,0.1731868802033664,0.03478594635648152,4178571.3203635667,2578293.337612142,2587060.04878013,224.83333333333334,306.004,284.392,0.20948361352259068,1.3072945699795084,1.2104594165653166,TRUE,TRUE,6.240557664614325,pearson,13,13,13,0,N/A,N/A,N/A,8,5,3,5,-0.5682478620807625,0.04274831341627368,0.8342054032317431,TRUE,FALSE,-1.7813150534140918,0.8177262978081293,-0.4228033654444775,0.2722258385029136,1231427.0611805,5701727.70360729,88.58,661.43
Muscle,D-Ornithine,Glucagon,3,5,5,-1.0436337207719661,0.42442630484790944,0.20175392761527883,-0.3466213775997461,0.1731868802033664,0.03478594635648152,950774.6181794883,1699534.8994999395,1500565.4177810675,224.83333333333334,306.004,284.392,0.2621789581032787,1.302482990876642,1.5573698544993533,TRUE,TRUE,4.967915809489037,pearson,13,13,13,0,N/A,N/A,N/A,8,5,3,5,0.5955487439608748,0.03174553925824465,0.8053673965337975,TRUE,FALSE,1.3097610980563348,0.8177262978081293,0.777841755180117,0.2722258385029136,531166.428779674,2410097.54198323,88.58,661.43
Liver,"PG(18:0/22:5(4Z,7Z,10Z,13Z,16Z))",Insulin,3,4,5,1.2663844377729245,-0.3444926072278581,-0.48423657688147015,0.8216385387417448,-0.04168032783934017,-0.4596388609735746,256716.239586734,110473.25316958007,87161.4052183751,1614.1266666666666,971.7,660.682,0.44070138696658373,2.169411374537073,1.827633529870062,TRUE,TRUE,4.92263341731114,pearson,12,12,13,1,2M23,2M23,N/A,8,4,3,4,0.722679769324368,0.00792761744944717,0.7718346777285694,TRUE,FALSE,-2.7492305043849643,-0.7586560630287424,-0.48720986700742536,-0.05963921343442049,32468.0442349553,297024.952473504,155.89,2555.98
Muscle,L-Proline,Glucagon,3,5,5,-0.9522510490420754,0.14588773140674782,0.42546289801848675,-0.3466213775997461,0.1731868802033664,0.03478594635648152,39717240.162284136,54469955.733855076,58842224.42671802,224.83333333333334,306.004,284.392,0.3119568756666078,1.4295339333827106,1.2149524295238623,TRUE,TRUE,4.582472914975823,pearson,13,13,13,0,N/A,N/A,N/A,8,5,3,5,0.6275380715226034,0.0216701739529279,0.7876744772888639,TRUE,FALSE,1.3420760464483936,0.8177262978081293,0.191949258107158,0.2722258385029136,34775073.2475349,77906620.034079,88.58,661.43
Muscle,"(2R)-2,3-Dihydroxypropanoic acid",Resistin,3,3,4,-0.6126692756494275,0.11794012580005075,0.3710468623870332,-0.5164970995888614,0.15008324866477668,0.27481038819306325,735792.7056316433,1369541.407468564,1420337.3747537553,19981.716666666667,28241.176666666666,29786.644999999997,0.2821699477985223,1.2624836555191952,0.9889992205074312,TRUE,TRUE,4.474196013321184,pearson,10,10,13,3,2M22;2M31;4M3,2M22;2M31;4M3,N/A,7,3,3,3,0.6759246810145529,0.03190720358562627,0.8053673965337975,TRUE,FALSE,0.8661938384362671,1.0141294913274848,0.32444255814040435,0.20323554331234275,371639.660772932,2228631.10069289,7458,50393.88
Liver,(E)-p-coumaric acid,Insulin,3,5,5,1.1407194842269197,-0.3638162136959787,-0.3206154768401766,0.8414041694924637,-0.010071029424548072,-0.49477147227093016,1703676.0773716501,992944.9712783865,1015068.4077384329,1614.1266666666666,1006.546,660.682,0.4866218480096873,1.980117474817792,1.728767676900256,TRUE,TRUE,4.069109274309389,pearson,13,13,13,0,N/A,N/A,N/A,8,5,3,5,0.6806820711802533,0.01044012540082408,0.7718346777285694,TRUE,FALSE,-1.9011443027298336,-0.7833395778180952,-0.6417333715891849,-0.01566923747362904,619297.900982941,2281834.31906857,155.89,2555.98
