correlation_method,metabolite_tissue,metabolite,hormone,n,n_unique_samples,correlation,p_value,p_adj_bh,metabolite_min,metabolite_max,hormone_min,hormone_max
spearman,Liver,"1-(1,2,3,4,5-Pentahydroxypent-1-yl)-1,2,3,4-tetrahydro-beta-carboline-3-carboxylate",GIP,12,12,-0.9160839160839161,2.8428045348546742e-5,0.2933717010044961,214875.628781435,524581.845791182,33.18,1104.9
spearman,Liver,O-Phosphoethanolamine,GIP,12,12,-0.9090909090909093,4.1910446530342335e-5,0.2933717010044961,6990752.44304664,22818010.3036721,33.18,1104.9
spearman,Liver,"PG(18:3(9Z,12Z,15Z)/18:3(6Z,9Z,12Z))",Leptin,13,13,0.8736263736263736,9.52889729037056e-5,0.2933717010044961,40745.4767049089,361959.635344546,221.83,7640.21
spearman,Liver,Ethylmalonic acid,GIP,12,12,-0.8881118881118882,1.1413359814617834e-4,0.2933717010044961,135450.07602455,314467.324573046,33.18,1104.9
spearman,Liver,nabilone,GIP,12,12,-0.8881118881118882,1.1413359814617834e-4,0.2933717010044961,1482345.21883954,84428790.2537079,33.18,1104.9
spearman,Muscle,Guvacine,GIP,12,12,0.8881118881118882,1.1413359814618002e-4,0.2933717010044961,5269139.45414476,15039347.7086253,33.18,1104.9
spearman,Liver,"13-hydroxy-6-(1-hydroxyethyl)-12,14-dimethyl-3-methylidene-15-nonyl-9-(propan-2-yl)-1-oxa-4,7,10-triazacyclopentadecane-2,5,8,11-tetrone",Leptin,13,13,0.8626373626373627,1.4744785947619688e-4,0.2933717010044961,1507431.57803131,3747939.60615025,221.83,7640.21
spearman,Muscle,glutaral,Leptin,13,13,0.8626373626373627,1.4744785947619688e-4,0.2933717010044961,271482.457115302,741023.024939817,221.83,7640.21
spearman,Liver,Pseudouridine,GIP,12,12,-0.8811188811188813,1.5267406467669732e-4,0.2933717010044961,1997849.90236465,3429138.56495415,33.18,1104.9
spearman,Muscle,"6,7-Dihydroxycoumarin",GIP,12,12,0.8811188811188813,1.5267406467669883e-4,0.2933717010044961,6646313.03182799,152283186.939979,33.18,1104.9
spearman,Muscle,Alchornine,GIP,12,12,0.8811188811188813,1.5267406467669883e-4,0.2933717010044961,355973.221966076,2730021.72624243,33.18,1104.9
spearman,Liver,10Z-Heptadecenoic acid,Leptin,13,13,0.8571428571428572,1.809340887252399e-4,0.2933717010044961,15095913.1356719,59893572.5214946,221.83,7640.21
spearman,Liver,"N,N-Bis(2-hydroxyethyl)dodecanamide",Glucagon,13,13,-0.8571428571428572,1.809340887252399e-4,0.2933717010044961,385355.153059713,15532542.543228,88.58,661.43
spearman,Liver,Pentacosanoic acid,Insulin,13,13,0.8571428571428572,1.809340887252399e-4,0.2933717010044961,73774.6086113967,306182.979680386,155.89,2555.98
spearman,Liver,L-(−)-methionine,GIP,12,12,-0.8741258741258742,2.007130733242317e-4,0.3017882151561382,103590.57763759,314030.788644675,33.18,1104.9
