correlation_method,metabolite_timepoint,hormone_sampling_time,metabolite_source,metabolite_ion_mode,metabolite,metabolite_formula,metabolite_mz,metabolite_rt,hormone,n,n_unique_samples,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone,n_med_adj_ic,n_raw_ion_count_fallback,n_cd,n_id,n_young,n_old,correlation,p_value,p_adj_bh,metabolite_min,metabolite_max,hormone_min,hormone_max
pearson,tp4,GTT,CD,posi,SM(d16:1/24:1(15Z)),C45H89N2O6P,785.65103,3.835,C-Peptide 2,34,34,34,0,,,,0,34,16,18,0,34,0.7384784231792852,6.171170221355966e-7,0.044763200317627636,13836.6354260041,8592232.61456568,102.01,1743.56
pearson,tp4,GTT,CD,posi,2-(3-Phenylpropyl)pyridine,C14H15N,198.12773,2.695,Resistin,27,27,35,8,3M1;3M3;3M4;3M21;3M22;3M23;3M27;3M30,3M1;3M3;3M4;3M22;3M23;3M27,3M21;3M30,0,27,8,19,0,27,0.7719351880388325,2.410100596736182e-6,0.05281377711616929,8876.19733956885,382886.962587245,4345.62,23250.84
pearson,pv,SAC,CD,posi,Phosphoric acid,H3O4P,136.94019,14.935,PP,11,11,13,2,3M4;3M6,,3M4;3M6,11,0,5,6,4,7,0.9602839011600354,2.740831711375882e-6,0.05281377711616929,6304348.19079748,48496815.5989672,1.13,242.69
pearson,pv,SAC,CD,nega,Acamprosate,C5H11NO4S,180.03365,3.552,PYY,37,37,43,6,3M11;3M16;3M18;3M31;3M38;3M40,3M11;3M16;3M18;3M31;3M38;3M40,3M38,37,0,25,12,14,23,0.6823947435034756,3.288058273791097e-6,0.05281377711616929,167746.407563596,3575394.25734936,29.88,352.53
pearson,tp4,GTT,CD,posi,Mifepristone,C29H35NO2,876.55919,2.858,C-Peptide 2,34,34,34,0,,,,0,34,16,18,0,34,0.701046857087934,3.881073210109112e-6,0.05281377711616929,14705.4634539079,2721629.67714533,102.01,1743.56
pearson,sys_sac,SAC,CD,posi,PC(P-16:0/16:0),C40H80NO7P,718.57924,14.901,Insulin,33,33,38,5,3M6;3M14;3M15;3M37;5M2,3M15,3M6;3M14;3M37;5M2,33,0,19,14,9,24,0.703958598549754,4.855621495772598e-6,0.05281377711616929,18015.7010548629,550223.162536515,112.79,6851.38
pearson,tp4,GTT,CD,posi,"1,2-DIPHENYLCYCLOBUTANE",C16H16,209.13217,3.746,Insulin,33,33,36,3,3M26;3M30;3M36,,3M26;3M30;3M36,0,33,14,19,0,33,0.6973932895504823,6.479495247852811e-6,0.05281377711616929,10625.7514500298,192859.266960785,123.91,3214.38
pearson,sys_sac,SAC,CD,posi,Benzoxazolone,C7H5NO2,136.03936,4.475,Leptin,36,36,38,2,3M6;3M15,3M15,3M6,36,0,20,16,10,26,0.672264576871359,7.1110210468837e-6,0.05281377711616929,183735.99013953,2082396.96284829,608.22,7640.21
pearson,tp4,GTT,CD,posi,Agomelatine,C15H17NO2,244.13289,2.539,Resistin,27,27,35,8,3M4;3M5;3M21;3M23;3M24;3M28;3M29;3M30,3M4;3M5;3M21;3M23;3M24;3M28;3M29;3M30,3M21;3M30,0,27,8,19,0,27,0.7478536450490099,7.326000599361819e-6,0.05281377711616929,12462.9288474511,73928.3678648025,4345.62,23250.84
pearson,tp4,GTT,CD,posi,PC(16:0/16:1(9Z)),C40H78NO8P,732.55381,3.8,Resistin,33,33,35,2,3M21;3M30,,3M21;3M30,0,33,14,19,0,33,0.693515794087031,7.656143157004083e-6,0.05281377711616929,466541.023643118,33695654.5255866,4345.62,23250.84
