metabolite_timepoint,hormone_sampling_time,metabolite_source,metabolite_ion_mode,metabolite,metabolite_formula,metabolite_mz,metabolite_rt,hormone,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone
pv,SAC,CD,nega,(-)-erythro-Anethole glycol 1-glucoside,C16H24O8,343.13957,3.796,Amylin,43,10,2M20;3M1;3M4;3M6;3M13;3M14;3M17;3M26;3M37;5M10,3M1;3M13;3M14;3M17,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,nega,(-)-erythro-Anethole glycol 1-glucoside,C16H24O8,343.13957,3.796,C-Peptide 2,43,6,3M1;3M13;3M14;3M17;5M2;5M10,3M1;3M13;3M14;3M17,3M14;5M2;5M10
pv,SAC,CD,nega,(-)-erythro-Anethole glycol 1-glucoside,C16H24O8,343.13957,3.796,GIP,42,6,3M1;3M7;3M13;3M14;3M17;3M38,3M1;3M13;3M14;3M17,3M7;3M38
pv,SAC,CD,nega,(-)-erythro-Anethole glycol 1-glucoside,C16H24O8,343.13957,3.796,GLP-1,43,5,3M1;3M6;3M13;3M14;3M17,3M1;3M13;3M14;3M17,3M6
pv,SAC,CD,nega,(-)-erythro-Anethole glycol 1-glucoside,C16H24O8,343.13957,3.796,Ghrelin,2,0,,,
pv,SAC,CD,nega,(-)-erythro-Anethole glycol 1-glucoside,C16H24O8,343.13957,3.796,Glucagon,43,8,3M1;3M13;3M14;3M15;3M17;3M37;4M3;5M10,3M1;3M13;3M14;3M17,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,nega,(-)-erythro-Anethole glycol 1-glucoside,C16H24O8,343.13957,3.796,Insulin,43,9,3M1;3M6;3M13;3M14;3M17;3M21;3M37;5M2;5M10,3M1;3M13;3M14;3M17,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,nega,(-)-erythro-Anethole glycol 1-glucoside,C16H24O8,343.13957,3.796,Leptin,43,5,3M1;3M6;3M13;3M14;3M17,3M1;3M13;3M14;3M17,3M6
pv,SAC,CD,nega,(-)-erythro-Anethole glycol 1-glucoside,C16H24O8,343.13957,3.796,PP,13,2,3M4;3M6,,3M4;3M6
pv,SAC,CD,nega,(-)-erythro-Anethole glycol 1-glucoside,C16H24O8,343.13957,3.796,PYY,43,5,3M1;3M13;3M14;3M17;3M38,3M1;3M13;3M14;3M17,3M38
pv,SAC,CD,nega,(-)-erythro-Anethole glycol 1-glucoside,C16H24O8,343.13957,3.796,Resistin,43,4,3M1;3M13;3M14;3M17,3M1;3M13;3M14;3M17,
pv,SAC,CD,nega,(-)-erythro-Anethole glycol 1-glucoside,C16H24O8,343.13957,3.796,Secretin,43,6,3M1;3M13;3M14;3M17;3M34;3M40,3M1;3M13;3M14;3M17,3M34;3M40
pv,SAC,CD,nega,"(13Z,16Z)-hexacosa-13,16-dienoic acid",C26H48O2,391.3582,2.118,Amylin,43,7,2M20;3M4;3M6;3M26;3M37;5M2;5M10,5M2,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,nega,"(13Z,16Z)-hexacosa-13,16-dienoic acid",C26H48O2,391.3582,2.118,C-Peptide 2,43,3,3M14;5M2;5M10,5M2,3M14;5M2;5M10
pv,SAC,CD,nega,"(13Z,16Z)-hexacosa-13,16-dienoic acid",C26H48O2,391.3582,2.118,GIP,42,3,3M7;3M38;5M2,5M2,3M7;3M38
