correlation_method,metabolite_timepoint,hormone_sampling_time,metabolite_source,metabolite_ion_mode,metabolite,metabolite_formula,metabolite_mz,metabolite_rt,hormone,n,n_unique_samples,n_med_adj_ic,n_raw_ion_count_fallback,correlation,p_value,p_adj_bh,metabolite_min,metabolite_max,hormone_min,hormone_max
pearson,pv,SAC,CD,nega,3-Methyluric acid,C6H6N4O3,181.03682,14.71,Insulin,43,43,43,0,0.9475477895884383,6.380011291433576e-22,2.7608898352387706e-17,54379.461876612,9821681.75603501,112.79,285098.39
pearson,pv,SAC,CD,posi,Anserine,C10H16N4O3,241.1294,15.19,C-Peptide 2,43,43,43,0,0.9472764317715355,7.0735821148286505e-22,2.7608898352387706e-17,94920.8720626795,7858521.97090166,29.61,36727.54
pearson,pv,SAC,CD,posi,Anserine,C10H16N4O3,241.1294,15.19,Insulin,43,43,43,0,0.9446426752746784,1.8738198678461305e-21,3.9552244594336525e-17,94920.8720626795,7858521.97090166,112.79,285098.39
pearson,pv,SAC,CD,nega,3-Methyluric acid,C6H6N4O3,181.03682,14.71,C-Peptide 2,43,43,43,0,0.9444248362288241,2.026709261578567e-21,3.9552244594336525e-17,54379.461876612,9821681.75603501,29.61,36727.54
pearson,pv,SAC,CD,nega,PS(18:1(9Z)/18:0),C42H80NO10P,788.54593,3.271,C-Peptide 2,43,43,43,0,0.9340987288386186,6.041970868103717e-20,8.506669599309727e-16,1671.92221344807,922670.45222073,29.61,36727.54
pearson,pv,SAC,CD,nega,PS(18:1(9Z)/18:0),C42H80NO10P,788.54593,3.271,Insulin,43,43,43,0,0.9338362835468206,6.538394813847757e-20,8.506669599309727e-16,1671.92221344807,922670.45222073,112.79,285098.39
pearson,pv,SAC,CD,nega,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",C10H9NO4,206.04724,13.802,Insulin,43,43,43,0,0.9227766246269449,1.3978166220631453e-18,1.5588051593070466e-14,3085.4288600873,10226192.2621777,112.79,285098.39
pearson,pv,SAC,CD,nega,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",C10H9NO4,206.04724,13.802,C-Peptide 2,43,43,43,0,0.9207525906266176,2.3298062871505197e-18,2.2733667298442985e-14,3085.4288600873,10226192.2621777,29.61,36727.54
pearson,pv,SAC,CD,nega,"2,6-Pyridinedicarboxylic acid",C7H5NO4,166.01478,14.868,Insulin,43,43,43,0,0.9181327542468125,4.424900340528362e-18,3.8379618931369444e-14,59609.7156575184,7612812.9766861,112.79,285098.39
pearson,pv,SAC,CD,nega,"2,6-Pyridinedicarboxylic acid",C7H5NO4,166.01478,14.868,C-Peptide 2,43,43,43,0,0.9150894558032054,9.079984591383148e-18,7.088017571725513e-14,59609.7156575184,7612812.9766861,29.61,36727.54
pearson,pv,SAC,CD,posi,Narasin,C43H72O11,773.3403,3.564,C-Peptide 2,43,43,43,0,0.8897914949670805,1.4889740598208795e-15,1.0566572096157955e-11,5807.24729583787,479249.315667583,29.61,36727.54
pearson,pv,SAC,CD,posi,Narasin,C43H72O11,773.3403,3.564,Insulin,43,43,43,0,0.8881225971165032,1.993420389895957e-15,1.2967531873004851e-11,5807.24729583787,479249.315667583,112.79,285098.39
pearson,pv,SAC,CD,nega,7-beta-D-Glucopyranosyloxybutylidenephthalide,C18H22O8,365.12244,15.416,Insulin,43,43,43,0,0.8546511808186098,3.0638585119273123e-13,1.8397763319851526e-9,7885.4547895197,325323.569383582,112.79,285098.39
