correlation_method,metabolite_timepoint,hormone_sampling_time,metabolite_source,metabolite_ion_mode,metabolite,metabolite_formula,metabolite_mz,metabolite_rt,hormone,n,n_unique_samples,n_med_adj_ic,n_raw_ion_count_fallback,correlation,p_value,p_adj_bh,metabolite_min,metabolite_max,hormone_min,hormone_max
spearman,tp4,GTT,CD,nega,"(2R)-2,3-Dihydroxypropanoic acid",C3H6O4,105.01939,19.395,Ghrelin,6,6,0,6,-1,0,0,161018.538628183,444246.378883922,5.66,24.99
spearman,tp4,GTT,CD,posi,.alpha.-Aminoadipic acid,C6H11NO4,162.0758,20.478,Ghrelin,6,6,0,6,1,0,0,406592.14314097,5358706.52673331,5.66,24.99
spearman,tp4,GTT,CD,posi,1-(4-Methoxyphenyl)-4-methyl-3-pentanyl hydrogen sulfate,C13H20O5S,289.1095,4.064,Ghrelin,6,6,0,6,-1,0,0,28246.6749629442,100834.402101833,5.66,24.99
spearman,tp4,GTT,CD,nega,"2,2',4,4'-Tetrahydroxybenzophenone",C13H10O5,245.04356,13.093,PP,6,6,0,6,1,0,0,228021.747141409,774981.628951788,2.12,1206.64
spearman,tp4,GTT,CD,posi,"5,6,7,8-Tetrahydro-4a(4H)-pteridinol",C6H10N4O,155.0928,7.714,Ghrelin,6,6,0,6,-1,0,0,291796.037813947,15892214.040167,5.66,24.99
spearman,tp4,GTT,CD,nega,D-(-)-Quinic acid,C7H12O6,191.05755,17.031,Ghrelin,6,6,0,6,-1,0,0,852737.655682695,9946211.58625862,5.66,24.99
spearman,tp4,GTT,CD,posi,L-Valine,C5H11NO2,118.08624,12.014,Ghrelin,6,6,0,6,-1,0,0,198692091.761243,383733056.143824,5.66,24.99
spearman,tp4,GTT,CD,nega,Mono-trans-p-coumaroylmesotartaric acid,C14H14O8,309.06459,12.89,Ghrelin,6,6,0,6,1,0,0,342567.330625191,1912689.67828191,5.66,24.99
spearman,tp4,GTT,CD,posi,N-[(4-Amino-2-methyl-5-pyrimidinyl)methyl]formamide,C7H10N4O,167.09274,7.318,Ghrelin,6,6,0,6,-1,0,0,973413.043552724,42576600.2415774,5.66,24.99
spearman,tp4,GTT,CD,posi,"PE(16:0/22:2(13Z,16Z))",C43H82NO8P,772.58463,4.625,Ghrelin,6,6,0,6,-1,0,0,35380.0701792026,10414247.6193092,5.66,24.99
spearman,tp4,GTT,CD,posi,SM(d18:1/22:0),C45H91N2O6P,787.66724,3.967,Ghrelin,6,6,0,6,1,0,0,38807.0695313104,94491.6010875601,5.66,24.99
spearman,tp4,GTT,CD,nega,c26:3,C26H46O2,389.34305,2.112,Ghrelin,6,6,0,6,-1,0,0,7426.62856206361,27478.4595459186,5.66,24.99
spearman,pv,SAC,CD,nega,Acamprosate,C5H11NO4S,180.03365,3.552,PYY,43,43,43,0,0.7302929628511025,2.7271000114838192e-8,1.6375606238188452e-4,167746.407563596,8493830.2148258,29.88,445.18
spearman,tp4,GTT,CD,posi,SM(d16:1/24:1(15Z)),C45H89N2O6P,785.65103,3.835,C-Peptide 2,34,34,0,34,0.7815126050420168,4.882819331630136e-8,2.7225903047550836e-4,13836.6354260041,8592232.61456568,102.01,1743.56
spearman,sys_sac,SAC,CD,posi,Propionylcarnitine,C10H19NO4,218.13857,10.884,PYY,38,38,38,0,0.7404530036108983,1.0717859180741389e-7,5.232519669864672e-4,3662731.16472225,118294599.574416,29.88,445.18
spearman,tp4,GTT,CD,nega,c23:3,C23H40O2,347.2957,2.669,GLP-1,34,34,0,34,-0.7686783804430863,1.1005551055220656e-7,5.232519669864672e-4,18708.7472982684,596516.139578114,24.2,446.95
spearman,pv,SAC,CD,posi,2-Amino-6-purinethiol,C5H5N5S,168.03256,5.035,PYY,43,43,43,0,0.7073391724554515,1.1395151852079042e-7,5.232519669864672e-4,110096.93353598,1341036.33598598,29.88,445.18
spearman,sys_sac,SAC,CD,nega,Acamprosate,C5H11NO4S,180.03365,3.552,PYY,38,38,38,0,0.7216325637378269,3.1808419999260354e-7,0.0013794604899901454,388841.492541464,6340841.74497851,29.88,445.18
spearman,pv,SAC,CD,nega,Homocysteinesulfinic acid,C4H9NO4S,166.01797,5.031,PYY,43,43,43,0,0.6874056176381758,3.54935595641909e-7,0.0014582622351051947,6803722.93799202,39757831.4681382,29.88,445.18
spearman,tp4,GTT,CD,nega,Rosterolone,C23H38O2,345.28002,2.696,GLP-1,34,34,0,34,-0.7463712757830404,4.0246335014694613e-7,0.0015708547019585453,18708.7472982684,397904.969461136,24.2,446.95
spearman,tp4,GTT,CD,nega,Aprobarbital,C10H14N2O3,209.09331,18.945,C-Peptide 2,34,34,0,34,0.7381207028265852,6.289639932591417e-7,0.002268228572157808,22972.1507136271,282481.891975017,102.01,1743.56
spearman,tp4,GTT,CD,nega,Sulfoglycolithocholate(2-),C26H43NO7S,512.26811,3.589,Leptin,34,34,0,34,-0.7378151260504202,6.39248656035866e-7,0.002268228572157808,18610.1342496994,14727367.3681458,324.41,7988.85
spearman,tp4,GTT,CD,posi,Mifepristone,C29H35NO2,876.55919,2.858,C-Peptide 2,34,34,0,34,0.7365928189457601,6.819463675349452e-7,0.002314525971413604,14705.4634539079,2721629.67714533,102.01,1743.56
spearman,tp4,GTT,CD,posi,Diftalone,C16H12N2O2,265.09705,2.115,C-Peptide 2,34,34,0,34,-0.7222307104660046,1.4211940923230734e-6,0.004622552218121824,2313.39994593775,505722.451268996,102.01,1743.56
spearman,sys_sac,SAC,CD,posi,2-Aminobenzoic acid,C7H7NO2,138.05501,7.296,PYY,38,38,38,0,0.6868366342050551,1.919117508936282e-6,0.005992406039303361,30692.265624863,4802779.1906225,29.88,445.18
spearman,tp4,GTT,CD,posi,Cer(d18:1/22:1(13Z)),C40H77NO3,620.5969,2.433,Leptin,35,35,0,35,0.7050420168067228,2.2597092885240457e-6,0.006586782272464699,28338.7782760278,617854.289857031,324.41,7988.85
spearman,tp4,GTT,CD,nega,Thymidine,C10H14N2O5,241.08444,3.787,C-Peptide 2,34,34,0,34,-0.7115355233002292,2.386251209699785e-6,0.006586782272464699,807235.232107062,4540162.01464211,102.01,1743.56
spearman,tp4,GTT,CD,posi,Cer(d18:1/22:1(13Z)),C40H77NO3,620.5969,2.433,C-Peptide 2,34,34,0,34,0.7112299465240641,2.4210278532194615e-6,0.006586782272464699,28338.7782760278,617854.289857031,102.01,1743.56
spearman,tp4,GTT,CD,posi,1-Methoxypyrene,C17H12O,233.09591,2.428,Leptin,35,35,0,35,0.7033613445378153,2.446986829718381e-6,0.006586782272464699,31970.6725748524,393024.256198741,324.41,7988.85
spearman,pv,SAC,CD,nega,"PG(16:0/18:2(9Z,12Z))",C40H75O10P,745.50331,2.02,PYY,43,43,43,0,-0.6485955904560556,2.5575995518294456e-6,0.006655044540497006,29417.0245225643,1589236.7502827,29.88,445.18
spearman,tp4,GTT,CD,nega,DG(18:2n6/0:0/18:3n3),C40H68O5,627.49973,2.228,C-Peptide 2,34,34,0,34,0.7023682200152789,3.6545557662433805e-6,0.008376303760262256,134899.434714365,10393525.5484485,102.01,1743.56
spearman,sys_sac,SAC,CD,nega,"PG(18:2(9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z))",C46H77O10P,819.52124,2.002,Leptin,38,38,38,0,0.6728307254623044,3.6983025143892957e-6,0.008376303760262256,10519.1460018029,173794.57819972,608.22,9954.55
spearman,tp4,GTT,CD,posi,PC(16:0/15:0),C39H78NO8P,720.55418,3.759,GLP-1,35,35,0,35,-0.6943977591036415,3.708031584353936e-6,0.008376303760262256,10015.9735141068,1485102.34222383,24.2,446.95
spearman,pv,SAC,CD,posi,L-Serine,C3H7NO3,106.04986,14.623,Leptin,43,43,43,0,-0.6405919661733616,3.714262001870355e-6,0.008376303760262256,128281.652547294,17066779.1286643,221.83,9954.55
spearman,tp4,GTT,CD,posi,"PE(22:1(13Z)/22:5(7Z,10Z,13Z,16Z,19Z))",C49H86NO8P,848.61402,3.806,Amylin,35,35,0,35,-0.6941176470588235,3.7556126106066834e-6,0.008376303760262256,9088.11283231702,1311535.6131653,1.81,53.85
spearman,tp4,GTT,CD,posi,"DG(18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)",C41H68O5,641.50996,2.358,GLP-1,35,35,0,35,-0.6896358543417367,4.596731531975297e-6,0.00974887148927137,8817.81143500489,730448.632246024,24.2,446.95
spearman,tp4,GTT,CD,nega,Chenodeoxycholic acid,C24H40O4,391.28733,3.652,Leptin,34,34,0,34,-0.6971734148204737,4.620791743781106e-6,0.00974887148927137,496315.591174458,29911916.8396132,324.41,7988.85
spearman,tp4,GTT,CD,nega,"13,14-dihydro-15-keto-tetranor prostaglandin f1?",C16H28O5,299.18632,3.681,C-Peptide 2,34,34,0,34,-0.6895339954163483,6.4678603037112045e-6,0.01328668713232379,9364.21754496409,517963.63337379,102.01,1743.56
spearman,pv,SAC,CD,nega,Dihomo-gamma-linolenic acid,C20H34O2,305.24834,2.188,PYY,43,43,43,0,-0.627302929628511,6.743769042125888e-6,0.013498258947857207,3964882.26608787,38430054.302384,29.88,445.18
spearman,tp4,GTT,CD,nega,1-hydroxy-2-naphthoate,C11H8O3,187.04,2.381,GIP,33,33,0,33,-0.6938502673796791,7.547493189586311e-6,0.014609738663100322,14937.6919203763,177464.291507532,9.74,290.77
spearman,tp4,GTT,CD,nega,Thymidine,C10H14N2O5,241.08444,3.787,Leptin,34,34,0,34,-0.6855614973262032,7.67337866294885e-6,0.014609738663100322,807235.232107062,4540162.01464211,324.41,7988.85
spearman,tp4,GTT,CD,posi,"PE(18:3(6Z,9Z,12Z)/18:2(9Z,12Z))",C41H72NO8P,738.50629,2.957,Insulin,36,36,0,36,0.6694980694980696,8.005105187600731e-6,0.014674608900591687,11008.160192028,491153.459577154,123.91,6516.84
spearman,tp4,GTT,CD,nega,Lactapiperanol C,C16H26O4,281.17588,5.642,C-Peptide 2,34,34,0,34,-0.6843391902215431,8.083423211363309e-6,0.014674608900591687,56873.0632253335,4529277.99334588,102.01,1743.56
spearman,tp4,GTT,CD,posi,"26-Hydroxy-24-methylene-9,19-cyclolanostan-3-one",C31H50O2,455.38414,2.29,Leptin,35,35,0,35,-0.673389355742297,9.291275894127739e-6,0.016161373041146225,8176.90868862919,664610.332287286,324.41,7988.85
spearman,tp4,GTT,CD,nega,"13,14-dihydro-15-keto-tetranor prostaglandin f1?",C16H28O5,299.18632,3.681,Leptin,34,34,0,34,-0.680366692131398,9.557399773266657e-6,0.016161373041146225,9364.21754496409,517963.63337379,324.41,7988.85
