"source","ion.mode","name","formula","mz","rt","med.ic","n.samples"
"CD","nega","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",391.35793,2.191,60375.3977279839,22
"CD","nega","(17Z)-tricos-17-enoic acid","C23H44O2",351.32674,2.19,131946.986250774,44
"CD","nega","(2E,4E)-2,4-Hexadienoic acid","C6H8O2",111.04514,3.638,109953.58494191,44
"CD","nega","(2E,5E,12Z,15Z)-1-Hydroxy-2,5,12,15-heneicosatetraen-4-one","C21H34O2",377.26727,2.488,74794.3978787966,22
"CD","nega","(2R)-2,3-Dihydroxypropanoic acid","C3H6O4",105.01917,11.427,1168721.32701489,44
"CD","nega","(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid","C6H13NO3",146.08204,14.328,1895298.89563354,44
"CD","nega","(R)-2-Benzylsuccinate","C11H12O4",207.06603,3.865,653788.215550359,22
"CD","nega","(S)-beta-Aminoisobutyric acid","C4H9NO2",102.05601,14.341,4392280.06909113,44
"CD","nega","(S,E)-Zearalenone","C18H22O5",317.13938,4.025,180275.763373281,22
"CD","nega","(±)18-HEPE","C20H30O3",317.21194,2.428,2642085.49346146,22
"CD","nega","(Â±)-2-Hydroxy-4-(methylthio)butanoic acid","C5H10O3S",149.02757,3.842,364517.550453899,44
"CD","nega","(Â±)-2-Methylbutanal","C5H10O",85.06593,3.619,40687.0055941134,44
"CD","nega","1,2,3-Propanetricarboxylic acid","C6H8O6",175.02457,4.03,143600.798765218,22
"CD","nega","1,2-Benzisothiazol-3(2H)-one","C7H5NOS",150.00175,4.02,364897.930781384,22
"CD","nega","1,2-Didecanoyl-sn-glycero-3-phosphocholine","C28H56NO8P",564.36889,3.11,32571.6394993698,22
"CD","nega","1,2-Dipalmitoylphosphatidylglycerol","C38H75O10P",721.50215,2.15,1176282.18271149,22
"CD","nega","1,25-Dihydroxyvitamin D3-26,23-lactone","C27H40O5",443.2786,2.668,43447.0551802323,22
"CD","nega","1,3-Dimethyluracil","C6H8N2O2",139.05111,11.405,1014050.1989767,22
"CD","nega","1-(1,2,3,4,5-Pentahydroxypent-1-yl)-1,2,3,4-tetrahydro-beta-carboline-3-carboxylate","C17H22N2O7",365.13549,14.156,281911.995557794,22
"CD","nega","1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide","C11H16N2O5",255.10022,2.328,3140554.5387026,22
"CD","nega","1-Hydroxyepiacorone","C15H24O3",251.16515,2.501,257571.101360564,22
"CD","nega","1-Methylinosine","C11H14N4O5",281.08879,6.45,366746.573151605,44
"CD","nega","1-Octen-3-yl glucoside","C14H26O6",289.16538,2.838,25189.4563003025,22
"CD","nega","1-Phenyl-1,3-eicosanedione","C26H42O2",385.31096,2.202,283770.75827869,22
"CD","nega","1-[(5-Amino-5-carboxypentyl)amino]-1-deoxyfructose","C12H24N2O7",307.15095,14.337,86338.0457031736,22
"CD","nega","10-Hydroxy-2-decenoic acid","C10H18O3",185.11824,2.435,221405.735124086,44
"CD","nega","10-Hydroxydecanoic acid","C10H20O3",187.13386,2.392,337517.534240611,44
"CD","nega","10Z-Heptadecenoic acid","C17H32O2",267.23273,2.245,11304912.2902733,44
"CD","nega","10Z-Nonadecenoic acid","C19H36O2",295.26366,2.206,3861844.83673261,44
"CD","nega","10Z-Pentadecenoic acid","C15H28O2",239.2016,2.295,881602.875891438,44
"CD","nega","11(R)-HETE","C20H32O3",319.22799,2.171,1964711.35148361,44
"CD","nega","11Z-Eicosenoic acid","C20H38O2",309.27951,2.195,22198344.9516968,44
"CD","nega","12-Hydroxydodecanoic acid","C12H24O3",215.16512,2.452,318362.360495504,44
"CD","nega","12S-HHT","C17H28O3",279.1968,2.464,152793.972589196,44
"CD","nega","13-HODE","C18H32O3",295.22765,2.213,20051836.4111286,44
"CD","nega","13-L-Hydroperoxylinoleic acid","C18H32O4",311.22252,2.336,1714113.55270777,44
"CD","nega","13-OxoODE","C18H30O3",293.21216,2.394,3153059.67953444,44
"CD","nega","14(S)-HDHA","C22H32O3",343.22755,2.34,3837647.71394101,22
"CD","nega","15-Keto-13,14-dihydroprostaglandin A2","C20H30O4",333.20695,2.815,1682473.60351101,22
"CD","nega","15-Keto-prostaglandin E2","C20H30O5",349.20396,2.41,579939.693602328,44
"CD","nega","15beta-Hydroxydesogestrel","C22H30O2",325.21744,2.233,513088.427207702,44
"CD","nega","16-Hydroxyhexadecanoic acid","C16H32O3",271.22779,2.147,690398.131902628,44
"CD","nega","18-Hydroxycortisol","C21H30O6",377.19701,4.597,294376.115489578,22
"CD","nega","18-Oxocortisol","C21H28O6",375.18475,2.621,18121.7526085467,44
"CD","nega","2',4'-Dihydroxyacetophenone","C8H8O3",151.03984,2.88,782608.919167426,44
"CD","nega","2',4-Dihydroxy-4',6'-dimethoxy-3'-prenylchalcone","C22H24O5",367.1586,2.109,16721.0627045227,22
"CD","nega","2,2,4,4-Tetramethyl-6-(1-oxobutyl)-1,3,5-cyclohexanetrione","C14H20O4",251.12863,3.051,115419.405904724,22
"CD","nega","2,3-dinor prostaglandin e1","C18H30O5",325.20193,2.742,101052.911373488,44
"CD","nega","2,4-Diamino-6-hydroxypyrimidine","C4H6N4O",125.04685,14.842,2682428.88470429,22
"CD","nega","2,6-Pyridinecarboxylic acid","C7H5NO4",166.01445,2.472,2837686.3486624,22
"CD","nega","2,6-dihydroxypyridine","C5H5NO2",110.02451,8.046,14186619.6696103,22
"CD","nega","2-(3,4-Dihydroxybenzoyloxy)-4,6-dihydroxybenzoate","C14H10O8",305.02898,9.43,93603.6549150845,22
"CD","nega","2-(Methylsulfonyl)-3-(pyrazin-2-ylamino)acrylonitrile","C8H8N4O2S",223.0289,4.201,3247972.77699527,22
"CD","nega","2-Cyclohexen-1-one, 3-(15-hydroxypentadecyl)-2,4,4-trimethyl-","C24H44O2",363.32671,2.141,288086.529551843,44
"CD","nega","2-Dodecylbenzenesulfonic acid","C18H30O3S",325.18403,1.959,38270108.5412477,44
"CD","nega","2-Hydroxy-3-methylbutyric acid","C5H10O3",117.05569,3.589,19253127.6359001,44
"CD","nega","2-Hydroxy-3-methylpentanoic acid","C6H12O3",131.07134,3.71,4509292.38710211,44
"CD","nega","2-Hydroxyadipic acid","C6H10O5",161.04549,12.79,13164145.3009108,44
"CD","nega","2-Hydroxybenzaldehyde","C7H6O2",121.02944,3.693,35822890.180135,44
"CD","nega","2-Hydroxybutyric acid","C4H8O3",103.03991,5.168,51831853.0563879,22
"CD","nega","2-Hydroxydecanedioic acid","C10H18O5",217.10795,12.019,144681.135346253,44
"CD","nega","2-Hydroxyethanesulfonate","C2H6O4S",124.99139,4.585,26812284.4839629,44
"CD","nega","2-Hydroxyglutarate","C5H8O5",147.02964,7.627,7025452.56823104,22
"CD","nega","2-Hydroxymyristic acid","C14H28O3",243.19626,2.485,1281289.73076463,22
"CD","nega","2-Hydroxypyridine","C5H5NO",94.02969,4.653,324481.230662734,22
"CD","nega","2-Indolecarboxylic acid","C9H7NO2",160.04042,8.987,91298.6935906085,22
"CD","nega","2-Isopropylmalic acid","C7H12O5",175.0611,12.795,484647.598248644,22
"CD","nega","2-Keto-6-acetamidocaproate","C8H13NO4",186.07699,12.897,885258.423368029,22
"CD","nega","2-Ketobutyric acid","C4H6O3",101.02425,3.685,1843908.29843602,44
"CD","nega","2-Methoxyacetaminophen sulfate","C9H11NO6S",260.02545,15.158,1030144.00499797,22
"CD","nega","2-Methoxyestradiol-3-methylether","C20H28O3",315.19628,2.556,2681776.12591055,22
"CD","nega","2-Methoxyestrone 3-glucuronide","C24H32O8",447.20567,3.993,217502.299155865,22
"CD","nega","2-Methylbutyrylglycine","C7H13NO3",158.08219,3.893,232854.459652626,44
"CD","nega","2-Methylglutaric acid","C6H10O4",145.05058,13.282,1209550.99386487,22
"CD","nega","2-Methylhippuric acid","C10H11NO3",192.06656,3.896,1373268.07332363,44
"CD","nega","2-Methylpropanal","C4H8O",117.05566,3.858,474665.785406314,44
"CD","nega","2-Naphthalenesulfonic acid","C10H8O3S",207.01196,2.173,496443.739328884,22
"CD","nega","2-Nonenoic acid","C9H16O2",155.10775,2.564,194097.157931251,44
"CD","nega","2-O-Methylascorbic acid","C7H10O6",189.04035,8.465,2098535.9072553,44
"CD","nega","2-Octenoic acid","C8H14O2",141.09207,2.667,428107.523244889,44
