"raw.file","name","n.cohorts","rt.min","rt.max","diff","cohort.rt"
"Muscle compound_Discover_pos_raw_file.csv","N,N-Dimethylformamide",3,7.893,21.788,13.895,"1:21.788 | 2:21.788 | 4:7.893"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","2,3-dihydropyrimidin-4-amine",3,7.817,20.884,13.067,"1:20.884 | 2:7.817 | 4:7.817"
"Muscle compound_Discover_pos_raw_file.csv","Caproylcholine",3,7.622,19.72,12.098,"1:7.622 | 2:19.72 | 4:16.129"
"Muscle compound_Discover_pos_raw_file.csv","L-(+)-Leucine",3,3.507,15.542,12.035,"1:15.542 | 2:3.507 | 4:15.542"
"Muscle compound_Discover_neg_raw_file.csv","hydroxynonenoic acid  isomer",3,2.241,14.092,11.851,"1:14.092 | 2:14.092 | 4:2.241"
"Muscle compound_Discover_neg_raw_file.csv","(R)-Lipoic acid",3,3.562,14.881,11.319,"1:3.562 | 2:14.881 | 4:3.562"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","Muramic acid",3,4.415,14.833,10.418,"1:4.415 | 2:14.833 | 4:14.833"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","Hydantoin",3,4.005,14.359,10.354,"1:14.359 | 2:4.005 | 4:14.359"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","N,N-Dimethylformamide",3,4.02,14.242,10.222,"1:4.02 | 2:14.242 | 4:4.02"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","Adenosine",3,4.483,14.64,10.157,"1:14.64 | 2:4.483 | 4:14.64"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","4-Nitrophenol",3,4.01,14.038,10.028,"1:14.038 | 2:4.01 | 4:4.01"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","Phenol",3,2.424,11.872,9.448,"1:2.424 | 2:11.872 | 4:2.424"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Deoxyribose 5-phosphate",3,5.613,14.682,9.069,"1:5.613 | 2:12.81 | 4:14.682"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","indole-quinone isomer",3,7.952,16.574,8.622,"1:7.952 | 2:7.952 | 4:16.574"
"Muscle compound_Discover_neg_raw_file.csv","Aflatoxin B1",3,3.869,12.313,8.444,"1:12.313 | 2:3.869 | 4:3.869"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","his-asn",3,6.377,14.342,7.965,"1:14.342 | 2:6.377 | 4:6.377"
"Muscle compound_Discover_pos_raw_file.csv","phenicarbazide",3,7.382,15.26,7.878,"1:15.26 | 2:7.382 | 4:15.26"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","imidazolinone",3,7.772,15.056,7.284,"1:7.772 | 2:7.772 | 4:15.056"
"Muscle compound_Discover_pos_raw_file.csv","2-Oxo-3-(phosphonooxy)propyl formate",3,1.117,8.376,7.259,"1:1.117 | 2:8.376 | 4:8.376"
"Muscle compound_Discover_neg_raw_file.csv","Hypoxanthine",3,7.903,15.106,7.203,"1:15.106 | 2:7.903 | 4:15.106"
"Muscle compound_Discover_pos_raw_file.csv","Pyrimidine",3,1.165,8.356,7.191,"1:1.165 | 2:8.356 | 4:2.513"
"Muscle compound_Discover_neg_raw_file.csv","carboxymethyl-glutamate  isomer",3,6.254,13.351,7.097,"1:13.351 | 2:13.351 | 4:6.254"
"Muscle compound_Discover_pos_raw_file.csv","Dimethylcyanocacetamide",3,1.294,8.064,6.77,"1:1.294 | 2:8.064 | 4:8.064"
"Muscle compound_Discover_pos_raw_file.csv","Meprobamate",3,9.127,15.636,6.509,"1:9.127 | 2:15.636 | 4:9.127"
"Muscle compound_Discover_neg_raw_file.csv","(1,3-diphenylpropoxy)sulfonic acid isomer",3,1.894,8.338,6.444,"1:5.224 | 2:8.338 | 4:1.894"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Maleamic Acid",3,8.19,14.633,6.443,"1:8.19 | 2:8.19 | 4:14.633"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","pregnenolone acetate isomer",3,2.055,8.479,6.424,"1:2.055 | 2:8.479 | 4:2.055"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","CPA(18:0/0:0)",3,2.047,8.415,6.368,"1:2.047 | 2:8.415 | 4:8.415"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","4-Hydroxy-3-nitrosobenzamide",3,8.382,14.395,6.013,"1:8.382 | 2:14.395 | 4:8.382"
"Muscle compound_Discover_neg_raw_file.csv","Maleamic Acid",3,3.706,9.599,5.893,"1:3.706 | 2:9.599 | 4:3.706"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","Mesitol",3,2.413,8.279,5.866,"1:2.413 | 2:8.279 | 4:2.413"
"Muscle compound_Discover_neg_raw_file.csv","Cucurbic acid",3,2.466,8.098,5.632,"1:2.466 | 2:8.098 | 4:8.098"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid",3,5.669,10.921,5.252,"1:5.669 | 2:10.921 | 4:5.669"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","Leucyl-Alanine",3,9.143,14.378,5.235,"1:9.143 | 2:9.143 | 4:14.378"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","5-Hydroxyisourate",3,3.981,9.075,5.094,"1:9.075 | 2:3.981 | 4:9.075"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","2-Aminobenzoic acid",3,8.011,13.074,5.063,"1:13.074 | 2:13.074 | 4:8.011"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","5-(4-fluorophenyl)-2,3,5,6-tetrahydroimidazo[2,1-a]isoquinolin-5-ol isomer",3,13.107,17.793,4.686,"1:17.793 | 2:17.793 | 4:13.107"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","Glutamylalanine",3,10.447,15.022,4.575,"1:15.022 | 2:15.022 | 4:10.447"
"Muscle compound_Discover_pos_raw_file.csv","2-Aminobenzoic acid",3,7.566,12.08,4.514,"1:7.566 | 2:7.566 | 4:12.08"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","taxuyunnanin  isomer",3,2.607,7.088,4.481,"1:2.607 | 2:7.088 | 4:3.712"
"Muscle compound_Discover_pos_raw_file.csv","4-Ethylguaiacol",3,3.952,8.403,4.451,"1:3.952 | 2:3.952 | 4:8.403"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Ethyl glucuronide",3,11.476,15.866,4.39,"1:15.004 | 2:15.866 | 4:11.476"
"Muscle compound_Discover_pos_raw_file.csv","2,4-DIMETHYL-2-IMIDAZOLINE",3,14.604,18.888,4.284,"1:14.604 | 2:18.888 | 4:14.604"
"Muscle compound_Discover_neg_raw_file.csv","pa (34:2) isomer",3,3.897,7.88,3.983,"1:7.88 | 2:3.897 | 4:3.897"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","3-Hydroxyhexadecadienoylcarnitine",3,4.654,8.482,3.828,"1:8.482 | 2:8.482 | 4:4.654"
"Muscle compound_Discover_pos_raw_file.csv","2-Hydroxylauroylcarnitine",3,4.155,7.867,3.712,"1:4.155 | 2:4.155 | 4:7.867"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","Fomepizole",3,3.97,7.67,3.7,"1:7.67 | 2:7.67 | 4:3.97"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","Diethylamine",3,15.165,18.77,3.605,"1:18.77 | 2:15.165 | 4:15.165"
"Muscle compound_Discover_pos_raw_file.csv","Ethosuximide",3,12.315,15.824,3.509,"1:15.824 | 2:15.824 | 4:12.315"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","N-Carbamoylsarcosine",3,9.365,12.551,3.186,"1:9.365 | 2:12.551 | 4:12.551"
"Muscle compound_Discover_neg_raw_file.csv","6-Aminonicotinamide",3,12.778,15.923,3.145,"1:12.778 | 2:15.923 | 4:12.778"
"Muscle compound_Discover_neg_raw_file.csv","alpha-Ketoisovaleric acid",3,2.683,5.791,3.108,"1:5.791 | 2:5.791 | 4:2.683"
"Muscle compound_Discover_pos_raw_file.csv","thiomorpholine-3-carboxylic acid",3,10.929,13.658,2.729,"1:13.658 | 2:10.929 | 4:13.658"
"Muscle compound_Discover_neg_raw_file.csv","Deoxyribose 5-phosphate",3,2.041,4.527,2.486,"1:2.041 | 2:4.527 | 4:4.527"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","(2e)-3-[4-({2-o-[(2s,3r,4r)-3,4-dihydroxy-4-(hydroxymethyl)tetrahydro-2-furanyl]-?-d-glucopyranosyl}oxy)-3-methoxyphenyl]acrylic acid isomer",3,11.974,14.408,2.434,"1:11.974 | 2:14.408 | 4:14.408"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","2-Amino-4-methylpyrimidine",3,15.05,17.347,2.297,"1:17.347 | 2:17.347 | 4:15.05"
"Muscle compound_Discover_pos_raw_file.csv","Diethylamine",3,1.064,3.312,2.248,"1:1.064 | 2:1.064 | 4:3.312"
