"name","formula","ion.mode","rt_drift"
"(10Z,12Z)-octadeca-10,12-dienoylcarnitine","C25H45NO4","nega",1.797
"(3Z,6E)-N-Hydroxy-2,4,4,7-tetramethyl-6,8-nonadien-3-imine","C13H23NO","posi",5.587
"(R)-Lipoic acid","C8H14O2S2","nega",11.465
"1,2-Cyclohexanediol","C6H12O2","nega",1.065
"1,3,7-Octanetriol","C8H18O3","posi",2.028
"1,5,6,7-tetrahydropteridin","C6H8N4","posi",6.276
"1-Butanethiol","C4H10S","nega",6.119
"1-Isothiocyanato-8-(methylthio)octane","C10H19NS2","nega",3.972
"1-Pentanesulfenothioic acid","C5H12S2","nega",1.061
"11-Nitro-1-undecene","C11H21NO2","posi",5.37
"13,14-dihydro-15-keto-tetranor prostaglandin f1?","C16H28O5","nega",1.114
"18-Hydroxycorticosterone","C21H30O5","nega",1.087
"2,3-dihydropyrimidin-4-amine","C4H7N3","posi",6.688
"2,4,6-triaminotoluene","C7H11N3","posi",2.588
"2,4-DIMETHYL-2-IMIDAZOLINE","C5H10N2","posi",4.174
"2-(3-Carboxy-3-aminopropyl)-L-histidine","C10H16N4O4","nega",5.874
"2-(3-Carboxy-3-aminopropyl)-L-histidine","C10H16N4O4","posi",2.173
"2-(Dimethylamino)-5,6-dimethylpyrimidin-4-ol","C8H13N3O","posi",10.902
"2-Amino-4-methylpyrimidine","C5H7N3","posi",2.218
"2-Aminobenzenesulfonic acid","C6H7NO3S","nega",1.182
"2-Aminobenzoic acid","C7H7NO2","nega",1.259
"2-Aminobenzoic acid","C7H7NO2","posi",5.508
"2-Furoylglycine","C7H7NO4","nega",3.135
"2-Hydroxylauroylcarnitine","C19H37NO5","posi",3.188
"2-Keto-6-acetamidocaproate","C8H13NO4","posi",12.204
"2-Pyrrolidone","C4H7NO","posi",8.555
"2[5H]-furanone","C4H4O2","posi",4.103
"3-Hydroxybenzoic acid","C7H6O3","nega",1.778
"3-Hydroxybutyric acid","C4H8O3","nega",3.507
"3-Hydroxyhexadecanoylcarnitine","C23H45NO5","posi",1.405
"3-Methoxybenzenepropanoic acid","C10H12O3","nega",4.457
"3-Methyladipic acid","C7H12O4","nega",1.21
"3-Methylglutaconic acid","C6H8O4","nega",1.374
"3-Oxocholic acid","C24H38O5","nega",3.859
"3-Sulfinoalanine","C3H7NO4S","nega",1.64
"4,7-Dioxoheptanoic acid","C7H10O4","nega",10.802
"4-AMINOPIPERIDINE-1-CARBOXYLIC ACID","C6H12N2O2","posi",5.136
"4-Hydroxy-3-nitrosobenzamide","C7H6N2O3","posi",5.634
"4-Hydroxycyclohexylcarboxylic acid","C7H12O3","nega",12.28
