tissue,name,PC1,pc1_variance_explained,variance_explained,abs_variance_explained,rank
Liver,N-(3-aminopropoxy)guanidine,-0.05654427365324827,0.20931212974484736,6.692242288922805e-4,0.011835402343236856,1
Liver,Melilotoside,0.055364155763831926,0.20931212974484736,6.415813932718746e-4,0.011588389354453128,2
Liver,4-Nitroaniline,-0.05523581296708176,0.20931212974484736,6.386102684356324e-4,0.011561525650327939,3
Liver,Glycine,-0.05479042179927302,0.20931212974484736,6.283529875498407e-4,0.011468299876424348,4
Liver,Acetyl hexamethyl tetralin,-0.05470501096923834,0.20931212974484736,6.263954804608325e-4,0.011450422353686514,5
Liver,"N,4-Dinitroso-N-methylaniline",-0.05382340994660751,0.20931212974484736,6.06368753997185e-4,0.01126589256605442,6
Liver,N-Acetyl-L-phenylalanine,-0.0538206079843495,0.20931212974484736,6.063056224289472e-4,0.01126530608136673,7
Liver,Oxidized glutathione,0.053516935414061106,0.20931212974484736,5.994829956662556e-4,0.011201743728934574,8
Liver,dCMP,-0.053180340989333975,0.20931212974484736,5.919658208800963e-4,0.011131290433034697,9
Liver,γ-Glutamyl-3-(sulfinosulfanyl)alanylglycine,0.05299912382082243,0.20931212974484736,5.879383327514154e-4,0.011093359481547216,10
Liver,Barbital,0.052711963228919315,0.20931212974484736,5.815844415321384e-4,0.011033253286477184,11
Liver,Biguanide,-0.052554775739357,0.20931212974484736,5.78121034425135e-4,0.01100035203826765,12
Liver,3-Nitrotyrosine,0.05254834916559408,0.20931212974484736,5.779796539223199e-4,0.01099900687842637,13
Liver,Chamazulene,-0.0524919422421509,0.20931212974484736,5.767394796214227e-4,0.010987200225148123,14
Liver,"PS(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",0.05204441614075119,0.20931212974484736,5.669472828093193e-4,0.010893527583747741,15
Liver,LysoPC(16:0/0:0),0.05197425545302875,0.20931212974484736,5.654197183789059e-4,0.010878842100776194,16
Liver,Eicosapentaenoic acid,-0.05187339953647045,0.20931212974484736,5.632274563019539e-4,0.010857731734084008,17
Liver,Hippuric acid,0.05183884579607382,0.20931212974484736,5.624773557251969e-4,0.010850499217090939,18
Liver,"PE(18:0/18:3(9Z,12Z,15Z))",0.05183497041609475,0.20931212974484736,5.623932592539081e-4,0.01084968805305395,19
Liver,Linoleic acid,-0.05164952154973028,0.20931212974484736,5.583763330667017e-4,0.010810871355876434,20
Liver,LysoPE(0:0/20:0),0.05152155173888724,0.20931212974484736,5.556128304942535e-4,0.010784085722225834,21
Liver,Benzylideneacetone,-0.05131442070219324,0.20931212974484736,5.511543729574255e-4,0.010740730683799153,22
Liver,Arachidonic acid,-0.05104271847219759,0.20931212974484736,5.453332638616302e-4,0.010683860111382339,23
Liver,N'-Formylkynurenine,0.051021526811351005,0.20931212974484736,5.448805403808543e-4,0.01067942443971771,24
Liver,delgocitinib,-0.050691435869482264,0.20931212974484736,5.378529844929257e-4,0.010610332401665682,25
Liver,Thiorphan,0.05066846166709119,0.20931212974484736,5.373655671227282e-4,0.010605523622434016,26
Liver,Oximonam,0.05059564034109414,0.20931212974484736,5.358220605073914e-4,0.010590281235598731,27
Liver,nicotinamide hypoxanthine dinucleotide,0.05048516604378701,0.20931212974484736,5.334847073164319e-4,0.010567157625147308,28
Liver,hesperetin 3'-O-sulfate,-0.04998934985085456,0.20931212974484736,5.230574275635152e-4,0.010463377281842637,29
Liver,"2,3,6-trihydroxypyridine",-0.04993245320825619,0.20931212974484736,5.218674430794357e-4,0.01045146812440504,30
Liver,Maltopentaose,0.0498816849513584,0.20931212974484736,5.20806776926451e-4,0.01044084171243033,31
Liver,Momordicilin,-0.04979613081295467,0.20931212974484736,5.190217945549696e-4,0.01042293419351256,32
Liver,Docosahexaenoic acid,-0.049714571945724886,0.20931212974484736,5.173230214555467e-4,0.010405862933313116,33
Liver,Retinal,-0.04965677560321287,0.20931212974484736,5.161208790089329e-4,0.010393765457770463,34
Liver,gamma-Linolenic acid,-0.04960616460295744,0.20931212974484736,5.150693374238983e-4,0.010383171961518483,35
