tissue,pc,std_dev,variance_explained,cumulative_variance
Liver,PC1,16.933919149164524,0.20931212974484736,0.20931212974484736
Liver,PC2,13.108211822374276,0.12541986655491438,0.33473199629976175
Liver,PC3,11.871888816813579,0.1028771854589659,0.43760918175872765
Liver,PC4,10.365577678535118,0.07842715372974121,0.5160363354884688
Liver,PC5,9.691286135309372,0.06855549412878807,0.5845918296172569
Liver,PC6,8.65827128661113,0.05471946107485748,0.6393112906921143
Liver,PC7,8.421312032473958,0.051765325801672014,0.6910766164937864
Liver,PC8,7.9040347470018695,0.04560128852687073,0.7366779050206571
Liver,PC9,7.625611039474697,0.0424452143980718,0.7791231194187289
Liver,PC10,7.173784718822198,0.0375643702131437,0.8166874896318727
Liver,PC11,6.969981165425632,0.03546031930393288,0.8521478089358056
Liver,PC12,6.781521220610348,0.033568635084371135,0.8857164440201767
Liver,PC13,6.590693156592749,0.03170601188639306,0.9174224559065698
Liver,PC14,6.447672022132285,0.030344871901450677,0.9477673278080204
Liver,PC15,6.069640238834532,0.026890899729108984,0.9746582275371294
Liver,PC16,5.892217602408498,0.02534177246287047,0.9999999999999999
Liver,PC17,1.5901442883105316e-14,1.8456633997420486e-31,0.9999999999999999
Muscle,PC1,11.736150595413216,0.15304136755357553,0.15304136755357553
Muscle,PC2,10.674664637367535,0.12660940568918327,0.2796507732427588
Muscle,PC3,10.133297933246102,0.11409303000436635,0.3937438032471251
Muscle,PC4,8.890316882221825,0.08781970474035376,0.4815635079874789
Muscle,PC5,8.577155918695892,0.08174178183735552,0.5633052898248344
Muscle,PC6,7.687699994426947,0.06566747911590232,0.6289727689407367
Muscle,PC7,6.93343130857805,0.053413855234189254,0.682386624174926
Muscle,PC8,6.560362947025376,0.04782040221855941,0.7302070263934854
Muscle,PC9,6.441028191990193,0.04609649352223606,0.7763035199157216
Muscle,PC10,6.107219514409048,0.0414423668857541,0.8177458868014756
Muscle,PC11,5.9729277521970126,0.039639851036628065,0.8573857378381037
Muscle,PC12,5.733763009818391,0.03652893139195739,0.893914669230061
Muscle,PC13,5.29738233137221,0.031180288405260527,0.9250949576353216
Muscle,PC14,5.0481303381112355,0.028315133233954508,0.9534100908692761
Muscle,PC15,4.755834813628519,0.025131071971690015,0.97854116284096615
Muscle,PC16,4.394650548465767,0.021458837159033857,1
Muscle,PC17,1.0579493792487034e-14,1.24361876561413e-31,1
