"tissue","raw.file","sequence.id","ion.mode","sample","cohort","timepoint","name","formula","medrt","medmz","ion.count"
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M10_pv_pos","posi","1M10","1","pv","D-Tryptophan","C11H12N2O2",9.524,206.101288,2182067.25
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M10_pv_pos","posi","1M10","1","pv","L-Glutamine","C5H10N2O3",14.493,148.073563,8312775.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M10_pv_pos","posi","1M10","1","pv","L-Isoleucine","C6H13NO2",10.493,133.105255,4851847.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M10_pv_pos","posi","1M10","1","pv","L-Leucine","C6H13NO2",9.95,133.10022,7329664
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M10_pv_pos","posi","1M10","1","pv","L-Proline","C5H9NO2",12.675,117.074074,21027388
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M10_pv_pos","posi","1M10","1","pv","Valine-C13N15","C5H11NO2",11.912,124.099861,709030.44
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M11_pv_pos","posi","1M11","1","pv","D-Tryptophan","C11H12N2O2",9.524,206.101288,2167117.25
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M11_pv_pos","posi","1M11","1","pv","L-Glutamine","C5H10N2O3",14.493,148.073563,6528727.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M11_pv_pos","posi","1M11","1","pv","L-Isoleucine","C6H13NO2",10.493,133.105255,4728965.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M11_pv_pos","posi","1M11","1","pv","L-Leucine","C6H13NO2",9.95,133.10022,7841560
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M11_pv_pos","posi","1M11","1","pv","L-Proline","C5H9NO2",12.675,117.074074,22652944
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M11_pv_pos","posi","1M11","1","pv","Valine-C13N15","C5H11NO2",11.912,124.099861,642611.44
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M2_pv_pos","posi","1M2","1","pv","D-Tryptophan","C11H12N2O2",9.524,206.101288,2455864.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M2_pv_pos","posi","1M2","1","pv","L-Glutamine","C5H10N2O3",14.493,148.073563,4646982
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M2_pv_pos","posi","1M2","1","pv","L-Isoleucine","C6H13NO2",10.493,133.105255,3153937.25
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M2_pv_pos","posi","1M2","1","pv","L-Leucine","C6H13NO2",9.95,133.10022,5379640.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M2_pv_pos","posi","1M2","1","pv","L-Proline","C5H9NO2",12.675,117.074074,14741840
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M2_pv_pos","posi","1M2","1","pv","Valine-C13N15","C5H11NO2",11.912,124.099861,698494.69
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M4_pv_pos","posi","1M4","1","pv","D-Tryptophan","C11H12N2O2",9.524,206.101288,1800283.12
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M4_pv_pos","posi","1M4","1","pv","L-Glutamine","C5H10N2O3",14.493,148.073563,5292015.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M4_pv_pos","posi","1M4","1","pv","L-Isoleucine","C6H13NO2",10.493,133.105255,3081560
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M4_pv_pos","posi","1M4","1","pv","L-Leucine","C6H13NO2",9.95,133.10022,5206378.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M4_pv_pos","posi","1M4","1","pv","L-Proline","C5H9NO2",12.675,117.074074,10734619
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M4_pv_pos","posi","1M4","1","pv","Valine-C13N15","C5H11NO2",11.912,124.099861,460350.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M6_pv_pos","posi","1M6","1","pv","D-Tryptophan","C11H12N2O2",9.524,206.101288,1630767.88
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M6_pv_pos","posi","1M6","1","pv","L-Glutamine","C5H10N2O3",14.493,148.073563,5136708.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M6_pv_pos","posi","1M6","1","pv","L-Isoleucine","C6H13NO2",10.493,133.105255,3241016.25
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M6_pv_pos","posi","1M6","1","pv","L-Leucine","C6H13NO2",9.95,133.10022,4192045
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M6_pv_pos","posi","1M6","1","pv","L-Proline","C5H9NO2",12.675,117.074074,14288203
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","1M6_pv_pos","posi","1M6","1","pv","Valine-C13N15","C5H11NO2",11.912,124.099861,606860.94
