"ion.mode","name","formula","mz.cd","rt.cd","med.ic.cd","n.samples.cd","mz.mav","rt.mav","med.ic.mav","n.samples.mav","merge.action"
"nega","3-Hydroxybutyric acid","C4H8O3",103.04008,5.447,49086223.1561898,127,103.040039,8.624,796391.31,92,"Maven kept; overlapping CD observations removed"
"nega","Arachidonic acid","C20H32O2",303.23273,2.196,134442650.627491,127,305.741516,2.1925,20394164,92,"Maven kept; overlapping CD observations removed"
"nega","Citric acid","C6H8O7",191.01875,16.82,5697084.00742189,127,191.01976,15.183,75316.34,92,"Maven kept; overlapping CD observations removed"
"nega","D-Tryptophan","C11H12N2O2",203.08253,9.455,26209232.7912758,127,204.5862045,9.496,2663651.5,92,"Maven kept; overlapping CD observations removed"
"nega","Glycine","C2H5NO2",74.02476,14.092,5821860.76438947,127,74.024841,14.387,211409.63,92,"Maven kept; overlapping CD observations removed"
"nega","L-Asparagine","C4H8N2O3",131.04619,14.529,2738761.16855836,127,131.045731,14.548,133537.845,92,"Maven kept; overlapping CD observations removed"
"nega","L-Aspartic acid","C4H7NO4",132.03013,14.54,3213635.57242961,127,132.030319,14.634,102302.805,92,"Maven kept; overlapping CD observations removed"
"nega","L-Cystine","C6H12N2O4S2",239.01656,15.734,314609.35495065,127,239.016739,15.195,1373.69,92,"Maven kept; overlapping CD observations removed"
"nega","L-Glutamic acid","C5H9NO4",146.04596,14.475,12726531.2662141,127,146.5479125,14.5155,339204.83,92,"Maven kept; overlapping CD observations removed"
"nega","L-Isoleucine","C6H13NO2",130.0873,9.915,73808927.4665187,127,130.5890505,10.4725,3769317,92,"Maven kept; overlapping CD observations removed"
"nega","L-Lactic acid","C3H6O3",89.02432,8.049,2124029809.96742,127,89.526058,8.0075,81329264,92,"Maven kept; overlapping CD observations removed"
"nega","L-Methionine","C5H11NO2S",148.04387,10.693,17560560.8898044,127,148.0439,10.732,939208,92,"Maven kept; overlapping CD observations removed"
"nega","L-Phenylalanine","C9H11NO2",164.07169,9.482,51220669.759101,127,165.076538,9.527,3649862.25,92,"Maven kept; overlapping CD observations removed"
"nega","L-Proline","C5H9NO2",114.05598,12.614,27466557.2631696,127,114.5577165,12.663,2372068.75,92,"Maven kept; overlapping CD observations removed"
"nega","L-Tyrosine","C9H11NO3",180.06668,11.459,13678431.3393419,127,180.066528,11.515,1226220.13,92,"Maven kept; overlapping CD observations removed"
"nega","Linoleic acid","C18H32O2",279.23266,1.955,747999936.764485,127,279.734528,2.2255,117599472,92,"Maven kept; overlapping CD observations removed"
"nega","Palmitic acid","C16H32O2",255.23291,2.236,558154477.552848,127,256.738342,2.238,99624100,92,"Maven kept; overlapping CD observations removed"
"nega","Pyruvic acid","C3H4O3",87.00866,3.764,99964935.9801716,127,88.0121,3.755,19187419,92,"Maven kept; overlapping CD observations removed"
"nega","Stearic acid","C18H36O2",283.2638,2.197,289749792.970371,127,284.76947,2.198,52748100,92,"Maven kept; overlapping CD observations removed"
"nega","alpha-D-Glucose","C6H12O6",179.05754,13.86,898207.319436396,127,180.560341,12.788,8536870,92,"Maven kept; overlapping CD observations removed"
"posi","L-Glutamine","C5H10N2O3",147.0763,14.635,60229561.2305931,128,148.073563,14.493,7167255.5,88,"Maven kept; overlapping CD observations removed"
