"tissue","sequence.id","sample","sample.id","timepoint","ion.mode"
"Serum","1M1_pv_pos","1M1","Serum_1M1_pv","pv","posi"
"Serum","1M5_pv_pos","1M5","Serum_1M5_pv","pv","posi"
"Serum","1M7_pv_pos","1M7","Serum_1M7_pv","pv","posi"
"Serum","1M9_pv_pos","1M9","Serum_1M9_pv","pv","posi"
"Serum","3M1_tp4_neg","3M1","Serum_3M1_tp4","tp4","nega"
"Serum","3M1_tp4_pos","3M1","Serum_3M1_tp4","tp4","posi"
"Serum","3M10_tp4_neg","3M10","Serum_3M10_tp4","tp4","nega"
"Serum","3M10_tp4_pos","3M10","Serum_3M10_tp4","tp4","posi"
"Serum","3M11_tp4_neg","3M11","Serum_3M11_tp4","tp4","nega"
"Serum","3M11_tp4_pos","3M11","Serum_3M11_tp4","tp4","posi"
"Serum","3M12_tp4_neg","3M12","Serum_3M12_tp4","tp4","nega"
"Serum","3M12_tp4_pos","3M12","Serum_3M12_tp4","tp4","posi"
"Serum","3M13_tp4_pos","3M13","Serum_3M13_tp4","tp4","posi"
"Serum","3M14_tp4_neg","3M14","Serum_3M14_tp4","tp4","nega"
"Serum","3M14_tp4_pos","3M14","Serum_3M14_tp4","tp4","posi"
"Serum","3M15_tp4_neg","3M15","Serum_3M15_tp4","tp4","nega"
"Serum","3M15_tp4_pos","3M15","Serum_3M15_tp4","tp4","posi"
"Serum","3M16_tp4_neg","3M16","Serum_3M16_tp4","tp4","nega"
"Serum","3M16_tp4_pos","3M16","Serum_3M16_tp4","tp4","posi"
"Serum","3M17_tp4_neg","3M17","Serum_3M17_tp4","tp4","nega"
"Serum","3M17_tp4_pos","3M17","Serum_3M17_tp4","tp4","posi"
"Serum","3M18_tp4_neg","3M18","Serum_3M18_tp4","tp4","nega"
"Serum","3M18_tp4_pos","3M18","Serum_3M18_tp4","tp4","posi"
"Serum","3M19_tp4_neg","3M19","Serum_3M19_tp4","tp4","nega"
"Serum","3M19_tp4_pos","3M19","Serum_3M19_tp4","tp4","posi"
"Serum","3M20_tp4_neg","3M20","Serum_3M20_tp4","tp4","nega"
"Serum","3M20_tp4_pos","3M20","Serum_3M20_tp4","tp4","posi"
"Serum","3M21_tp4_neg","3M21","Serum_3M21_tp4","tp4","nega"
"Serum","3M21_tp4_pos","3M21","Serum_3M21_tp4","tp4","posi"
"Serum","3M22_tp4_neg","3M22","Serum_3M22_tp4","tp4","nega"
"Serum","3M22_tp4_pos","3M22","Serum_3M22_tp4","tp4","posi"
"Serum","3M23_tp4_neg","3M23","Serum_3M23_tp4","tp4","nega"
"Serum","3M23_tp4_pos","3M23","Serum_3M23_tp4","tp4","posi"
"Serum","3M24_tp4_neg","3M24","Serum_3M24_tp4","tp4","nega"
"Serum","3M24_tp4_pos","3M24","Serum_3M24_tp4","tp4","posi"
"Serum","3M25_tp4_neg","3M25","Serum_3M25_tp4","tp4","nega"
"Serum","3M25_tp4_pos","3M25","Serum_3M25_tp4","tp4","posi"
"Serum","3M26_tp4_neg","3M26","Serum_3M26_tp4","tp4","nega"
"Serum","3M26_tp4_pos","3M26","Serum_3M26_tp4","tp4","posi"
"Serum","3M27_tp4_neg","3M27","Serum_3M27_tp4","tp4","nega"
"Serum","3M27_tp4_pos","3M27","Serum_3M27_tp4","tp4","posi"
"Serum","3M28_tp4_neg","3M28","Serum_3M28_tp4","tp4","nega"
"Serum","3M28_tp4_pos","3M28","Serum_3M28_tp4","tp4","posi"
"Serum","3M29_tp4_neg","3M29","Serum_3M29_tp4","tp4","nega"
"Serum","3M29_tp4_pos","3M29","Serum_3M29_tp4","tp4","posi"
"Serum","3M3_tp4_neg","3M3","Serum_3M3_tp4","tp4","nega"
"Serum","3M3_tp4_pos","3M3","Serum_3M3_tp4","tp4","posi"
"Serum","3M30_tp4_neg","3M30","Serum_3M30_tp4","tp4","nega"
"Serum","3M30_tp4_pos","3M30","Serum_3M30_tp4","tp4","posi"
"Serum","3M31_tp4_neg","3M31","Serum_3M31_tp4","tp4","nega"
"Serum","3M31_tp4_pos","3M31","Serum_3M31_tp4","tp4","posi"
"Serum","3M32_tp4_neg","3M32","Serum_3M32_tp4","tp4","nega"
"Serum","3M32_tp4_pos","3M32","Serum_3M32_tp4","tp4","posi"
"Serum","3M33_tp4_neg","3M33","Serum_3M33_tp4","tp4","nega"
"Serum","3M33_tp4_pos","3M33","Serum_3M33_tp4","tp4","posi"
"Serum","3M34_tp4_neg","3M34","Serum_3M34_tp4","tp4","nega"
"Serum","3M34_tp4_pos","3M34","Serum_3M34_tp4","tp4","posi"
"Serum","3M35_tp4_neg","3M35","Serum_3M35_tp4","tp4","nega"
"Serum","3M35_tp4_pos","3M35","Serum_3M35_tp4","tp4","posi"
"Serum","3M36_tp4_neg","3M36","Serum_3M36_tp4","tp4","nega"
"Serum","3M36_tp4_pos","3M36","Serum_3M36_tp4","tp4","posi"
"Serum","3M37_tp4_neg","3M37","Serum_3M37_tp4","tp4","nega"
"Serum","3M37_tp4_pos","3M37","Serum_3M37_tp4","tp4","posi"
"Serum","3M38_tp4_neg","3M38","Serum_3M38_tp4","tp4","nega"
"Serum","3M38_tp4_pos","3M38","Serum_3M38_tp4","tp4","posi"
"Serum","3M39_tp4_neg","3M39","Serum_3M39_tp4","tp4","nega"
"Serum","3M39_tp4_pos","3M39","Serum_3M39_tp4","tp4","posi"
"Serum","3M4_tp4_neg","3M4","Serum_3M4_tp4","tp4","nega"
"Serum","3M4_tp4_pos","3M4","Serum_3M4_tp4","tp4","posi"
"Serum","3M40_tp4_neg","3M40","Serum_3M40_tp4","tp4","nega"
"Serum","3M40_tp4_pos","3M40","Serum_3M40_tp4","tp4","posi"
"Serum","3M5_tp4_neg","3M5","Serum_3M5_tp4","tp4","nega"
"Serum","3M5_tp4_pos","3M5","Serum_3M5_tp4","tp4","posi"
"Serum","3M6_tp4_neg","3M6","Serum_3M6_tp4","tp4","nega"
"Serum","3M6_tp4_pos","3M6","Serum_3M6_tp4","tp4","posi"
