"source","ion.mode","name","formula","mz","rt","med.ic","n.samples"
"CD","nega","(-)-erythro-Anethole glycol 1-glucoside","C16H24O8",343.13957,3.796,513779.063350182,127
"CD","nega","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",391.3582,2.118,39027.9995201803,127
"CD","nega","(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid","C18H34O5",329.23353,2.881,10092850.1830953,127
"CD","nega","(17Z)-tricos-17-enoic acid","C23H44O2",351.32684,2.136,238221.273022162,127
"CD","nega","(2E,5E,12Z,15Z)-1-Hydroxy-2,5,12,15-heneicosatetraen-4-one","C21H34O2",317.24873,2.806,87222.1919319415,127
"CD","nega","(2R)-2,3-Dihydroxypropanoic acid","C3H6O4",105.01939,19.395,305621.174325765,127
"CD","nega","(4R,5S,7R,11x)-11,12-Dihydroxy-1(10)-spirovetiven-2-one 12-glucoside","C21H34O8",413.21744,2.78,51743.0944012863,127
"CD","nega","(R)-2-Benzylsuccinate","C11H12O4",207.06824,4.683,203790.09828216,127
"CD","nega","(R)-Lipoic acid","C8H14O2S2",205.03666,14.432,842735.607323699,127
"CD","nega","(S)-Succinyldihydrolipoamide","C12H21NO4S2",306.0841,12.715,369434.775206837,127
"CD","nega","(Â±)-2-Hydroxy-4-(methylthio)butanoic acid","C5H10O3S",149.02771,3.773,529649.258699429,127
"CD","nega","(Â±)-2-Methylbutanal","C5H10O",85.0659,3.71,369538.485745614,127
"CD","nega","1,2,3-Trihydroxybenzene","C6H6O3",125.02445,14.471,60092.658271498,127
"CD","nega","1,2-Benzisothiazol-3(2H)-one","C7H5NOS",150.00192,3.027,1778935.47574574,127
"CD","nega","1,2-Cyclohexanediol","C6H12O2",115.07649,3.754,1381772.59224805,127
"CD","nega","1,5-Anhydro-D-glucitol","C6H12O5",163.06258,17.256,1407610.16317881,127
"CD","nega","1-(4,7-Dimethylpyrazolo[5,1-c][1,2,4]triazin-3-yl)ethan-1-one","C9H10N4O",189.07825,14.118,17376007.6775926,127
"CD","nega","1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide","C11H16N2O5",255.09996,15.652,2087073.46792452,127
"CD","nega","1-Butanethiol","C4H10S",89.04375,13.979,16431.9524276639,127
"CD","nega","1-Hydroxybenzotriazol","C6H5N3O",134.0361,14.239,51015668.0029992,127
"CD","nega","1-Hydroxyepiacorone","C15H24O3",251.16545,2.62,193211.110335061,127
"CD","nega","1-Isomangostin hydrate","C24H28O7",427.17932,2.504,258124.254341359,127
"CD","nega","1-Isothiocyanato-8-(methylthio)octane","C10H19NS2",216.08896,14.866,17617328.907642,127
"CD","nega","1-Methoxyphaseollidin","C21H22O5",353.13643,2.913,6637.31451347924,127
"CD","nega","1-Methyl-3,6-(1H,2H)-pyridazinedione","C5H6N2O2",125.03564,16.631,14168127.6769466,127
"CD","nega","1-Methylguanosine","C11H16N5O5",297.11041,13.84,815639.659250822,127
"CD","nega","1-Methylinosine","C11H14N4O5",281.08901,6.097,482832.310320441,127
"CD","nega","1-Pentanesulfenothioic acid","C5H12S2",135.03097,8.263,1559547.36128469,127
"CD","nega","1-Phenyl-1H-pyrazolo[3,4-d]pyrimidin-4-amine","C11H9N5",210.07851,12.139,3729061.66444273,127
"CD","nega","1-[(5-Amino-5-carboxypentyl)amino]-1-deoxyfructose","C12H24N2O7",307.15057,16.033,34944.8636993812,127
"CD","nega","1-benzylhexahydropyrimidine-2,4,6-trione","C11H10N2O3",217.06185,4.135,1566488.96858594,127
"CD","nega","1-hydroxy-2-naphthoate","C11H8O3",187.04,2.381,25168.5663095868,127
"CD","nega","1-methyl-N-(4-piperidinophenyl)-1H-imidazole-4-sulfonamide","C15H20N4O2S",319.12211,2.591,206577.294127598,127
"CD","nega","10-Hydroxy-2-decenoic acid","C10H18O3",185.11831,2.41,575451.843767342,127
"CD","nega","10-Hydroxydecanoic acid","C10H20O3",187.13399,2.396,1020692.80435701,127
"CD","nega","10Z-Heptadecenoic acid","C17H32O2",267.23294,2.223,6530138.67099485,127
"CD","nega","10Z-Nonadecenoic acid","C19H36O2",295.26396,2.184,2026721.09841365,127
"CD","nega","10Z-Pentadecenoic acid","C15H28O2",239.20176,2.265,599697.603002734,127
"CD","nega","11(R)-HETE","C20H32O3",319.22773,2.299,3047563.88375827,127
"CD","nega","11Z-Eicosenoic acid","C20H38O2",309.27971,2.173,13438888.734416,127
"CD","nega","12-Hydroxydodecanoic acid","C12H24O3",215.1651,2.223,732275.76384449,127
"CD","nega","12S-HHT","C17H28O3",279.19698,2.457,100435.700928904,127
"CD","nega","13,14-dihydro-15-keto-tetranor prostaglandin f1?","C16H28O5",299.18632,3.681,123551.681871561,127
"CD","nega","13-HODE","C18H32O3",295.22776,2.358,7420418.98054007,127
"CD","nega","13-L-Hydroperoxylinoleic acid","C18H32O4",311.22248,2.164,2604881.65333444,127
"CD","nega","15-Keto-13,14-dihydroprostaglandin A2","C20H30O4",333.2073,2.806,906503.385821858,127
"CD","nega","15-Keto-prostaglandin E2","C20H30O5",349.20552,1.974,1449222.08535191,127
"CD","nega","15beta-Hydroxydesogestrel","C22H30O2",325.21749,2.162,289961.764820967,127
"CD","nega","16-Hydroxyhexadecanoic acid","C16H32O3",271.228,2.164,1216358.35454391,127
"CD","nega","18-Hydroxycorticosterone","C21H30O5",361.2022,3.75,537084.954501341,127
"CD","nega","18-Hydroxycortisol","C21H30O6",377.20024,2.288,70428.7103836281,127
"CD","nega","18-Oxocortisol","C21H28O6",375.18482,2.674,401768.205290908,127
"CD","nega","2',4'-Dihydroxyacetophenone","C8H8O3",151.04004,3.573,1015806.24153613,127
"CD","nega","2',4-Dihydroxy-4',6'-dimethoxy-3'-prenylchalcone","C22H24O5",367.15834,2.015,11797.8308249508,127
"CD","nega","2'-Deoxyguanosine 5'-monophosphate","C10H14N5O7P",346.05583,14.858,44568.1150451519,127
"CD","nega","2,2',4,4'-Tetrahydroxybenzophenone","C13H10O5",245.04356,13.093,467956.659767179,127
"CD","nega","2,3-dinor prostaglandin e1","C18H30O5",325.2023,2.907,433693.035461299,127
"CD","nega","2,6-Pyridinedicarboxylic acid","C7H5NO4",166.01478,14.868,1058738.20234734,127
"CD","nega","2,6-dihydroxypyridine","C5H5NO2",110.02476,7.345,2984410.86565319,127
"CD","nega","2-(3-Carboxy-3-aminopropyl)-L-histidine","C10H16N4O4",255.1084,14.233,232130.841142219,127
"CD","nega","2-(methylsulfonyl)-3-(pyrazin-2-ylamino)acrylonitrile","C8H8N4O2S",223.02841,3.45,1037599.45809266,127
"CD","nega","2-Aminobenzenesulfonic acid","C6H7NO3S",172.00745,3.567,301152.855264127,127
