"name","formula","ion.mode","source","mz","rt","Serum_1M10_pv","Serum_1M11_pv","Serum_1M1_pv","Serum_1M2_pv","Serum_1M4_pv","Serum_1M5_pv","Serum_1M6_pv","Serum_1M7_pv","Serum_1M9_pv","Serum_2M16_pv","Serum_2M16_sys_sac","Serum_2M17_pv","Serum_2M17_sys_sac","Serum_2M20_pv","Serum_2M20_sys_sac","Serum_2M22_pv","Serum_2M22_sys_sac","Serum_2M23_pv","Serum_2M23_sys_sac","Serum_2M26_pv","Serum_2M26_sys_sac","Serum_2M31_pv","Serum_2M31_sys_sac","Serum_2M33_pv","Serum_2M33_sys_sac","Serum_3M10_tp4","Serum_3M11_pv","Serum_3M11_sys_sac","Serum_3M11_tp4","Serum_3M12_tp4","Serum_3M13_pv","Serum_3M13_sys_sac","Serum_3M13_tp4","Serum_3M14_pv","Serum_3M14_sys_sac","Serum_3M14_tp4","Serum_3M15_pv","Serum_3M15_sys_sac","Serum_3M15_tp4","Serum_3M16_pv","Serum_3M16_tp4","Serum_3M17_pv","Serum_3M17_sys_sac","Serum_3M17_tp4","Serum_3M18_pv","Serum_3M18_sys_sac","Serum_3M18_tp4","Serum_3M19_tp4","Serum_3M1_pv","Serum_3M1_sys_sac","Serum_3M1_tp4","Serum_3M20_tp4","Serum_3M21_pv","Serum_3M21_sys_sac","Serum_3M21_tp4","Serum_3M22_tp4","Serum_3M23_tp4","Serum_3M24_tp4","Serum_3M25_tp4","Serum_3M26_pv","Serum_3M26_sys_sac","Serum_3M26_tp4","Serum_3M27_pv","Serum_3M27_sys_sac","Serum_3M27_tp4","Serum_3M28_pv","Serum_3M28_sys_sac","Serum_3M28_tp4","Serum_3M29_tp4","Serum_3M30_tp4","Serum_3M31_pv","Serum_3M31_sys_sac","Serum_3M31_tp4","Serum_3M32_tp4","Serum_3M33_pv","Serum_3M33_sys_sac","Serum_3M33_tp4","Serum_3M34_pv","Serum_3M34_sys_sac","Serum_3M34_tp4","Serum_3M35_tp4","Serum_3M36_tp4","Serum_3M37_pv","Serum_3M37_sys_sac","Serum_3M37_tp4","Serum_3M38_pv","Serum_3M38_sys_sac","Serum_3M38_tp4","Serum_3M39_pv","Serum_3M39_sys_sac","Serum_3M39_tp4","Serum_3M3_tp4","Serum_3M40_pv","Serum_3M40_sys_sac","Serum_3M40_tp4","Serum_3M4_pv","Serum_3M4_sys_sac","Serum_3M4_tp4","Serum_3M5_tp4","Serum_3M6_pv","Serum_3M6_sys_sac","Serum_3M6_tp4","Serum_3M7_pv","Serum_3M7_sys_sac","Serum_4M1_pv","Serum_4M2_pv","Serum_4M2_sys_sac","Serum_4M3_pv","Serum_4M3_sys_sac","Serum_4M4_pv","Serum_4M5_pv","Serum_4M5_sys_sac","Serum_5M10_pv","Serum_5M1_pv","Serum_5M2_pv","Serum_5M2_sys_sac","Serum_5M3_pv","Serum_5M3_sys_sac","Serum_5M4_pv","Serum_5M4_sys_sac","Serum_5M6_pv","Serum_5M6_sys_sac","Serum_5M7_pv","Serum_5M7_sys_sac","Serum_5M8_pv","Serum_5M8_sys_sac","Serum_5M9_pv","Serum_5M9_sys_sac"
"(+)-2,7-Dideoxypancratistatin","C14H15NO6","posi","CD",294.09452,13.503,37884.271821723,20749.1850884841,38372.7560519118,28707.2622687339,181164.668944782,27469.0659298016,60978.0830794393,21908.4257487583,38219.6638559094,1235979.66650639,20630.8319418457,1725484.23224889,17441.5162237088,746243.423565366,14938.007216668,1401080.63577451,19271.1458302597,721491.790229362,40894.8846712452,746156.831475208,8321.31928536346,327125.865673287,18435.788257312,916959.376434478,12062.7771113509,8711.90186009675,10955.9167110952,15519.6674260348,18783.009421331,18915.0940078649,9654.79198668005,12968.4084752476,197995.853558096,7218.04011604862,12977.6030129056,14026.2781213696,9164.88044567978,19429.1205996248,111205.915877994,31856.7450597619,8150.87680940798,17087.4026865476,18720.6182303539,16828.0995773756,18143.0574967945,7758.10421555883,15217.5546963063,63866.3091391663,50379.0548043227,9690.86841228396,8368.41227292846,16004.9584258813,9748.04490299044,17931.8156669325,6254.06532501378,11531.5100049769,97775.5620047818,57151.4368884891,14061.0396218115,207752.847103849,12413.9654863099,14706.5688717777,222464.458849346,55817.8462643139,42223.1660902692,8103.86771928461,13696.5749935109,13333.1758315744,12389.7092441949,10791.1749608037,8635.48734943977,74992.520850075,63234.3799622182,64884.8432439372,204478.047465752,11274.2194456746,12294.0916301009,7530.38307301359,10542.6775121432,10815.8339653005,12588.3124624215,14255.5026862427,247548.560575843,81238.1275883826,13319.8326092359,34318.7814256915,11788.685423579,62066.4431077872,7686.67761745738,69712.5547850774,57336.0022354933,12721.3463638908,8496.47178656273,14094.5572151727,12187.6147294289,15298.3352790122,14661.8718015015,19805.910390511,11596.6689648786,20510.0508438542,15108.6122601859,27793.0633025848,12381.9215598292,11650.7457859816,13925.5272438887,13521.0828887066,8568.48493142241,7765.67378032794,17082.3186330812,13261.4277152869,11080.2719047824,12937.1720094179,40853.4129846286,9740.92753998915,10784.5639909573,15102.501784511,38886.9430763327,14252.6668887005,10430.9055716668,70016.9430874428,8164.90193359707,11236.1535284076,7813.42887022958,18183.7167652699,24429.0427490535,9668.54187509257,8638.06442998493,30779.3132521072
"(+)-Estrone","C18H22O2","posi","CD",271.16904,2.504,766937.975499657,784478.08449533,540248.145024366,563689.11335804,869913.75534526,209536.705007104,717890.485637946,551045.438711421,595434.30554583,542240.515906905,99607.1201639139,618240.46506021,92480.2856514338,83599.8416559401,556882.972131387,603364.396960294,587088.295578641,726552.962623095,20052.7336121653,251091.202075681,92558.6447610113,590526.181663468,467040.140474301,712632.077057803,343442.051573277,302517.711801513,164221.908860063,566189.443133212,78156.8929420368,133369.713737376,372610.204860134,525820.190901345,327154.133047403,102726.087895304,62588.8046421277,239400.44639788,455104.973109138,174369.605908982,481674.152843548,501192.242745819,188675.549433194,568751.772878493,569315.865432635,326618.68817451,113370.247058639,88153.7678156675,391011.293184105,112988.351653898,392806.502241177,417445.011028606,85004.999061462,132233.76771634,520155.752260439,344005.502403134,103411.758439429,85286.2246923324,304642.111529196,63946.0391317906,64624.926305726,681438.508562557,385416.90014982,93242.9738309617,693120.852915285,335805.107426286,437670.119729126,497712.006326624,308194.17481813,67121.5965923261,252999.178339192,200269.341851959,69171.2235148062,311836.026551568,75850.0887602146,79783.0124841886,679830.007771745,92284.7002990628,115556.809954155,710510.1010307,448123.228058641,57645.1240493425,295938.141300747,307846.454254199,807006.259200021,239911.791657677,81140.3509707246,1217225.90047861,79764.4895320115,406088.511138867,579986.289516591,436633.131529642,169189.834125032,59872.3603275142,792071.818961218,85480.0012279145,313764.838245006,570851.500234586,431727.835126256,297771.416473546,78116.5839811355,80488.253442699,452836.558964498,203533.06839174,400253.844636998,335889.196944089,435330.607108999,513555.117052659,330090.367649064,549334.946594833,210075.58579329,496052.238918586,458572.648110703,386981.880491287,604487.95161336,868038.327892228,1068048.90526547,732977.855214682,365798.79932726,80932.6163641522,492932.869845707,202403.749636974,776443.547156836,61612.9968661399,694037.479443069,351946.596839385,1148175.82436228,293337.940692009,399278.227472473,301393.60543916
"(+)-Simvastatin","C25H38O5","posi","CD",419.28254,2.367,15651.5081679713,30003.0903006067,4922022.26150528,47084.1397160863,55838.3658720996,51352.1322871655,116334.415284238,64144.2840807605,28157.8235870787,47772.4507118494,18762.9953752224,6767.80462263655,40509.3364047308,80512.0971528448,63275.793758537,39191.9261237787,65899.2610556581,261102.476979582,29193.6002017549,173059.75492176,34392.0475183945,13622.069142513,60626.5904845693,1570127.0674293,32859.9307877849,248583.791015132,20226.9076248977,13265.6202420652,67993.1118369964,398666.738743619,4893.91775627689,7589.94242921386,1005023.61242566,41731.4462327906,18913.9619713461,707349.177767257,452439.124198095,1464096.27227475,102719.290310501,19746.3428594854,521804.933799264,29753.229188486,20730.5275795574,61440.9072401663,239113.199504182,55049.018525436,524160.906868074,8262.47727661944,46897.0430583483,31512.1613428271,25927.2649754643,8567524.36100947,15944.039153012,19403.8156788946,238262.283188455,212738.422470293,6472.4111109882,1047172.6947744,57454.3012866415,49949.2490517253,29259.739639876,160846.269845766,53137.7490084656,6257093.83281051,67370.6893742871,78877.7206898618,40770.686187632,188643.539527588,263891.472925751,168810.2527275,9308.57530825392,15978.192261682,315060.788187296,78829.6256369447,66295.7583953908,102019.331089616,87900.8446880392,60732.6765059201,48378.5147617501,348199.09018408,112776.202228506,54736.9310870098,4252.41193455251,62395.0104988925,59198.0343578307,7441.90423718616,59958.4762007292,54881.4924415988,95460.4811821234,691112.111621196,94562.0910038614,17831.1721950634,71367.4740033865,41379.2813116779,558555.842206122,9890.86750221668,17717.6086967516,131714.271275725,34527.2664410917,46054.349711073,8220.38688526157,90244.1667935942,4951.13939555536,34965.5728625851,11701.9591737135,4774.21871317276,119805.34135409,17790.6561053983,21860.4984084609,14944.4402573471,1620447.5250009,59532.9890359991,69092.2609407957,21727.6634113123,33151.0546714359,16471.6617379195,27665.3647492068,38759.7765139739,53292.335780067,18966.4409981393,4148.29302560422,31801.9692533061,46729.2159220954,27190.1107830718,6578.81511782986,33423.8067884163,40478.5017946032,18738.9418035214
"(+)-castanospermine","C8H15NO4","posi","CD",190.10832,17.544,417153.022285114,350009.725778151,271070.14017275,91251.600802918,337980.69916446,509306.448008838,145147.382152811,547872.516475894,66336.7142550697,32047.717295628,23155.664940421,39970.5874744848,38292.9038438304,39830.4151470048,57980.05686378,524302.546120388,1403398.5939095,1635420.33454076,47441.8490352965,17269.4889864133,33343.120613663,44617.2356563143,1511851.46783396,405668.582691078,32953.8494482116,184223.478525022,45058.6149418137,1733062.02071387,37747.9802279802,46414.59321939,12888.2962158211,257770.607021612,80037.6610850161,302565.921801319,31697.4301172732,46520.3803997053,20597.0417079503,38957.8566567418,8620.18014731747,84844.3768975101,46048.9800049233,18284.8423589128,38924.1683463154,37789.5363371953,7188.4673278173,35121.4419179637,45681.2650756437,165265.960514811,48667.197264118,78048.9325400591,747126.905911298,28500.7894566906,37070.4544356949,2881298.30440942,26843.7656186941,30479.3664468049,24647.5377738963,54274.1557101295,824113.764986013,706178.915733813,41801.5225074926,25009.6699086096,521586.933978191,38932.4048283409,7995973.85766463,908607.303338743,2667177.80894386,23722.0831452721,45893.4355286669,29181.0132270718,754909.565184669,39902.781601606,37326.1554045259,20515.6589048847,37370.0384873942,35185.4992524412,104707.797137322,456823.200592308,48990.9470503421,20088.2889266005,26945.8819482467,3106868.43263327,41219.5628567385,41815.2960824294,50339.9973027102,4217446.82961634,23339.1738869884,19776.9534569443,201891.796707633,2803062.44081881,68296.1330791934,21733.0876187148,15108.5940839529,2871813.73031307,44459.8838721423,102517.981816526,39338.149472186,109938.051165717,22019.7866602158,78907.1858230346,50176.9593711975,991510.673148075,59880.8771721742,738988.273342947,281476.194965718,451579.730253629,143599.850836561,43013.8413242344,53157.8479155697,1683320.94360159,38232.2724327012,256212.11985583,102038.194608317,1044638.93292761,540012.026750784,23817.6781432064,49335.455152031,50764.9122422365,43916.2132578919,18532.9622779145,271926.161211045,26924.2033508345,15233.4106844725,2661424.97638885,767521.328322744,1588355.72068126,227565.181252714,44774.6282269509
"(-)-erythro-Anethole glycol 1-glucoside","C16H24O8","nega","CD",343.13957,3.796,1344231.04898152,5489961.83881143,2500958.24752737,7116519.61705459,4662034.87757548,2782440.21068374,4673769.65736505,8028711.49289755,6854286.88570703,1616663.72020112,3023207.50673008,1659014.45541494,1802346.65187008,1611571.9224541,1193994.39824013,1294282.5216767,1475602.80126617,568290.832623477,1273546.8043689,895391.438288032,1223585.7490659,356567.961303766,682882.759379057,702158.400368178,1214675.4946198,1198964.42205095,1493683.60742142,1807562.4195305,598200.277817269,1250420.49889782,3525859.0370898,511673.434601918,NA,7172111.93441242,1086114.95390201,806681.759268992,1937745.70216887,3460029.13298691,619238.866043512,1761504.42658758,1333475.50095161,4560734.85104183,1081222.24477343,1900684.73960177,2768060.08284491,1189931.42440584,1628860.17890433,1055554.51647472,3370125.91085688,563191.128167688,1527500.29379184,2290474.92516102,594596.528398938,80014.8777153636,124082.401366561,208025.271659305,84927.660779758,232938.245443768,34918.9369786336,281234.875838931,197194.772787299,168748.957106995,306835.176194327,236336.121849805,141661.531226818,371807.834515618,204217.441047749,182770.282987275,330157.026856176,209886.772210949,251253.573025293,251481.834157476,244902.765268026,128917.667232161,591580.784058473,221783.759753267,245338.343968565,211454.780627527,188810.835870544,194002.29375003,242098.199131122,146686.187751833,586324.82578249,122542.688748477,218279.317516241,215659.563028265,203666.224895133,198845.238654652,262626.995837088,159777.638529606,139751.216643435,812270.297377843,463809.143027142,410484.093506343,162256.054719233,3107952.97575329,839346.556032566,411448.002943703,316827.116939127,2980489.11842013,753299.038599453,1513462.60542789,1370057.42009186,703672.169370118,1148188.57189461,271144.490583833,242695.07011481,218723.022303816,242087.269314014,299032.432971836,481129.888890599,384440.270026775,37474.6642120539,223816.814285172,1087062.46504654,1000547.87911606,448367.707425058,321712.548774714,1216180.93056697,864135.927179379,63850.5649154155,64169.1624970618,47786.3115908391,89856.0906953412,36779.9698524441,61002.4736116653,80685.5071248268,89327.7687667394
"(10E,12Z)-10,12-Hexadecadienal","C16H28O","posi","CD",254.24773,2.445,785213.986669181,288996.96562518,835925.801884795,879578.836988095,822346.685525189,641273.213050931,1297536.92690285,695588.398789489,582964.147831185,356066.069065665,134465.601754344,93451.1313708673,194775.44834881,175664.752739453,168851.426732074,141813.69391325,48845.6868384973,87372.8376841742,148031.609022244,283882.291222875,152405.253843977,68024.8262073204,111413.410049208,207800.198959065,142694.092403688,197803.738777169,55267.3338419094,387055.685856545,190379.661676412,389227.057726317,57389.1036308982,29507.9630456825,232154.393828529,159231.820368523,194320.321258395,247088.512280874,94377.0612067291,54812.7425481045,678611.716844969,230963.194038363,140900.245459843,170717.350185274,53071.663407617,74433.2370827011,322093.864229908,99050.7434356914,89169.2018024724,27640.1686934899,87513.655934734,128750.442758452,125045.539413331,100893.027641543,207223.286902763,66146.1543455547,201426.927190113,115572.108798021,57718.2350728996,180561.635831145,279842.087773252,857886.488767514,136280.514412491,142206.022326734,1030315.69176296,417555.738014446,31229.33791759,887829.905937997,91927.8656598627,307538.074485235,64591.0570899553,277667.143923442,152471.074207609,110239.346021575,176261.477299824,222013.364746787,273849.364538096,61880.9103737512,121470.139070029,258601.247847161,125294.289312951,58280.6221025655,115232.739652658,159671.707387597,16133.4045740305,136448.392963692,132022.303770841,220519.173925517,104388.421492661,276969.106005935,1081525.84714556,108530.386007895,138274.8461701,620211.482278905,167947.242559679,137096.718856562,134921.683859892,228090.738786979,25030.8271568166,132961.569062502,152786.385900565,70808.7343278097,25102.0686506418,5256.65258685762,58679.9923287981,72270.3694972908,130816.780733972,13540.6189010665,194136.174060863,162205.411423245,62857.8299829048,37476.8142576544,23021.3794046809,162140.14780079,101512.790657914,313285.378007224,164335.995969235,28463.8746873301,150241.473417569,72649.9760550353,117784.945163894,194451.331852217,11881.7589014233,136351.186719959,903993.707649346,95211.0162410375,122249.773783371,217771.564866764,699925.980801207,53529.0670266666
"(10Z,12Z)-octadeca-10,12-dienoylcarnitine","C25H45NO4","posi","CD",424.34175,2.997,2250373.57739339,3494100.33191113,3723422.47191451,5969598.42473405,9125628.86159152,4061427.48130144,7503249.5110661,5503083.35899493,3239840.89791436,4875423.54625427,2873027.99770061,4896845.65507332,6357166.08075578,6877116.21773699,4276838.45893405,7015730.61792702,2734026.91116981,3955558.9154927,2173049.98318969,3483879.57851401,2495213.76432167,429203.476512348,1310772.2619463,4340981.18493132,2604049.09000495,9353336.1324177,846232.333287382,992407.960243558,6254973.64350906,4533453.90332216,1644605.59356228,1012766.50914149,2909098.79922214,7013508.098631,2230415.54836882,8398570.26034266,2358920.87398972,4170034.49333073,3630097.41934898,1884478.55514101,11086126.104058,2348990.55455932,896396.985432861,3359271.84426276,2042429.58572171,1230630.925009,2934851.73801404,5237635.23879165,5342131.44266264,1613481.9731062,2657576.33829977,11238569.0955827,6581027.92994703,478175.305123965,3292286.27139354,6034125.48634636,5842766.40836236,4653237.42444879,5213546.80783462,4868239.8657966,1310147.51415853,3153809.26950082,6299406.51209628,2101614.76877657,4005280.05624858,3713936.83453493,3163875.26975001,9128394.41215326,3469305.02315017,4351483.17698797,918451.272006762,1563192.84928158,5960494.38661572,5002664.34163063,1596304.00546605,2486385.29124546,5220571.68701538,1608188.59393057,1959973.69374854,7395650.13618369,8319383.39435761,3067895.67202097,3075010.56432853,2836327.32468546,5766374.1066239,897494.791415049,1561469.51956036,3714278.56785115,4172329.82634352,2245123.49311294,7135044.30002547,1977217.20086963,7108776.42996064,3803920.08573606,4261690.54998888,1858254.24592772,1943328.22167373,4328106.84089386,6467439.74368405,3096851.97473976,3034552.82380896,3122918.45960351,533725.166846148,1786852.0225108,1200027.6970422,899168.102004367,1501013.83751532,1728643.95254715,1916872.1079328,671650.831865566,2102218.34430612,3125212.99107084,785557.82018438,1027771.8347816,4365471.11455313,1953074.78203789,1129788.10815727,1624482.26043898,4567717.38749442,2470848.35703454,916326.396784279,2372846.48517182,2700419.08995993,2271566.98333342,1216552.83649511,1660492.72481261,3743580.42427377,737470.852936452
"(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2","nega","CD",391.3582,2.118,24970.566781968,13617.5033749195,18323.3188729911,21313.7672054617,20866.9917464093,10676.6553825902,31738.9170957156,18619.1252183004,9515.4577170171,9717.13947110143,41856.7332133849,26888.525367384,35863.7835949652,63485.2726132342,91452.9138603344,11822.4206572376,40859.0556239641,19772.2494459488,43504.1580724968,13777.4329536945,20297.736094126,17283.4542421056,26192.1726734577,16418.890785353,32464.2650208861,51602.027995607,12777.7993067903,95635.4783511216,30775.1779598368,50704.0082138093,32325.2878628503,41389.677769132,NA,15565.7029710243,37349.0194140735,83040.4090959713,9636.1261429659,53094.3147400086,28177.3565457187,9021.32083582808,47984.2894835514,12606.0831108663,25024.805887919,37153.9716507728,36092.961539589,36541.9379977667,62868.299392644,116972.417030564,19335.2611261958,52018.9466360823,27114.103516057,63896.0547880454,47215.2120138374,70828.1421460195,20264.7621247021,29622.9649665684,55917.1312807915,43924.272471528,25772.8146619088,42417.7996801517,55603.3567466283,23794.6403596317,19030.9922862798,53448.920716995,52740.2666653219,30047.8468358934,97030.8443555472,48508.7759689909,41318.3658623217,47501.4284118972,71024.5440809741,66346.2294776376,77296.1709615374,20414.7831486602,39622.6311328109,152780.864240102,48741.3583098565,22929.3332441189,44010.4948193067,64579.5167402913,51307.0436394926,17913.0452502001,42102.7669435327,67543.4643337125,42139.005617159,25980.024057445,61831.4229661227,25050.5112083541,23403.9715816511,48779.9806255357,25382.8477255349,41163.7385257331,27617.0992735734,80180.1523365475,54649.8345217659,16659.0695396339,49799.1371430258,12809.2624595543,38824.5905148969,6482.48542386508,55630.7724699842,32506.2662276125,17733.3822029693,73621.8975114283,74991.3861474577,19529.8951303881,32263.6353546534,17674.952403294,25885.7697832972,12808.4292019479,45056.7719018051,53575.3129638165,76190.6578869115,41069.5984304415,103215.505607102,150508.519125746,31212.5896233289,58917.7023365334,47719.7427385649,65632.5233236097,76090.7029756121,84045.4408931075,88653.307982153,87740.7992292029,44564.8619093773,68932.8317482965,87603.8259970806,138800.252368379
"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltetracosanoate","C44H87O10P","posi","CD",807.60817,3.791,452036.577400196,123838.794833898,236593.324660318,125848.123608195,460767.703708369,172866.971817396,402739.487073492,223209.7047798,199565.965576233,336713.144505789,153513.892684699,11453.1555446299,138880.716931638,352353.464010199,125080.150957169,235776.011885518,8023.87588979141,8344.87402291279,53367.1640881748,252285.240481033,129043.435878171,8315.72777854873,135422.886315136,7019.01816664336,119281.739650677,123288.533074729,135273.520769534,15372.6812200377,140279.110729103,18371.9988698339,11941.0693257839,8863.52855922572,11951.4158016338,260295.470626122,123071.440646815,162570.605696317,506634.447079417,14950.4561884635,17313.1553578493,435541.689206308,143606.281816712,125646.259502084,135199.590526716,22259.0898844225,153722.37898436,117139.408650172,32015.5479645576,10154.9423322924,271282.857352586,123530.08672433,19459.4191376379,74719.2776244524,8863.17547013559,26044.2026555939,187099.349099627,85792.05772679,64063.5082423971,143599.509519981,121987.417436226,277240.75815496,160478.674058416,71705.7632624684,369291.972699591,128932.683555991,28114.5366209894,187999.349283503,137117.535325058,92306.7556278757,164892.478827311,161621.582100673,8365.5821027825,126752.583767293,127301.991108657,121317.061459188,238928.179991978,133644.487409275,100706.729758214,15523.1637177395,118917.828526041,98326.1891003916,104036.008292018,118399.827759774,217675.939993862,125641.787228535,28784.486712155,16448.9073379544,140116.358987974,76331.2657134662,242225.786088174,122971.690968456,124835.403186184,14240.219921215,6971.14924101342,129013.08607041,85554.7062538502,5959.52545467478,112154.498314826,151044.573502895,104292.370789509,129936.394014126,7560.79715184066,41821.3173190617,17047.0949177605,117482.998989238,9946.2812967555,114431.458128257,102006.418831895,170789.151839222,112330.80843838,8052.73294437576,6969.9960413926,131574.72022232,9146.21285860676,16394.2790772679,129214.411157804,8117.06648640791,139414.444581561,128531.777057695,310551.594443082,60663.4259072973,11402.6960329782,201324.092651103,180562.600697279,146904.400465349,13629.648601772,201589.264975498,165647.950083129,296028.766496478
"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate","C43H85O10P","posi","CD",793.59389,2.949,4442427.84374303,3895603.44818572,1795141.53220915,1846130.21900218,6411314.14835997,2085162.19451577,3065440.55497533,1770090.31270458,2384315.63129817,5504381.91484381,4231971.9799215,2855977.42392478,4513002.31080671,6216495.89679687,4664506.26054176,7399454.19587382,2035689.52655317,3689807.89745167,2518332.77619126,3283388.54988054,45673.446093928,4186635.35016367,3667028.13243284,4292116.88240101,3664429.95084753,2024182.56582139,3267818.34137637,982044.329145024,3432619.34193741,4918068.78190941,3582766.09051857,3294504.32939916,4600710.95752794,2896786.51796737,3726744.61136324,6197489.37653688,4774530.97558553,5334741.21975009,4519665.97945927,4232010.25727747,6155001.78015552,4743916.59275736,4999059.59512887,5615230.34873115,3668610.35693468,3487646.05508034,4211772.34477072,4351994.36866044,4991835.70307957,541935.138269326,2758855.34896115,3077868.53347082,6098672.01760732,5336770.77590677,6254795.03567995,37886.272045503,2841363.84598585,7275042.40218068,3269208.28271329,5924849.97142719,5195917.25777212,6136382.42245533,5435629.53097615,3790287.63285571,10285891.8076156,8163253.58525409,5610909.16877652,6255371.98278525,8352351.44512727,9105698.73272564,5386559.66357342,1544908.55905865,5404323.01531938,4069493.9492634,4050173.80509264,2002458.82268094,3401604.97878394,4537254.72519418,3226653.4869437,4522251.26044076,3151131.17685,1471596.49966642,200712.949001404,3493700.45502891,4047409.50899028,4445973.93209867,3604012.05571035,1994147.46943217,2558348.85751777,3411433.75434115,5489678.80067925,5753084.34313461,3294144.18430023,3551228.20594438,3316150.02447596,2683545.58082615,214994.113330401,6115828.10694367,6108003.61943224,5539111.67922968,5450102.04474839,6173838.60368592,3644815.81146301,6929571.80377037,2977457.30251934,35377.7680486701,5112172.28614751,4831404.88227054,3861349.0987338,4195128.72675671,4747480.39402796,4416620.73335013,5580913.55307985,2210820.16297892,1708926.94066444,3157613.15908864,3663957.57134466,3977145.01347584,4714352.05803852,3036035.03563254,3701810.97491211,4858188.8564882,2308876.05934909,4182953.37559135,4756316.40203914,167366.96416883,6129516.76829005,1824585.43047507
