"raw.file","tissue","ion.mode","sequence.id","name","formula","rt","mz","ion.count"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","1M10_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,73159.4831574885
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","1M11_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,58307.7292554414
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","1M1_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,29438.4424453365
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","1M2_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,32506.3115118486
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","1M4_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,33921.6259914027
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","1M5_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,95175.2405916507
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","1M6_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,34393.1225509652
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","1M7_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,46720.4153432062
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","1M9_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,109142.812632873
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","2M16_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,141903.4064087
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","2M17_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,62443.0662005264
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","2M20_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,101083.714154917
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","2M22_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,38970.9115278814
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","2M23_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,117368.404592951
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","2M26_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,200543.419158726
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","2M31_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,72112.3798789055
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","2M33_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,185188.041655831
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","4M1_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,12989.4678277322
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","4M2_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,28353.2205595465
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","4M3_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,75436.2617379843
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","4M4_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,37486.8471839943
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","4M5_neg","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",2.191,391.35793,50428.7460574854
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","1M_01_neg_20250210174602","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,52668.0977901173
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","1M_01_neg_rerun","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,28244.4050708234
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","1M_02_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,60886.2554254204
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","1M_04_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,66039.0211592834
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","1M_05_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,63912.8371197554
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","1M_06_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,39542.2214676347
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","1M_07_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,25733.1410584456
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","1M_09_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,40650.8244080715
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","1M_10_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,35624.7602261622
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","1M_11_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,53819.79754557
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","2M_16_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,35770.0112675895
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","2M_17_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,72968.7311561537
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","2M_20_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,35711.9683409262
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","2M_22_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,55787.0496318149
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","2M_23_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,46368.778974578
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","2M_26_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,42428.0401358631
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","2M_31_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,33702.9518980935
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","2M_33_neg_20250211112917","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,54047.442972662
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","4M_01_neg_20250210165354","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,46759.3189877663
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","4M_02_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,60801.3845645373
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","4M_02_neg_rerun","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,61940.9954071162
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","4M_03_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,33125.0073027618
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","4M_04_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,33114.6274886413
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","4M_05_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,87505.7399249437
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","1M10_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,288204.396490275
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","1M11_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,258827.687292607
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","1M1_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,176388.232576605
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","1M2_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,208155.503629493
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","1M4_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,242709.896612792
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","1M5_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,202958.890569928
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","1M6_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,248039.523459291
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","1M7_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,252639.984868832
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","1M9_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,253935.583682943
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","2M16_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,223070.150685256
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","2M17_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,365730.738268227
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","2M20_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,286699.460912351
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","2M22_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,228926.086971798
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","2M23_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,378574.510005921
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","2M26_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,528937.098502825
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","2M31_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,779260.634003689
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","2M33_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,459842.908761045
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","4M1_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,500696.309047144
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","4M2_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,273707.518356554
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","4M3_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,280639.634034962
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","4M4_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,255246.38147221
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Liver","nega","4M5_neg","(17Z)-tricos-17-enoic acid","C23H44O2",2.19,351.32674,255914.657005031
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","1M_01_neg_20250210174602","(2E,4E)-2,4-Hexadienoic acid","C6H8O2",3.638,111.04514,557227.278571396
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","1M_01_neg_rerun","(2E,4E)-2,4-Hexadienoic acid","C6H8O2",3.638,111.04514,474402.985379363
"Muscle compound_Discover_neg_raw_file.csv","Muscle","nega","1M_02_neg","(2E,4E)-2,4-Hexadienoic acid","C6H8O2",3.638,111.04514,62492.9128772831
