"tissue","raw.file","source","sequence.id","sample","ion.mode","name","formula","mz","rt","ion.count"
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",391.35793,2.191,29438.4424453365
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","(17Z)-tricos-17-enoic acid","C23H44O2",351.32674,2.19,176388.232576605
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","(2E,4E)-2,4-Hexadienoic acid","C6H8O2",111.04514,3.638,60588.8518366585
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","(2R)-2,3-Dihydroxypropanoic acid","C3H6O4",105.01917,11.427,859109.403606829
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid","C6H13NO3",146.08204,14.328,2129192.10465164
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","(R)-2-Benzylsuccinate","C11H12O4",207.06603,3.865,545620.865878508
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","(S)-beta-Aminoisobutyric acid","C4H9NO2",102.05601,14.341,6415699.21368943
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","(S,E)-Zearalenone","C18H22O5",317.13938,4.025,95060.4400959621
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","(±)18-HEPE","C20H30O3",317.21194,2.428,2201099.65308815
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","(Â±)-2-Hydroxy-4-(methylthio)butanoic acid","C5H10O3S",149.02757,3.842,129201.121798696
