"tissue","raw.file","sequence.id","ion.mode","sample","name","formula","medrt","medmz","ion.count"
"Liver","labeled_valine_liver_nega.csv","1M10_neg","nega","1M10","Valine-C13N15","C5H11NO2",12.32,122.085396,845709.19
"Liver","labeled_valine_liver_nega.csv","1M11_neg","nega","1M11","Valine-C13N15","C5H11NO2",12.32,122.085396,832840.19
"Liver","labeled_valine_liver_nega.csv","1M1_neg","nega","1M1","Valine-C13N15","C5H11NO2",12.32,122.085396,841154
"Liver","labeled_valine_liver_nega.csv","1M2_neg","nega","1M2","Valine-C13N15","C5H11NO2",12.32,122.085396,793966
"Liver","labeled_valine_liver_nega.csv","1M4_neg","nega","1M4","Valine-C13N15","C5H11NO2",12.32,122.085396,840442.19
"Liver","labeled_valine_liver_nega.csv","1M5_neg","nega","1M5","Valine-C13N15","C5H11NO2",12.32,122.085396,860130.19
"Liver","labeled_valine_liver_nega.csv","1M6_neg","nega","1M6","Valine-C13N15","C5H11NO2",12.32,122.085396,919775.31
"Liver","labeled_valine_liver_nega.csv","1M7_neg","nega","1M7","Valine-C13N15","C5H11NO2",12.32,122.085396,850518.06
"Liver","labeled_valine_liver_nega.csv","1M9_neg","nega","1M9","Valine-C13N15","C5H11NO2",12.32,122.085396,860950.44
"Liver","labeled_valine_liver_nega.csv","2M16_neg","nega","2M16","Valine-C13N15","C5H11NO2",12.32,122.085396,873842.31
"Liver","labeled_valine_liver_nega.csv","2M17_neg","nega","2M17","Valine-C13N15","C5H11NO2",12.32,122.085396,907295.31
"Liver","labeled_valine_liver_nega.csv","2M20_neg","nega","2M20","Valine-C13N15","C5H11NO2",12.32,122.085396,933682.81
"Liver","labeled_valine_liver_nega.csv","2M22_neg","nega","2M22","Valine-C13N15","C5H11NO2",12.32,122.085396,928251.81
"Liver","labeled_valine_liver_nega.csv","2M23_neg","nega","2M23","Valine-C13N15","C5H11NO2",12.32,122.085396,917119.5
"Liver","labeled_valine_liver_nega.csv","2M26_neg","nega","2M26","Valine-C13N15","C5H11NO2",12.32,122.085396,952100.25
"Liver","labeled_valine_liver_nega.csv","2M31_neg","nega","2M31","Valine-C13N15","C5H11NO2",12.32,122.085396,881763.94
"Liver","labeled_valine_liver_nega.csv","2M33_neg","nega","2M33","Valine-C13N15","C5H11NO2",12.32,122.085396,883712.94
"Liver","labeled_valine_liver_nega.csv","4M1_neg","nega","4M1","Valine-C13N15","C5H11NO2",12.32,122.085396,834524.56
"Liver","labeled_valine_liver_nega.csv","4M2_neg","nega","4M2","Valine-C13N15","C5H11NO2",12.32,122.085396,880200.25
"Liver","labeled_valine_liver_nega.csv","4M3_neg","nega","4M3","Valine-C13N15","C5H11NO2",12.32,122.085396,854158.44
"Liver","labeled_valine_liver_nega.csv","4M4_neg","nega","4M4","Valine-C13N15","C5H11NO2",12.32,122.085396,849806.81
"Liver","labeled_valine_liver_nega.csv","4M5_neg","nega","4M5","Valine-C13N15","C5H11NO2",12.32,122.085396,879577
"Liver","labeled_valine_liver_posi.csv","1M10_pos","posi","1M10","Valine-C13N15","C5H11NO2",12.306,124.100052,631880.75
"Liver","labeled_valine_liver_posi.csv","1M11_pos","posi","1M11","Valine-C13N15","C5H11NO2",12.306,124.100052,648112.81
"Liver","labeled_valine_liver_posi.csv","1M1_pos","posi","1M1","Valine-C13N15","C5H11NO2",12.306,124.100052,571158.44
"Liver","labeled_valine_liver_posi.csv","1M2_pos","posi","1M2","Valine-C13N15","C5H11NO2",12.306,124.100052,624354.94
"Liver","labeled_valine_liver_posi.csv","1M4_pos","posi","1M4","Valine-C13N15","C5H11NO2",12.306,124.100052,626637.94
"Liver","labeled_valine_liver_posi.csv","1M5_pos","posi","1M5","Valine-C13N15","C5H11NO2",12.306,124.100052,596454.5
"Liver","labeled_valine_liver_posi.csv","1M6_pos","posi","1M6","Valine-C13N15","C5H11NO2",12.306,124.100052,684501.31
"Liver","labeled_valine_liver_posi.csv","1M7_pos","posi","1M7","Valine-C13N15","C5H11NO2",12.306,124.100052,635837.06
"Liver","labeled_valine_liver_posi.csv","1M9_pos","posi","1M9","Valine-C13N15","C5H11NO2",12.306,124.100052,623092.25
"Liver","labeled_valine_liver_posi.csv","2M16_pos","posi","2M16","Valine-C13N15","C5H11NO2",12.306,124.100052,639903.19
"Liver","labeled_valine_liver_posi.csv","2M17_pos","posi","2M17","Valine-C13N15","C5H11NO2",12.306,124.100052,653669.12
"Liver","labeled_valine_liver_posi.csv","2M20_pos","posi","2M20","Valine-C13N15","C5H11NO2",12.306,124.100052,640800.81
"Liver","labeled_valine_liver_posi.csv","2M22_pos","posi","2M22","Valine-C13N15","C5H11NO2",12.306,124.100052,611633.75
"Liver","labeled_valine_liver_posi.csv","2M23_pos","posi","2M23","Valine-C13N15","C5H11NO2",12.306,124.100052,676672.19
"Liver","labeled_valine_liver_posi.csv","2M26_pos","posi","2M26","Valine-C13N15","C5H11NO2",12.306,124.100052,701084.56
"Liver","labeled_valine_liver_posi.csv","2M31_pos","posi","2M31","Valine-C13N15","C5H11NO2",12.306,124.100052,644393.38
"Liver","labeled_valine_liver_posi.csv","2M33_pos","posi","2M33","Valine-C13N15","C5H11NO2",12.306,124.100052,639550.12
"Liver","labeled_valine_liver_posi.csv","4M1_pos","posi","4M1","Valine-C13N15","C5H11NO2",12.306,124.100052,573820.19
"Liver","labeled_valine_liver_posi.csv","4M2_pos","posi","4M2","Valine-C13N15","C5H11NO2",12.306,124.100052,589241.5
"Liver","labeled_valine_liver_posi.csv","4M3_pos","posi","4M3","Valine-C13N15","C5H11NO2",12.306,124.100052,662176.44
"Liver","labeled_valine_liver_posi.csv","4M4_pos","posi","4M4","Valine-C13N15","C5H11NO2",12.306,124.100052,637484.44
"Liver","labeled_valine_liver_posi.csv","4M5_pos","posi","4M5","Valine-C13N15","C5H11NO2",12.306,124.100052,611141.62
"Muscle","labeled_valine_muscle_nega.csv","1M_01_neg","nega","1M_01","Valine-C13N15","C5H11NO2",12.052,122.085503,965402.56
"Muscle","labeled_valine_muscle_nega.csv","1M_02_neg","nega","1M_02","Valine-C13N15","C5H11NO2",12.052,122.085503,943563.25
"Muscle","labeled_valine_muscle_nega.csv","1M_04_neg","nega","1M_04","Valine-C13N15","C5H11NO2",12.052,122.085503,964485.75
"Muscle","labeled_valine_muscle_nega.csv","1M_05_neg","nega","1M_05","Valine-C13N15","C5H11NO2",12.052,122.085503,1026038.06
"Muscle","labeled_valine_muscle_nega.csv","1M_06_neg","nega","1M_06","Valine-C13N15","C5H11NO2",12.052,122.085503,1019250.69
"Muscle","labeled_valine_muscle_nega.csv","1M_07_neg","nega","1M_07","Valine-C13N15","C5H11NO2",12.052,122.085503,1042316.94
"Muscle","labeled_valine_muscle_nega.csv","1M_09_neg","nega","1M_09","Valine-C13N15","C5H11NO2",12.052,122.085503,1057435.75
"Muscle","labeled_valine_muscle_nega.csv","1M_10_neg","nega","1M_10","Valine-C13N15","C5H11NO2",12.052,122.085503,1056262.5
"Muscle","labeled_valine_muscle_nega.csv","1M_11_neg","nega","1M_11","Valine-C13N15","C5H11NO2",12.052,122.085503,995176.56
"Muscle","labeled_valine_muscle_nega.csv","2M_16_neg","nega","2M_16","Valine-C13N15","C5H11NO2",12.052,122.085503,1067709.25
"Muscle","labeled_valine_muscle_nega.csv","2M_17_neg","nega","2M_17","Valine-C13N15","C5H11NO2",12.052,122.085503,909217.31
"Muscle","labeled_valine_muscle_nega.csv","2M_20_neg","nega","2M_20","Valine-C13N15","C5H11NO2",12.052,122.085503,899924.81
"Muscle","labeled_valine_muscle_nega.csv","2M_22_neg","nega","2M_22","Valine-C13N15","C5H11NO2",12.052,122.085503,889033.69
"Muscle","labeled_valine_muscle_nega.csv","2M_23_neg","nega","2M_23","Valine-C13N15","C5H11NO2",12.052,122.085503,897185.19
"Muscle","labeled_valine_muscle_nega.csv","2M_26_neg","nega","2M_26","Valine-C13N15","C5H11NO2",12.052,122.085503,920739.94
"Muscle","labeled_valine_muscle_nega.csv","2M_31_neg","nega","2M_31","Valine-C13N15","C5H11NO2",12.052,122.085503,970734.06
"Muscle","labeled_valine_muscle_nega.csv","2M_33_neg","nega","2M_33","Valine-C13N15","C5H11NO2",12.052,122.085503,742124.44
"Muscle","labeled_valine_muscle_nega.csv","4M_01_neg","nega","4M_01","Valine-C13N15","C5H11NO2",12.052,122.085503,1023268.44
