"name","formula","ion.mode","source","mz","rt","Liver_1M1","Liver_1M10","Liver_1M11","Liver_1M2","Liver_1M4","Liver_1M5","Liver_1M6","Liver_1M7","Liver_1M9","Liver_2M16","Liver_2M17","Liver_2M20","Liver_2M22","Liver_2M23","Liver_2M26","Liver_2M31","Liver_2M33","Liver_4M1","Liver_4M2","Liver_4M3","Liver_4M4","Liver_4M5","Muscle_1M_01","Muscle_1M_02","Muscle_1M_04","Muscle_1M_05","Muscle_1M_06","Muscle_1M_07","Muscle_1M_09","Muscle_1M_10","Muscle_1M_11","Muscle_2M_16","Muscle_2M_17","Muscle_2M_20","Muscle_2M_22","Muscle_2M_23","Muscle_2M_26","Muscle_2M_31","Muscle_2M_33","Muscle_4M_01","Muscle_4M_02","Muscle_4M_03","Muscle_4M_04","Muscle_4M_05"
"(+)-Nootkatone","C15H22O","posi","CD",219.174,2.435,3359081.04136649,2823814.08662698,896861.874964892,802742.549944797,1757077.66210121,1686489.27824585,1512663.67741436,1449523.34625863,1739628.62489005,1335228.70279636,347948.182474027,851628.117796145,1451151.07700536,1471766.03432025,1145388.16514914,1406513.65598265,823435.269017117,2642520.98093555,1866344.13032883,831096.866165062,1879309.00566967,1293866.17697841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(+)-castanospermine","C8H15NO4","posi","CD",190.10839,3.989,6491421.37007132,6065803.83463161,12129673.7389911,2565432.52819611,6983873.73561125,7075603.08090762,52276968.6274823,7326838.6295675,4001592.65282447,12437650.8525021,14204887.5309634,8132158.98321214,5302571.77654199,12363822.510167,53183912.4646195,9932108.06379619,9925854.49793046,2120011.13106197,4300324.77904987,8786500.10809552,10551569.7792702,8602419.59751564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(10E,12Z)-10,12-Hexadecadienal","C16H28O","posi","CD",219.21041,2.487,498815.31532928,93083.412832063,373428.365346443,337807.394978686,800145.021784153,546051.771162706,148846.279007147,542195.078556372,437788.860136427,606214.843041932,394204.871506982,387407.107023371,438507.977445672,276586.796683856,327084.016123432,269865.121440668,440079.69460061,477667.930074664,103922.598957839,574317.203310202,151998.888662616,342711.364731099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(10Z,12Z)-octadeca-10,12-dienoylcarnitine","C25H45NO4","posi","CD",424.34113,3.48,14388.6402677394,7978975.48920168,344134.274497458,11049.6279923942,4054165.76695384,269210.91270458,15061680.1709688,159290.903249381,309162.753472678,9334.1162618546,7400904.32827517,37110.5973760591,9388.20797877985,6125072.70194518,5174783.3787104,2085548.95509491,616854.654171244,46575129.7244416,10706.5677033602,13942108.5977391,17732902.6332337,8276.68499336286,54221120.4954609,15881612.1427904,74219884.6746504,97038918.8681823,120101971.763613,116045879.573889,173154157.575109,36477830.3678192,101518199.847591,51884223.8560471,73133066.3081401,64312741.6686235,18701103.0149368,41046981.4081075,68136764.8434874,6699855.27988543,62312899.0252079,44212712.0803309,88120237.075615,35896853.7596536,41171768.6604381,50471713.2467894
"(11E)-15-Oxo-11-icosenoic acid","C20H36O3","posi","CD",307.26253,2.448,1147960.53345917,5952867.87245032,1118313.16347422,3325280.36443819,1659271.73058444,1051054.65695067,847656.17507517,1199834.66606862,2846122.11029271,2096410.62322232,1809573.68026179,408564.34824722,813706.304606339,63867.3339157864,921067.485088537,730991.24613261,1305120.06189228,1722021.85548818,2255547.27810804,1152864.59156295,496665.189974189,398398.100889716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid","C18H34O5","posi","CD",313.23679,2.926,242548.703892231,886501.308257067,425662.975885743,784495.311649529,746551.053034718,103310.30179084,505566.348472748,457355.459282012,878351.160415608,965516.71794045,338816.052789585,450597.913592275,100525.064319224,242325.134534658,628310.388403935,331523.852651823,968305.096555029,165614.827304743,373234.746381608,988205.494628009,582145.615089546,532704.99708321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2","nega","CD",391.35793,2.191,38087.0885093905,67687.6124592743,61513.6209757689,35400.7618541909,39145.571862104,113542.373586936,40246.7509390423,50875.0005194193,102619.07630241,140235.183117594,61388.6863651503,87982.0287169246,37180.7095460149,126026.114747967,189357.950917748,71644.4980819122,179713.733735315,14727.3534588804,30305.4482508795,79869.5140824945,40564.822925205,54816.756348188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate","C43H85O10P","posi","CD",793.59203,3.807,6932.91315116368,55387.2525377016,11631956.9945645,3138195.49164721,2142401.59113979,7877584.14822396,20230.3182219222,9555.14986360108,3039104.33332472,3384361.92816263,31847.8857049282,8305.59369806268,21414.0313065491,18827209.5927546,24336.0953067401,3924606.71251876,67577.9124256539,23621.0457584022,25916.4477173878,3433418.98679537,2598137.48418156,3084850.45521412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(17Z)-tricos-17-enoic acid","C23H44O2","nega","CD",351.32674,2.19,228208.888382421,266648.514406515,273058.622886887,226690.235523674,280087.331365185,242126.355894944,290255.265683188,275105.845421319,238757.224678744,220447.727232983,359555.206875055,249539.704926743,218409.937399452,406500.154825542,499435.212369649,774204.610802457,446249.581378156,567685.421503639,292553.327972414,297132.316557716,276204.190122992,278182.832128791,47563.9094695659,51575.789919003,61748.9699326128,54131.3332980825,41806.2888242526,22570.7497587259,34372.5235679805,30336.6166815419,48830.7870034064,30206.749176813,63979.4342635398,33462.7635978193,63041.1622377998,47316.0996105174,29226.6697789794,35218.2240620127,64475.9778686694,45125.3053812528,61601.9819484414,36477.8929721614,30725.1012608174,73787.892359647
"(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine","C5H11NOS","posi","CD",134.06297,14.598,58876.1841428414,141007.500266374,410467.957735443,28389.6979574401,109521.610299998,61730.0277403493,135709.90672304,127573.887536905,188500.32035915,1413206.66877027,240958.342962166,823888.608081285,188482.707228199,464152.83612636,646132.989588897,571181.883762769,629231.33905952,47395.2846231404,44254.9367620069,82446.6197180736,77527.5834913827,70665.849476145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate","C14H23NO3","posi","CD",524.36985,3.12,59885657.575396,43194327.111723,56639873.9162954,55701914.9391503,50166801.1632193,41782182.3976368,35180463.026259,60464077.2549538,38689629.7860941,150066715.32123,119134591.706553,109107852.602162,149892695.158985,78406849.1545532,109314530.53717,96653990.6845815,90082763.168688,97212804.5062821,76032034.0077418,73206812.7963176,75379645.6953586,87493290.7712198,32652621.3669247,31972729.7413809,27433851.4857037,18329243.6401726,20039328.280147,30877335.3268849,27751630.8973259,30900561.613181,24641557.9701631,80208543.1029718,72879000.4930468,88550096.5955956,71663565.5682915,43795190.5581178,97672560.9514825,53722391.6450686,41493982.5759302,247167.775993312,32887139.5587849,33800118.8519645,37269547.6540397,40437208.9717142
"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol","C20H18O3","posi","CD",307.13363,15.111,429944.31965939,42260.4065523783,613219.494309806,44133.2789028977,160020.071173862,489610.799879195,433396.807625251,435566.293797063,111883.137610253,41598.7968998128,594150.372545647,614797.845252585,686859.19411059,637095.34791519,700553.849959938,654050.445223597,536518.136797861,347087.920906498,45796.1091973944,697011.318235541,736236.259589083,678096.859531276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(24Z)-3-Acetoxy-15-hydroxy-7-methoxylanosta-8,24-dien-26-oic acid","C33H52O6","posi","CD",545.38744,2.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62585.7435935391,13723.1733233065,14496.2425688225,21329.0654023647,60644.9991235628,138060.204398516,17217.7157518254,12843.2253919302,13985.5974306474,31589.1639064821,95649.2548755689,5371.67841046055,4206.32882155171,8604.71341367153,45314.6579846922,11037.5047569831,25210.6319246149,49316.8261885134,13194.7822931129,11000.4541097909,38296.5269126301,61222.8666170315
"(2E,4E)-2,4-Hexadienoic acid","C6H8O2","nega","CD",111.04514,3.638,78389.0984337973,59269.7279142631,187339.157922205,168796.37209512,194715.294962707,97045.9465821174,65801.7676323658,210398.660230982,111370.46908789,118796.859056993,87445.7259804749,122503.502491171,257531.145833042,360828.433879037,129740.363283308,187627.691764413,265554.017296134,78469.9901632986,122725.581735804,121162.731782812,121684.169215025,116806.342709161,503225.082051771,52936.7641919335,82987.0826418297,85540.7779079712,92732.429343018,81897.6245354485,54990.1053232694,63429.5375913587,301603.560318676,105005.960206,126092.955213598,67574.7295915672,109689.188867896,90004.4688266601,52360.1990589067,79022.7121857873,85927.9454283818,130544.099937428,149408.50342483,80700.2226538766,89766.4518428843,102075.534179876
"(2E,4E)-5-(3-diazo-4-oxocyclohexa-1,5-dien-1-yl)penta-2,4-dienoic acid","C11H8N2O3","posi","CD",234.08707,15.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2067965.27442344,1433891.78850902,4116752.15876241,4537424.7374007,8352418.09543817,6428341.94167433,4239609.17934833,7102073.8438518,5195309.92444953,14062718.4872254,11881623.1840157,4464255.53025253,5799729.78923746,6522999.96000656,6491386.105497,5113706.5846021,7735973.67670123,4635036.26930531,4737133.5703697,5128994.89962316,7218995.54553191,7297089.53705821
"(2E,4E,12Z)-N-Isobutyl-2,4,12-octadecatrienamide","C22H39NO","posi","CD",334.31001,2.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54995.6050304454,33549.588159892,82143.0820867615,137004.358602341,59711.7619259641,61908.5526117625,89130.6115419288,68003.5735037085,100065.025053402,273531.743647061,94792.0030587749,78786.5173584783,70490.5069836895,311037.765018021,182119.219167461,85632.1619914114,16007.6364703936,91414.4478856134,36001.4212655695,37375.9653012767,150911.587825234,98591.0859252271
"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide","C22H41NO","posi","CD",336.32562,2.403,3952370.29961171,1218245.45418117,8349811.1087961,2290414.19932516,2982194.51836333,1943557.47592996,2510357.03366877,1185804.25915586,2496534.50619421,1559573.97482504,1702897.69891331,1644372.43768222,3272101.79420145,3122852.26503084,2508383.56291867,3209709.39450853,1816124.58871136,7459872.19217341,5692532.47033919,376294.130929613,3277290.38648567,2550495.91864481,646748.057511302,805488.042352476,518172.581292201,774066.686890765,569150.414238316,446327.101781268,602824.015587867,496903.361315987,716134.223810359,1705264.51946413,4197223.72484783,374737.565086201,404706.919086802,1538398.59584355,1029345.70500301,593856.542335421,211894.874824126,662053.460329425,126383.508837985,374817.205453152,965539.738949341,636408.718610516
"(2E,5E,12Z,15Z)-1-Hydroxy-2,5,12,15-heneicosatetraen-4-one","C21H34O2","nega","CD",377.26727,2.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22403.6794739198,65361.1253158678,144028.912596457,78909.6943222471,32876.9621454438,98212.4329387581,88164.1536735544,143079.15153744,65714.6509315062,17358.8058456416,3408.74990563588,36070.731825093,70670.7488995498,94087.8296729456,43736.4792503306,8398.72753119655,9380012.72631205,3438.98535167641,3440.34038498704,134821.360333006,137946.075780316,122811.231532295
"(2E,5Z,7E)-Decatrienoylcarnitine","C17H27NO4","posi","CD",310.20066,6.462,31160972.2470206,17398443.5763784,19398712.7088679,18935662.6353071,21844408.7762641,36052669.9856074,29349536.2818234,28003247.8691408,32087163.4768106,25934025.5466036,39146140.1540952,20458925.3125634,32550780.7021481,22452132.6886048,32508909.7084536,13080425.9101229,33493101.0520317,23517958.9583219,21803055.607009,12242746.7839333,31327074.023816,26216526.2624244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(2R)-1-(Octanoyloxy)-3-(phosphonooxy)-2-propanyl palmitate","C27H53O8P","posi","CD",537.35219,8.918,2686.53663613451,26279.0845273049,4517.61265411988,2028.74030778668,2840.70662584797,75438.1244570784,52565.5156849864,171082.787764086,19080.1397718091,1704.47447392264,3726.04527732126,13360.5488846581,274360.407993603,132140.883652108,174164.061608612,111613.703855024,63756.1859090972,3139.4931616327,2342.69783159424,1880.23183028703,2003.28384218354,2046.663477959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
