"tissue","raw.file","source","sequence.id","sample","sample.id","ion.mode","name","formula","mz","rt","ion.count","val.ic","med.val","val.adj.ic","med.adj.ic"
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","(13Z,16Z)-hexacosa-13,16-dienoic acid","C26H48O2",391.35793,2.191,29438.4424453365,841154,907295.31,31753.235155939,38087.0885093905
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","(17Z)-tricos-17-enoic acid","C23H44O2",351.32674,2.19,176388.232576605,841154,907295.31,190257.926795739,228208.888382421
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","(2E,4E)-2,4-Hexadienoic acid","C6H8O2",111.04514,3.638,60588.8518366585,841154,907295.31,65353.0520091269,78389.0984337973
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","(2R)-2,3-Dihydroxypropanoic acid","C3H6O4",105.01917,11.427,859109.403606829,841154,907295.31,926662.576257585,1111504.99742579
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid","C6H13NO3",146.08204,14.328,2129192.10465164,841154,907295.31,2296613.95016782,2754722.10508233
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","(R)-2-Benzylsuccinate","C11H12O4",207.06603,3.865,545620.865878508,841154,907295.31,588523.923859019,705917.449602605
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","(S)-beta-Aminoisobutyric acid","C4H9NO2",102.05601,14.341,6415699.21368943,841154,907295.31,6920176.09968104,8300551.37105686
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","(S,E)-Zearalenone","C18H22O5",317.13938,4.025,95060.4400959621,841154,907295.31,102535.197437808,122988.008023844
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","(±)18-HEPE","C20H30O3",317.21194,2.428,2201099.65308815,841154,907295.31,2374175.70633856,2847755.19156033
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","(Â±)-2-Hydroxy-4-(methylthio)butanoic acid","C5H10O3S",149.02757,3.842,129201.121798696,841154,907295.31,139360.416588039,167158.794851221
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","(Â±)-2-Methylbutanal","C5H10O",85.06593,3.619,42052.916531545,841154,907295.31,45359.6058996239,54407.5372530008
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","1,2,3-Propanetricarboxylic acid","C6H8O6",175.02457,4.03,78941.0723313011,841154,907295.31,85148.3375131786,102132.9716914
