label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,1M1_pv_pos_rerun_20260302114540,1M2_pv_pos_rerun,1M4_pv_pos_rerun,1M5_pv_pos_rerun_20260302105338,1M6_pv_pos_rerun,1M7_pv_pos_rerun_20260302123744,1M9_pv_pos_rerun_20260302132946,1M10_pv_pos_rerun,1M11_pv_pos_rerun,2M16_pv_pos,2M17_pv_pos,2M20_pv_pos,2M22_pv_pos,2M23_pv_pos_rerun,2M26_pv_pos,2M31_pv_pos,2M33_pv_pos,3M1_pv_pos,3M4_pv_pos,3M6_pv_pos,3M7_pv_pos,3M14_pv_pos,3M15_pv_pos,3M27_pv_pos_rerun,3M11_pv_pos,3M13_pv_pos,3M16_pv_pos,3M17_pv_pos,3M18_pv_pos,3M21_pv_pos,3M26_pv_pos,3M28_pv_pos,3M31_pv_pos,3M33_pv_pos,3M34_pv_pos,3M37_pv_pos,3M38_pv_pos,3M39_pv_pos,3M40_pv_pos_rerun,4M1_pv_pos,4M2_pv_pos_rerun,4M3_pv_pos,4M4_pv_pos,4M5_pv_pos,5M1_pv_pos,5M2_pv_pos,5M3_pv_pos,5M4_pv_pos,5M6_pv_pos,5M7_pv_pos,5M8_pv_pos,5M9_pv_pos,5M10_pv_pos,blank003_pos,2M16_sys_sac_pos_rerun,2M17_sys_sac_pos,2M20_sys_sac_pos,2M22_sys_sac_pos,2M23_sys_sac_pos,2M26_sys_sac_pos,2M31_sys_sac_pos,2M33_sys_sac_pos,3M1_sys_sac_pos,3M4_sys_sac_pos,3M6_sys_sac_pos,3M7_sys_sac_pos,3M11_sys_sac_pos,3M13_sys_sac_pos,3M14_sys_sac_pos_rerun,3M15_sys_sac_pos,3M17_sys_sac_pos,3M18_sys_sac_pos,4M3_sys_sac_pos,3M21_sys_sac_pos,3M26_sys_sac_pos,3M27_sys_sac_pos,3M28_sys_sac_pos,3M31_sys_sac_pos,3M33_sys_sac_pos,3M34_sys_sac_pos,3M37_sys_sac_pos,3M38_sys_sac_pos,3M39_sys_sac_pos,3M40_sys_sac_pos,4M2_sys_sac_pos,4M5_sys_sac_pos,5M2_sys_sac_pos,5M3_sys_sac_pos,5M4_sys_sac_pos_rerun,5M6_sys_sac_pos,5M7_sys_sac_pos,5M9_sys_sac_pos,5M8_sys_sac_pos
,1,2,93,124.099861,11.912,0.856761,,C13N15-label-5-1,L-Valine,L-Valine,C5H11NO2,0.072448,1.659900,0.000000,706036.50,698494.69,460350.50,694151.75,606860.94,574447.75,686929.94,709030.44,642611.44,622775.06,645879.25,613493.94,605437.06,681501.75,670989.56,618219.06,660167.44,628456.69,706208.44,605110.81,737379.81,727632.69,680307.69,588768.75,677530.50,655999.06,638218.94,625222.06,689753.19,696616.44,718706.94,683793.44,723000.06,732030.56,703317.31,679091.94,707179.31,676401.06,776646.31,699165.31,693454.50,689846.31,630032.00,676572.44,889341.00,675906.31,924321.50,621668.75,742114.50,646970.19,651859.69,674766.81,673414.50,620422.44,845800.69,621132.31,606750.06,621957.44,789539.75,672141.44,754746.81,671195.62,595531.56,617554.56,624920.31,588263.69,581468.19,596407.00,754941.25,555582.56,574174.06,616704.81,583584.06,638770.12,612499.56,735028.31,724929.50,622373.31,659024.69,617758.56,708715.00,680479.44,706898.81,640392.69,550254.56,669072.38,584323.44,668704.81,755861.94,643931.31,604462.56,744926.50,665614.19
,3,3,90,132.101822,9.947,0.834220,[M+H]+,C12 PARENT,L-Leucine,L-Leucine,C6H13NO2,0.097283,0.577539,132.101822,6995809.50,5379640.50,5206378.50,8359556.00,4192045.00,5414963.50,6783108.00,7329664.00,7841560.00,3637481.00,3049953.75,3667677.00,3205688.75,4287494.00,4562454.50,5451039.00,2046594.12,4026702.75,1961022.00,2688025.00,5442088.00,2992648.75,4384931.50,1083164.50,4519638.00,4077757.00,4938857.50,3945671.00,4552875.50,4847226.50,6310478.50,3798152.75,4874794.50,3116698.25,7122504.00,4090443.00,6700278.00,3912811.75,9374109.00,5455894.00,4687879.00,5244858.00,3395136.75,4439048.50,12431173.00,4904831.50,8296376.00,5161634.00,5782868.00,4295134.50,2966487.75,3481726.75,4231155.50,5655.81,4996888.00,2938655.75,3160200.75,2141828.00,5612816.00,4244929.00,5299884.50,5492268.00,4981861.50,3654830.00,2536601.00,5581076.50,3286316.75,4854084.50,3423367.00,2028492.38,4389493.50,3512629.25,4331068.00,7814577.50,4839992.00,4134161.25,3812785.75,2575329.75,2703649.75,3830134.00,3863970.75,6836518.50,3127764.00,3070926.25,3438714.75,3083259.25,3151038.75,5837630.00,3823785.75,4108118.75,3999427.25,3685589.00,3945616.00
,3,4,92,133.105286,9.950,0.816759,,C13-label-1,L-Leucine,L-Leucine,C6H13NO2,0.099844,0.229274,132.101822,449626.62,364223.66,354469.12,552517.19,273350.00,350467.41,461438.91,478076.59,527829.69,253568.88,203769.11,249447.08,204422.30,288145.69,307922.09,356399.00,144702.19,260918.30,123940.66,180359.17,370224.59,195024.52,291677.34,122649.94,295904.28,275989.72,333790.72,266770.09,296850.62,333978.22,432608.97,265224.62,322040.47,140991.20,480182.59,272308.53,440426.25,261875.55,613887.69,357219.50,310270.41,350885.28,222628.75,301348.69,822481.75,329116.53,556611.56,329132.53,378297.12,292039.66,195870.20,241281.80,274581.34,1549.01,349045.75,197089.00,213378.25,143237.44,352940.25,279484.22,350116.03,358326.53,325249.88,239720.30,168838.77,369860.00,216272.92,316435.28,227898.30,124548.96,299598.12,229493.88,287320.53,513340.34,300123.84,273981.00,240162.88,162159.05,173170.89,264286.84,262807.88,440170.09,210685.70,203124.30,228040.52,197202.45,207599.33,370514.66,250642.05,272641.22,250500.80,244740.70,259173.30
,3,5,0,133.100220,9.955,0.366416,,N15-label-1,L-Leucine,L-Leucine,C6H13NO2,0.105420,9.629966,132.101822,17600.51,14846.89,11683.07,23044.80,8398.82,10311.42,20122.24,19803.58,23325.61,6812.29,3662.53,7892.38,5290.10,8898.50,10543.74,11743.57,1773.40,5703.75,779.25,3125.67,14069.70,3560.37,8785.60,8450.73,8367.39,9230.86,10381.95,7783.87,11528.56,11515.60,10681.38,6723.12,10483.58,41558.23,20852.60,9039.11,16351.85,7478.79,28077.43,10137.96,11092.23,10003.43,4069.49,9346.87,38644.07,11583.63,22411.06,12118.67,16233.05,11314.44,5690.45,7709.96,9321.52,873.47,14929.16,5383.78,10861.05,3024.06,12135.22,8970.50,13859.87,13161.00,12255.44,6584.34,3492.12,14384.91,4454.78,11854.89,5895.81,4146.42,9211.58,5356.75,9315.25,23754.17,11376.95,7873.21,9334.83,3078.02,3065.77,12106.32,5711.74,18556.07,6506.39,4293.91,7597.17,4414.95,3940.56,15861.79,5708.11,9532.74,7558.91,19238.13,5671.50
,6,6,87,132.101791,10.473,0.803356,[M+H]+,C12 PARENT,L-Isoleucine,L-Isoleucine,C6H13NO2,0.062725,0.808554,132.101791,4545340.50,3153937.25,3081560.00,5345924.50,3241016.25,3585743.25,4242478.50,4851847.50,4728965.50,2490616.00,2040377.50,2334720.75,1978817.38,2736845.00,2336662.75,3571913.75,1379428.88,2833559.00,1290281.38,1690036.62,3233062.75,1906085.62,2507342.75,1483303.38,2863635.25,2149133.25,3219433.00,2108913.25,2952785.25,3154858.00,3953026.25,2477623.00,3089883.00,2563438.00,3892596.75,2356580.75,4250030.00,2619441.00,5664305.50,3412036.75,2959162.75,3357736.25,2188752.50,3104902.00,7119834.00,3161635.75,4895909.50,3490928.75,3610222.00,2810389.25,2731771.25,2363859.25,2808468.75,84.80,3189282.00,1859395.00,1626708.00,1522403.50,2814240.75,2149664.75,3015523.25,2976173.75,2528984.00,2069029.38,1558842.38,2750467.25,1794714.38,2498908.75,2140765.00,1198118.88,2488417.75,1874243.62,2341802.25,4228868.50,2352706.75,2255737.75,1804937.00,1542167.12,0.00,1719352.88,2064806.00,3809731.25,1659039.62,1435116.62,1773381.62,1944561.00,1708491.00,3314119.75,2536538.00,2422498.75,2434081.00,2181006.75,2389098.25
,6,7,92,133.105255,10.494,0.850368,,C13-label-1,L-Isoleucine,L-Isoleucine,C6H13NO2,0.083920,0.000000,132.101791,300012.91,217225.20,209608.02,358978.41,220329.08,247361.19,276801.28,319097.97,314935.22,165660.56,135062.86,151235.45,132919.91,171459.28,158748.34,239087.31,87320.12,183788.80,89045.41,109099.81,208510.14,125639.35,168525.11,115281.26,194170.48,141958.05,219635.73,137419.31,188242.61,213717.08,255850.00,159563.42,207261.52,165094.05,256004.42,160581.64,284311.78,182276.19,372575.47,230932.58,194511.38,223729.88,145809.11,209297.83,480653.28,208125.69,333000.72,229994.44,242257.38,188336.58,175870.00,158873.02,176962.05,1147.84,207826.45,119028.66,107360.70,101529.19,177860.70,143724.67,205796.86,198160.89,175704.88,135861.73,104188.12,182972.52,123007.79,166354.94,141713.39,75653.41,166031.22,121200.02,154889.56,268942.78,158583.80,149300.69,125765.78,98127.95,96549.31,112900.06,137855.50,246146.95,113838.21,96130.62,108944.10,127780.34,117905.78,203750.83,161137.98,157092.22,158088.50,150282.11,152153.30
,6,8,89,134.106262,10.493,0.837106,,C13-label-2,L-Isoleucine,L-Isoleucine,C6H13NO2,0.083033,17.522018,132.101791,16406.40,11733.00,9961.40,21828.61,11087.35,10598.00,17940.77,19420.04,16581.74,9570.78,7483.25,9405.95,7232.63,10780.79,7496.46,14235.80,5277.23,8478.00,3546.28,5272.33,12142.57,6289.11,9575.89,6475.96,10678.95,7177.45,12427.44,7986.06,11081.50,11226.32,15713.78,9570.59,9899.83,7734.81,14697.32,8313.08,17051.83,9333.50,21310.79,12245.12,9434.83,12897.82,10113.89,10293.68,22042.02,12030.29,18238.49,11529.82,16077.40,11696.95,8731.70,9160.83,10498.32,482.99,12499.56,6234.02,7423.59,5077.29,11275.35,7667.37,12296.15,12545.59,7320.54,8216.43,6257.38,8585.42,6724.57,10028.36,8423.73,4962.84,8716.81,7045.80,8458.61,16998.23,9213.84,7929.05,7661.55,5185.48,4804.85,5726.31,9086.98,14239.06,6011.84,5869.98,5808.03,7209.78,5696.19,14223.01,7797.04,8964.15,8603.56,7473.59,8847.05
,9,9,91,147.076340,14.493,0.846355,[M+H]+,C12 PARENT,L-Glutamine,L-Glutamine,C5H10N2O3,0.213015,0.518737,147.076340,5944244.00,4646982.00,5292015.50,5791905.50,5136708.50,6320380.00,7279530.50,8312775.50,6528727.50,2520064.75,2653282.75,2582064.00,2423100.50,3474269.25,2335709.75,3203560.00,2670882.25,7475334.50,4667155.50,7543050.50,10596255.00,3791472.25,10987215.00,630267.94,8348286.00,7284784.50,3388056.75,3765558.00,6547439.50,6106381.50,6359581.50,6722480.00,4851338.00,1340174.38,7994094.50,6150508.00,5781443.50,2736739.75,6903398.50,6589438.50,5090355.00,6572866.50,6417553.50,7751782.50,11876227.00,6515074.00,6029298.50,5842300.50,9118129.00,5671053.50,5077826.00,7049726.50,12861363.00,10159.34,7654846.50,9707207.00,9664900.00,10115412.00,5777742.50,11964575.00,8564381.00,13994873.00,10742077.00,10753051.00,6610698.50,11788333.00,8345582.50,11888923.00,13618465.00,10711276.00,10097581.00,7358726.00,10597635.00,14483997.00,11738820.00,4961908.00,12803127.00,2262272.25,9181697.00,11004350.00,5323784.00,13918091.00,11417723.00,8170449.50,10606644.00,6856941.50,9486761.00,10762756.00,17417064.00,11865017.00,10291767.00,6109676.00,12839429.00
,9,10,92,148.080078,14.493,0.857543,,C13-label-1,L-Glutamine,L-Glutamine,C5H10N2O3,0.213212,2.060888,147.076340,1291633.50,956338.31,1549682.12,1257436.00,1265466.38,1403451.38,1420050.12,1591554.62,1450689.62,380257.88,273236.53,331348.12,264180.75,386273.00,283800.25,413551.50,310039.41,412948.72,268832.47,427978.00,620175.56,161173.33,624154.56,41761.79,495448.91,425965.41,157978.19,225406.08,369388.16,332877.16,330579.91,386383.91,281960.25,67275.10,457217.22,355200.16,325855.91,152292.30,391402.25,369497.59,268504.53,344158.47,351572.34,454254.41,677833.06,375140.47,311540.38,321227.94,510409.12,328580.78,283097.94,396953.34,501830.38,475.29,416778.28,555258.50,541705.31,549416.00,307046.09,666058.44,484611.34,801432.19,616556.19,600988.81,364799.97,640785.69,457598.62,662327.56,755165.00,596601.06,575133.88,400584.28,587764.25,805352.31,650437.44,258465.06,722160.31,116373.81,527903.50,596538.62,272064.47,768084.50,647517.94,446736.50,603389.94,379905.62,521302.72,613177.81,913857.50,676355.25,573383.56,311388.47,714729.44
,9,11,85,148.073563,14.514,0.848400,,N15-label-1,L-Glutamine,L-Glutamine,C5H10N2O3,0.233568,0.721341,147.076340,37052.13,29258.68,36363.64,39845.39,47126.54,35153.91,34557.59,58491.61,27756.46,13575.23,50570.53,13907.63,16669.34,15290.07,15013.35,21856.55,16669.49,40299.06,31046.38,54735.97,80773.71,8957.72,74482.63,48062.21,60660.39,45995.54,21289.58,24087.30,41448.04,26819.38,35927.93,37856.09,29307.41,11896.35,54608.24,42726.80,30769.73,47911.78,41864.49,44543.03,33437.29,42715.98,40516.28,51708.34,77425.88,34889.95,36000.39,39282.51,67750.30,43168.86,52233.49,44661.92,74435.92,1471.60,56067.82,68304.59,72249.47,65359.42,37244.35,92897.81,58149.17,112754.34,76966.98,64716.92,46276.82,78220.77,57040.04,81069.70,85990.27,76323.15,79413.82,49972.64,69031.78,103185.31,78924.37,28064.91,89570.62,8450.68,59951.43,78163.52,36957.32,100104.31,76437.41,56481.53,73652.28,47689.61,67193.05,80352.41,130819.77,81187.56,74680.38,16684.09,89895.59
