label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,2M16_sys_sac_neg,2M17_sys_sac_neg,2M20_sys_sac_neg,2M22_sys_sac_neg,2M23_sys_sac_neg,2M26_sys_sac_neg,2M31_sys_sac_neg,2M33_sys_sac_neg,3M1_sys_sac_neg,3M4_sys_sac_neg_rerun,3M6_sys_sac_neg,3M7_sys_sac_neg,3M11_sys_sac_neg,3M13_sys_sac_neg_rerun,3M14_sys_sac_neg,3M15_sys_sac_neg_rerun,3M17_sys_sac_neg,3M18_sys_sac_neg,3M21_sys_sac_neg,3M26_sys_sac_neg,3M27_sys_sac_neg,3M28_sys_sac_neg,3M39_sys_sac_neg,3M31_sys_sac_neg,3M33_sys_sac_neg,3M34_sys_sac_neg,3M37_sys_sac_neg,3M38_sys_sac_neg,3M40_sys_sac_neg,4M2_sys_sac_neg,4M3_sys_sac_neg,4M5_sys_sac_neg_rerun,5M2_sys_sac_neg,5M3_sys_sac_neg,5M4_sys_sac_neg,5M6_sys_sac_neg,5M7_sys_sac_neg_rerun,5M8_sys_sac_neg,5M9_sys_sac_neg,1M1_pv_neg_rerun,1M2_pv_neg,1M4_pv_neg,1M5_pv_neg,1M6_pv_neg,1M7_pv_neg_rerun,1M9_pv_neg,1M10_pv_neg,1M11_pv_neg,2M16_pv_neg,2M17_pv_neg,2M20_pv_neg,2M22_pv_neg,2M23_pv_neg,2M26_pv_neg,2M31_pv_neg,2M33_pv_neg,3M13_pv_neg,3M14_pv_neg,3M27_pv_neg,3M38_pv_neg,3M39_pv_neg,3M1_pv_neg,3M4_pv_neg,3M6_pv_neg_rerun,3M7_pv_neg,3M11_pv_neg,3M15_pv_neg,3M16_pv_neg,3M17_pv_neg,3M18_pv_neg,3M21_pv_neg_rerun,3M26_pv_neg,3M28_pv_neg,3M31_pv_neg,3M33_pv_neg,3M34_pv_neg,3M37_pv_neg,3M40_pv_neg,4M1_pv_neg_rerun,4M2_pv_neg,4M3_pv_neg_rerun,4M4_pv_neg,4M5_pv_neg,5M1_pv_neg,5M2_pv_neg,5M3_pv_neg,5M4_pv_neg,5M6_pv_neg,5M7_pv_neg,5M8_pv_neg,5M9_pv_neg,5M10_pv_neg,STD1_neg2,STD2_neg2,STD3_neg2,STD4_neg2,STD5_neg2,STD6_neg2,blank009_neg
,1,2,92,122.085609,11.926,0.855773,,C13N15-label-5-1,L-Valine,L-Valine,C5H11NO2,0.085684,0.812399,0,540844.94,733757.5,768654.69,761260.44,640935.06,638856.31,750362.25,792531.69,705052.56,661496.94,653615.5,680932.75,708696.56,797356.5,717236.44,563525.31,711467.31,669363,806021.94,758175.69,730587.31,790186.06,820251.31,651043.19,749750.56,780501.75,750247.81,823612.81,791443.56,671486.5,719284,666906.06,691214.81,757266,675023.5,730195.5,733097.19,807771,764516.81,938969.75,846995.31,747975.81,880760.5,874702.25,870757.5,872351.19,893466.44,755924.94,785924.75,878637.69,734792.31,786162,764313.19,787509.56,839282,758251.25,573912.5,680534.44,936451.06,820866.5,783272,645285.56,674666.25,780483.94,646900.69,691632,658508.31,654861.94,685273.12,833491.31,634038.81,870789.06,893303.19,933093.69,893820.19,923859.31,947078.31,861989.06,638207,700540.31,808676.56,666683.69,586738.44,1005517.56,675103.81,758512.25,768859,912191.06,759338,910234,948109.5,804115.5,NA,NA,NA,NA,NA,NA,NA
,3,3,48,103.040039,8.624,0.827989,[M-H]-,C12 PARENT,3-Hydroxybutyric acid,3-Hydroxybutyric acid,C4H8O3,0.623618,0.296172,103.040039,299988.25,997965.94,700916.5,1797226.88,268942.53,356350.41,332918.03,387249.09,387189.75,581710.06,1329053.38,238147.5,660113.81,492860.72,1056197.62,1090032.12,619703.19,556256.06,257373.08,167910.58,386672.97,297063.75,915319.69,785197.19,536167.5,502985.25,1253408.12,564953.06,1229342.5,175648.06,237136.83,306327.53,542696.19,221486.83,546997.5,391566.16,509205.09,326424.72,549346.56,805585.81,934664.5,1183832.62,1581989.62,2612630.75,1423363.5,678899.94,615874.69,589242.5,827959.81,1290210.38,904898.81,1367399.12,860216.5,1082358.88,1074629,617973.69,1023259.31,2727114.25,1299724.25,1585576,1378633,492928.34,495172.72,1131184.62,880034.25,1553927.5,1266979.5,1304985.5,787196.81,2067323.62,756903,818114.19,609353.81,1640313.62,996639.25,2045137.62,1556543.12,1862175,1553320.38,847123.31,672275.94,761612,761349.81,1541295.62,940867,621331.56,1709618.88,1194856.12,1182331.62,836847.5,746835.19,607284.19,49631.02,269653.12,1002393.31,3769513.25,14497500,55889284,9262.57
,4,4,92,88.040436,14.041,0.85465,[M-H]-,C12 PARENT,L-Alanine,L-Alanine,C3H7NO2,0.110823,0.346631,88.040436,2635631.75,1542642.88,1228574.88,1440929.5,3360006.25,1110547.62,1231179.88,2105291.25,1748116.62,1780688.38,1017003.81,594636.69,1272430,1770927.62,1360468.88,1553508,1275610.38,1226149.62,1936971.62,1451328,1553392,999484.81,1245316.62,850058.5,1135338.62,1521611,870670.06,1903870.5,814104.44,1979369.5,2121362,1257265.5,1105259.12,1110226.12,1850525.62,1566814.5,1438757.62,1901822.5,1748201.12,3244858,2608287.25,3087019.25,3659386.25,3281768.25,4061486.75,4382232,4459411.5,3281819.25,2248496.75,1628654.88,2118403.25,2161745,2652821.25,2934313.75,2162712.75,1867623.88,3384770,1915384.62,2112841.75,4953730,4145587,2756436.75,1896921.62,2915723.25,4010916,3898958,2683766.25,3323261.25,2384792.25,3630828,3573374.25,3300981.25,3941468.75,2946976,4185283.75,5138912.5,3478972.25,5104976,4526731,3831969,4870065,3781364,5161702,6227977.5,4232905.5,4506191.5,3458316,3846244,3558018.75,3714871.75,3372817.75,4059130.25,18451.04,58711.02,301978.72,1735916,7138862.5,42347132,8536.03
,4,5,93,89.043823,14.049,0.85335,,C13-label-1,L-Alanine,L-Alanine,C3H7NO2,0.118639,0.771133,88.040436,87008.78,36932.56,40076.14,47589.21,110327.29,31068.61,35704.71,77487.34,49483.36,54570.51,33983.77,18775.21,31830.96,56943.61,45214.61,50123.64,35254.66,40751.72,63267.66,45472.29,57949.99,27527.65,38604.02,25741.25,35706.74,44984.32,22229.34,67317.46,24196.66,57734.38,59306.97,44985.77,37295.71,60145.06,57963.82,53140.44,50079.59,60929.57,50001.94,103219.65,89153.68,105335.7,122401.8,102413.43,140955.92,147378.2,152416.11,110519.28,189801.55,117044.06,176673.92,171013,175043.48,207454.77,127274.19,127370.38,116358.82,62397.96,80470.93,178104.88,149185.36,95494.55,64409.39,97434.84,142837.77,130181.01,90030.88,118839.16,88830.7,117025.13,126941.66,109625.07,138572.95,104218.37,138605.77,170749.27,127573.85,172217.55,145156.98,129234.52,157393.3,122090.73,180850.73,211665.44,137468.98,157562.06,114367.1,129829.99,122992.46,123709,110670.99,135548.95,386.6,972.16,9296.39,60434.42,239210.17,1415138.12,728.74
,6,6,93,173.104416,18.337,0.85393,[M-H]-,C12 PARENT,L-Arginine,L-Arginine,C6H14N4O2,0.343237,0.088148,173.104416,112578.46,155075.64,329555.03,295812.28,180689.61,377199.75,443537.59,296267.97,180372,393294.25,145847.45,228146.95,161449.05,313522.5,288559.78,305811.34,361427.59,375280.28,238690.8,176101.7,238248.67,163741.83,178116.81,210291.31,293028.62,205562,170228.28,520524.16,271931.84,363300.72,348730.72,362515.47,397121.62,617695.5,321863.16,236599.67,230627.25,401736.47,225980.33,42372.71,49615.3,51814.36,375968.84,89833.3,249906.8,218076.8,191476.67,404475.16,122969.87,23475.37,30513.88,124512.72,246641.33,141766.08,215497.45,92318.22,90233.41,108839.12,200377.67,408076.91,223643.88,253720.05,5892.48,9663.92,128047.78,138439.23,154743.64,112235.03,217834.61,165257.95,221425.12,85238.99,170450.92,197749.08,95748.6,136865.23,204556.5,420677.97,291437.47,590343.19,240609.73,396682.78,333846.97,2572.1,63537.62,3056.27,3632.5,2883.76,80765.62,30725.79,215357.61,7413.02,0,7596.13,47232.39,381439.53,1866813,11465328,0
,7,7,49,131.045731,14.548,0.841953,[M-H]-,C12 PARENT,L-Asparagine,L-Asparagine,C4H8N2O3,0.18818,3.726023,131.045731,124933.25,59067.47,116410.38,29122.67,133884.55,50177.19,62929.43,155983.05,185744.12,85158.59,50084.38,68368.02,109931.35,105095.77,86991.34,88114.94,126150.84,92542.12,161299.8,99652.07,160503.36,91415.62,153151.3,54700.83,75903.97,114316.73,134478.02,165849.75,135441.59,121959,192575.83,100232.77,62208.17,89503.35,221622,99224.54,118320.19,112433.38,133191.14,285947.16,185807.23,272877.75,294126.53,236906.08,239948,410162.78,431911.62,354818.53,109204.27,95637.3,74637.06,98063.85,130226.47,87869.62,127522.04,71765.8,145143.77,72417.02,96261.57,246283.48,241280.14,233389.7,113759.34,68606.34,159678.67,283396.91,157485.5,261414.92,75741.03,126792.66,177003.92,137039.06,133161.83,121244.94,176824.52,219782.2,185931.19,337271.38,232814.23,284302.91,206635.92,212422.38,365568.28,516588.47,280136.28,165557.88,132643.58,256869.55,126046.8,231386.2,171827.38,208026.64,7049.06,59288.22,79639.22,580644.75,4519721.5,28534858,35860.58
,8,8,32,239.016739,15.195,0.850999,[M-H]-,C12 PARENT,L-Cystine,L-Cystine,C6H12N2O4S2,0.284737,0.702239,239.016739,421.11,0,0,0,744.15,0,0,0,1699.72,2413.46,0,2992.18,3922.69,2206.94,320.48,1004.56,1567.11,2905.49,7385.54,1972.86,2197.46,1150.3,0,3496.14,1183.23,12511.72,2260.69,7356.73,3762.06,1286.95,2855.87,0,196.89,0,0,534.31,114.71,241.42,2501.68,0,324.76,287.88,0,325.97,830.18,0,1188.22,450.79,0,4196.16,1849.21,799.53,1799.17,2093.98,0,0,576.34,1239.24,5917.29,8704.47,7835.28,1477.91,0,0,1823.77,2852.77,0,1025.37,7020.82,0,1688.88,7463,7324.64,7531.64,3896.83,10107.03,6640.66,11101.97,0,0,0,1530.91,302.89,2680.41,4329.38,3567.39,7027.79,3686.83,1878.74,2534.71,1460.43,3453.41,2298.24,10181.41,45510.99,230639.5,11854667,46269956,0
,9,9,96,179.056213,12.776,0.816169,[M-H]-,C12 PARENT,alpha-D-Glucose,alpha-D-Glucose,C6H12O6,0.086131,0.596525,179.056213,7322856,7186532,6400054,6307824.5,8808237,7706182.5,4765352.5,6713630,9024723,6665551.5,6937310,7885392,6980378.5,8758860,7510308.5,4810498,7520318.5,9028928,7750846,7551197.5,8270341.5,7225722.5,8228236.5,6131340,6429252.5,9232573,6638027.5,6472300,5899893.5,7739870.5,9717565,5282904,6694454.5,8784800,7421106.5,8423840,9576429,9880496,9414789,11152284,8823185,6322458.5,9534669,8758127,6524607.5,8132540.5,8507739,9158329,7086257.5,9566251,7088994,4958486.5,7278862.5,9082471,8359736.5,3620984,12076632,6430363.5,9304491,11440845,9637776,8566001,5462084.5,10742165,9303533,5835647.5,10022199,7125870.5,6509039.5,9505884,7638220.5,10789181,13752176,9253007,8641292,12499808,9891960,7495354,12938088,10028423,11345516,12990037,10069793,13966111,12576127,10786557,9115838,14543503,14565545,16439516,12508873,11356575,79273.21,189096.08,1115112.75,5874937.5,35242460,122769592,10077.48
,9,10,97,180.059677,12.791,0.824623,,C13-label-1,alpha-D-Glucose,alpha-D-Glucose,C6H12O6,0.101064,1.186403,179.056213,504260.72,490039.84,451530.66,418389.62,590226.25,517126.75,316920,455062.47,542212.44,431707.78,451090.28,527011.69,469806.41,602885.25,518970.72,319048.72,513824,609156.56,528082.81,530736.31,566321.94,524941,533762.69,384788.16,420935.47,604062.81,439467.62,448514.62,387876.97,478164.28,596212,326411.84,468180.34,595699.44,318229.22,581132.31,646216.44,674216.44,657414.94,1537828.5,892408.75,1554049.12,1603124,2177253,1253458,790963.69,1031230.81,724009.5,777312.19,1158427.62,812319,676985.56,736359.5,1002889.31,730843.44,402986.75,789679.19,461177.16,672894.5,791876.75,654720.56,588827.12,377837.59,762350.19,615581,390625.91,693632.06,493005.75,480246.03,656925.31,552424.69,784114.69,1005507.19,658770.38,611177.25,853276.81,701634.06,462222.97,923495.69,712489.81,795296.5,859170.75,726816.56,953782.25,856912.31,725839.06,628907,1002681.44,992175.31,1130591.62,890968.81,824383.75,3782.93,11708.96,52469.36,411834.5,2458624.25,8313470.5,443.8
,9,11,80,181.061005,12.798,0.808247,,C13-label-2,alpha-D-Glucose,alpha-D-Glucose,C6H12O6,0.107657,10.028541,179.056213,90359.48,83213.4,73418.78,76668.31,107063.7,88159.62,47185.78,77014.65,82465.95,62568.54,89520.04,93532.07,68471.88,98758.4,82063.16,44666.1,82939.62,94100.74,90883.94,88447.65,86719.51,78694,87722.99,66210.32,62267.91,108009.44,72491.53,76560.3,65578.09,77744.54,90971.54,50180.34,87852.23,88278.38,99355.81,97532.91,104855.12,108785.54,99972.06,144496.92,101164.41,91343.88,121837.52,139188.52,82569.57,96986.31,102353.48,122833.53,288451.03,594354.56,346172.03,350068.38,214466.89,312072.78,129507.59,87359.56,136885.73,81642.87,109643.07,135465.83,121075.34,101438.13,68411.88,138606.31,110801.26,67228.03,123714.91,89793.12,80358.98,106222.56,98623.85,121832.54,161359.73,108565.21,109302.26,152595.94,124759.19,90835.8,159291.45,122343.16,134045.55,162013.27,136335.08,171681.98,163379.02,138947.53,98630.59,170028.56,188535,189120.02,146263.2,156896.31,12213.23,8973.92,13962.83,78524.51,402366.59,1600269.12,1318.39
