"Tags","Checked","Name","Formula","Annot. Source: Predicted Compositions","Annot. Source: mzCloud Search","Annot. Source: MassList Search","Annot. DeltaMass [ppm]","Calc. MW","m/z","RT [min]","Area (Max.)","# mzCloud Results","mzCloud Best Match","mzCloud Best Match Confidence","mzCloud Best Sim. Match","Mass List Match: metabolites list_230424_ForCD","MS2","Reference Ion","Group Area: 2M33_neg","Group Area: 2M20_neg","Group Area: 2M31_neg","Group Area: 2M17_neg","Group Area: 2M26_neg","Group Area: 2M23_neg","Group Area: 2M16_neg","Group Area: 1M11_neg","Group Area: 2M22_neg","Group Area: 4M5_neg","Group Area: 1M10_neg","Group Area: 1M9_neg","Group Area: 4M4_neg","Group Area: 1M4_neg","Group Area: 1M7_neg","Group Area: 4M3_neg","Group Area: 1M2_neg","Group Area: 1M6_neg","Group Area: 4M2_neg","Group Area: 1M1_neg","Group Area: 1M5_neg","Group Area: 4M1_neg","Peak Rating: 2M33_neg.raw (F6)","Peak Rating: 2M20_neg.raw (F7)","Peak Rating: 2M31_neg.raw (F8)","Peak Rating: 2M17_neg.raw (F9)","Peak Rating: 2M26_neg.raw (F10)","Peak Rating: 2M23_neg.raw (F11)","Peak Rating: 2M16_neg.raw (F12)","Peak Rating: 1M11_neg.raw (F13)","Peak Rating: 2M22_neg.raw (F14)","Peak Rating: 4M5_neg.raw (F15)","Peak Rating: 1M10_neg.raw (F16)","Peak Rating: 1M9_neg.raw (F17)","Peak Rating: 4M4_neg.raw (F18)","Peak Rating: 1M4_neg.raw (F19)","Peak Rating: 1M7_neg.raw (F20)","Peak Rating: 4M3_neg.raw (F21)","Peak Rating: 1M2_neg.raw (F22)","Peak Rating: 1M6_neg.raw (F23)","Peak Rating: 4M2_neg.raw (F24)","Peak Rating: 1M1_neg.raw (F25)","Peak Rating: 1M5_neg.raw (F26)","Peak Rating: 4M1_neg.raw (F27)","Peak Rating: Blank5.raw (F28)"
NA,FALSE,"Linoleic acid","C18 H32 O2","Full match","Full match","Full match",-1.78,280.23973,279.23245,2.306,10819389452.3862,6,94.7,9.7,NA,"Single match found","DDA for preferred ion","[M-H]-1",3368303715.641,2177576161.34992,2721924048.20766,5023328276.59775,3466980600.42129,1546841444.15456,4148905304.705,6051887248.63769,5050649921.23396,2268109424.00079,10781589436.4031,10819389452.3862,1694064008.14724,6759171694.79121,7974873068.96202,2533265673.57162,6341508929.85018,8044612789.81314,1930593120.16166,5599322049.27962,6299516969.74311,1317612186.96457,8.9,10,10,8.9,8.9,8.9,8.9,10,8.9,10,10,10,10,10,8.9,10,10,10,10,10,10,10,10
NA,FALSE,"Elaidic acid","C18 H34 O2","Full match","Partial match","Full match",-2.5,282.25517,281.2479,2.28,8551700033.58728,2,81.8,9.1,NA,"Multiple matches found","DDA for preferred ion","[M-H]-1",3670604066.02607,2824452641.47616,2051877693.38061,8551700033.58728,3335581185.72374,1451341767.32016,6346106834.87324,4271681490.92076,4447358402.36689,2486446342.03853,8524149440.66651,6719318676.18216,1811055195.1923,5314810441.00007,5956232133.99151,3061697103.26395,4881526936.56564,5653017585.81381,2210277338.25083,4377941811.3703,4486100358.62616,1338164047.32385,8.9,8.9,10,8.9,10,10,8.9,8.9,8.9,10,8.9,10,10,8.9,8.9,10,8.9,10,10,8.9,10,8.9,8.9
NA,FALSE,"L-Lactic acid","C3 H6 O3","Full match","Partial match","Full match",-2.2,90.0315,89.02422,8.133,4817976288.71956,2,95.6,9.8,NA,"Single match found","DDA for preferred ion","[M-H]-1",1513311064.93664,4096946936.47931,3276128368.7079,3271261918.55881,3732507572.32729,2775451220.25994,2951196763.40166,2732163831.04183,2593895269.70348,3956952202.70722,2924018299.76802,3320759616.79783,4588923935.25892,2090348816.91793,2497903104.56331,4817976288.71956,2805144753.88769,1907827889.98818,3822852832.29681,1477856762.41622,2236932832.34526,3203394649.20705,6.7,7.3,7.8,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.8,7.3,8.4,7.3,7.3,7.3,7.3,6.7
NA,FALSE,"Palmitic acid","C16 H32 O2","Full match","Partial match","Full match",-2.34,256.23963,255.23235,2.316,4595719047.78206,1,88.9,9.4,NA,"Single match found","DDA for preferred ion","[M-H]-1",2170524748.33098,2118103735.35288,1734379164.69871,4595719047.78206,2391382845.3165,1337660029.53069,4378750937.61959,2097933980.52707,2139757945.66336,1952541226.61839,2935452849.02593,2661950136.03913,1786974500.85438,2271105096.54896,2339632587.51985,2486787846.69858,1968887294.71226,1995159095.60686,1385310609.83934,1560752498.64708,1462946678.54234,1087631935.43125,8.9,8.9,8.9,8.9,10,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,10,8.9,10,10,8.9,10,8.9,8.9,10,8.9
NA,FALSE,"Taurocholic acid","C26 H45 N O7 S","Full match","No results","Full match",-2.12,515.29058,514.2833,4.054,4263997980.20404,0,NA,NA,NA,"Single match found","DDA for preferred ion","[M-H]-1",2969560103.33368,1854872095.538,3188319068.70116,1451463817.72126,2018476590.89058,4263997980.20404,1042605924.13554,365786229.991729,4010843038.44712,1427247352.78554,852271199.345138,1153302695.53092,1406450675.40144,422492325.079087,1957704512.71081,1374267641.06904,1262420131.13044,421016977.73314,1224559016.965,331983317.000006,759286521.670594,1202804416.47591,10,10,10,8.9,10,10,8.9,8.9,10,10,10,10,8.9,10,10,8.9,10,10,10,10,10,8.9,9
NA,FALSE,NA,NA,"No results","No results","No results",NA,283.25984,282.25256,2.358,2617129382.20774,0,NA,NA,NA,"No matches found","DDA for preferred ion","[M-H]-1",77511723.9672971,54807518.8825718,40832734.1155736,226365203.949361,69139327.1322136,26484378.6725919,157084363.452815,1717901188.42681,101219180.29233,49713287.3320746,2617129382.20774,1826043530.00955,34235915.8069243,143655835.543999,156190612.696906,64098309.8784268,1337476935.28496,1702506901.81879,44663808.7021464,170533460.440203,1421153700.10951,25897519.3828249,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,10,10,NA,NA,NA,NA,8.9,10,NA,8.9,10,NA,NA
NA,FALSE,NA,NA,"No results","No results","No results",NA,283.25892,282.25165,2.22,2617129382.20774,0,NA,NA,NA,"No matches found","No MS2","[M-H]-1",25061822.6765791,20668941.2563427,29219158.0657694,72445754.683831,17458144.793235,6286426.22609722,78077425.2643678,2319330.96593968,39990281.1632061,15396223.0394909,2617129382.20774,1826043530.00955,7553859.56713513,44644817.6812514,17094289.1444406,18256264.7768142,11210638.8345975,43500260.8006141,18791146.9427136,46466576.4433741,13090297.4087325,13516504.632991,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,FALSE,"Taurocholic acid","C26 H45 N O7 S","Full match","No results","Full match",-2.26,515.29051,514.28323,3.022,2363950798.61201,0,NA,NA,NA,"Single match found","DDA for preferred ion","[M-H]-1",1596573144.54298,1063038216.0541,1631920370.09573,832986980.265058,1073664668.05596,2363950798.61201,556684034.295269,182180313.521508,2156141423.50871,713441655.117806,395094787.238465,722362020.776625,708809640.499433,250872524.291077,1077449539.57872,776687026.311093,721136184.559422,254895887.348628,702575840.364376,191657121.688214,446521458.098954,693561174.006864,8.9,8.9,8.9,8.9,8.9,8.9,8.4,8.9,9.5,8.4,6.7,8.9,8.4,10,8.9,7.8,10,10,8.9,8.9,8.9,8.4,NA
NA,FALSE,"Palmitoleic acid","C16 H30 O2","No results","Full match","Full match",-1.48,254.2242,253.21693,2.33,2260869746.31265,7,96.1,9.8,NA,"Single match found","DDA for preferred ion","[M-H]-1",587660009.625622,660774745.924433,379863785.337969,2260869746.31265,500673180.057942,238504428.242832,1510578016.94131,940023028.674344,1212456282.52338,535196396.912029,1826793347.22884,1383914663.67015,403768067.3839,1859700494.81892,1492460451.43579,833974070.262717,989444833.850344,1411086595.17298,541851275.829108,1624769402.71114,1213695713.1347,310932860.846355,10,10,10,10,8.9,8.9,8.9,10,10,10,10,10,10,10,10,10,10,10,8.9,10,10,10,8.9
NA,FALSE,"Taurocholic acid","C26 H45 N O7 S","No match","No results","Full match",-1.61,515.29085,514.28357,3.059,2207161469.93208,0,NA,NA,NA,"Single match found","DDA for preferred ion","[M-H]-1",1512790665.99089,1011216677.90693,1526746259.99623,768177851.391233,1032524155.13753,2207161469.93208,522553812.309456,168605757.114495,2030599028.08633,667936880.246316,377900038.995028,686078958.151099,647301520.185193,238889280.054679,1013868480.0153,738956101.353777,693093314.537807,240919769.32207,661791892.595293,183172520.025089,413189212.980003,651599340.644358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2
