"Tags","Checked","Name","Formula","Annot. Source: Predicted Compositions","Annot. Source: mzCloud Search","Annot. Source: ChemSpider Search","Annot. Source: MassList Search","Annot. DeltaMass [Da]","Annot. DeltaMass [ppm]","Calc. MW","m/z","RT [min]","Area (Max.)","# mzCloud Results","mzCloud Best Match","mzCloud Best Match Confidence","mzCloud Best Sim. Match","Mass List Match: metabolites list_230424_ForCD","MS2","Reference Ion","Area: 2M_22_pos.raw (F3)","Area: 2M_31_pos.raw (F4)","Area: 2M_20_pos.raw (F5)","Area: 2M_26_pos.raw (F6)","Area: 2M_23_pos.raw (F7)","Area: 2M_17_pos.raw (F8)","Area: 2M_33_pos.raw (F9)","Area: 2M_16_pos.raw (F10)","Area: 1M_09_pos.raw (F13)","Area: 1M_07_pos.raw (F14)","Area: 1M_11_pos.raw (F15)","Area: 1M_06_pos.raw (F16)","Area: 1M_10_pos.raw (F17)","Area: 4M_05_pos.raw (F19)","Area: 1M_05_pos.raw (F20)","Area: 4M_04_pos.raw (F21)","Area: 1M_02_pos.raw (F22)","Area: 4M_03_pos.raw (F23)","Area: 1M_04_pos.raw (F24)","Area: 4M_02_pos.raw (F25)","Area: 1M_01_pos.raw (F26)","Area: 4M_01_pos_20250210171958.raw (F27)","Group Area: 2M_22_pos","Group Area: 2M_31_pos","Group Area: 2M_20_pos","Group Area: 2M_26_pos","Group Area: 2M_23_pos","Group Area: 2M_17_pos","Group Area: 2M_33_pos","Group Area: 2M_16_pos","Group Area: 1M_09_pos","Group Area: 1M_07_pos","Group Area: 1M_11_pos","Group Area: 1M_06_pos","Group Area: 1M_10_pos","Group Area: 4M_05_pos","Group Area: 1M_05_pos","Group Area: 4M_04_pos","Group Area: 1M_02_pos","Group Area: 4M_03_pos","Group Area: 1M_04_pos","Group Area: 4M_02_pos","Group Area: 1M_01_pos","Group Area: 4M_01_pos_20250210171958","Peak Rating: 2M_22_pos.raw (F3)","Peak Rating: 2M_31_pos.raw (F4)","Peak Rating: 2M_20_pos.raw (F5)","Peak Rating: 2M_26_pos.raw (F6)","Peak Rating: 2M_23_pos.raw (F7)","Peak Rating: 2M_17_pos.raw (F8)","Peak Rating: 2M_33_pos.raw (F9)","Peak Rating: 2M_16_pos.raw (F10)","Peak Rating: 1M_09_pos.raw (F13)","Peak Rating: 1M_07_pos.raw (F14)","Peak Rating: 1M_11_pos.raw (F15)","Peak Rating: 1M_06_pos.raw (F16)","Peak Rating: 1M_10_pos.raw (F17)","Peak Rating: 4M_05_pos.raw (F19)","Peak Rating: 1M_05_pos.raw (F20)","Peak Rating: 4M_04_pos.raw (F21)","Peak Rating: 1M_02_pos.raw (F22)","Peak Rating: 4M_03_pos.raw (F23)","Peak Rating: 1M_04_pos.raw (F24)","Peak Rating: 4M_02_pos.raw (F25)","Peak Rating: 1M_01_pos.raw (F26)","Peak Rating: 4M_01_pos_20250210171958.raw (F27)"
NA,FALSE,"γ-HYDROXYHOMOARGININE","C7 H16 N4 O3","Full match","No results","Full match","No results",-0.00036,-1.75,204.12188,205.12916,14.504,6189350.08790475,0,NA,NA,NA,"No matches found","DDA for preferred ion","[M+H]+1",4194245.84063062,2855878.52928822,4152981.49623291,3585957.73729856,3504758.32262295,4175446.61708544,5215570.84154394,3343641.20589664,5359503.92894301,4617138.75302146,4575424.24717542,3590614.66595861,3390653.48297915,4299958.7486048,4570330.164869,6189350.08790475,3759849.17252506,5487311.39896569,3906585.39698603,5659689.00770565,3976350.74669993,5066274.16182882,4194245.84063062,2855878.52928822,4152981.49623291,3585957.73729856,3504758.32262295,4175446.61708544,5215570.84154394,3343641.20589664,5359503.92894301,4617138.75302146,4575424.24717542,3590614.66595861,3390653.48297915,4299958.7486048,4570330.164869,6189350.08790475,3759849.17252506,5487311.39896569,3906585.39698603,5659689.00770565,3976350.74669993,5066274.16182882,7.3,8.4,8.9,8.9,8.9,8.9,7.8,7.8,8.4,7.3,7.8,8.4,6.7,7.3,6.7,6.7,7.3,8.4,7.3,7.8,6.7,6.2
NA,FALSE,"β-Ionone","C13 H20 O","Full match","No results","Full match","No results",-8e-05,-0.42,192.15133,175.14807,2.389,938441.514632912,0,NA,NA,NA,"No matches found","DDA for preferred ion","[M+H-H2O]+1",78751.7831212297,185276.692496348,142779.636045473,386392.25443695,34594.0576780869,866001.865093014,14254.5376775927,938441.514632912,334135.281112935,97414.338918294,266365.263324059,276032.535910117,113695.630173283,483446.102914787,764984.468789495,446731.645072257,600995.255729979,67252.7227288515,305439.062721862,128717.963030691,392930.945633441,204141.801477933,78751.7831212297,185276.692496348,142779.636045473,386392.25443695,34594.0576780869,866001.865093014,14254.5376775927,938441.514632912,334135.281112935,97414.338918294,266365.263324059,276032.535910117,113695.630173283,483446.102914787,764984.468789495,446731.645072257,600995.255729979,67252.7227288515,305439.062721862,128717.963030691,392930.945633441,204141.801477933,1.6,2.5,4.7,3.9,6.5,7.5,3.8,6.4,2.8,3,5.2,5.5,2.5,5,4.2,5,4.5,5.4,4.5,5.2,3.9,6.8
NA,FALSE,"β,ε-Carotene-3,3′-diol","C40 H56 O2","Full match","No results","Full match","No results",-0.00074,-1.3,568.42729,569.43459,2.296,233978.966164083,0,NA,NA,NA,"No matches found","No MS2","[M+H]+1",34809.5380911904,40377.5438836195,55008.7088001828,225407.609457599,75884.2279489281,233978.966164083,102971.709971697,46205.7177953672,52106.6138527034,120676.648164582,51106.3026160027,31792.326984848,51267.8816681034,173528.35996225,89261.4729552091,101361.31141974,140182.272776295,23105.8239086223,49740.5697548819,23963.5135082775,52559.824933649,72456.2377533135,34809.5380911904,40377.5438836195,55008.7088001828,225407.609457599,75884.2279489281,233978.966164083,102971.709971697,46205.7177953672,52106.6138527034,120676.648164582,51106.3026160027,31792.326984848,51267.8816681034,173528.35996225,89261.4729552091,101361.31141974,140182.272776295,23105.8239086223,49740.5697548819,23963.5135082775,52559.824933649,72456.2377533135,3.8,7.6,6,5.8,4.9,3.6,4.7,6.5,NA,2.5,0.5,NA,2.7,4.1,7.1,NA,6.3,0.5,4.3,NA,6.5,4.3
NA,FALSE,"{3-[(3-{[4-(Hydroxymethyl)cyclohexyl]amino}-3-oxetanyl)methyl]-1,2-oxazol-5-yl}methanol","C15 H24 N2 O4","No match","Invalid mass","No match","No results",-18.01108,-60812.57,278.16253,279.16981,3.71,970191.541336251,1,75.5,8.8,NA,"No matches found","DDA for preferred ion","[M+H]+1",114454.607125848,333197.244637194,970191.541336251,78302.7545994409,232888.508076693,81357.7770795754,786410.722760396,214608.387519874,930279.067817447,84555.6538163442,443615.430689877,315282.5159257,401654.408180647,467591.633746208,181149.647037777,56606.1475102315,807630.514564442,170916.069894539,55815.5034986142,245634.099194599,44596.3104624841,331724.936242686,114454.607125848,333197.244637194,970191.541336251,78302.7545994409,232888.508076693,81357.7770795754,786410.722760396,214608.387519874,930279.067817447,84555.6538163442,443615.430689877,315282.5159257,401654.408180647,467591.633746208,181149.647037777,56606.1475102315,807630.514564442,170916.069894539,55815.5034986142,245634.099194599,44596.3104624841,331724.936242686,NA,2.3,5.3,NA,5.2,NA,6.4,5.2,8.6,NA,5.5,4.5,6.6,7.7,7.4,NA,1.5,5.8,NA,3,NA,7.2
NA,FALSE,"{3-[(3-{[4-(Hydroxymethyl)cyclohexyl]amino}-3-oxetanyl)methyl]-1,2-oxazol-5-yl}methanol","C15 H24 N2 O4","No match","Invalid mass","No results","No results",-0.98451,-3324.11,295.18909,279.16982,3.225,738605.410591572,2,90.6,9.5,NA,"No matches found","DDA for other ion","[M+H-NH3]+1",4359.20517334433,203947.408407106,385260.220174583,738605.410591572,219743.971233531,369833.468504199,697870.052446022,8965.87071891608,4192.13492005806,527936.130816714,241725.605504068,84513.6954774695,317407.430693618,315616.906989409,269792.1034813,258746.937566917,671034.018322994,106822.141480018,7165.78988559473,306276.676716578,209102.192498905,305874.255498435,4359.20517334433,203947.408407106,385260.220174583,738605.410591572,219743.971233531,369833.468504199,697870.052446022,8965.87071891608,4192.13492005806,527936.130816714,241725.605504068,84513.6954774695,317407.430693618,315616.906989409,269792.1034813,258746.937566917,671034.018322994,106822.141480018,7165.78988559473,306276.676716578,209102.192498905,305874.255498435,NA,4.7,6.6,7.7,5.2,1.2,6.1,NA,NA,6.1,4.7,6,3.4,8.3,7.4,5.8,5.5,4.7,NA,6.6,5.8,7.7
NA,FALSE,"zopiclone","C17 H17 Cl N6 O3","No results","No results","Full match","No results",-0.00099,-2.56,388.10407,389.11129,2.355,2584874.27401396,0,NA,NA,NA,"No matches found","DDA for preferred ion","[M+H]+1",167575.990301388,2584874.27401396,118579.744977649,1644698.15991681,239550.425801237,44010.3947385358,314886.572635156,147542.122140877,1656925.02253803,1528827.19234733,801820.366887958,664743.613807499,754029.005892682,1253715.46457654,1680163.19364452,952684.424547878,1116761.99831095,832142.294109964,789891.296407502,641010.671735467,1170147.0202162,2160893.05485,167575.990301388,2584874.27401396,118579.744977649,1644698.15991681,239550.425801237,44010.3947385358,314886.572635156,147542.122140877,1656925.02253803,1528827.19234733,801820.366887958,664743.613807499,754029.005892682,1253715.46457654,1680163.19364452,952684.424547878,1116761.99831095,832142.294109964,789891.296407502,641010.671735467,1170147.0202162,2160893.05485,3,7.5,7.4,8,6.3,6.5,6.6,5.2,8.6,8,7.5,4.5,7,7,5.9,8,5.3,5.9,8.6,6.1,3.7,8.6
NA,FALSE,"Zalcitabine","C9 H13 N3 O3","Full match","No results","Full match","No results",-0.00028,-1.31,211.09541,212.10269,15.178,7852540.47669175,0,NA,NA,NA,"No matches found","DDA for preferred ion","[M+H]+1",3376717.85819159,3942617.06870896,3204540.29686203,4019630.35800067,4852432.33330962,7852540.47669175,3791229.98965872,4708271.06232656,4406426.76961185,4440756.84366858,5775909.58450797,4454493.38469995,4052015.10052335,2614140.77991574,6215755.77049705,3938571.87429729,6038311.51811284,2793630.05447269,5032523.7566981,2844673.87727728,6048952.44259667,2400888.92853026,3376717.85819159,3942617.06870896,3204540.29686203,4019630.35800067,4852432.33330962,7852540.47669175,3791229.98965872,4708271.06232656,4406426.76961185,4440756.84366858,5775909.58450797,4454493.38469995,4052015.10052335,2614140.77991574,6215755.77049705,3938571.87429729,6038311.51811284,2793630.05447269,5032523.7566981,2844673.87727728,6048952.44259667,2400888.92853026,9.5,9.5,9.5,9.5,8.4,9.5,9.5,7.8,8.4,8.9,7.8,9.5,9.5,9.1,9.5,9.5,9.5,7.5,8.4,7.8,8.9,9.1
NA,FALSE,"Xanthylic acid","C10 H13 N4 O9 P","Not the top hit","No results","Partial match","Full match",-0.00077,-2.11,364.04125,365.04851,14.853,9285445.10525981,0,NA,NA,NA,"Single match found","DDA for preferred ion","[M+H]+1",6745035.29957667,6061203.03098705,8665529.00198982,7572040.85152427,9137820.96169672,8201717.064052,9285445.10525981,7033011.48635779,5429156.6695832,7021520.36755204,5527196.01418582,5445704.11643532,6281768.42275412,6495742.10934891,5989711.09289755,5679631.59013068,4451199.84341705,3502220.27356701,4329653.48989219,4851098.14201838,2521354.47178561,3553979.188388,6745035.29957667,6061203.03098705,8665529.00198982,7572040.85152427,9137820.96169672,8201717.064052,9285445.10525981,7033011.48635779,5429156.6695832,7021520.36755204,5527196.01418582,5445704.11643532,6281768.42275412,6495742.10934891,5989711.09289755,5679631.59013068,4451199.84341705,3502220.27356701,4329653.48989219,4851098.14201838,2521354.47178561,3553979.188388,7.8,7.3,7.3,7.3,6.7,7.8,7.8,7.8,5.7,7.8,6.7,6.7,7.8,6.7,6.7,4.6,5.1,6.2,5.7,7.3,4.8,6.7
NA,FALSE,"Wedelolactone","C16 H10 O7","No match","No results","Partial match","Full match",-0.00071,-2.26,314.04194,315.04922,3.742,999288.863292196,0,NA,NA,NA,"Single match found","No MS2","[M+H]+1",395599.793511851,325119.921727423,582076.334911918,999288.863292196,205428.080229649,291533.343261323,685290.451161593,33197.7275101416,630929.637688784,724230.162876912,324403.78208583,83823.9931808785,298660.884687879,834370.870006004,172087.350856707,992962.067582115,603759.532679566,786854.494630042,334395.265524827,105224.962587462,499441.831545759,398414.627080759,395599.793511851,325119.921727423,582076.334911918,999288.863292196,205428.080229649,291533.343261323,685290.451161593,33197.7275101416,630929.637688784,724230.162876912,324403.78208583,83823.9931808785,298660.884687879,834370.870006004,172087.350856707,992962.067582115,603759.532679566,786854.494630042,334395.265524827,105224.962587462,499441.831545759,398414.627080759,1.7,2.8,2.8,5.9,1.4,3.9,3.9,4.3,3.4,3.9,3.4,7.1,2.3,4.8,4.1,5.3,3.9,4.2,2.3,7.9,3.4,5
NA,FALSE,"Wedelolactone","C16 H10 O7","No match","No results","Partial match","Full match",-0.00083,-2.63,314.04183,315.0491,3.902,271931.287664247,0,NA,NA,NA,"Single match found","No MS2","[M+H]+1",83003.7223722645,39036.5215181293,103116.933789116,271931.287664247,70247.7792369636,81332.3875551288,223377.67431383,22721.4160412889,126798.704521752,97173.3107081965,124585.292163769,90598.6817020482,221521.707277817,113581.981524438,89103.5077603738,157320.394299233,76156.6269109408,168888.972940999,124281.383500899,129006.212446769,176541.38025279,239299.961488007,83003.7223722645,39036.5215181293,103116.933789116,271931.287664247,70247.7792369636,81332.3875551288,223377.67431383,22721.4160412889,126798.704521752,97173.3107081965,124585.292163769,90598.6817020482,221521.707277817,113581.981524438,89103.5077603738,157320.394299233,76156.6269109408,168888.972940999,124281.383500899,129006.212446769,176541.38025279,239299.961488007,5.4,6.5,5.2,2.3,7.1,NA,4.7,6.5,8.5,4.7,3.6,NA,2.5,7.4,6.5,4.7,7.1,2.5,4.1,5.8,4.1,7.9
