"direction","overlap_group","gene.id"
"Upregulated","Old ID vs old CD only","2310007L24Rik"
"Upregulated","Old ID vs old CD only","4833403I15Rik"
"Upregulated","Old ID vs old CD only","9930111J21Rik1"
"Upregulated","Old ID vs old CD only","A330023F24Rik"
"Upregulated","Old ID vs old CD only","AI607873"
"Upregulated","Old ID vs old CD only","AW551984"
"Upregulated","Old ID vs old CD only","Abca6"
"Upregulated","Old ID vs old CD only","Abca9"
"Upregulated","Old ID vs old CD only","Ace"
"Upregulated","Old ID vs old CD only","Acer2"
"Upregulated","Old ID vs old CD only","Ackr1"
"Upregulated","Old ID vs old CD only","Acsm3"
"Upregulated","Old ID vs old CD only","Adamtsl3"
"Upregulated","Old ID vs old CD only","Aff3"
"Upregulated","Old ID vs old CD only","Amn1"
"Upregulated","Old ID vs old CD only","Aoah"
"Upregulated","Old ID vs old CD only","Atp13a5"
"Upregulated","Old ID vs old CD only","B3galnt1"
"Upregulated","Old ID vs old CD only","Bgn"
"Upregulated","Old ID vs old CD only","Bub1b"
"Upregulated","Old ID vs old CD only","C1qa"
"Upregulated","Old ID vs old CD only","C1qc"
"Upregulated","Old ID vs old CD only","Cadm3"
"Upregulated","Old ID vs old CD only","Ccl6"
"Upregulated","Old ID vs old CD only","Ccl8"
"Upregulated","Old ID vs old CD only","Ccr5"
"Upregulated","Old ID vs old CD only","Cd14"
"Upregulated","Old ID vs old CD only","Cd163"
"Upregulated","Old ID vs old CD only","Cd209f"
"Upregulated","Old ID vs old CD only","Cdh11"
"Upregulated","Old ID vs old CD only","Cenpj"
"Upregulated","Old ID vs old CD only","Cep112"
"Upregulated","Old ID vs old CD only","Cfh"
"Upregulated","Old ID vs old CD only","Chil3"
"Upregulated","Old ID vs old CD only","Clca1"
"Upregulated","Old ID vs old CD only","Clec11a"
"Upregulated","Old ID vs old CD only","Clec3b"
"Upregulated","Old ID vs old CD only","Cntln"
"Upregulated","Old ID vs old CD only","Col14a1"
"Upregulated","Old ID vs old CD only","Comp"
"Upregulated","Old ID vs old CD only","Cr1l"
"Upregulated","Old ID vs old CD only","Csf1r"
"Upregulated","Old ID vs old CD only","Csf3r"
"Upregulated","Old ID vs old CD only","Cx3cr1"
"Upregulated","Old ID vs old CD only","Cyp2d22"
"Upregulated","Old ID vs old CD only","Ecm2"
"Upregulated","Old ID vs old CD only","Etohi1"
"Upregulated","Old ID vs old CD only","F13a1"
"Upregulated","Old ID vs old CD only","Fam171b"
"Upregulated","Old ID vs old CD only","Fcgr3"
"Upregulated","Old ID vs old CD only","Fcna"
"Upregulated","Old ID vs old CD only","Frem2"
"Upregulated","Old ID vs old CD only","Galnt15"
"Upregulated","Old ID vs old CD only","Galnt16"
"Upregulated","Old ID vs old CD only","Garem"
"Upregulated","Old ID vs old CD only","Gas7"
"Upregulated","Old ID vs old CD only","Gja1"
"Upregulated","Old ID vs old CD only","Glcci1"
"Upregulated","Old ID vs old CD only","Gm10557"
"Upregulated","Old ID vs old CD only","Gm26621"
"Upregulated","Old ID vs old CD only","Gm5537"
"Upregulated","Old ID vs old CD only","Gm9917"
"Upregulated","Old ID vs old CD only","Gpc3"
"Upregulated","Old ID vs old CD only","Gpm6a"
"Upregulated","Old ID vs old CD only","Gpr64"
"Upregulated","Old ID vs old CD only","Gpx8"
"Upregulated","Old ID vs old CD only","Grem2"
"Upregulated","Old ID vs old CD only","Gulp1"
"Upregulated","Old ID vs old CD only","Gvin1"
"Upregulated","Old ID vs old CD only","H2-M3"
"Upregulated","Old ID vs old CD only","H2-Q7"
"Upregulated","Old ID vs old CD only","H2-T10"
"Upregulated","Old ID vs old CD only","Hid1"
"Upregulated","Old ID vs old CD only","Hist1h1e"
"Upregulated","Old ID vs old CD only","Ifi204"
"Upregulated","Old ID vs old CD only","Il7r"
"Upregulated","Old ID vs old CD only","Inhba"
"Upregulated","Old ID vs old CD only","Islr2"
"Upregulated","Old ID vs old CD only","Itga8"
"Upregulated","Old ID vs old CD only","Itgb4"
"Upregulated","Old ID vs old CD only","Itgb8"
"Upregulated","Old ID vs old CD only","Kcna1"
"Upregulated","Old ID vs old CD only","Kcna2"
"Upregulated","Old ID vs old CD only","Kcnab1"
"Upregulated","Old ID vs old CD only","Kdm4c"
"Upregulated","Old ID vs old CD only","Kif1a"
"Upregulated","Old ID vs old CD only","Lair1"
"Upregulated","Old ID vs old CD only","Lepr"
