"gene.id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","design","comparison"
"Kcnc1",1656.24240493533,-0.355249342379359,0.0850806613743195,-4.1754417119116,2.9740840126026e-05,0.448521609940598,"cohort + diet","old ID vs old CD"
"Fuca2",386.487887334783,-0.312103118954533,0.0779890635721887,-4.00188314436732,6.28403343057315e-05,0.473847540832369,"cohort + diet","old ID vs old CD"
"Kcnf1",55.0951121079824,1.38169188074075,0.362540153327684,3.8111416571612,0.000138326466812965,0.637565601512322,"cohort + diet","old ID vs old CD"
"Clec11a",25.4600471408738,1.10885749123302,0.298925254641744,3.7094807949966,0.000207684709486775,0.637565601512322,"cohort + diet","old ID vs old CD"
"Gm13298",6.19175631458927,-3.61784587264576,0.984167798583165,-3.67604576968898,0.000236877042412049,0.637565601512322,"cohort + diet","old ID vs old CD"
"Glcci1",60.4275475911053,1.32066854454007,0.360982432485424,3.6585396564787,0.000253656495529072,0.637565601512322,"cohort + diet","old ID vs old CD"
"Casp12",286.795232394288,0.460947055100554,0.128079844566814,3.59890392324841,0.000319561212955317,0.688471807511305,"cohort + diet","old ID vs old CD"
"Pigk",931.629841888606,-0.186244261003924,0.0529701145050259,-3.516025267158,0.000438059292723484,0.81315477743678,"cohort + diet","old ID vs old CD"
"Fat3",97.7771890809455,-0.624325952309227,0.178953702824388,-3.48875682623843,0.000485272395526226,0.81315477743678,"cohort + diet","old ID vs old CD"
"Gpr141",8.04789448839131,2.1486713847463,0.630233103286573,3.40932803044031,0.000651231218929977,0.982121801268298,"cohort + diet","old ID vs old CD"
"Dera",172.626572373762,-0.45004635246349,0.13628810441836,-3.30216899254827,0.000959402491305903,0.999639142535908,"cohort + diet","old ID vs old CD"
"Hspa5",6990.95034922926,-0.231077567542965,0.0700302222184214,-3.29968348268615,0.000967939300223896,0.999639142535908,"cohort + diet","old ID vs old CD"
"Ddah1",185.219450127971,-0.726084388497198,0.221777026553721,-3.27393869320057,0.00106059619081303,0.999639142535908,"cohort + diet","old ID vs old CD"
"Ostm1",1160.69748218634,-0.256217403217157,0.080312639907874,-3.19025004670575,0.00142149745332218,0.999639142535908,"cohort + diet","old ID vs old CD"
"Gm12940",46.000547950632,0.975765754042886,0.30681056749827,3.18035249567598,0.00147096003804794,0.999639142535908,"cohort + diet","old ID vs old CD"
"Ttc13",555.335983561428,-0.258531663333522,0.0817083558586652,-3.16407863818379,0.00155574753717213,0.999639142535908,"cohort + diet","old ID vs old CD"
"Ccl8",104.848615454644,1.5039122837041,0.477900279959466,3.14691651536939,0.00165002066303386,0.999639142535908,"cohort + diet","old ID vs old CD"
"Rian",598.872005871791,0.486616018148123,0.155777247713448,3.12379391272372,0.00178535456613572,0.999639142535908,"cohort + diet","old ID vs old CD"
"Galnt16",142.728168424842,0.408217639125483,0.131535681267073,3.10347454921093,0.00191262684662796,0.999639142535908,"cohort + diet","old ID vs old CD"
"A230072E10Rik",6.62475454157258,1.72843862959652,0.557606805117317,3.09974450407374,0.00193687640559561,0.999639142535908,"cohort + diet","old ID vs old CD"
"Phactr1",55.2989213179128,0.710875859387781,0.229712271957679,3.09463596929096,0.00197054589998625,0.999639142535908,"cohort + diet","old ID vs old CD"
"Vwf",1117.80396536759,0.476814216510445,0.154244359389171,3.0912911071672,0.00199288149666621,0.999639142535908,"cohort + diet","old ID vs old CD"
"Zdhhc21",772.526266368492,-0.246508368110926,0.0800636122570511,-3.07890639907041,0.00207761945884967,0.999639142535908,"cohort + diet","old ID vs old CD"
"Cish",90.5266348425587,1.58192049960823,0.520582462483709,3.03875104063409,0.00237561084185542,0.999639142535908,"cohort + diet","old ID vs old CD"
"Pigv",230.360179511516,-0.275897984315902,0.0920158757806479,-2.99837372600356,0.00271424607741623,0.999639142535908,"cohort + diet","old ID vs old CD"
