"gene.id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","design","comparison"
"Serpinb6a",4883.18714779971,-1.27844822874505,0.0954315331759995,-13.3964967993051,6.33851465002665e-41,9.35754917783434e-37,"age.grp","young CD vs old CD"
"Rrad",309.524238093433,-3.76238771505392,0.306046854868227,-12.2935023026911,9.81592282380823e-35,7.24562343239405e-31,"age.grp","young CD vs old CD"
"Krt18",105.329459200079,-5.9768530017895,0.487996679763652,-12.2477329245032,1.72757953427375e-34,8.50141888816111e-31,"age.grp","young CD vs old CD"
"Igj",231.829385593844,-6.0342839932003,0.520904687549065,-11.5842382252164,4.95350601325394e-31,1.79172280949165e-27,"age.grp","young CD vs old CD"
"Amy1",2337.27376418806,-1.63568754764995,0.141411900836275,-11.5668309242497,6.06828832043503e-31,1.79172280949165e-27,"age.grp","young CD vs old CD"
"Pde7a",3304.39234830014,-1.05851781741765,0.095290166385076,-11.1083636179214,1.14233656568118e-28,2.81071911985855e-25,"age.grp","young CD vs old CD"
"Igkc",955.352904369671,-8.04307379745868,0.728607374593918,-11.038968418267,2.47862378222575e-28,5.2274175567141e-25,"age.grp","young CD vs old CD"
"Plekhh1",118.736912142452,-4.83618396839413,0.442464610107717,-10.930103465714,8.27540140871013e-28,1.52712188745985e-24,"age.grp","young CD vs old CD"
"Nkx2-2os",38.4822458851635,-4.45810166571831,0.421728082664785,-10.5710334430394,4.0599576936881e-26,6.65968393687971e-23,"age.grp","young CD vs old CD"
"Rhpn2",175.861246047937,-1.75012902264619,0.171553949322306,-10.2016247924327,1.94982887819416e-24,2.87853237287804e-21,"age.grp","young CD vs old CD"
"Cyp4f14",42.637255979636,-5.97583661674326,0.598945253419322,-9.9772668413812,1.91673797551927e-23,2.57243661205372e-20,"age.grp","young CD vs old CD"
"Meg3",739.203810913268,2.11451714082345,0.213459165511842,9.90595618488984,3.92200216682208e-23,4.82504316573286e-20,"age.grp","young CD vs old CD"
"Tmem132b",85.7504390676932,-3.72315087232325,0.377294743353409,-9.86801681685718,5.7285980668667e-23,6.50548409701178e-20,"age.grp","young CD vs old CD"
"Amer1",424.873235270057,1.10433974018826,0.113114289533531,9.76304359725388,1.62212489567816e-22,1.71053070249262e-19,"age.grp","young CD vs old CD"
"Aldh1l2",206.222289828459,1.50815756550552,0.155537046915282,9.69645235920537,3.12164320066869e-22,3.07232123809813e-19,"age.grp","young CD vs old CD"
"Tppp",728.57281110657,1.13043634340275,0.117578342645258,9.61432452584699,6.95644256420033e-22,6.4186225984556e-19,"age.grp","young CD vs old CD"
"Dusp10",1016.86302774236,1.54047062741121,0.163273909038299,9.43488544179993,3.91421734896865e-21,3.39915239546024e-18,"age.grp","young CD vs old CD"
"Kbtbd13",482.879087073238,0.965686259974943,0.103369517322759,9.34207960901769,9.4460243035087e-21,7.74731426626105e-18,"age.grp","young CD vs old CD"
"Eda2r",1633.33027835905,-2.24470118224505,0.242362800835734,-9.26173973276715,2.01127952767938e-20,1.56276419300688e-17,"age.grp","young CD vs old CD"
"Atp6v1a",1034.91301984953,-0.865236232867139,0.0943414582658795,-9.17132561623833,4.67237438233972e-20,3.44891315032407e-17,"age.grp","young CD vs old CD"
"6430571L13Rik",1013.47212824239,1.18432544887228,0.130632752404233,9.06606824915911,1.23389171465999e-19,8.67425875405973e-17,"age.grp","young CD vs old CD"
"Cyp3a41a",391.602580243716,-26.4421835609029,2.94713832457767,-8.97215557898598,2.9076732844923e-19,1.95118094086181e-16,"age.grp","young CD vs old CD"
"Ostn",1972.92175508165,-3.817746044025,0.431576849370381,-8.84603993377921,9.06798198998697e-19,5.82046165731207e-16,"age.grp","young CD vs old CD"
"Cpne2",359.133515457946,-2.53334847461859,0.286813730790874,-8.83273080278622,1.02150657461064e-18,6.28354231707371e-16,"age.grp","young CD vs old CD"
"Pkp2",112.065574588353,-1.47110605243697,0.169344951453175,-8.6870381420478,3.72011251766165e-18,2.19680084392956e-15,"age.grp","young CD vs old CD"
"Nrep",3858.07481283433,1.81431452267096,0.2090869708245,8.67731985171775,4.05204336266138e-18,2.30078139088346e-15,"age.grp","young CD vs old CD"
"Mlxipl",1592.19235459126,0.736378307655513,0.0849325787877181,8.67015129136759,4.31546599968135e-18,2.35960090938133e-15,"age.grp","young CD vs old CD"
"4930516B21Rik",57.1731611556925,1.65887856615414,0.192787557921661,8.60469723273441,7.65184691539586e-18,4.03443628614246e-15,"age.grp","young CD vs old CD"
"Chrna9",30.579245495329,-4.40068263597138,0.517493434048252,-8.50384245756643,1.8341640672948e-17,9.3371600432666e-15,"age.grp","young CD vs old CD"
"Syt9",55.362395913277,-2.79072342698719,0.329004159197626,-8.48233479416551,2.20719373163832e-17,1.08616003533922e-14,"age.grp","young CD vs old CD"
"Wls",780.272533866423,-0.53904037793532,0.0641003964140782,-8.4093142646608,4.12414740076183e-17,1.96402542185313e-14,"age.grp","young CD vs old CD"
"RP23-371A16.2",101.244515121214,1.87100691627952,0.223500209035388,8.37138776896301,5.69435897721397e-17,2.62705692439406e-14,"age.grp","young CD vs old CD"
"Fat3",68.3206051397932,-2.00528577945494,0.240440227608593,-8.34005939604786,7.42532281275605e-17,3.32181941468841e-14,"age.grp","young CD vs old CD"
"Actr3b",100.162054968398,-2.07148637712355,0.249176851254995,-8.31331789727005,9.3062782168129e-17,4.0408407445532e-14,"age.grp","young CD vs old CD"
"Aif1l",258.13113573768,-2.59098321656701,0.312480635022065,-8.29166011002268,1.11678673134667e-16,4.71060643282025e-14,"age.grp","young CD vs old CD"
"Hn1",875.44617375528,-0.985515160384898,0.119210283089832,-8.26703145769942,1.37335733170151e-16,5.63190952441928e-14,"age.grp","young CD vs old CD"
"Lonp2",2097.18662846152,-0.491929613278985,0.0596584907006098,-8.2457602849473,1.64113377133269e-16,6.54812374761745e-14,"age.grp","young CD vs old CD"
"Serpina3n",182.533539449714,-3.00193040586027,0.36436221248894,-8.2388631503641,1.7385465721178e-16,6.75425343267765e-14,"age.grp","young CD vs old CD"
