"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0050900","leukocyte migration",278,0.585874728678804,2.08763226719753,1.80473217810124e-13,9.8610566211452e-10,8.61712122091288e-10,1880,"tags=38%, list=16%, signal=33%","20202/20307/20201/20343/12986/74748/17395/16398/11501/13051/16534/11689/21828/321019/12802/55985/14131/17916/12768/11629/19354/13614/246177/20304/13052/16414/114332/12978/20750/12182/18787/70839/12721/56744/16149/12266/12267/105855/20345/216892/13482/17329/77125/22324/57781/18829/21930/16416/109254/19242/12772/19204/14537/17390/100042493/16408/24088/66102/11815/53416/17387/20344/28240/217303/16172/23887/17101/57257/68279/20375/19219/17965/22329/11539/14747/76763/14595/56532/20296/100952/227541/16590/20300/84094/12490/14127/17874/106512/380916/19271/15894/18708/277360/14082/12977/104099/13479/17096/14042/12527/16159/13601/20947/114774/19261"
"GO:0002252","immune effector process",458,0.50586508991386,1.86150928845939,3.60207304349346e-12,9.84086355482413e-09,8.59947543436123e-09,1819,"tags=36%, list=15%, signal=32%","20202/14133/442827/20343/74748/16197/16016/243958/13051/56644/81897/12274/17863/170744/15018/11537/109828/321019/16950/14131/17916/12229/19354/14991/246177/16414/22376/16185/17969/14130/14191/56743/16182/380797/14744/12523/12259/320910/94176/22177/234779/18636/83408/18534/18439/12260/18733/16453/12262/15170/12721/19264/16792/12628/21354/56744/12524/60533/18784/16149/12266/105855/110557/13482/18826/16904/77125/22324/14159/16364/54519/16331/16186/14190/74131/12772/20351/19204/16408/24088/54445/14999/21355/15015/210293/246256/16971/69816/27056/11421/19041/217304/12984/20556/13421/217303/17101/17085/15007/15042/80861/26362/16164/19419/20375/19219/69583/15040/50908/15000/70450/13036/234311/214162/14129/17688/69188/56532/50909/12483/20296/16590/21938/16190/14998/18753/14964/12263/14127/58185/17874/20910/17305/210808/23882/12051/12402/11891/15275/55982/14972/17221/233046/15894/18708/240354/13419/12983/12258/18129/216190/14082/12363/14824/12519/20442/17096/16194/382051/12478/80859/20723/16159/17283/12493/21687"
"GO:0060326","cell chemotaxis",219,0.590388108554509,2.05897287525125,6.24519078096094e-12,1.13745741423902e-08,9.93971416927678e-09,1746,"tags=35%, list=15%, signal=31%","20202/20307/20201/20343/12986/74748/17395/11501/13051/12774/11689/668218/21828/321019/12802/55985/14131/12768/11629/19354/13614/20304/13052/20305/16414/12978/20750/12182/18787/15200/20308/12721/56744/101540/16149/12266/12267/105855/13482/17329/22324/18829/21930/19242/12772/17390/100042493/18128/66102/53416/18595/28240/16172/17101/57257/20375/17965/22329/14747/76763/97165/20296/14745/227541/16590/20300/14182/18753/14127/106512/19271/277360/18606/12977/104099/13479/17096"
"GO:0030595","leukocyte chemotaxis",164,0.625371712599306,2.13731325364707,1.47157984530245e-11,2.01017806868315e-08,1.7566016258663e-08,1746,"tags=38%, list=15%, signal=33%","20202/20307/20201/20343/12986/74748/17395/11501/13051/11689/21828/321019/12802/55985/14131/12768/11629/19354/13614/20304/13052/16414/12978/20750/12182/18787/12721/56744/16149/12266/12267/105855/13482/17329/22324/18829/21930/19242/12772/17390/100042493/66102/53416/28240/16172/17101/57257/20375/17965/14747/76763/20296/227541/16590/20300/14127/106512/19271/277360/12977/104099/13479/17096"
"GO:0097529","myeloid leukocyte migration",170,0.619107957801408,2.11825387061317,2.37777022613386e-11,2.59842730311908e-08,2.27064542015646e-08,1880,"tags=41%, list=16%, signal=35%","20202/20307/20201/20343/12986/74748/17395/11501/13051/21828/55985/14131/17916/12768/11629/19354/13614/20304/13052/16414/12978/20750/12182/18787/70839/56744/16149/12267/105855/13482/17329/22324/57781/18829/21930/12772/17390/100042493/24088/17387/217303/16172/17101/57257/68279/20375/19219/17965/14747/76763/14595/20296/100952/227541/16590/20300/14127/17874/19271/18708/277360/12977/104099/13479/17096/12527/20947/114774/19261"
"GO:0050865","regulation of cell activation",468,0.489917250798351,1.80285905992709,1.02364894362157e-10,9.3220297132471e-08,8.14609054082008e-08,1818,"tags=31%, list=15%, signal=27%","20533/320484/20555/74748/16197/243958/11501/56644/81897/16534/70945/17863/93675/246746/16818/321019/12802/14268/16950/67742/20739/12229/22778/11629/21414/232413/19354/20304/14130/12978/14191/12182/74734/380797/14744/12523/22177/27027/83408/18534/18782/74039/16453/75345/15170/12721/19264/16792/56744/12524/60533/14960/18784/16149/105855/56193/13482/11540/77125/22324/17082/18829/14969/16331/16186/14190/74131/12772/93695/16408/14999/170786/22637/18828/54354/18595/17387/64817/69816/78317/14961/217304/19099/20344/217303/20377/72828/269023/17101/57257/432628/21813/26362/19419/20375/56745/12522/208154/11988/69583/16169/242248/15000/22329/12367/18783/108995/56532/12483/20296/100952/21938/16190/14998/14182/18753/83924/14127/17874/102657/73182/55982/20587/17221/19271/240354/18214/100039795/12505/230787/11987/14082/24099/14824/12519/212123/17096/13350/16194/12478/80859/56335/12527/16159/12493"
"GO:0001819","positive regulation of cytokine production",364,0.512958498157207,1.86455358392319,1.42079336599927e-10,1.10903070740286e-07,9.69130632807921e-08,1636,"tags=30%, list=14%, signal=26%","12655/14133/20612/11501/17472/56644/81897/17863/12774/170744/50706/81799/14131/12475/12229/11629/232413/14991/20304/14130/12978/13058/14191/16182/13386/380797/18787/14744/67512/12523/69165/22177/234779/83408/18439/74039/15170/19264/16792/15511/60533/101540/16149/12266/12267/53791/56489/15442/77125/17082/16364/23845/74131/320924/246727/12772/21897/19204/17196/24088/54445/246728/16971/78317/27056/13057/240725/16172/225471/14573/17085/80861/217203/68279/215243/19219/12522/18779/384309/69146/14129/18987/97165/71586/20296/56807/66412/72043/16590/16190/12490/15975/14127/58185/17874/14062/210808/102657/12051/106512/15275/17221/19271/18708/240354/100038882/13666/18101"
"GO:0006935","chemotaxis",317,0.530698266415508,1.91031611411175,2.46651383588607e-10,1.49744795547572e-07,1.3085504981964e-07,1388,"tags=29%, list=12%, signal=26%","20202/20307/20201/20343/12986/74748/17395/16398/11501/13051/12774/11689/668218/21828/321019/12802/14268/55985/14131/12768/18213/11629/19354/13614/20304/13052/20305/16414/12978/20750/12182/18787/15200/70839/94176/20308/12721/56744/101540/16149/12266/12267/105855/13482/17329/22324/14159/18829/21930/16416/13640/108151/19242/12772/20351/19204/17390/100042493/13587/58861/18128/66102/53416/20564/18595/16971/30955/18208/28240/16172/11601/17101/57257/20375/20346/11603/17965/22329/14747/76763/97165/67103/20296/14745/20353/68119/227541/16590/14178/20300/14182/18753"
"GO:0042330","taxis",317,0.530698266415508,1.91031611411175,2.46651383588607e-10,1.49744795547572e-07,1.3085504981964e-07,1388,"tags=29%, list=12%, signal=26%","20202/20307/20201/20343/12986/74748/17395/16398/11501/13051/12774/11689/668218/21828/321019/12802/14268/55985/14131/12768/18213/11629/19354/13614/20304/13052/20305/16414/12978/20750/12182/18787/15200/70839/94176/20308/12721/56744/101540/16149/12266/12267/105855/13482/17329/22324/14159/18829/21930/16416/13640/108151/19242/12772/20351/19204/17390/100042493/13587/58861/18128/66102/53416/20564/18595/16971/30955/18208/28240/16172/11601/17101/57257/20375/20346/11603/17965/22329/14747/76763/97165/67103/20296/14745/20353/68119/227541/16590/14178/20300/14182/18753"
"GO:0002443","leukocyte mediated immunity",272,0.536373159037958,1.90708091141072,1.78040181440466e-09,9.72811551390708e-07,8.500950136989e-07,1802,"tags=40%, list=15%, signal=35%","442827/20343/16197/16016/13051/56644/81897/12274/15018/109828/14131/17916/12229/19354/14991/246177/16414/22376/16185/17969/14130/14191/56743/16182/380797/12523/12259/22177/234779/83408/18439/12260/18733/16453/12262/15170/12721/19264/21354/60533/16149/12266/105855/110557/13482/16904/22324/14159/16331/74131/12772/19204/24088/54445/21355/15015/246256/11421/217304/12984/20556/13421/217303/17101/15007/15042/19419/20375/69583/15040/50908/70450/13036/14129/17688/69188/56532/50909/20296/16590/21938/16190/14998/18753/14964/12263/14127/58185/17874/20910/12051/12402/11891/55982/14972/17221/233046/15894/18708/240354/13419/12983/14082/12519/17096/12478/80859/20723/16159"
