"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ontology","comparison","direction"
"GO:0030198","extracellular matrix organization",249,0.455854270423511,2.35588178789258,8.38291631623147e-15,1.61063765489194e-11,1.37332758878894e-11,2184,"tags=37%, list=16%, signal=32%","245026/12818/269959/17395/241226/21810/16950/78892/14595/17390/74199/320712/18128/12845/114249/224697/108075/407800/208177/18595/223838/69538/14230/13482/16971/15117/77739/14268/268396/240725/17387/12829/106042/545370/12843/30806/20319/26561/81877/14114/13406/11568/237360/17128/58859/50706/21938/23948/16773/16416/54156/21814/26432/76293/18214/16777/26427/246228/14456/14042/68169/54409/14758/12814/12833/11803/234911/15530/17877/56348/226519/17392/53614/12828/11350/18826/330119/12823/94214/654812/13040/72043/373864/21859/108154/17385/12815/100952/17183/13717/12836/216725/170441","BP","old ID vs old CD","Up"
"GO:0043062","extracellular structure organization",249,0.455854270423511,2.35588178789258,8.38291631623147e-15,1.61063765489194e-11,1.37332758878894e-11,2184,"tags=37%, list=16%, signal=32%","245026/12818/269959/17395/241226/21810/16950/78892/14595/17390/74199/320712/18128/12845/114249/224697/108075/407800/208177/18595/223838/69538/14230/13482/16971/15117/77739/14268/268396/240725/17387/12829/106042/545370/12843/30806/20319/26561/81877/14114/13406/11568/237360/17128/58859/50706/21938/23948/16773/16416/54156/21814/26432/76293/18214/16777/26427/246228/14456/14042/68169/54409/14758/12814/12833/11803/234911/15530/17877/56348/226519/17392/53614/12828/11350/18826/330119/12823/94214/654812/13040/72043/373864/21859/108154/17385/12815/100952/17183/13717/12836/216725/170441","BP","old ID vs old CD","Up"
"GO:0045229","external encapsulating structure organization",249,0.455854270423511,2.35588178789258,8.38291631623147e-15,1.61063765489194e-11,1.37332758878894e-11,2184,"tags=37%, list=16%, signal=32%","245026/12818/269959/17395/241226/21810/16950/78892/14595/17390/74199/320712/18128/12845/114249/224697/108075/407800/208177/18595/223838/69538/14230/13482/16971/15117/77739/14268/268396/240725/17387/12829/106042/545370/12843/30806/20319/26561/81877/14114/13406/11568/237360/17128/58859/50706/21938/23948/16773/16416/54156/21814/26432/76293/18214/16777/26427/246228/14456/14042/68169/54409/14758/12814/12833/11803/234911/15530/17877/56348/226519/17392/53614/12828/11350/18826/330119/12823/94214/654812/13040/72043/373864/21859/108154/17385/12815/100952/17183/13717/12836/216725/170441","BP","old ID vs old CD","Up"
"GO:0050900","leukocyte migration",322,0.403500106748859,2.14343699694507,1.16165855665514e-12,1.67394998014005e-09,1.42731152658496e-09,2846,"tags=39%, list=21%, signal=32%","20307/216892/17395/14131/245195/20202/14595/17390/12986/16398/13051/12978/12765/17916/74748/56744/24088/11629/11815/13482/114332/20201/23887/57349/18787/16534/77125/83433/319430/20343/243979/17387/21828/11689/20750/11501/13614/17101/76763/16414/321019/12267/12766/18708/17874/12490/18829/70839/380916/55985/17965/246177/100042493/12266/16416/53416/19242/14747/13479/14456/16149/105855/20300/12772/14042/12977/104099/13052/19354/20339/22329/17470/57257/19219/17329/70208/20345/66102/16172/12768/14289/20947/21936/84094/14537/15894/12182/11350/14082/12527/11539/21930/12802/20563/19204/12721/217303/19271/75458/54725/100952/17096/20375/227541/16590/20085/14254/22059/20344/57781/16408/109700/22324/20868/19141/18578/277360/22339/13601/19261/13617/20304/102103/17925/12515/16159","BP","old ID vs old CD","Up"
"GO:0097529","myeloid leukocyte migration",195,0.445660654086907,2.21733945302936,8.86276628878962e-11,1.02169969777167e-07,8.71163280049658e-08,2881,"tags=44%, list=21%, signal=35%","20307/17395/14131/245195/20202/14595/17390/12986/13051/12978/12765/17916/74748/56744/24088/11629/13482/20201/57349/18787/83433/319430/20343/243979/17387/21828/20750/11501/13614/17101/76763/16414/12267/18708/17874/18829/70839/55985/17965/100042493/14747/13479/16149/105855/20300/12772/12977/104099/13052/19354/17470/57257/19219/17329/16172/12768/14289/20947/12182/12527/21930/20563/217303/19271/75458/100952/17096/20375/227541/16590/20085/14254/57781/109700/22324/19141/18578/277360/22339/19261/13617/20304/102103/17925/18081","BP","old ID vs old CD","Up"
"GO:0002250","adaptive immune response",389,0.355112035619289,1.92432970765755,2.52727886406856e-10,2.42787256208187e-07,2.07015175725195e-07,2118,"tags=29%, list=15%, signal=26%","14131/16950/56620/15018/16453/18128/14991/101540/381777/18439/13051/12259/12262/12946/16197/239743/20555/56644/56744/21355/14130/13482/12260/108024/50908/77125/109828/83433/15015/16142/12525/21354/16068/18733/17101/51869/16904/269799/70673/321019/17688/53314/12267/22376/16428/17082/110557/17874/12500/12274/55982/620017/20351/108022/77799/54445/21938/629845/246177/12266/15040/60533/16331/17221/16449/332579/73149/14960/17685/17476/16149/105855/12772/18707/12524/67742/12229/14964/15170/16182/12523/243958/13036/11513/16174/12014/15042/16190/18753/16172/14999/14969/56743/20947/12984/629826/50909/15894/26888/213570/14972/14082/16364/16185/12263/13032/75345/14961/19264/20723/20715/20556/17096/14360","BP","old ID vs old CD","Up"
"GO:0060326","cell chemotaxis",260,0.38964500867474,2.01705073242762,7.05836660974768e-10,4.52049168206507e-07,3.85444604689028e-07,2881,"tags=39%, list=21%, signal=31%","20307/17395/14131/245195/20202/17390/12986/15200/18128/101540/13051/12978/12774/12765/20305/74748/18595/14182/56744/11629/13482/20201/20308/57349/18787/319430/20343/21828/11689/20750/11501/13614/17101/76763/16414/321019/12267/12766/18829/55985/17965/100042493/12266/53416/14388/19242/14747/668218/13479/14456/16149/105855/20300/12772/12977/104099/13052/19354/14745/238130/22329/57257/17329/15234/18753/66102/16172/12768/18606/14289/20947/12182/12778/21930/12802/20563/12721/19271/75458/17096/20375/227541/16590/80901/20085/14254/97165/18596/109700/22324/216869/19141/18578/277360/22339/13617/20304/102103/17925/16159/18081","BP","old ID vs old CD","Up"
"GO:0006935","chemotaxis",363,0.355942899104875,1.92040814805167,6.71445099855385e-10,4.52049168206507e-07,3.85444604689028e-07,2900,"tags=37%, list=21%, signal=30%","20307/17395/14131/245195/20202/17390/12986/15200/18128/16398/101540/13051/12978/12774/12765/20305/74748/14159/11603/18595/14182/56744/11629/13482/20201/16971/20308/57349/18787/14268/83433/319430/20343/21828/11689/20750/11501/13614/18208/20564/17101/76763/16414/321019/12267/12766/18213/18829/70839/20351/11601/58861/55985/17965/100042493/12266/68119/16416/53416/14388/19242/20353/14178/14747/668218/13479/14456/16149/20562/105855/20300/12772/12977/104099/18707/13052/19354/14745/238130/22329/57257/17329/94176/15234/18753/66102/16172/12768/18606/14289/20947/12182/108151/12778/21930/13640/12802/20563/19204/12721/19271/75458/17096/30955/20375/227541/18187/16590/80901/20085/67103/20346/14254/97165/18596/109700/22324/216869/19141/18578/277360/22339/243743/20347/13617/20304/102103/17925/13587/16159/18081/20359/20350","BP","old ID vs old CD","Up"
"GO:0042330","taxis",363,0.355942899104875,1.92040814805167,6.71445099855385e-10,4.52049168206507e-07,3.85444604689028e-07,2900,"tags=37%, list=21%, signal=30%","20307/17395/14131/245195/20202/17390/12986/15200/18128/16398/101540/13051/12978/12774/12765/20305/74748/14159/11603/18595/14182/56744/11629/13482/20201/16971/20308/57349/18787/14268/83433/319430/20343/21828/11689/20750/11501/13614/18208/20564/17101/76763/16414/321019/12267/12766/18213/18829/70839/20351/11601/58861/55985/17965/100042493/12266/68119/16416/53416/14388/19242/20353/14178/14747/668218/13479/14456/16149/20562/105855/20300/12772/12977/104099/18707/13052/19354/14745/238130/22329/57257/17329/94176/15234/18753/66102/16172/12768/18606/14289/20947/12182/108151/12778/21930/13640/12802/20563/19204/12721/19271/75458/17096/30955/20375/227541/18187/16590/80901/20085/67103/20346/14254/97165/18596/109700/22324/216869/19141/18578/277360/22339/243743/20347/13617/20304/102103/17925/13587/16159/18081/20359/20350","BP","old ID vs old CD","Up"
"GO:0002685","regulation of leukocyte migration",204,0.424113081341137,2.13561007602203,1.2033844674184e-09,6.93630807019966e-07,5.91431797723843e-07,2982,"tags=43%, list=22%, signal=34%","216892/17395/16398/13051/12978/12765/17916/74748/24088/11629/11815/13482/114332/57349/18787/77125/83433/319430/20343/243979/17387/21828/11501/13614/76763/12267/12766/18708/17874/18829/70839/380916/55985/17965/100042493/16416/53416/19242/14747/14456/16149/105855/20300/12772/12977/19354/20339/17470/19219/70208/12768/14289/20947/21936/84094/14537/15894/12182/11350/14082/12527/11539/21930/20563/19204/12721/217303/19271/100952/17096/20375/227541/22059/20344/57781/20868/19141/22339/13601/13617/20304/102103/12515/16159/18081/12261/106512","BP","old ID vs old CD","Up"
