"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ontology","comparison","direction"
"GO:0030312","external encapsulating structure",356,0.419963314852642,2.25561315611503,4.9807894685183e-16,3.55628368052206e-13,2.85215733776206e-13,2168,"tags=36%, list=16%, signal=31%","22371/245026/14133/12818/269959/17395/219151/21810/242022/78892/74145/19074/17390/74199/320712/70945/192897/19283/18295/12845/114249/224697/108075/21922/407800/12111/19699/11603/223838/56744/27047/121021/13179/12495/21858/18787/77739/14268/269855/665700/14118/17387/21828/23928/21827/12829/545370/18208/12843/30806/16997/26561/14190/81877/72713/70370/17082/12496/14114/13406/20377/237360/58859/17313/73368/50706/11601/23948/67448/16012/16773/21817/18553/208777/237759/192190/16774/54156/12816/13003/320924/26432/14264/76293/19242/16776/16777/246228/329941/15442/68169/12834/12814/12258/64817/230971/12833/107581/234911/15530/16775/56348/226519/71790/17392/21923/140792/29817/12828/237928/13640/330119/66695/20563/13032/12823/94214/654812/20723/373864/21859/108154/17385/12815/100952/17183/13717/12836/216725","CC","old ID vs old CD","Up"
"GO:0031012","extracellular matrix",355,0.418275135341447,2.24625140519434,2.04732856656145e-15,7.30896298262437e-13,5.86182494847068e-13,2168,"tags=36%, list=16%, signal=31%","22371/245026/14133/12818/269959/17395/219151/21810/242022/78892/74145/19074/17390/74199/320712/70945/192897/19283/18295/12845/114249/224697/108075/21922/407800/12111/19699/11603/223838/56744/27047/121021/13179/12495/21858/18787/77739/14268/269855/665700/14118/17387/21828/23928/21827/12829/545370/18208/12843/30806/16997/26561/14190/81877/72713/70370/17082/12496/14114/13406/20377/237360/58859/17313/73368/50706/11601/23948/67448/16012/16773/21817/18553/208777/237759/16774/54156/12816/13003/320924/26432/14264/76293/19242/16776/16777/246228/329941/15442/68169/12834/12814/12258/64817/230971/12833/107581/234911/15530/16775/56348/226519/71790/17392/21923/140792/29817/12828/237928/13640/330119/66695/20563/13032/12823/94214/654812/20723/373864/21859/108154/17385/12815/100952/17183/13717/12836/216725","CC","old ID vs old CD","Up"
"GO:0009897","external side of plasma membrane",332,0.418261843058983,2.23831172310475,3.91235161409374e-15,9.3113968415431e-13,7.46778694058595e-13,3288,"tags=44%, list=24%, signal=35%","22371/11421/14131/56620/15018/216864/16847/14595/12986/16398/12804/93671/12628/14991/69142/21813/18439/13051/170744/12475/14934/12946/16197/12774/12765/18595/56644/12489/24088/69538/14130/192188/16971/12495/13038/70192/11883/20343/15015/214321/12525/14586/18733/16414/269799/69165/14276/17312/12766/17082/110557/20536/12500/12490/70839/100042493/15040/16416/60533/21814/93675/73149/239188/14960/21452/12507/16164/16149/12772/237754/170786/12524/20339/12506/22329/14964/13386/12523/17329/12351/15042/16190/12768/14969/12984/21936/15894/16186/26888/50877/14972/12527/16185/11303/12778/13640/75345/18436/14961/19264/22163/64706/13857/16411/17076/209558/16590/80901/15039/381091/20344/18792/57781/16408/109700/101772/12562/14658/18053/12502/71914/230857/16194/215615/11444/70445/14585/333883/12515/243864/16402/69583/12522/12505/102657/16531/11829/14127/105727/170776/170780/380797/16199/14251/59289/16790/16542","CC","old ID vs old CD","Up"
"GO:0005743","mitochondrial inner membrane",474,-0.371978946669498,-2.04399637418016,3.16965412761712e-14,5.65783261779656e-12,4.53761011953609e-12,4115,"tags=46%, list=30%, signal=34%","12869/66706/17995/17991/66690/66343/67067/68202/74868/66925/229663/56428/226646/66047/66495/70316/57279/66525/67876/27395/100126824/66108/94061/66091/110323/76263/17713/66576/94065/56280/66218/68499/30055/53600/14151/66121/353242/52892/74591/67273/64659/13076/68015/66114/68198/56284/66493/17827/56075/67530/103172/67212/218506/66292/70310/66407/231279/381038/17718/407785/72113/67582/56360/74610/78506/66416/66052/56322/68836/21854/17992/56412/230935/225887/69956/216001/67130/56451/66359/74600/14732/66449/28028/12862/17720/22334/66448/66148/11833/66594/79044/12867/18100/68194/56384/66278/69906/54369/70544/66152/16854/320951/227231/75778/67863/52064/60441/246782/69186/68375/14548/68735/70456/56189/54405/22335/17448/68514/65111/64658/75398/230075/67713/72542/67013/12896/223696/57312/56295/66092/17719/12043/67994/64655/66154/66377/74143/68349/18416/67681/100503890/64656/68537/67267/12894/229731/66272/66916/215999/69875/55951/52443/67184/208638/12865/12040/68197/78830/76137/11655/230810/22333/50529/15159/71699/11739/73132/104910/67044/17716/22272/56046/14149/66230/22238/69094/68943/18115/66163/226139/50799/30059/30057/66973/94064/17993/15360/12850/69597/20656/67036/21856/66223/56282/64384/12859/20532/69802/73078/94066/68342/66419/19299/72795/14287/24030/18408/17714/380836/69163/17711/121022/57837/11699/66427/68611/52469/11671/17717/11306","CC","old ID vs old CD","Down"
"GO:0098798","mitochondrial protein-containing complex",164,-0.468986492094254,-2.3179265846976,5.0997284175622e-11,7.28241218027882e-09,5.84053107190281e-09,3914,"tags=51%, list=28%, signal=37%","66047/70316/66525/27395/94061/69046/17713/94065/56280/68499/30055/53600/66121/18041/353242/64659/56284/66493/17827/56075/103172/67212/218506/66292/66407/78506/56322/68836/21854/74316/230935/69956/216001/74600/66449/28028/66448/66148/79044/53375/18100/12028/60441/66169/14548/68735/68514/65111/64658/75398/67713/223696/57312/67994/64655/67681/64656/68537/215999/52443/22333/50529/11739/641376/66230/66163/30059/66973/68512/94064/69597/67036/21856/66223/56282/73078/94066/66419/24030/17714/69163/121022/68611/106338","CC","old ID vs old CD","Down"
"GO:0043235","receptor complex",291,0.358668862664872,1.88531373048948,2.19852279718193e-08,2.6162421286465e-06,2.09823930117012e-06,3576,"tags=42%, list=26%, signal=32%","241226/16847/192897/18128/16398/12804/21813/320910/12978/12475/12946/18823/18595/14182/24088/26362/16971/11481/12525/18131/14586/15975/14396/213119/268749/16414/18779/18213/12500/22259/16416/21814/18214/16164/504186/223272/21687/16149/319480/104099/54393/54409/18160/54712/15559/11863/15170/14807/16182/16174/54519/53623/16190/12984/239530/16439/16186/18129/27027/235611/14806/13649/11517/54598/100952/16411/17096/239217/11448/16590/14254/381921/140570/57781/15516/19228/18596/16408/100125263/14394/16973/109700/58869/225471/12502/12982/16194/13869/243743/11444/14585/14573/72699/16402/192176/18844/19263/67784/83771/110902/21897/12505/22637/11864/16001/11479/16975/18858/244723/12305/380797/78070/16542/14816/18383/12010/19262/14404/72324/26563/19016/11556","CC","old ID vs old CD","Up"
"GO:0030964","NADH dehydrogenase complex",45,-0.615036552577203,-2.35364957965458,8.83061636254678e-08,6.3050600828584e-06,5.05668979076363e-06,4161,"tags=78%, list=30%, signal=55%","78330/17995/17991/68202/226646/66495/70316/66108/66091/66218/67273/68198/75597/17718/407785/66416/17992/225887/67130/17720/68194/68375/54405/230075/17719/66377/68349/66916/69875/67184/68197/17716/17993/68342/17717","CC","old ID vs old CD","Down"
"GO:0045271","respiratory chain complex I",45,-0.615036552577203,-2.35364957965458,8.83061636254678e-08,6.3050600828584e-06,5.05668979076363e-06,4161,"tags=78%, list=30%, signal=55%","78330/17995/17991/68202/226646/66495/70316/66108/66091/66218/67273/68198/75597/17718/407785/66416/17992/225887/67130/17720/68194/68375/54405/230075/17719/66377/68349/66916/69875/67184/68197/17716/17993/68342/17717","CC","old ID vs old CD","Down"
"GO:0005581","collagen trimer",66,0.563675394754667,2.33865560849892,8.57224870447208e-08,6.3050600828584e-06,5.05668979076363e-06,2747,"tags=55%, list=20%, signal=44%","245026/14133/12818/219151/12259/12262/13179/12260/12829/12843/56745/73368/237759/12816/320924/81799/329941/12834/12814/12833/235379/107581/140792/12828/12823/373864/12815/100952/69183/12836/12832/227580/12825/68588/17022/382864","CC","old ID vs old CD","Up"
"GO:0098803","respiratory chain complex",82,-0.517357348135497,-2.2440146882974,6.21068387358896e-08,6.3050600828584e-06,5.05668979076363e-06,4241,"tags=61%, list=31%, signal=43%","433470/78330/12869/17995/17991/68202/66925/226646/66495/70316/66108/66091/110323/66576/66218/67273/68198/67530/75597/17718/407785/66416/66052/17992/225887/67130/12862/17720/66594/12867/68194/66152/68375/54405/230075/17719/66377/68349/66916/69875/67184/12865/68197/17716/22272/17993/12859/68342/17711/17717","CC","old ID vs old CD","Down"
