"ontology","ID","Description","direction","age_NES","age_p.adjust","age_setSize","diet_NES","diet_p.adjust","diet_setSize","direction_label","best_p.adjust","worst_p.adjust"
"BP","GO:0006805","xenobiotic metabolic process","Down",-2.57413711956075,1.24899058701771e-09,87,-2.1231640367116,0.00016341292250246,92,"Down in young CD and old ID",1.24899058701771e-09,0.00016341292250246
"BP","GO:0008202","steroid metabolic process","Down",-1.98629685234969,3.6301479242442e-07,274,-1.76045987761462,0.00038350251532955,285,"Down in young CD and old ID",3.6301479242442e-07,0.00038350251532955
"BP","GO:0042178","xenobiotic catabolic process","Down",-2.1670833580839,0.00022932000326203,34,-2.16135517895286,0.00140470747665298,37,"Down in young CD and old ID",0.00022932000326203,0.00140470747665298
"BP","GO:0006720","isoprenoid metabolic process","Down",-2.33203360493496,2.76221642736204e-07,91,-1.9457658375054,0.00178792817864506,96,"Down in young CD and old ID",2.76221642736204e-07,0.00178792817864506
"BP","GO:0034370","triglyceride-rich lipoprotein particle remodeling","Down",-2.22081899031503,0.000278199034860333,15,-2.14605230243682,0.00184461998346701,15,"Down in young CD and old ID",0.000278199034860333,0.00184461998346701
"BP","GO:0034372","very-low-density lipoprotein particle remodeling","Down",-2.22081899031503,0.000278199034860333,15,-2.14605230243682,0.00184461998346701,15,"Down in young CD and old ID",0.000278199034860333,0.00184461998346701
"BP","GO:0046394","carboxylic acid biosynthetic process","Down",-1.86650983476043,7.43429270845638e-06,285,-1.66186490903147,0.00186442333463554,294,"Down in young CD and old ID",7.43429270845638e-06,0.00186442333463554
"BP","GO:0071466","cellular response to xenobiotic stimulus","Down",-2.35635995831933,7.30026815361345e-09,147,-1.8018619222762,0.00218584174685932,156,"Down in young CD and old ID",7.30026815361345e-09,0.00218584174685932
"BP","GO:0006641","triglyceride metabolic process","Down",-1.79749485832469,0.00226577972499455,106,-1.9031788922556,0.0024829037423073,106,"Down in young CD and old ID",0.00226577972499455,0.0024829037423073
"BP","GO:0016053","organic acid biosynthetic process","Down",-1.86042506856281,4.37278666584113e-06,288,-1.62592030996041,0.00367994777155324,297,"Down in young CD and old ID",4.37278666584113e-06,0.00367994777155324
"BP","GO:0019373","epoxygenase P450 pathway","Down",-2.38600259532446,1.28375365637164e-05,18,-2.12095808466438,0.0044145526348085,21,"Down in young CD and old ID",1.28375365637164e-05,0.0044145526348085
"BP","GO:0006721","terpenoid metabolic process","Down",-2.42365611608615,1.64324030773148e-07,77,-1.88199239397367,0.0059419319069628,82,"Down in young CD and old ID",1.64324030773148e-07,0.0059419319069628
"BP","GO:0010038","response to metal ion","Down",-1.69736160303901,0.000296389707910941,295,-1.57762155861515,0.00685775591587307,301,"Down in young CD and old ID",0.000296389707910941,0.00685775591587307
"BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","Down",-1.79695373269157,0.00794048632308108,71,-2.06880865583992,0.000628415978149084,71,"Down in young CD and old ID",0.000628415978149084,0.00794048632308108
"BP","GO:0042773","ATP synthesis coupled electron transport","Down",-1.77149729556959,0.00849507701471908,73,-2.06388959084051,0.000756542394806595,73,"Down in young CD and old ID",0.000756542394806595,0.00849507701471908
"BP","GO:0006119","oxidative phosphorylation","Down",-1.64059377661952,0.00915572020912234,123,-2.14222545144106,2.37799519779307e-05,123,"Down in young CD and old ID",2.37799519779307e-05,0.00915572020912234
"BP","GO:0015986","proton motive force-driven ATP synthesis","Down",-1.82928678988174,0.010581626975785,51,-2.25135321321442,8.22545532821132e-05,51,"Down in young CD and old ID",8.22545532821132e-05,0.010581626975785
"BP","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","Down",-1.82928678988174,0.010581626975785,51,-2.25135321321442,8.22545532821132e-05,51,"Down in young CD and old ID",8.22545532821132e-05,0.010581626975785
"BP","GO:0033559","unsaturated fatty acid metabolic process","Down",-2.40921833551463,8.32740694822608e-09,107,-1.79463511286213,0.0107620000873091,115,"Down in young CD and old ID",8.32740694822608e-09,0.0107620000873091
"BP","GO:1901605","alpha-amino acid metabolic process","Down",-1.57194867732265,0.0122156458068385,178,-1.70781127975742,0.00780818146070734,182,"Down in young CD and old ID",0.00780818146070734,0.0122156458068385
"BP","GO:0016101","diterpenoid metabolic process","Down",-2.54372497273101,8.36338622833314e-09,65,-1.78798623866936,0.0146144564451325,70,"Down in young CD and old ID",8.36338622833314e-09,0.0146144564451325
"BP","GO:0008203","cholesterol metabolic process","Down",-1.61518698196955,0.014769470970097,133,-1.9248878512404,0.000992914458171789,137,"Down in young CD and old ID",0.000992914458171789,0.014769470970097
"BP","GO:0016125","sterol metabolic process","Down",-1.61596705464895,0.0155711721655998,137,-2.00531103117166,0.000194794669602139,141,"Down in young CD and old ID",0.000194794669602139,0.0155711721655998
"BP","GO:0050892","intestinal absorption","Down",-2.01208788588919,0.00208323953785077,34,-1.90604120854794,0.0161314053960019,38,"Down in young CD and old ID",0.00208323953785077,0.0161314053960019
