"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",131,0.650459242362707,2.17196196465088,3.39870772593297e-11,1.69935386296648e-09,1.21637960717601e-09,547,"tags=45%, list=16%, signal=39%","Mmp9/Ccr5/Lck/Cxcl13/Ccr1/Ccl5/Itgb2/Was/Il2rb/Fcgr2b/Stab1/Fgr/Gpr65/Cd3g/Inhba/Timp1/Cfp/Ncf4/Ptpn6/Ptprc/Tap1/Pf4/Cd86/H2-Aa/Cd74/Ly86/Cxcl9/Map4k1/Irf4/Il2rg/Ctss/Ccr2/Tlr1/Gcnt1/Hcls1/Itgal/Tlr2/Ly75/Tap2/Zap70/Igsf6/Spi1/H2-DMb2/St8sia4/Lcp2/Srgn/Hdac9/Capg/Il4ra/H2-DMa/C2/F2r/Bcl3/Egfr/Icam1/Cd80/Csf1/Lyn/Il12a"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",164,0.590857892343616,2.01444483425671,3.01901688645697e-09,7.54754221614243e-08,5.40245127050195e-08,628,"tags=47%, list=19%, signal=40%","Tnfsf10/Zbp1/Ccl5/Isg20/Il2rb/Psmb8/Slamf7/Ptpn6/Cfh/Tap1/Cd86/Cd274/H2-Aa/Cd74/Sp110/Il18bp/Cxcl9/Tnfaip6/Irf4/Epsti1/Fgl2/Oas3/Rnf213/Herc6/Gbp3/Parp14/Rtp4/Ifi44/Oas2/Nlrc5/Irf5/Selp/Ifit2/Dhx58/Samhd1/P2ry14/Helz2/C1s1/Il15ra/Bank1/St8sia4/Adar/Vcam1/Lcp2/Ddx60/Casp3/Fcgr1/Cmklr1/Pla2g4a/Ifih1/Ifitm2/Il4ra/H2-DMa/Usp18/Cmpk2/Pfkp/Rnf31/Rsad2/Myd88/Trim21/Ly6e/Icam1/Stat2/Serping1/Isg15/Psmb9/Casp4/Lysmd2/Tnfaip2/Pml/Nfkbia/Parp12/Nfkb1/Ifi30/Samd9l/Irf9/Ciita"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",150,-0.568252951672473,-2.14384096892973,2.61118527655591e-08,4.35197546092652e-07,3.1150982246632e-07,182,"tags=17%, list=5%, signal=17%","Cyp2j6/Cfb/Cyp1a1/Fah/Papss2/Lpin2/Pdk4/Hes6/Atoh8/Gnmt/Rbp4/Vtn/Abcc3/Kynu/Itih4/Pemt/Ddc/Acox2/Aldh3a1/Ttpa/Cyp4f14/Tdo2/Fetub/Arg1/F10/Cyp2c55"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",134,0.566256575638361,1.89742744232151,1.36809072804498e-06,1.71011341005623e-05,1.22408117772446e-05,594,"tags=41%, list=18%, signal=35%","Sell/Csf3r/Il7r/Lck/Gpr183/Cd14/Tnfsf10/Edn1/Ccl5/Il2rb/Stab1/Cybb/Il18r1/Serpine1/Hbegf/Gpr132/Itgb8/Inhba/Timp1/P2rx7/Gpc3/Cd48/C3ar1/Cxcl9/Atp2a2/Tnfaip6/Clec5a/Itgb3/Tlr1/Ptafr/Tlr2/Rtp4/Mmp14/Axl/Rasgrp1/Ptger4/Slc7a2/Emp3/Il15ra/Lcp2/Cmklr1/Lpar1/Gabbr1/Tnfrsf1b/Il4ra/Ifnar1/Ly6e/Icam1/Slc7a1/Csf1/Lyn/Nfkbia/Nfkb1/Abca1/Slc31a2"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",169,0.535694174504878,1.83503230030649,3.51545351977026e-06,3.51545351977026e-05,2.51632462467766e-05,772,"tags=49%, list=23%, signal=39%","Comp/Itga2/Postn/Fn1/Cdh11/Fmod/Col11a1/Edil3/Col8a2/Col12a1/Spp1/Serpine1/Inhba/Timp1/Adam12/Abi3bp/Fbln1/Tgfbi/Vcan/Bgn/Itgb3/Gja1/Fbn1/Mmp2/Mmp3/Col1a2/Tnc/Dcn/Ecm2/Slit3/Mmp14/Lrp1/Mgp/Sfrp1/Plod2/Col16a1/Efemp2/Col6a2/Pdlim4/Col6a3/Lama2/Emp3/Igfbp3/Lama3/Glipr1/Vcam1/Sntb1/Col7a1/Eln/Capg/Dab2/Pcolce/Col1a1/Notch2/Cd44/Col3a1/Dpysl3/Col5a2/Ecm1/Wipf1/Tgfbr3/Gem/Tgm2/Lox/Lum/Pdgfrb/Crlf1/Itga5/Pmp22/Lamc1/Vegfa/Tgfb1/Sfrp4/Tpm2/Bmp1/Fbln2/Cadm1/Anpep/Fstl1/Sgcd/Nt5e/Flna"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",163,0.503528598761034,1.71730840217138,5.60337862627468e-05,0.000466948218856223,0.000334236619812876,462,"tags=33%, list=14%, signal=30%","Slpi/Cidea/Il7r/Mmp9/Itga2/Adam8/Kcnn4/Tlr8/Ikzf1/Itgb2/F13a1/Spp1/Lat2/Hbegf/Gabra3/Inhba/Dock2/Psmb8/Clec4a3/Reln/Laptm5/Cfh/C3ar1/Lcp1/Il33/Map4k1/Itgbl1/Il2rg/Ctss/Aldh1a2/Gpnmb/Hsd11b1/Mpzl2/Apod/Aldh1a3/Gfpt2/Ace/Mmp11/Csf2ra/Igfbp3/Etv4/Btc/Hdac9/Cmklr1/Etv1/Etv5/Ush1c/Tnfrsf1b/Tmem100/Plvap/Plat/Fcer1g/Gadd45g/Cbl"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",83,0.577659687862088,1.81408222432197,7.17969434410329e-05,0.000512835310293092,0.000367082116841371,720,"tags=51%, list=21%, signal=41%","Sell/Isg20/Psmb8/Tap1/Cd74/Sp110/Epsti1/Uba7/Herc6/Gbp3/Parp14/Rtp4/Ifi44/Ifit2/Dhx58/Helz2/C1s1/Adar/Ddx60/Ifih1/Ifitm2/Il4ra/Usp18/Cmpk2/Rnf31/Cnp/Rsad2/Trim21/Ly6e/Stat2/Isg15/Psmb9/Procr/Csf1/Parp12/Ifi30/Samd9l/Irf9/Elf1/Irf7/Mov10/Irf1"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",149,0.508571912590097,1.71541961243033,8.40088574353743e-05,0.00052505535897109,0.00037582909905299,480,"tags=28%, list=14%, signal=25%","Atp1a3/Mmp9/Itga2/Actc1/Cdh11/Rac2/Itgb4/Cadm3/Cd209b/Vwf/Ptprc/Cd86/Cd274/Negr1/Tgfbi/Vcan/Pard6g/Fbn1/Mmp2/Shroom2/Thbs3/Mpzl2/Pkd1/Rhof/Amigo2/Col16a1/Nfasc/Lama3/Vcam1/Lima1/Adam23/Actn1/B4galt1/Evl/Flnc/Cd34/Zyx/Sdc3/Myh9/Cd276/Egfr/Icam1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",180,-0.431498260769451,-1.65886702157165,0.000279907282929534,0.00155504046071963,0.00111308159293616,1265,"tags=54%, list=37%, signal=36%","Lrpprc/Cox17/Pdp1/Retsat/Pdhb/Ndufv2/Ndufb5/Mtrf1/Grpel1/Surf1/Idh3b/Suclg1/Cox6c/Mdh2/Atp6v0b/Dlst/Ndufab1/Sdhc/Sdhd/Timm13/Mdh1/Slc25a11/Slc25a20/Gm10053/Sucla2/Vdac2/Atp6v1c1/Phyh/Timm17a/Ndufa9/Ndufa8/Mrps15/Mrpl34/Afg3l2/Tomm22/Prdx3/Idh3a/Vdac3/Cox6b1/Cox7b/Uqcrh/Ndufb3/Vdac1/Ndufs3/Ndufa5/Ndufs6/Slc25a4/Uqcrb/Ndufa2/Opa1/Cyb5a/Ndufs8/Atp6v1f/Nqo2/Ndufb6/Ndufa3/Ndufb2/Pdhx/Ndufa7/Slc25a12/Ndufa1/Uqcr11/Atp6v1d/Abcb7/Hccs/Ndufa6/Bax/Uqcrq/Atp6v1g1/Mtx2/Alas1/Ndufc1/Cox15/Atp6v1h/Mrps11/Ndufa4/Mrpl35/Ndufb7/Atp6v1e1/Mgst3/Cox7c/Mrps22/Ndufs4/Mpc1/Cox11/Ndufc2/Uqcr10/Mrpl11/Atp6ap1/Cox5b/Cpt1a/Timm10/Cox10/Mrps12/Timm8b/Atp1b1/Pdk4/Nnt"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",84,-0.512771040495625,-1.75247947128711,0.00220354839077359,0.0110177419538679,0.00788638371434758,252,"tags=15%, list=7%, signal=15%","Bcar3/Fads2/Aldh1a1/Fdxr/Nr3c2/Pecr/Gnmt/Dhcr24/Slc27a5/Slco1a4/Apoa1/Gc/Ttr"
