"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ontology","comparison","direction"
"GO:0002250","adaptive immune response",346,-0.504928862796653,-2.58344776376375,6.21193159559784e-25,3.55943680427756e-21,2.7718292667094e-21,3315,"tags=52%, list=24%, signal=40%","321019/27223/67490/14964/20351/12487/107035/107260/227525/380797/14972/11658/14129/232371/171285/15064/22376/103743/15289/21939/58185/243958/13870/22040/14999/27007/20371/14127/14102/73149/20555/12983/16173/105855/235587/12477/56743/12772/27354/17096/52118/17082/12504/21934/67742/16194/77125/18783/66642/244202/21803/16177/15000/16149/12053/26888/14131/75345/69379/19883/12263/11891/13051/17319/50908/16331/12505/56644/16185/225825/70450/22637/667940/57916/80898/13844/13169/18753/15039/12010/12274/24099/14125/17085/12279/12229/18751/12262/269799/105787/667924/108024/14969/18733/11622/14130/21938/780829/12502/18861/15216/19698/20556/17195/50931/109828/208154/19885/20963/19229/14961/108138/66824/16197/65113/14997/15002/74131/12260/16098/16182/12259/12984/12478/14827/15139/619916/68279/26365/12944/15170/98870/384515/240754/14960/380795/12484/13036/18173/12518/19264/12523/385253/246256/74732/780931/12501/16176/12269/20737/16016/15985/83408/12007/213208/15894/12267/18762/234199/16952/238447/14161/15458/12268/18034/110135/17476/99571/626583/16142/16019/20715/110786/13136/692165/11846/16852/12630/16071","BP","young CD vs old CD","Down"
"GO:0006959","humoral immune response",129,-0.642598236717016,-2.90515862502776,2.38204330900486e-21,4.54970272019929e-18,3.54297599539355e-18,1860,"tags=55%, list=14%, signal=48%","69379/12263/20296/50908/20299/100034251/12010/20315/12274/12279/12493/12262/12258/14109/14130/20304/58809/22041/78416/17195/109828/20085/71660/385643/84506/94175/19946/12260/11801/12259/11727/15139/12944/15170/278180/98870/15331/59032/380795/67248/12945/66107/14061/19264/545366/20306/20308/16176/12628/20305/12269/16016/83408/20568/20292/16644/14962/238447/14161/16854/20307/15458/12268/20202/110135/16019/13136/20312/55985/12630/15945","BP","young CD vs old CD","Down"
"GO:0002443","leukocyte mediated immunity",306,-0.500685859393333,-2.52236531046161,2.33795388347723e-21,4.54970272019929e-18,3.54297599539355e-18,3178,"tags=48%, list=23%, signal=37%","12487/16573/14825/107035/380797/14972/14129/232371/171285/15064/22376/15289/21939/58185/13870/22040/22324/27007/20371/442827/14127/14102/12983/16173/22320/105855/235587/56743/20375/12772/17969/27354/17096/17916/52118/11692/81897/21803/234779/16177/16149/12053/233231/69150/14131/69379/12263/11891/12481/266632/217304/20296/13051/50908/16331/56644/16185/22177/225825/70450/18753/15039/20343/12010/12274/14125/12279/16859/14191/12229/56792/12262/105787/11745/18733/11622/14130/21938/780829/14063/18861/15216/20556/17195/50931/109828/80782/22631/20963/18477/108138/15368/16197/65113/14997/101613/74131/16846/12260/16182/12259/19354/16409/12984/12478/15139/619916/26365/12944/15170/13421/19419/14389/98870/16414/380795/12484/13036/12721/14061/19264/12523/246256/74732/780931/16176/12269/18124/12122/20737/16016/83408/12007/213208/15894/18762/238447/15458/12268/24088/21898/16019/110786/13136/11846/12630","BP","young CD vs old CD","Down"
"GO:0002181","cytoplasmic translation",192,-0.549931830784514,-2.62864097355307,1.39385768935741e-18,1.99670114000448e-15,1.5548849329437e-15,3102,"tags=59%, list=23%, signal=46%","67204/27207/67115/24015/19943/69113/108067/107702/26961/100502825/66508/27176/53356/69082/13682/270106/13211/68441/73830/27050/26451/20088/14359/66405/22186/76808/68028/14265/75786/13494/27370/54217/16210/20005/19744/269261/56726/20068/268449/223691/67097/19933/114641/68995/66480/57808/65019/19896/20091/20042/19944/213541/20103/20090/11837/19981/56347/66475/67281/19941/68052/19653/76846/20044/20116/67025/225363/19934/105787/54127/68193/20115/19982/14109/66481/20102/67891/19988/20085/16785/66244/20084/319195/20104/66489/19989/19899/67671/19946/19951/78294/20055/267019/11727/68436/77987/67945/75617/19942/98221/22121/67248/19921/12785/67427/16341/433702/17973/100503670/110954/27367/26905/13681","BP","young CD vs old CD","Down"
"GO:0002449","lymphocyte mediated immunity",227,-0.517134759646239,-2.52888804118053,5.44662369031833e-18,6.2418307491048e-15,4.86068164700198e-15,3310,"tags=50%, list=24%, signal=38%","27223/67490/14964/12487/16573/107035/380797/14972/14129/232371/171285/15064/22376/15289/21939/58185/13870/22040/22324/27007/20371/14127/14102/12983/16173/105855/235587/12772/27354/52118/11692/21803/16177/16149/12053/14131/69379/12263/11891/12481/50908/16331/16185/22177/225825/70450/18753/15039/12010/12274/14125/12279/16859/12229/12262/105787/18733/11622/14130/21938/780829/18861/15216/20556/17195/50931/109828/80782/18477/108138/16197/65113/14997/74131/16846/12260/16182/12259/12984/12478/15139/619916/26365/12944/15170/19419/98870/380795/12484/13036/12721/19264/246256/74732/780931/16176/12269/12122/20737/16016/83408/12007/213208/15894/18762/238447/15458/12268/16019/110786/13136/11846/12630","BP","young CD vs old CD","Down"
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",254,-0.484883507891902,-2.40153477565742,2.36026939399978e-16,2.25405727126979e-13,1.75529508090615e-13,3268,"tags=47%, list=24%, signal=37%","27223/67490/14964/20351/12487/107035/380797/14972/14129/232371/171285/15064/22376/103743/15289/21939/58185/13870/22040/20371/14127/14102/12983/16173/105855/235587/12772/27354/52118/17082/12504/16194/77125/18783/244202/21803/16177/16149/12053/14131/69379/19883/12263/11891/50908/16331/56644/16185/225825/70450/13844/18753/15039/12010/12274/24099/14125/17085/12279/12229/12262/105787/18733/11622/14130/21938/780829/18861/15216/19698/20556/17195/50931/109828/19885/108138/16197/65113/14997/74131/12260/16182/12259/12984/12478/15139/619916/26365/12944/15170/98870/380795/12484/13036/18173/19264/246256/74732/780931/16176/12269/20737/16016/83408/12007/213208/15894/12267/18762/16952/238447/15458/12268/18034/16019/110786/13136/11846/16852/12630","BP","young CD vs old CD","Down"
"GO:0140241","translation at synapse",49,-0.763636510511734,-2.85870800469392,4.3456107592409e-16,3.11254370630629e-13,2.42382158005555e-13,3074,"tags=96%, list=23%, signal=74%","27207/67115/19943/26961/100502825/27176/270106/26451/20088/22186/27370/54217/20005/269261/268449/67097/66480/57808/65019/19896/20042/19944/20103/19981/67281/19941/20044/19934/54127/57294/68193/19982/67891/19988/319195/66489/19989/67671/19951/78294/20055/267019/68436/19942/22121/100503670/110954","BP","young CD vs old CD","Down"
"GO:0140242","translation at postsynapse",49,-0.763636510511734,-2.85870800469392,4.3456107592409e-16,3.11254370630629e-13,2.42382158005555e-13,3074,"tags=96%, list=23%, signal=74%","27207/67115/19943/26961/100502825/27176/270106/26451/20088/22186/27370/54217/20005/269261/268449/67097/66480/57808/65019/19896/20042/19944/20103/19981/67281/19941/20044/19934/54127/57294/68193/19982/67891/19988/319195/66489/19989/67671/19951/78294/20055/267019/68436/19942/22121/100503670/110954","BP","young CD vs old CD","Down"
"GO:0001906","cell killing",168,-0.538981359787564,-2.55260565005113,1.23561518074742e-15,7.8667499840919e-13,6.12605000138983e-13,2425,"tags=46%, list=18%, signal=39%","71898/16173/66438/105855/20375/55948/17969/52118/11692/20301/21803/14131/69379/12263/11891/12481/20296/13051/50908/16331/22177/225825/70450/20299/15039/20343/12010/20315/12274/12279/12774/16859/56792/14130/14063/17195/109828/80782/16145/20085/385643/18477/84506/245282/16197/94175/19946/14997/101613/16846/11801/16409/15139/26365/15170/13421/19419/15331/13036/12721/14061/19264/246256/74732/17105/12628/12122/83408/12007/16644/14962/16854/20307/13136/55985/11846/18081/15945","BP","young CD vs old CD","Down"
"GO:0140236","translation at presynapse",48,-0.766263802536178,-2.86660683253303,1.3812493825298e-15,7.91455896189577e-13,6.16328013951983e-13,3074,"tags=98%, list=23%, signal=76%","27207/67115/19943/26961/100502825/27176/270106/26451/20088/22186/27370/54217/20005/269261/268449/67097/66480/57808/65019/19896/20042/19944/20103/19981/67281/19941/20044/19934/54127/57294/68193/19982/67891/19988/319195/66489/19989/67671/19951/78294/20055/267019/68436/19942/22121/100503670/110954","BP","young CD vs old CD","Down"
