"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0098552","side of membrane",467,0.486658268745196,1.8048240026895,3.24264024688363e-10,2.20499536788087e-07,2.0343300917291e-07,1783,"tags=33%, list=15%, signal=29%","20533/320484/20343/12986/16197/100041546/16398/13051/56644/216864/12774/170744/15018/23888/93675/16497/12802/217310/12489/14131/12768/12475/20739/93671/69142/14991/16414/69217/16185/17969/14130/18436/16411/320139/12182/13386/269799/380797/12523/12502/70839/69165/16847/170745/235505/18636/22371/18439/18733/73149/70192/16453/17312/12804/75345/19264/14734/12628/13038/23833/12524/14276/60533/14960/320840/12506/16149/14586/69538/110557/17329/11938/14159/57781/17082/14969/16416/13640/16186/12772/26888/100042493/16408/24088/17076/170786/60507/15015/246256/18595/16971/20536/14961/11421/12984/20344/12351/105727/237754/192188/17085/15007/15042/330908/21813/16164/12522/208154/268890/14680/18053/69583/15040/22329/11883/12495/16498/15162/26934/14129/26434/14595/12483/19735/16590/16190/18764/268749/12490/14964/14127/17874/17886/53614/102657/17069/14972/233046/15894/14137/12983/14702/12505/18792/12519/29875/13479/17096/16194/21452/12478/12527"
"GO:0009897","external side of plasma membrane",258,0.535989909823267,1.89648223558023,4.65979382565827e-09,1.58432990072381e-06,1.46170374741701e-06,1259,"tags=37%, list=11%, signal=34%","20343/12986/16197/16398/13051/56644/216864/12774/170744/15018/93675/12489/14131/12768/12475/93671/69142/14991/16414/16185/14130/18436/16411/13386/269799/380797/12523/12502/70839/69165/16847/22371/18439/18733/73149/70192/17312/12804/75345/19264/12628/13038/12524/14276/60533/14960/12506/16149/14586/69538/110557/17329/57781/17082/14969/16416/13640/16186/12772/26888/100042493/16408/24088/17076/170786/15015/246256/18595/16971/20536/14961/11421/12984/20344/12351/105727/237754/192188/17085/15007/15042/21813/16164/12522/208154/18053/69583/15040/22329/11883/12495/14129/26434/14595/12483"
"GO:0005581","collagen trimer",57,0.708539639740307,2.11934647771308,8.52463590945676e-08,1.93225080614353e-05,1.78269579018815e-05,2293,"tags=70%, list=19%, signal=57%","14133/245026/12818/81799/12814/329941/12816/12259/12260/12262/12829/219151/320924/12843/12823/13179/235379/237759/69183/73368/107581/12834/56745/12833/12828/373864/12836/109323/100952/12815/140792/12842/12825/12832/382864/16948/246707/17022/13607/213945"
"GO:0042611","MHC protein complex",20,0.822402422857722,1.99759383824869,1.05142689661653e-05,0.00178742572424811,0.00164908007995646,1547,"tags=80%, list=13%, signal=70%","15018/14991/14960/16149/110557/14969/14999/15015/14961/15007/15042/15040/15000/14998/14964/14972"
"GO:0032994","protein-lipid complex",26,-0.758200583097523,-2.22038209977105,1.75169826192946e-05,0.00238230963622406,0.00219792034549465,103,"tags=38%, list=1%, signal=38%","22359/14756/11812/238055/54135/15439/18979/11818/11806/15450"
"GO:0098797","plasma membrane protein complex",366,0.43298118844922,1.57658618419911,2.44205250150052e-05,0.00276765950170059,0.00255344436999002,1920,"tags=30%, list=16%, signal=26%","18725/382571/232975/16398/99439/11501/16485/12274/15018/109828/16497/12552/241226/104111/19354/14991/192897/16414/17969/50490/13058/16411/16182/380797/12502/320910/27027/17972/12291/18733/12804/15170/14960/16149/53623/16494/110557/77057/223272/14969/16416/54519/330953/110902/21897/14609/16408/227485/24088/14999/22637/319480/15015/246256/18595/11481/14961/13057/12984/14618/16490/504186/225471/20269/15007/15042/21813/18823/12982/14680/15040/12288/15000/58226/22329/73094/16498/78070/12367/20649/13132/54393/100952/14998/16526/268749/14964/14127/12402/14972/20272/104015/12983/54409/14702/59056/14082/12297/104099/17096/16194/22288/11448/67821/14613/20650/74239/20411/20190/12298"
"GO:0043020","NADPH oxidase complex",10,0.89288589927006,1.89900447080336,5.89734656814918e-05,0.00572885095191635,0.00528544143551416,777,"tags=70%, list=7%, signal=65%","99439/19354/17969/50490/13058/17972/13057"
"GO:0034358","plasma lipoprotein particle",23,-0.77281775074794,-2.20651442804786,0.000125329645370248,0.00710201323764741,0.00655232181058492,103,"tags=43%, list=1%, signal=43%","22359/14756/11812/238055/54135/15439/18979/11818/11806/15450"
"GO:1990777","lipoprotein particle",23,-0.77281775074794,-2.20651442804786,0.000125329645370248,0.00710201323764741,0.00655232181058492,103,"tags=43%, list=1%, signal=43%","22359/14756/11812/238055/54135/15439/18979/11818/11806/15450"
"GO:0034364","high-density lipoprotein particle",16,-0.808204274458327,-2.10538171520793,0.00011757236592019,0.00710201323764741,0.00655232181058492,103,"tags=50%, list=1%, signal=50%","14756/11812/238055/15439/18979/11818/11806/15450"
"GO:0042824","MHC class I peptide loading complex",14,0.828144919004921,1.87949675422007,0.000118816973908699,0.00710201323764741,0.00655232181058492,1547,"tags=71%, list=13%, signal=62%","15018/21354/110557/21355/15015/213233/15007/15040/14964/14972"
"GO:0045335","phagocytic vesicle",118,0.532330568855564,1.73817788424525,0.000106352596569821,0.00710201323764741,0.00655232181058492,1994,"tags=31%, list=17%, signal=26%","11501/81897/170744/15018/14991/22376/13058/12721/104759/21354/18784/74096/110557/17476/13040/331004/21897/24088/54445/15015/57778/15007/15042/15040/12332/14026/22793/14964/20910/17886/14972/216190/11303/170743/235442/106572"
"GO:0106139","symbiont cell surface",14,0.806996246130989,1.83149928287124,0.000339906840089208,0.0151048468197869,0.0139357410287817,1462,"tags=79%, list=12%, signal=69%","14133/631323/12259/12260/12262/12628/12266/14469/50908/50909/12263"
