"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ontology","comparison","direction"
"GO:0044391","ribosomal subunit",174,-0.61144652260617,-2.84900450695923,2.33206783192913e-24,8.24385978586948e-22,6.10019848667778e-22,3646,"tags=70%, list=27%, signal=52%","56282/18100/68836/100042823/94061/94066/56040/107734/66292/59054/68611/20054/64660/66973/67308/27207/19652/67115/19943/68499/74600/26961/14548/100502825/27176/66230/66242/216767/270106/13205/27050/68463/66448/26451/20088/24030/75398/22186/67707/76808/27370/54217/20005/269261/20068/268449/67097/19933/28028/114641/68537/64659/66480/57808/65019/19896/353242/20091/20042/121022/19944/20103/20090/11837/19981/66475/67281/66047/19941/68052/76846/20044/20116/67025/19934/54127/57294/68193/107733/20115/64655/19982/14109/66419/66481/20102/67891/68735/19988/20085/16785/69956/20084/319195/20104/66489/52443/19989/19899/67671/19946/57312/19951/78294/20055/66121/267019/68436/18148/67945/75617/19942/22121/67248/19921/66077/66223/67427/67941/100503670/110954/27367","CC","young CD vs old CD","Down"
"GO:0005840","ribosome",220,-0.574342805873534,-2.78587870162867,1.49281147927764e-24,8.24385978586948e-22,6.10019848667778e-22,3602,"tags=64%, list=27%, signal=48%","18100/68836/100042823/94061/94066/56040/107734/246730/66292/59054/68611/20054/23960/64660/66973/67308/27207/19652/67115/24015/19943/68499/74600/26961/14548/100502825/50497/27176/66230/66242/216767/270106/13205/27050/68463/66448/26451/20088/68564/14359/24030/75398/22186/67707/76808/68028/27370/54217/20005/269261/20068/268449/67097/19933/28028/114641/68537/64659/66480/57808/65019/19896/353242/20091/20042/121022/19944/20103/20090/11837/19981/66475/67281/66047/19941/78913/68052/76846/20044/20116/67025/225363/19934/54127/57294/68193/107733/20115/64655/13627/19982/14109/66419/66481/20102/67891/68735/19988/20085/16785/26443/69956/66244/20084/319195/20104/66489/52443/19989/19899/67671/19946/57312/19017/19951/78294/20055/66121/267019/68436/18148/77987/67945/75617/17751/19942/22121/67248/19921/66077/66223/67427/67941/17973/100503670/20617/110954/27367/11815/12330/13405","CC","young CD vs old CD","Down"
"GO:0009897","external side of plasma membrane",303,-0.512401518766089,-2.57318373964128,4.45154949594021e-23,1.04908183120991e-20,7.76287754204311e-21,3215,"tags=50%, list=24%, signal=39%","12506/18793/12487/93675/380797/13805/14972/195564/12527/11307/20510/11658/14129/15064/26357/71929/57914/21939/69142/57781/16410/11816/27007/13039/16790/14127/14255/14102/73149/77446/16186/98365/547431/12983/16407/18613/12477/14066/12491/12772/16164/17082/12504/21934/16847/16401/93671/20361/16194/13609/16177/16149/26888/17304/14131/75345/21825/12481/16728/12145/13051/12495/12505/56644/16185/225825/84004/57916/170744/15039/20343/12010/20315/12768/14125/68453/17085/12774/98752/269799/76509/17067/14969/18733/14130/80901/12502/15216/16412/23959/105727/170779/208154/80782/19885/11890/79202/16411/12986/14961/16197/14997/19116/192188/20969/16409/12984/20276/17076/110454/12478/11889/26365/69165/19143/22329/16414/18414/14960/16408/18453/12484/12518/14061/19264/12523/79201/246256/12482/12501/12628/18669/20737/15985/18815/12007/12483/15894/209224/21824/14161/16854/24088/21898/110135/99571/16019/13136/18198/70495/15945/16668","CC","young CD vs old CD","Down"
"GO:0022626","cytosolic ribosome",110,-0.678916106730535,-2.94606735094385,1.94062616357762e-21,3.43005674412344e-19,2.53813474552125e-19,2707,"tags=75%, list=20%, signal=60%","26961/100502825/27176/270106/13205/27050/26451/20088/22186/76808/27370/54217/20005/269261/20068/268449/67097/19933/114641/66480/57808/65019/19896/20091/20042/19944/20103/20090/11837/19981/66475/67281/19941/78913/68052/76846/20044/20116/67025/225363/19934/54127/57294/68193/20115/13627/19982/14109/66481/20102/67891/19988/20085/16785/66244/20084/319195/20104/66489/19989/19899/67671/19946/19017/19951/78294/20055/267019/68436/77987/67945/75617/19942/22121/67248/19921/67427/67941/100503670/110954/27367/11815","CC","young CD vs old CD","Down"
"GO:0015934","large ribosomal subunit",108,-0.598526050009629,-2.5984586310347,2.67065985641347e-14,3.77631303696865e-12,2.79435357607894e-12,3646,"tags=69%, list=27%, signal=51%","56282/18100/68836/100042823/94061/94066/56040/107734/59054/68611/67308/19652/67115/19943/68499/74600/26961/100502825/27176/216767/270106/68463/66448/26451/75398/22186/67707/76808/54217/20005/269261/268449/19933/28028/114641/68537/66480/57808/65019/19896/353242/20042/19944/11837/19981/67281/66047/19941/67025/19934/68193/107733/19982/66419/67891/19988/319195/66489/52443/19989/19899/67671/19946/19951/68436/18148/67945/19942/22121/67248/19921/66223/100503670/110954/27367","CC","young CD vs old CD","Down"
"GO:0022625","cytosolic large ribosomal subunit",54,-0.713732847489193,-2.73612001114815,3.0551609341072e-13,3.59999796735632e-11,2.66388593728295e-11,2707,"tags=87%, list=20%, signal=70%","67115/19943/26961/100502825/27176/270106/26451/22186/76808/54217/20005/269261/268449/19933/114641/66480/57808/65019/19896/20042/19944/11837/19981/67281/19941/67025/19934/68193/19982/67891/19988/319195/66489/19989/19899/67671/19946/19951/68436/67945/19942/22121/67248/19921/100503670/110954/27367","CC","young CD vs old CD","Down"
"GO:0022627","cytosolic small ribosomal subunit",36,-0.77523324515462,-2.72038684593581,2.2521372880014e-12,2.27465866088141e-10,1.68317628892736e-10,2468,"tags=86%, list=18%, signal=71%","13205/27050/20088/27370/20068/67097/20091/20042/20103/20090/66475/68052/76846/20044/20116/54127/57294/20115/14109/66481/20102/20085/16785/20084/20104/78294/20055/267019/75617/67427/67941","CC","young CD vs old CD","Down"
"GO:0015935","small ribosomal subunit",70,-0.632381531172512,-2.53641536948987,2.03915013579099e-11,1.80209893250529e-09,1.33349686511595e-09,2699,"tags=70%, list=20%, signal=56%","66292/20054/64660/66973/27207/14548/66230/66242/13205/27050/20088/24030/27370/20068/67097/64659/20091/20042/121022/20103/20090/66475/68052/76846/20044/20116/54127/57294/20115/64655/14109/66481/20102/68735/20085/16785/69956/20084/20104/57312/78294/20055/66121/267019/18148/75617/66077/67427/67941","CC","young CD vs old CD","Down"
"GO:0019814","immunoglobulin complex",24,-0.818554573529739,-2.58823522863149,1.79110566164113e-10,1.4070130030892e-08,1.04114563021713e-08,1330,"tags=92%, list=10%, signal=83%","667940/667924/108024/780829/20963/16098/619916/384515/380795/12518/385253/18703/780931/16016/15985/238447/626583/16142/16019/110786/692165/16071","CC","young CD vs old CD","Down"
"GO:0005839","proteasome core complex",17,-0.866400299157323,-2.52324132088606,1.17562369603533e-09,8.31165953096975e-08,6.15036817820586e-08,1163,"tags=82%, list=9%, signal=75%","26445/19177/26443/19167/19175/19172/26441/19173/26446/19166/26442/26440/26444/19170","CC","young CD vs old CD","Down"
