"ontology","ID","Description","age_direction","age_NES","age_p.adjust","age_setSize","diet_direction","diet_NES","diet_p.adjust","diet_setSize","NES_delta","abs_NES_delta","direction_switch","NES_change_class","best_p.adjust","worst_p.adjust"
"BP","GO:0009791","post-embryonic development","Up",1.57358437865146,0.0212924323436089,104,"Down",-1.55352994209054,0.0671475025355263,104,-3.127114320742,3.127114320742,TRUE,"Switched: young-up, ID-down",0.0212924323436089,0.0671475025355263
"BP","GO:0070936","protein K48-linked ubiquitination","Up",1.50973234790857,0.0338936903725637,101,"Down",-1.61647308870029,0.036978864507366,100,-3.12620543660886,3.12620543660886,TRUE,"Switched: young-up, ID-down",0.0338936903725637,0.036978864507366
"BP","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","Up",1.22530740093649,0.0883306626798286,433,"Down",-1.5955072300728,0.000756542394806595,438,-2.82081463100929,2.82081463100929,TRUE,"Switched: young-up, ID-down",0.000756542394806595,0.0883306626798286
"BP","GO:0006959","humoral immune response","Down",-2.90515862502776,4.54970272019929e-18,129,"Up",1.8064203755368,0.0044145526348085,137,4.71157900056456,4.71157900056456,TRUE,"Switched: young-down, ID-up",4.54970272019929e-18,0.0044145526348085
"BP","GO:0048002","antigen processing and presentation of peptide antigen","Down",-2.37214085807149,3.92980078702708e-06,52,"Up",2.17752507343256,0.00025168839412488,58,4.54966593150405,4.54966593150405,TRUE,"Switched: young-down, ID-up",3.92980078702708e-06,0.00025168839412488
"BP","GO:0002250","adaptive immune response","Down",-2.58344776376375,3.55943680427756e-21,346,"Up",1.92432970765755,2.42787256208187e-07,389,4.5077774714213,4.5077774714213,TRUE,"Switched: young-down, ID-up",3.55943680427756e-21,2.42787256208187e-07
"BP","GO:0002478","antigen processing and presentation of exogenous peptide antigen","Down",-2.22691103332926,0.000206213908631294,28,"Up",2.27829852261751,0.000756542394806595,31,4.50520955594676,4.50520955594676,TRUE,"Switched: young-down, ID-up",0.000206213908631294,0.000756542394806595
"BP","GO:0001906","cell killing","Down",-2.55260565005113,7.8667499840919e-13,168,"Up",1.85139498716053,0.000680490631912978,178,4.40400063721166,4.40400063721166,TRUE,"Switched: young-down, ID-up",7.8667499840919e-13,0.000680490631912978
"BP","GO:0002443","leukocyte mediated immunity","Down",-2.52236531046161,4.54970272019929e-18,306,"Up",1.87749721555918,8.91868880502954e-06,333,4.3998625260208,4.3998625260208,TRUE,"Switched: young-down, ID-up",4.54970272019929e-18,8.91868880502954e-06
"BP","GO:0002274","myeloid leukocyte activation","Down",-2.33031251531412,4.00074349087082e-11,206,"Up",2.06535387324109,3.4181987506128e-06,219,4.39566638855521,4.39566638855521,TRUE,"Switched: young-down, ID-up",4.00074349087082e-11,3.4181987506128e-06
"BP","GO:0097530","granulocyte migration","Down",-2.30194918937072,1.29204131269634e-07,117,"Up",2.08331400442812,4.11486386251851e-05,123,4.38526319379884,4.38526319379884,TRUE,"Switched: young-down, ID-up",1.29204131269634e-07,4.11486386251851e-05
"BP","GO:0019884","antigen processing and presentation of exogenous antigen","Down",-2.22920488610013,7.92983116605591e-05,34,"Up",2.14075295687636,0.0022239586325898,37,4.36995784297649,4.36995784297649,TRUE,"Switched: young-down, ID-up",7.92983116605591e-05,0.0022239586325898
"BP","GO:0042119","neutrophil activation","Down",-2.25951100405092,6.04761334875744e-05,33,"Up",2.10899233796085,0.00492511478103802,36,4.36850334201177,4.36850334201177,TRUE,"Switched: young-down, ID-up",6.04761334875744e-05,0.00492511478103802
"BP","GO:0097529","myeloid leukocyte migration","Down",-2.12309831338264,2.51637642949329e-07,185,"Up",2.21733945302936,1.02169969777167e-07,195,4.340437766412,4.340437766412,TRUE,"Switched: young-down, ID-up",1.02169969777167e-07,2.51637642949329e-07
"BP","GO:1990266","neutrophil migration","Down",-2.31660786030786,4.22820015292239e-07,90,"Up",2.00621768561788,0.00083400194038968,96,4.32282554592574,4.32282554592574,TRUE,"Switched: young-down, ID-up",4.22820015292239e-07,0.00083400194038968
"BP","GO:0002444","myeloid leukocyte mediated immunity","Down",-2.22301603602307,4.16782749422829e-06,90,"Up",2.04528154628549,0.000306102720500776,95,4.26829758230856,4.26829758230856,TRUE,"Switched: young-down, ID-up",4.16782749422829e-06,0.000306102720500776
"BP","GO:0019882","antigen processing and presentation","Down",-2.26844005954336,1.83968237544973e-06,89,"Up",1.99839620039518,0.000756542394806595,97,4.26683625993854,4.26683625993854,TRUE,"Switched: young-down, ID-up",1.83968237544973e-06,0.000756542394806595
"BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","Down",-2.40153477565742,2.25405727126979e-13,254,"Up",1.85938726400258,6.84899349196582e-05,281,4.26092203966,4.26092203966,TRUE,"Switched: young-down, ID-up",2.25405727126979e-13,6.84899349196582e-05
