"gene_id","VIP_component_1","VIP_component_2","VIP_max_component_1_2","VIP_mean_component_1_2"
"Fuca2",0.334846971104515,2.51902051103313,2.51902051103313,1.42693374106882
"Cdk12",0.172051293570685,2.5002299926697,2.5002299926697,1.33614064312019
"Pigk",0.117461974781285,2.4996410839969,2.4996410839969,1.30855152938909
"Clec11a",0.186814729829871,2.24451549171596,2.24451549171596,1.21566511077292
"Phactr1",0.22734540221111,2.240742468741,2.240742468741,1.23404393547605
"mt-Rnr2",1.100518421689,2.22472070346505,2.22472070346505,1.66261956257702
"Trim43a",0.659544815384595,2.21479149019779,2.21479149019779,1.43716815279119
"Pydc3",0.261710720279245,2.20646980221365,2.20646980221365,1.23409026124645
"Nr3c2",0.778405144897629,2.18483426027657,2.18483426027657,1.4816197025871
"Vwf",0.99872033275825,2.18349325374285,2.18349325374285,1.59110679325055
"Ttc13",0.313161970189919,2.17328394609092,2.17328394609092,1.24322295814042
"Gm10382",0.0754902530686586,2.15877173342173,2.15877173342173,1.11713099324519
"Ykt6",0.6590147602056,2.15124630710031,2.15124630710031,1.40513053365296
"Hid1",0.172082992947008,2.14704250356176,2.14704250356176,1.15956274825439
"Armc6",0.0564543651941385,2.13916532178732,2.13916532178732,1.09780984349073
"Nsun4",0.214517428403967,2.13723973902245,2.13723973902245,1.17587858371321
"Kmt2e",0.598730722776753,2.13058603725333,2.13058603725333,1.36465838001504
"Acot8",1.19054805994337,2.13000566585226,2.13000566585226,1.66027686289782
"Ace",1.0702407054742,2.12994291384756,2.12994291384756,1.60009180966088
"Hmgcll1",0.0852284616214831,2.12440697962101,2.12440697962101,1.10481772062125
"Ddah1",0.239130926215776,2.11753294354967,2.11753294354967,1.17833193488272
"Tada1",0.288718053405249,2.11584086275074,2.11584086275074,1.20227945807799
"Kcnf1",1.1322986100751,2.11404584040578,2.11404584040578,1.62317222524044
"Slc4a7",0.318612433031674,2.108233668902,2.108233668902,1.21342305096684
"H2-T10",0.375672899354993,2.10615408669017,2.10615408669017,1.24091349302258
"Mmp9",0.886546546516494,2.10235855484637,2.10235855484637,1.49445255068143
"Nkx2-2os",2.09631883578072,1.57753639035208,2.09631883578072,1.8369276130664
"Ube2i",0.465497597869206,2.09455848840766,2.09455848840766,1.28002804313843
"Amer1",2.0877592727151,1.57242116599069,2.0877592727151,1.83009021935289
