"sample","PLSDA1","PLSDA2","cohort","age.grp","diet","analysis_group"
"r4M2_mus",33.9897827886833,-26.8545584175142,"4","young","CD","Young CD"
"r4M3_mus",31.8448262688192,6.80626439104528,"4","young","CD","Young CD"
"r4M4_mus",53.8438907892867,1.67273545085861,"4","young","CD","Young CD"
"r5M1_mus",90.5706047840407,7.25566084979146,"5","young","CD","Young CD"
"r5M2_mus",89.6964801181396,-9.14254073627897,"5","young","CD","Young CD"
"r5M3_mus",112.543579506419,15.4309401268495,"5","young","CD","Young CD"
"r5M4_mus",102.453547581377,3.32002149895676,"5","young","CD","Young CD"
"r1M10_mus",-37.7887937202195,54.3796474450644,"1","old","CD","Old CD"
"r1M11_mus",-57.2843613455374,40.118619071968,"1","old","CD","Old CD"
"r1M1_mus",-19.9958408352899,29.6542878053378,"1","old","CD","Old CD"
"r1M4_mus",-71.8426140581138,28.6746767973616,"1","old","CD","Old CD"
"r2M16_mus",-25.8598270616101,19.9617282381952,"2","old","CD","Old CD"
"r2M20_mus",-38.2336089918449,6.97602368001537,"2","old","CD","Old CD"
"r1M5_mus",-47.4652762226608,-25.3617111459038,"1","old","ID","Old ID"
"r1M6_mus",-53.6753546050588,7.20615594745564,"1","old","ID","Old ID"
"r1M9_mus",-28.0522362972752,-54.4642545261179,"1","old","ID","Old ID"
"r2M22_mus",-30.1487926015808,-19.3857330274623,"2","old","ID","Old ID"
"r2M23_mus",-25.7314632584699,-20.5123791540094,"2","old","ID","Old ID"
"r2M26_mus",-19.9481430713922,-21.7841611755579,"2","old","ID","Old ID"
"r2M31_mus",-58.9163997677129,-43.9514231200548,"2","old","ID","Old ID"
