Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
TS_Blood_monocyte	Adult	Lymphatic system	TS_Blood	monocyte	Monocyte	CL:0000576	Blood	UBERON:0000178	0	4.11708882651482e-05	0.000738007380073801	5.5631854001259e-07	6.25467646641008	TS_Blood_monocyte
TS_Blood_classical monocyte	Adult	Lymphatic system	TS_Blood	classical monocyte	Monocyte	CL:0000576	Blood	UBERON:0000178	1.07621877611341e-300	4.11708882651482e-05	0.0014760147601476	1.07051533082547e-06	5.97040710880371	TS_Blood_classical monocyte
TS_Tongue_epithelial cell	Adult	Digestive system	TS_Tongue	epithelial cell	Epithelial cell	CL:0000066	Tongue	UBERON:0001723	8.50284556931066e-293	4.11708882651482e-05	0.0022140221402214	1.56881353052807e-06	5.80442867366948	TS_Tongue_epithelial cell
TS_Liver_macrophage	Adult	Digestive system	TS_Liver	macrophage	Macrophage	CL:0000235	Liver	UBERON:0002107	4.26896331288875e-239	4.11708882651482e-05	0.0029520295202952	2.05678716302948e-06	5.68681064690723	TS_Liver_macrophage
TS_Pancreas_myeloid cell	Adult	Digestive system	TS_Pancreas	myeloid cell	Myeloid cell	CL:0000763	Pancreas	UBERON:0001264	1.82608252926311e-231	4.11708882651482e-05	0.003690036900369	2.5370835176064e-06	5.59566523611347	TS_Pancreas_myeloid cell
TS_Liver_monocyte	Adult	Digestive system	TS_Liver	monocyte	Monocyte	CL:0000576	Liver	UBERON:0002107	8.10940402263875e-227	4.11708882651482e-05	0.0044280442804428	3.01126181323497e-06	5.52125148324509	NA
TS_Bone_Marrow_granulocyte	Adult	Lymphatic system	TS_Bone_Marrow	granulocyte	Granulocyte	CL:0000094	Bone marrow	UBERON:0002371	6.13268186356858e-222	4.11708882651482e-05	0.00516605166051661	3.48035232977661e-06	5.45837678848664	NA
TS_Spleen_classical monocyte	Adult	Lymphatic system	TS_Spleen	classical monocyte	Monocyte	CL:0000576	Spleen	UBERON:0002106	4.01201124144712e-217	4.11708882651482e-05	0.00590405904059041	3.94508732914911e-06	5.40394337872889	NA
TS_Lung_macrophage	Adult	Respiratory system	TS_Lung	macrophage	Macrophage	CL:0000235	Lung	UBERON:0002048	1.07702600841947e-211	4.11708882651482e-05	0.00664206642066421	4.40601432283305e-06	5.35595409540194	NA
TS_Eye_corneal epithelial cell	Adult	Sensory system	TS_Eye	corneal epithelial cell	Epithelial cell	CL:0000066	Eye	UBERON:0000970	2.48120233887656e-204	4.11708882651482e-05	0.00738007380073801	4.86355828888119e-06	5.31304587481517	NA
