Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
Madissoon_2020_spleen_Plasma_IgG	Adult	Lymphatic system	Madissoon_2020_spleen	Plasma_IgG	Plasma cell	CL:0000786	Spleen	UBERON:0002106	4.83836995131892e-06	4.11708882651482e-05	0.0612546125461255	3.5030534605851e-05	4.45555323480336	Madissoon_2020_spleen_Plasma_IgG
Madissoon_2020_spleen_Plasma_IgM	Adult	Lymphatic system	Madissoon_2020_spleen	Plasma_IgM	Plasma cell	CL:0000786	Spleen	UBERON:0002106	1.76580381581566e-05	0.000123512664795445	0.0745387453874539	0.000115961156122779	3.93568746341673	Madissoon_2020_spleen_Plasma_IgM
AdultEpityphlon_B cell (Plasmocyte)	Adult	Digestive system	AdultEpityphlon	B cell (Plasmocyte)	B cell	CL:0000236	Caecum	UBERON:0001153	0.000716881088406906	0.000658734212242371	0.135793357933579	0.000923303893369365	3.03465533311124	AdultEpityphlon_B cell (Plasmocyte)
TS_Spleen_plasma cell	Adult	Lymphatic system	TS_Spleen	plasma cell	Plasma cell	CL:0000786	Spleen	UBERON:0002106	3.78370741991721e-18	0.145621431793829	0.000738007380073801	0.0010895601536518	2.96274878774184	TS_Spleen_plasma cell
TS_Lymph_Node_plasma cell	Adult	Lymphatic system	TS_Lymph_Node	plasma cell	Plasma cell	CL:0000786	Lymph node	UBERON:0000029	8.19415023343602e-15	0.199390611868113	0.0014760147601476	0.00268725542424419	2.5706910518148	TS_Lymph_Node_plasma cell
FetalIntestine_Hepatocyte/Endodermal cell	Fetal	Digestive system	FetalIntestine	Hepatocyte/Endodermal cell	Hepatocyte	CL:0000182	Intestine	UBERON:0000160	9.16848343300666e-05	0.003334841949477	0.0966789667896679	0.00291447789019061	2.53543923497642	NA
Fetal_HCA_Placenta_AFP_ALB positive cells	Fetal	Reproductive system	Fetal_HCA_Placenta	AFP_ALB positive cells	Hepatocyte	CL:0000182	Placenta	UBERON:0001987	0.000177922783273502	0.00337601283774215	0.0981549815498155	0.00298641741363326	2.52484949072748	NA
AdultThyroid_Thyroid follicular cell	Adult	Endocrine system	AdultThyroid	Thyroid follicular cell	Thyroid follicular cell	CL:0002258	Thyroid gland	UBERON:0002046	0.000132727845064751	0.00424060149131026	0.0974169741697417	0.00363195235933789	2.43985985679533	NA
Madissoon_2020_lung_Plasma_cells	Adult	Respiratory system	Madissoon_2020_lung	Plasma_cells	Plasma cell	CL:0000786	Lung	UBERON:0002048	0.0011746849112539	0.00366420905559819	0.138376383763838	0.00435391224085124	2.36112032901522	NA
TS_Small_Intestine_immature enterocyte	Adult	Digestive system	TS_Small_Intestine	immature enterocyte	Enterocyte	CL:0000584	Small intestine	UBERON:0002108	5.05216904721864e-14	0.23063931606136	0.0022140221402214	0.00438121660226531	2.35840527527578	NA
TS_Thymus_plasma cell	Adult	Lymphatic system	TS_Thymus	plasma cell	Plasma cell	CL:0000786	Thymus	UBERON:0002370	3.00565778376773e-13	0.187821592265606	0.0029520295202952	0.00471149431039275	2.32684132900013	NA
AdultFallopiantube_Stratified epithelial cell	Adult	Reproductive system	AdultFallopiantube	Stratified epithelial cell	Epithelial cell	CL:0000066	Fallopian tube	UBERON:0003889	0.000415687267033439	0.00489933570355263	0.115129151291513	0.00478339896333679	2.32026339492781	NA
AdultSpleen_B cell (Plasmocyte)	Adult	Lymphatic system	AdultSpleen	B cell (Plasmocyte)	B cell	CL:0000236	Spleen	UBERON:0002106	0.000796016630214772	0.00477582303875719	0.137269372693727	0.00546093271227721	2.26273317465778	NA
AdultRectum_B cell (Plasmocyte)	Adult	Digestive system	AdultRectum	B cell (Plasmocyte)	B cell	CL:0000236	Rectum	UBERON:0001052	0.002675283645828	0.00510519014487837	0.155719557195572	0.00646889152870889	2.18917013110996	NA
MacParland_2018_liver_Hepatocyte	Adult	Digestive system	MacParland_2018_liver	Hepatocyte	Hepatocyte	CL:0000182	Liver	UBERON:0002107	0.00025978094638196	0.00765778521731756	0.113653136531365	0.00700323976730266	2.1547010046196	NA
TS_Small_Intestine_intestinal crypt stem cell of small intestine	Adult	Digestive system	TS_Small_Intestine	intestinal crypt stem cell of small intestine	Intestinal crypt stem cell	CL:0002250	Small intestine	UBERON:0002108	1.73147062672931e-12	0.242949411652639	0.003690036900369	0.00718719742181728	2.14344042554422	NA
AdultJeJunum_Enterocyte	Adult	Digestive system	AdultJeJunum	Enterocyte	Enterocyte	CL:0000584	Jejunum	UBERON:0002115	0.000178470005117026	0.00942813341271893	0.0988929889298893	0.00743828742170971	2.12852704414715	NA
TS_Large_Intestine_immature enterocyte	Adult	Digestive system	TS_Large_Intestine	immature enterocyte	Enterocyte	CL:0000584	Large intestine	UBERON:0000059	9.50276046720204e-12	0.261517482260221	0.0044280442804428	0.00898738283654676	2.04636675822496	NA
TS_Small_Intestine_paneth cell of epithelium of small intestine	Adult	Digestive system	TS_Small_Intestine	paneth cell of epithelium of small intestine	Paneth cell	CL:0000510	Small intestine	UBERON:0002108	9.53816188965385e-12	0.246942987814359	0.00516605166051661	0.00977743161004985	2.00977521311368	NA
TS_Small_Intestine_duodenum glandular cell	Adult	Digestive system	TS_Small_Intestine	duodenum glandular cell	Duodenum glandular cell	CL:1001589	Small intestine	UBERON:0002108	2.55146273964012e-10	0.124747791443399	0.0103321033210332	0.00986524399996991	2.0058921687463	NA
Lake_2017_VisualCortex_In2	Adult	Nervous system	Lake_2017_VisualCortex	In2	Inhibitory neuron	CL:0008029	Visual cortex	UBERON:0000411	8.54303798678548e-05	0.0134628804627035	0.0959409594095941	0.00988343700689387	2.00509200140868	NA
TS_Small_Intestine_plasma cell	Adult	Digestive system	TS_Small_Intestine	plasma cell	Plasma cell	CL:0000786	Small intestine	UBERON:0002108	2.55146273964012e-10	0.131499817118883	0.0103321033210332	0.0103275869782841	1.98600113873533	NA
TS_Thymus_fast muscle cell	Adult	Lymphatic system	TS_Thymus	fast muscle cell	Cell of skeletal muscle	CL:0000188	Thymus	UBERON:0002370	1.6446356866455e-06	0.0269669318136721	0.0523985239852399	0.0106853427211653	1.97121154373633	NA
TS_Heart_cardiac muscle cell	Adult	Cardiovascular system	TS_Heart	cardiac muscle cell	Muscle cell	CL:0000187	Heart	UBERON:0000948	4.10738099844094e-11	0.212977004995611	0.00664206642066421	0.0106957097640864	1.97079039048484	NA
