V1
AdultAdipose_Macrophage	CAB39;MEF2C;PPP1R15A;SCARB2;TSC22D1
AdultAdipose_Stromal cell	COA3;GLRX;LBP;NFIB;NME1;PRDX6;SERPINA3
AdultAdipose_Fibroblast	AUTS2;DDAH1;FASTKD3;FOLH1;ITGB6;NFIB;PRDX6;SERPINA3
AdultAdrenalGland_Fasciculata cell	ALDH3A2;COA3;CUTA;GSTA3;HEBP1;MCFD2;PRDX6;SNCG;TMX2;TSC22D1
AdultAdrenalGland_Macrophage	CAB39;CANX;CSGALNACT2;CSTB;HSPA5;RHOQ;SCARB2;SERPINA1
AdultAdrenalGland_Myeloid cell	AUTS2;G3BP2;HSPA5;MPZL3;RPN1;SERPINA1
AdultAdrenalGland_T cell	AUTS2;C3orf70;G3BP2;HSPA5;MPZL3;NUDT1
AdultAdrenalGland_Smooth muscle cell	C3orf70;DCTN3;EIF5B;F10;MAP1LC3A;MEF2C;SNCG;TSC22D1
AdultAdrenalGland_Endothelial cell (APC)	MEF2C;NFIB;PIK3R3
AdultAdrenalGland_Endothelial cell	ANKRD40;GINS2;NFIB;NR3C2
AdultAdrenalGland_Stromal cell	AUTS2;F10;FOLH1;MAP1LC3A;NFIB;PPIC;SERPINA3
AdultAdrenalGland_B cell (Plasmocyte)	C3orf70;COPZ1;CUTA;EIF5B;HSPA5;NME1;RNGTT;RPN1;TMEM19;TTC9C
AdultArtery_Fibroblast	F10;FOLH1;MAP1LC3A;NFIB;NUCKS1;PPIC;PRDX6;SERPINA3
AdultArtery_Macrophage	CSGALNACT2;CSTB;GLRX;SERPINA1;SLC5A3;TMEM37
AdultArtery_Stromal cell	ATG7;NME1;SLC4A7;TP53INP2
AdultArtery_Endothelial cell (APC)	ARL5B;MEF2C;PIK3R3;SNCG;TSC22D1
AdultArtery_Smooth muscle cell	C3orf70;CUTA;DDAH1;HOXA10;MEF2C;NUDT4;SNCG;TP53INP2
AdultArtery_T cell	AUTS2;MMGT1;RIC3;SLC5A3
AdultArtery_Endothelial cell	EIF5B;MEF2C;NME1;PIK3R3;SLC4A7;TSC22D1
AdultArtery_B cell (Plasmocyte)	C3orf70;CELA1;CUTA;GLRX;HSPA5;MSI2;NME1;TMEM19
AdultArtery_Mast cell	KIF26B;MSI2;PAQR7;RIC3;RNF103
AdultAscendingColon_B cell (Plasmocyte)	COPZ1;CUTA;HSPA5;NSUN4;OSTM1;PPP1R15A;RPN1
AdultAscendingColon_T cell	AUTS2;CSGALNACT2;UBE2H
AdultAscendingColon_Enterocyte progenitor	ALDH3A2;C19orf33;COA3;CSTB;DDC;NFIB;NR3C2;NUCKS1;PIGV;PKP2;TSC22D1
AdultAscendingColon_B cell	ARMC6;C3orf70;INO80C;MEF2C;RIC3;TTC13
AdultAscendingColon_Stromal cell	BCL6;PPIC;SCARB2;SERPINA3
AdultBladder_Stromal cell	F10;MAP1LC3A;NFIB;NPR3;PBX3;PPIC;SCARB2;SERPINA3;TSC22D1
AdultBladder_Fibroblast	F10;GNB3;NFIB;PBX3;PPIC;SERPINA3
AdultBladder_Endothelial cell (APC)	MCFD2;NFIB;PIK3R3;PPIC;TSC22D1
AdultBladder_Smooth muscle cell	MEF2C;NFIB;NUCKS1;NUDT4;SNCG;TSC22D1
AdultBladder_Epithelial cell (intermediated)	C19orf33;CSTB;ITGB6;MSI2;NME1;NUCKS1;NUDT4;RIC3;SNCG;TSC22D1
AdultBladder_B cell (Plasmocyte)	DDAH1;GTF2A1;HSPA5;MAP3K7;METTL18;MIB1;RNF103;TMEM19;TTR
AdultBladder_Macrophage	FASTKD3;MOB1B;PKP2;RHOQ;SCARB2;SLC5A3;TMEM37
AdultBladder_Mast cell	COA3;FAM169A;LYRM7;MSRA;NFIB;PDE12;RNGTT;SOCS6;TSC22D1
AdultBladder_Monocyte	GLRX;PPP1R15A;SERPINA1
AdultBladder_Dendritic cell	COPZ1;COX10;FUCA2;GDPD1;HSPA5;MOB1B
AdultBladder_T cell	HAGHL;RNGTT
AdultBladder_Sinusoidal endothelial cell	MPZL3;TSPAN17;TTC13
AdultBoneMarrow_B cell (Plasmocyte)	ATF5;CUTA;HSPA5;MEF2C;RIC3;SCARB2
AdultBoneMarrow_Neutrophil	BCL6;CANX;CSGALNACT2;LPGAT1;MAP1LC3A;MSRA;PKP2;SUCO
AdultBoneMarrow_Erythroid progenitor cell (RP high)	CCDC34;CUTA;EIF5B;GINS2;GLRX;HEBP1;NME1;TMX2;TSC22D1
AdultBoneMarrow_Erythroid cell	CCDC34;DCTN3;GINS2;HEBP1;MOB1B;NUDT1;PRDX6;TSC22D1;TSPAN17
AdultBoneMarrow_Neutrophil (RPS high)	DFFA;EIF5B;FOLH1;MSI2;NME1;TTC9C
AdultBoneMarrow_T cell	AUTS2;CELA1;DCTN3
