Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
TS_Heart_fibroblast of cardiac tissue	Adult	Cardiovascular system	TS_Heart	fibroblast of cardiac tissue	Fibroblast	CL:0000057	Heart	UBERON:0000948	3.73873111413008e-16	8.23417765302964e-05	0.0269372693726937	3.10947457340394e-05	4.50731299012092	TS_Heart_fibroblast of cardiac tissue
AdultTransverseColon_Stromal cell	Adult	Digestive system	AdultTransverseColon	Stromal cell	Stromal cell	CL:0000499	Transverse colon	UBERON:0001157	9.21136243681922e-16	8.23417765302964e-05	0.0324723247232472	3.69843989266316e-05	4.43198143509289	AdultTransverseColon_Stromal cell
AdultTrachea_Fibroblast	Adult	Respiratory system	AdultTrachea	Fibroblast	Fibroblast	CL:0000057	Trachea	UBERON:0003126	2.28703674642206e-12	4.11708882651482e-05	0.0656826568265683	3.7374119779221e-05	4.42742902688233	AdultTrachea_Fibroblast
van_Zyl_eye_2020_BeamCella	Adult	Sensory system	van_Zyl_eye_2020	BeamCella	Beam A cell	NA	Eye	UBERON:0000970	8.59459596734434e-12	4.11708882651482e-05	0.0715867158671587	4.04799044999571e-05	4.39276052075301	van_Zyl_eye_2020_BeamCella
Madissoon_2020_oesophagus_Fibroblast	Adult	Digestive system	Madissoon_2020_oesophagus	Fibroblast	Fibroblast	CL:0000057	Esophagus	UBERON:0001043	2.23885051597665e-14	8.23417765302964e-05	0.0435424354243542	4.85409588022456e-05	4.31389164954483	Madissoon_2020_oesophagus_Fibroblast
TS_Tongue_fibroblast	Adult	Digestive system	TS_Tongue	fibroblast	Fibroblast	CL:0000057	Tongue	UBERON:0001723	5.00920680570305e-31	0.000988101318363556	0.003690036900369	4.93024059736724e-05	4.30713188649167	NA
AdultMuscle_Smooth muscle cell	Adult	Muscular system	AdultMuscle	Smooth muscle cell	Smooth muscle cell	CL:0000192	Muscle organ	UBERON:0001630	4.24518964458193e-10	4.11708882651482e-05	0.103321033210332	5.68637445893527e-05	4.2451645445586	NA
AdultLung_Stromal cell	Adult	Respiratory system	AdultLung	Stromal cell	Stromal cell	CL:0000499	Lung	UBERON:0002048	8.92052450459445e-10	4.11708882651482e-05	0.106273062730627	5.83651653797146e-05	4.2338462795504	NA
FetalHeart_Fetal mesenchymal progenitor	Fetal	Cardiovascular system	FetalHeart	Fetal mesenchymal progenitor	Mesenchymal stem cell	CL:0000134	Heart	UBERON:0000948	2.86282406210885e-08	4.11708882651482e-05	0.152029520295203	8.12534279136523e-05	4.09015830797887	NA
AdultSigmoidColon_Stromal cell	Adult	Digestive system	AdultSigmoidColon	Stromal cell	Stromal cell	CL:0000499	Sigmoid colon	UBERON:0001159	7.88030888152393e-08	4.11708882651482e-05	0.158671586715867	8.45239866908987e-05	4.07302002703589	NA
Fetal_HCA_Adrenal_Stromal cells	Fetal	Endocrine system	Fetal_HCA_Adrenal	Stromal cells	Stromal cell	CL:0000499	Adrenal gland	UBERON:0002369	4.49502315714071e-17	0.000288196217856037	0.0236162361623616	8.77830949692626e-05	4.05658911129718	NA
AdultThyroid_Stromal cell	Adult	Endocrine system	AdultThyroid	Stromal cell	Stromal cell	CL:0000499	Thyroid gland	UBERON:0002046	9.03865927291714e-10	8.23417765302964e-05	0.107011070110701	0.000111372325058978	3.9532227137167	NA
Fetal_HCA_Kidney_Stromal cells	Fetal	Urinary system	Fetal_HCA_Kidney	Stromal cells	Stromal cell	CL:0000499	Kidney	UBERON:0002113	2.47775690190223e-13	0.000164683553060593	0.0546125461254613	0.000113492400487858	3.94503321808923	NA
AdultThyroid_Fibroblast	Adult	Endocrine system	AdultThyroid	Fibroblast	Fibroblast	CL:0000057	Thyroid gland	UBERON:0002046	1.08327124551401e-11	0.000123512664795445	0.0730627306273063	0.000113845385073086	3.94368456959794	NA
AdultIleum_Macrophage	Adult	Digestive system	AdultIleum	Macrophage	Macrophage	CL:0000235	Ileum	UBERON:0002116	1.18327162660688e-09	8.23417765302964e-05	0.109963099630996	0.000114198267353705	3.94234048527085	NA
AdultTrachea_Stromal cell	Adult	Respiratory system	AdultTrachea	Stromal cell	Stromal cell	CL:0000499	Trachea	UBERON:0003126	3.64045717450191e-09	8.23417765302964e-05	0.122509225092251	0.000126137717670005	3.89915503137576	NA
Lake_2017_VisualCortex_Mic	Adult	Nervous system	Lake_2017_VisualCortex	Mic	Microglial cell	CL:0000129	Visual cortex	UBERON:0000411	2.21282222864375e-14	0.000247025329590889	0.0428044280442804	0.000131718962414484	3.88035169900051	NA
van_Zyl_eye_2020_Fibroblast	Adult	Sensory system	van_Zyl_eye_2020	Fibroblast	Fibroblast	CL:0000057	Eye	UBERON:0000970	1.86530052523048e-12	0.000164683553060593	0.0649446494464945	0.000133110739967801	3.87578690229709	NA
TS_Heart_macrophage	Adult	Cardiovascular system	TS_Heart	macrophage	Macrophage	CL:0000235	Heart	UBERON:0000948	2.46351169318105e-05	4.11708882651482e-05	0.284870848708487	0.000144886597528648	3.8389717862925	NA
Fetal_HCA_Muscle_Stromal cells	Fetal	Muscular system	Fetal_HCA_Muscle	Stromal cells	Stromal cell	CL:0000499	Muscle organ	UBERON:0001630	4.05485361402082e-14	0.000288196217856037	0.044280442804428	0.000156571341230149	3.80528772813135	NA
Fetal_HCA_Heart_Stromal cells	Fetal	Cardiovascular system	Fetal_HCA_Heart	Stromal cells	Stromal cell	CL:0000499	Heart	UBERON:0000948	4.47252096030424e-14	0.000288196217856037	0.0450184501845018	0.000158966409989358	3.79869463352481	NA
AdultArtery_Fibroblast	Adult	Cardiovascular system	AdultArtery	Fibroblast	Fibroblast	CL:0000057	Artery	UBERON:0001637	7.35368185032146e-12	0.000205854441325741	0.0693726937269373	0.000173604524851378	3.76043895950299	NA
AdultStomach_Fibroblast	Adult	Digestive system	AdultStomach	Fibroblast	Fibroblast	CL:0000057	Stomach	UBERON:0000945	2.18318823690641e-07	8.23417765302964e-05	0.174538745387454	0.000174621195283997	3.75790304335545	NA
AdultStomach_Endothelial cell (APC)	Adult	Digestive system	AdultStomach	Endothelial cell (APC)	Endothelial cell	CL:0000115	Stomach	UBERON:0000945	2.18318823690641e-07	8.23417765302964e-05	0.174538745387454	0.000174621195283997	3.75790304335545	NA
Lake_2017_CerebellarHemisphere_Mic	Adult	Nervous system	Lake_2017_CerebellarHemisphere	Mic	Microglial cell	CL:0000129	Cerebellar hemisphere	UBERON:0002245	1.06798646625679e-12	0.000247025329590889	0.0605166051660517	0.000181046830674658	3.74220907334658	NA
AdultAdrenalGland_Stromal cell	Adult	Endocrine system	AdultAdrenalGland	Stromal cell	Stromal cell	CL:0000499	Adrenal gland	UBERON:0002369	3.19480185765799e-09	0.000123512664795445	0.121771217712177	0.000182059344162822	3.73978702607248	NA
AdultPleura_Fibroblast	Adult	Respiratory system	AdultPleura	Fibroblast	Fibroblast	CL:0000057	Pleura	UBERON:0000977	6.57071007785074e-14	0.000288196217856037	0.0531365313653137	0.000185093583215501	3.73260863701373	NA
TS_Lung_adventitial cell	Adult	Respiratory system	TS_Lung	adventitial cell	Adventitial cell	CL:0002503	Lung	UBERON:0002048	2.35287281779203e-11	0.000205854441325741	0.0793357933579336	0.000196345449719582	3.70697915899542	NA
TS_Large_Intestine_fibroblast	Adult	Digestive system	TS_Large_Intestine	fibroblast	Fibroblast	CL:0000057	Large intestine	UBERON:0000059	6.31662046306932e-33	0.0228086720988921	0.000738007380073801	0.000201863838011018	3.69494147381952	NA
FetalKidney_Fetal mesenchymal progenitor	Fetal	Urinary system	FetalKidney	Fetal mesenchymal progenitor	Mesenchymal stem cell	CL:0000134	Kidney	UBERON:0002113	1.28074167353259e-11	0.000247025329590889	0.0738007380073801	0.000217170927966359	3.66319831291763	NA
Voigt_2019_retina_2_Fibroblasts	Adult	Sensory system	Voigt_2019_retina_2	Fibroblasts	Fibroblast	CL:0000057	Retina	UBERON:0000966	1.35140203735709e-11	0.000247025329590889	0.0745387453874539	0.000219159422220394	3.65923985318543	NA
AdultTransverseColon_Macrophage	Adult	Digestive system	AdultTransverseColon	Macrophage	Macrophage	CL:0000235	Transverse colon	UBERON:0001157	1.50143341625001e-11	0.000247025329590889	0.0752767527675277	0.000221146111430093	3.65532069273707	NA
AdultIleum_Stromal cell	Adult	Digestive system	AdultIleum	Stromal cell	Stromal cell	CL:0000499	Ileum	UBERON:0002116	6.76925677304104e-08	0.000123512664795445	0.155719557195572	0.000228085561365776	3.64190220625181	NA
TS_Small_Intestine_fibroblast	Adult	Digestive system	TS_Small_Intestine	fibroblast	Fibroblast	CL:0000057	Small intestine	UBERON:0002108	4.09326965801442e-32	0.00934579163618864	0.0022140221402214	0.000243868747072051	3.61284385300252	NA
TS_Salivary_Gland_fibroblast	Adult	Digestive system	TS_Salivary_Gland	fibroblast	Fibroblast	CL:0000057	Saliva-secreting gland	UBERON:0001044	6.3833980657073e-33	0.0153155704346351	0.0014760147601476	0.000264429141105027	3.57769068563222	NA
Fetal_HCA_Intestine_Myeloid cells	Fetal	Digestive system	Fetal_HCA_Intestine	Myeloid cells	Myeloid cell	CL:0000763	Intestine	UBERON:0000160	8.00893222877359e-12	0.000329367106121185	0.0708487084870849	0.000272218250091605	3.56508276212906	NA
TS_Lung_alveolar fibroblast	Adult	Respiratory system	TS_Lung	alveolar fibroblast	Fibroblast	CL:0000057	Lung	UBERON:0002048	5.28098084658133e-14	0.000535221547446926	0.0479704797047971	0.000297057814585777	3.52715901831897	NA
AdultRectum_Stromal cell	Adult	Digestive system	AdultRectum	Stromal cell	Stromal cell	CL:0000499	Rectum	UBERON:0001052	7.54536778152406e-08	0.000164683553060593	0.157933579335793	0.000300588444704264	3.52202771868468	NA
Fetal_HCA_Pancreas_Stromal cells	Fetal	Digestive system	Fetal_HCA_Pancreas	Stromal cells	Stromal cell	CL:0000499	Pancreas	UBERON:0001264	1.16962439000948e-12	0.00045287977091663	0.0612546125461255	0.000318815928095351	3.49645998931132	NA
FetalKidney_Fetal stromal cell	Fetal	Urinary system	FetalKidney	Fetal stromal cell	Stromal cell	CL:0000499	Kidney	UBERON:0002113	1.63295697844964e-08	0.000205854441325741	0.139483394833948	0.000329001054395262	3.4828027102041	NA
AdultDuodenum_Dendritic cell	Adult	Digestive system	AdultDuodenum	Dendritic cell	Dendritic cell	CL:0000451	Duodenum	UBERON:0002114	7.24934687452627e-11	0.000370537994386334	0.0841328413284133	0.000354637420227233	3.45021544092695	NA
Voigt_2019_retina_2_Vein cell 1	Adult	Sensory system	Voigt_2019_retina_2	Vein cell 1	Endothelial cell	CL:0000115	Retina	UBERON:0000966	6.47126120333545e-07	0.000164683553060593	0.192619926199262	0.000360307440077534	3.44332676993056	NA
