V1
AdultAdipose_Macrophage	ANKS1A;C1QA;C1QC;CD14;CD163;CLEC10A;CSF1R;F13A1;FCGR2A;FNBP1;HBEGF;HLA-A;HLA-F;LAIR1;LOXL3;MMP9;MRC1;RASSF2;RGS2;RNF213;SIGLEC1;STAB1;TGFBI
AdultAdipose_Stromal cell	ABCA6;ABI3BP;CFH;CRISPLD2;GALNT15;GPC3;GPX8;LTBP4;MMP2;OGN;VIT
AdultAdipose_Fibroblast	ABCA9;ABI3BP;ACE;APPL2;CADM3;CASP12;CFH;CNTFR;CRISPLD2;GALNT15;GPC3;LEPR;LTBP4;MMP2;PDGFRL;PI16;PTPN13;TGFBR2;TLN2;VIT
AdultAdrenalGland_Fasciculata cell	GULP1
AdultAdrenalGland_Macrophage	AOAH;C1QA;C1QC;CCR5;CD14;CD163;CLEC10A;CSF1R;CSF3R;F13A1;FCGR2A;FCN1;LAIR1;MMP9;MRC1;P2RX7;PHACTR1;RASSF2;S100A9;SAMHD1;SIGLEC1;SLC43A3;STAB1;TGFBI
AdultAdrenalGland_Myeloid cell	AOAH;C1QA;CCR5;FNBP1;HLA-F;IFI16;IL7R;KMT2E;MMP9;STAB1;SYTL2;TPPP
AdultAdrenalGland_T cell	AOAH;FNBP1;HLA-A;HLA-F;IFI16;IL7R;JAK3;KMT2E;PSMB8;RASAL3;TPPP
AdultAdrenalGland_Smooth muscle cell	ACTC1;AFF3;AMN1;BGN;CBX7;CRISPLD2;ECM2;EFHD1;GALNT16;GREM2;INHBA;ITGA8;KCNAB1;NPNT;OGN;PKD1;PLEKHA4;SLC7A2;STON1;SYNE2;TLN2;TMEM47;ZNF217
AdultAdrenalGland_Endothelial cell (APC)	ACKR1;APOL1;ASAP2;CCL23;CCL8;CFH;CLEC3B;FCN2;GALNT15;GJA1;GPM6A;HID1;HLA-A;IFI16;ITGA8;ITGB4;LEPR;MMRN1;MRC1;NOTCH1;PRKD2;SOCS2;SPNS2;STAB1;STON1;SYNE2;TGFBR2;TMEM47;TNFSF10;VWF
AdultAdrenalGland_Endothelial cell	ADAMTS10;BUB1B;CCDC149;CDC14A;CLEC11A;FCN2;GALNT15;GALNT16;IFI16;ITGB4;NOTCH1;PHLDB2;PRKD2;SLC7A2;SOCS2;TGFBR2;VWF
AdultAdrenalGland_Stromal cell	ABCA6;ABCA9;ABI3BP;ADAMTSL3;APOL1;APOL3;BGN;CADM3;CDH11;CFH;CLEC3B;CNTFR;COL14A1;CRISPLD2;ECM2;GPC3;GPX8;GREM2;LEPR;LTBP4;MMP2;OGN;PDGFRL;PI16;PLEKHA4;PPL;SCARA3;SLC7A2;TGFBR2;TLN2;VIT
AdultAdrenalGland_B cell (Plasmocyte)	FNBP1;GLCCI1;PPM1K;RBM33
AdultArtery_Fibroblast	ABCA6;ABCA9;ABI3BP;ADAMTSL3;APOL3;BGN;CADM3;CDH11;CFH;CLEC3B;CNTFR;COL14A1;COMP;CRISPLD2;ECM2;GALNT15;GALNT16;GPC3;GPX8;GREM2;GULP1;IKZF4;LEPR;LTBP4;MMP2;NUMBL;OGN;PDGFRL;PI16;PLP1;PTPN13;SAMHD1;SCARA3;TGFBR2;TNFSF10;VIT
