Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
TS_Eye_radial glial cell	Adult	Sensory system	TS_Eye	radial glial cell	Glial cell	CL:0000125	Eye	UBERON:0000970	4.13895522544124e-126	4.11708882651482e-05	0.000738007380073801	5.5631854001259e-07	6.25467646641008	TS_Eye_radial glial cell
TS_Eye_limbal stem cell	Adult	Sensory system	TS_Eye	limbal stem cell	Stem cell	CL:0000034	Eye	UBERON:0000970	5.73721133456976e-118	4.11708882651482e-05	0.0014760147601476	1.07051533082547e-06	5.97040710880371	TS_Eye_limbal stem cell
TS_Eye_retinal blood vessel endothelial cell	Adult	Sensory system	TS_Eye	retinal blood vessel endothelial cell	Endothelial cell	CL:0000115	Eye	UBERON:0000970	5.62473856028794e-114	4.11708882651482e-05	0.0025830258302583	1.81388922615433e-06	5.74138923874167	TS_Eye_retinal blood vessel endothelial cell
TS_Muscle_pericyte cell	Adult	Muscular system	TS_Muscle	pericyte cell	Pericyte cell	CL:0000669	Muscle organ	UBERON:0001630	6.29762987863288e-111	4.11708882651482e-05	0.003690036900369	2.5370835176064e-06	5.59566523611347	TS_Muscle_pericyte cell
TS_Tongue_basal cell	Adult	Digestive system	TS_Tongue	basal cell	Basal cell	CL:0000646	Tongue	UBERON:0001723	3.2642471925036e-110	4.11708882651482e-05	0.0044280442804428	3.01126181323497e-06	5.52125148324509	TS_Tongue_basal cell
TS_Eye_corneal keratocyte	Adult	Sensory system	TS_Eye	corneal keratocyte	Fibroblast	CL:0000057	Eye	UBERON:0000970	5.62473856028794e-114	8.23417765302964e-05	0.0025830258302583	3.48035232977661e-06	5.45837678848664	NA
TS_Muscle_mesenchymal stem cell	Adult	Muscular system	TS_Muscle	mesenchymal stem cell	Mesenchymal stem cell	CL:0000134	Muscle organ	UBERON:0001630	2.190535213704e-99	4.11708882651482e-05	0.00516605166051661	3.48035232977661e-06	5.45837678848664	NA
TS_Bladder_smooth muscle cell	Adult	Urinary system	TS_Bladder	smooth muscle cell	Smooth muscle cell	CL:0000192	Bladder organ	UBERON:0018707	5.05704606835101e-94	4.11708882651482e-05	0.00590405904059041	3.94508732914911e-06	5.40394337872889	NA
TS_Skin_endothelial cell	Adult	Integumentary system	TS_Skin	endothelial cell	Endothelial cell	CL:0000115	Skin of body	UBERON:0002097	1.55286122998613e-88	4.11708882651482e-05	0.00738007380073801	4.86355828888119e-06	5.31304587481517	NA
TS_Eye_ocular surface cell	Adult	Sensory system	TS_Eye	ocular surface cell	Epithelial cell	CL:0000066	Eye	UBERON:0000970	1.94318572677244e-83	4.11708882651482e-05	0.00885608856088561	5.76979313093862e-06	5.23883975767657	NA
