V1
AdultAdipose_Macrophage	ABCC5;ACTG1;ADAM9;ADIPOR1;AGO4;AMFR;ANKRD11;ANKS1A;APLP2;ARGLU1;C2CD5;CACUL1;CALM3;CAPZB;CCND3;CDV3;CELF2;CHCHD10;CNTRL;CPSF7;CREBL2;CYTH1;DAAM2;DNAJB1;EIF5;FNBP1;FURIN;GNAS;GPI;HBEGF;HIPK3;HNRNPH1;IFNGR2;INPPL1;JOSD1;KCNMA1;KDM6B;LENG8;LRRFIP1;MAF;MAF1;MAFB;MANBA;MAPKAPK2;MCOLN1;MED13L;METTL7A;MGAT1;MKNK1;MLF2;NFKB1;NXF1;OGDH;OXA1L;PABPC4;PCBP2;PFN1;PHF1;PINK1;PLEC;PLEKHA2;PLXND1;PPM1B;PPP3R1;PRKACB;PRRC2C;PSAP;RBPJ;RCSD1;RNPEPL1;RSRP1;RXRA;SCN1B;SEC14L1;SESN1;SH2B3;SLC4A2;SRGAP2;SRRM2;STAB1;TBC1D16;TLE4;TNFAIP2;TRIM28;TSPAN14;TTYH3;WIPF1;ZC3H3;ZSWIM8
AdultAdipose_Stromal cell	ABCA2;ABI3BP;AEBP1;ANGPTL1;ANXA6;BMP1;CD248;CLU;CMSS1;CNIH4;COL1A1;COL1A2;COL3A1;COL4A5;COL6A1;COL6A2;COL6A3;COQ10A;CPEB1;CREB3L1;CRISPLD2;CRLF1;CSF1;DYNLT1;FBN1;FKBP10;FMOD;GPX3;HSPG2;IGFBP6;KCTD6;KDM5B;LAMA2;LAMC1;LTBP4;METTL2A;MMP2;NFIB;NPR1;NTPCR;OAF;PCDH18;PCOLCE;PODN;PTX3;RAI2;SERPINE2;SPRY1;SRCAP;STC2;ZCCHC9;ZFHX2;ZNF507
AdultAdipose_Fibroblast	ABCB4;ABHD13;ABI3BP;ABL1;ADAM19;AEBP1;ANKRD39;APPL2;ARHGEF25;ARID5B;ATAD3A;ATXN7;AUTS2;BMP1;BYSL;CACNA1C;CASP12;CD248;CEP85;CLU;CMSS1;CNTFR;COL1A1;COL1A2;COL3A1;COL6A1;COL6A2;COL6A3;CRISPLD2;DCAKD;DDIT4L;DFFB;EML1;FBF1;FBN1;FBXL18;FERMT2;FKBP10;FRMD6;GPX3;HSPG2;IGF1R;IGFBP6;IRS1;ISOC2;KANK3;KCNC3;KIAA0586;LAMA2;LAMC1;LRP6;LTBP4;MIB2;MLXIP;MMP15;MMP2;MOSPD3;NFATC4;NFIB;OAF;PCDH18;PDGFRB;PDGFRL;PFN2;PHLDB1;PI16;PKDCC;PODN;POFUT2;PREPL;PRKAR2A;PTX3;RABGEF1;RAI2;RGMA;SAMD13;SCN4B;SEPHS1;SGCB;SIX2;SLC25A26;SLC35E1;SMAD6;SMARCD1;SOBP;SPRY1;SPRY2;SSPN;ST6GALNAC4;TCHP;TIE1;TLN2;TMEM8B;TMTC1;UNC5B;VANGL2;WBP11;XRCC3;ZFYVE9
AdultAdrenalGland_Fasciculata cell	AK3;ALDH2;ARL3;AUH;BBS2;BCAT2;C1orf21;C8orf33;CAMK1;CCND3;CD46;CLU;DCTD;DDRGK1;DDX5;DGUOK;DHX30;DLK1;DNAJB1;DYNLT1;ECHS1;FDFT1;GRHPR;HIBADH;HOXA7;INAFM1;LDLR;LYRM9;MAP3K13;ME1;METTL7A;MLF2;MMAB;MOCS2;MPST;MTFR1L;NACA;NDRG2;NR1D1;NTPCR;PCCB;PFKM;PFN2;POLDIP2;POP5;PTGR1;RDX;RHBDD2;SCARB1;SDHA;SDR39U1;SLC25A39;SNRPN;SREBF1;STAR;TADA3;TCEA3;TPM2;TST;VAMP2;ZNF275
AdultAdrenalGland_Macrophage	ABL2;ADAM9;ADAMTS2;AKAP13;APLP2;CALM3;CAPZB;CDC42EP3;CDV3;CELF2;CFLAR;CLN8;CORO7;CYTH1;FAM20C;FURIN;FUS;G0S2;GMIP;GNPTAB;HECA;IFNGR2;IRAK1;JARID2;KDM6B;LRRFIP1;MAF;MAFB;MAP2K3;MAPKAPK2;MGAT1;MTMR14;NFKB1;OTOA;PABPC4;PDE4DIP;PFN1;PIM1;PLEC;PLXND1;PRKAG2;PSAP;PTX3;RALGDS;RASGRP3;RBPJ;RCSD1;RHBDF2;RHOQ;RNPEP;SDC2;SH2B3;SH3BP1;SLC16A10;SLC16A6;SOD2;STAB1;TCIRG1;TIMP2;TNFAIP2;TTYH3;UBE2R2;USF2;VASP;WIPF1
AdultAdrenalGland_Myeloid cell	AKAP13;AUTS2;BCL2L11;BRD9;CBLL1;CDC42EP3;CELF2;CFLAR;CHST12;CSNK1D;CXXC1;CYTH1;DUSP10;EIF5;FAM83D;FNBP1;FUS;GPSM1;GTF3C1;IP6K1;IQGAP3;KCNQ4;KMT2E;KPNA2;LDLRAD4;LMNB1;LRIG1;MAP2K3;MAPK8IP3;MGAT1;MSL2;NARF;NFKB1;NOC2L;PAG1;PDE4A;PDE4C;PIK3CD;PIK3R1;PIM1;PITPNC1;PLEKHG2;PMEPA1;PPP2R2B;R3HDM4;RAB27B;RARA;RFTN1;RHBDF2;RNPS1;SAFB;SATB1;SERPINE2;SETD2;SIRT2;SNRNP70;SOCS1;SRRT;SRSF2;STAB1;SYTL2;TK1;TNFRSF18;TNFRSF4;TPPP;TRABD;TSPYL2;VAMP1;VASP;WIPF1;ZNFX1
AdultAdrenalGland_T cell	ACOT7;AKAP13;AKAP5;AKAP8;ANKRD34A;ARHGEF7;ARID3B;ARID5B;AUTS2;BCL2L11;BRD2;C3orf70;CAD;CASC3;CCDC167;CCDC9;CDKN1B;CELF2;CHD2;CHRNA10;CHST12;CLUH;CPNE1;DDX23;DPF2;FAM83D;FNBP1;GMIP;IP6K1;JAK3;KDM2B;KLHL23;KMT2E;KPNA2;LMNB1;MAD1L1;MED1;MIB2;MKNK1;MKRN2;N4BP1;NARF;OBSCN;OTUD3;PDE4A;PEX26;PFN1;PIK3R1;POFUT2;POLG;POLR3F;PPRC1;PRKACB;PRPF38B;RFTN1;SAFB;SATB1;SBNO1;SEC16A;SFT2D2;SIKE1;SLC25A51;SRRT;SRSF2;SRSF6;STAT5B;SUPV3L1;TAP2;TK1;TMUB1;TNFRSF18;TNFRSF25;TNFRSF4;TNRC6B;TOP3B;TPPP;TRIM11;TSPAN14;TSPYL2;VAMP1;VARS2;WDR54;WIPF1;ZKSCAN7
AdultAdrenalGland_Smooth muscle cell	ACTC1;ADCY6;AEBP1;AKAP1;ANKRD13B;ANKRD35;ANO1;ANXA6;APBB2;ARHGAP10;ARHGEF25;ARID5B;ATP1A2;C17orf107;C1orf216;C3orf70;CABIN1;CACFD1;CACNA1C;CAMK2G;CBX7;CD248;CNTNAP1;COL1A1;COL1A2;COL4A5;COL6A1;COL6A2;CRISPLD2;CSPG4;DMPK;DUSP15;DUSP19;EFHD1;EGFLAM;FBLN7;FBXL14;FBXO17;FMOD;GAB1;GPRC5C;GPX3;GRIP2;HEYL;HSPG2;IGFBP6;INO80E;ITGA11;JPH2;KIF1C;KLF12;KLHL23;KY;LENG1;LGALSL;LRIG1;MAMLD1;MAP3K7CL;MDGA1;MEGF8;MPRIP;MSRB3;MVB12B;NDUFA4L2;NOTCH3;PALLD;PCDHB4;PDE4C;PDGFRB;PDLIM7;PDZD7;PGP;PKD1;PKNOX2;PLXNB1;PMEPA1;PPM1J;PPP2R2B;PTK2;PTP4A3;PYGM;RAMP1;RASGRP2;REEP1;RGMA;RGS6;SCN4B;SFT2D2;SLC2A4;SLC7A2;SMTN;SOS2;SPEG;SPRYD3;SRL;ST6GALNAC6;STARD9;STIM1;SYNM;TEAD3;TLN2;TMTC1;TPM2;UNC45B;ZBTB47;ZFYVE21;ZNF217;ZNF362;ZNRF1
AdultAdrenalGland_Endothelial cell (APC)	AFF1;AMOTL1;APBB2;APOL1;ARHGAP28;ARHGEF12;ASAP2;BCL6B;CCM2L;CDC42EP2;COL6A2;CSF1;CTDSP1;DCHS1;DDX17;DGKZ;DLL4;DNAJB1;DOCK4;DOCK6;DUSP7;EGFL7;EML1;F2RL3;FAT4;FBN1;FERMT2;FRYL;FZD8;GAB1;GABBR1;GABRE;GNAS;GRB10;HDAC7;HIPK2;HSPG2;IL15RA;IL6ST;INSR;IRF2BPL;KANK3;KAT6A;KCTD15;KDR;KLF7;KMT2A;LAMB2;LAMC1;LOXL2;MAF;MAP3K3;MAST4;MPDZ;MTUS1;MYCN;NFIA;NFIB;NOD1;NOTCH1;NOVA2;NPR1;NRARP;PCDH12;PCDH17;PITPNC1;PLCG1;PLXND1;PPP2R5A;PRSS23;PTMS;RALGDS;RASGRP3;RBBP6;RECK;RND1;RPS6KA2;SATB1;SAV1;SCARF1;SCN4A;SEC14L1;SEMA4C;SEMA6C;SH2B3;SHANK3;SLC44A2;SMAD1;SMTN;SOCS2;SPRY1;STAB1;STARD8;STC2;STOX2;SUN1;SUN2;SVIL;TIAM1;TIE1;TIMP2;TLE2;TLL1;TMEM233;TMEM44;TMTC1;TNFSF10;TP53I11;TRIM56;TSC22D2;TSPAN14;TTC28;TUG1;UACA;USHBP1;ZCCHC24;ZEB1;ZNF467
AdultAdrenalGland_Endothelial cell	ACOT7;ADAMTS10;AGRN;ANKRD40;APLNR;ARHGAP19;ATXN1L;BCL6B;BTBD19;C1QTNF6;CAMK2G;CARD10;CARM1;CCAR2;CCDC149;CCM2L;CDC14A;CDR2L;CEP78;COL4A5;CRY1;CSNK1E;DGKZ;DICER1;EGFL7;ENGASE;EPN1;EXT2;FAM83D;FBN1;FMOD;FRAT2;GATAD2A;GRB10;HJURP;HPS4;HSPG2;IL15RA;IL6ST;INPP5E;INSR;KCTD15;KDR;LIF;LMF2;LOXL2;MAF;MAN2A2;MBTD1;MTUS1;MYLIP;NCAPD2;NFIB;NOTCH1;NPR1;PDGFA;POU6F1;PPP1R26;PPP2R5A;PRDM4;PRSS23;PTPN21;RALGDS;RARG;RCOR3;RFTN2;RGMB;RPS6KA2;SCN4B;SEC14L1;SH3PXD2A;SLC7A2;SMAD6;SOCS2;SPAG1;SPRY1;SSH1;SSX2IP;ST6GALNAC6;STARD9;STC2;STYX;TAB2;TAOK2;TEAD1;TEAD3;TECPR1;THEM6;TIAM1;TIE1;TIMP2;TK1;TMEM233;TUBGCP6;TXLNA;UACA;UBN1;ZBTB5;ZEB1;ZNF205;ZNF516
