"contrast","direction","gene.id","baseMean","log2FoldChange","pvalue","padj"
"old ID vs old CD","Downregulated","0610009E02Rik",35.6860079070163,-0.803594249720892,0.00761684060743239,0.999946780809711
"old ID vs old CD","Downregulated","Slmo2",1390.81636024269,-0.176055305748953,0.00875753712727615,0.999946780809711
"old ID vs old CD","Downregulated","Gm28229",42.7313823703975,-0.753590979503195,0.0130439003741183,0.999946780809711
"old ID vs old CD","Downregulated","B230312C02Rik",169.176950152216,-0.552075120337668,0.0134298010421355,0.999946780809711
"old ID vs old CD","Downregulated","2810039B14Rik",38.7969445527197,-0.642312177948136,0.0141940909068013,0.999946780809711
"old ID vs old CD","Downregulated","Lphn1",305.785179726485,-0.30391891506372,0.0171730238742636,0.999946780809711
"old ID vs old CD","Downregulated","Mup3",87.4183082720126,-1.55381913213193,0.0174837589516427,0.999946780809711
"old ID vs old CD","Downregulated","Gm12725",17.1895884937808,-1.24571770808314,0.0200654132997737,0.999946780809711
"old ID vs old CD","Downregulated","Gm29170",129.69238457242,-0.265541581122536,0.0218462817502292,0.999946780809711
"old ID vs old CD","Downregulated","3110043O21Rik",671.381254151223,-0.222857477248832,0.0295716932204082,0.999946780809711
"old ID vs old CD","Downregulated","Wisp2",32.9205568788416,-0.805659399178277,0.030584915297822,0.999946780809711
"old ID vs old CD","Downregulated","Fam73a",566.160851892236,-0.135459585117052,0.0321079613336603,0.999946780809711
"old ID vs old CD","Downregulated","Fam63a",734.828610813903,-0.153952208442183,0.0336576211231254,0.999946780809711
"old ID vs old CD","Downregulated","2510003E04Rik",766.129686098982,-0.164722369329014,0.0360688918219941,0.999946780809711
"old ID vs old CD","Downregulated","Dfna5",349.649923322729,-0.261434329932702,0.0395799789062517,0.999946780809711
"old ID vs old CD","Downregulated","Wfdc21",24.7416217363731,-1.51488025228978,0.0408587879875062,0.999946780809711
"old ID vs old CD","Downregulated","Mrgprh",70.0416728973986,-0.382920215379829,0.0444681672052326,0.999946780809711
"old ID vs old CD","Downregulated","Fam49b",1229.57611571023,-0.129460304828133,0.045371729365938,0.999946780809711
"old ID vs old CD","Upregulated","Gm12940",46.13801573573,0.98119457287716,0.00122448280519718,0.999946780809711
"old ID vs old CD","Upregulated","Rian",600.533194081245,0.493281488148047,0.00145471809502643,0.999946780809711
"old ID vs old CD","Upregulated","mt-Rnr2",93402.9360058301,0.826390373193219,0.00538562699235061,0.999946780809711
"old ID vs old CD","Upregulated","Meg3",324.119114061653,0.502539145937103,0.00622349896437945,0.999946780809711
"old ID vs old CD","Upregulated","H2-T10",21.8388857776142,1.03196422810591,0.00988946645261812,0.999946780809711
"old ID vs old CD","Upregulated","Pydc3",31.8135352980813,0.714804533708964,0.0113925677095881,0.999946780809711
"old ID vs old CD","Upregulated","Gm14296",254.389150335274,0.711162465998071,0.0118657504228127,0.999946780809711
"old ID vs old CD","Upregulated","2310007L24Rik",26.1030996734823,0.904785627108946,0.0139522983582375,0.999946780809711
"old ID vs old CD","Upregulated","Gm10557",44.1202115032391,0.731832561283609,0.0150096148438872,0.999946780809711
