"contrast","direction","gene.id","baseMean","log2FoldChange","pvalue","padj"
"young CD vs old CD","Downregulated","Igj",231.829385593844,-6.0342839932003,4.95350601325394e-31,1.79172280949165e-27
"young CD vs old CD","Downregulated","Nkx2-2os",38.4822458851635,-4.45810166571831,4.0599576936881e-26,6.65968393687971e-23
"young CD vs old CD","Downregulated","Hn1",875.44617375528,-0.985515160384898,1.37335733170151e-16,5.63190952441928e-14
"young CD vs old CD","Downregulated","Zfp52",260.876427251334,-1.28168021880549,3.64641019223665e-15,1.12149903474978e-12
"young CD vs old CD","Downregulated","Gm5091",35.7304349747849,-1.7836411229086,1.42800140057087e-13,3.2433207194812e-11
"young CD vs old CD","Downregulated","Ppap2a",959.760061218629,-0.631303069359579,2.56283731438777e-13,5.64703989138905e-11
"young CD vs old CD","Downregulated","Erbb2ip",2256.01523073703,-0.671824155282302,1.10510206211782e-12,2.23487969082814e-10
"young CD vs old CD","Downregulated","4933415F23Rik",22.2785592616851,-4.5215170214382,4.93306402353212e-12,8.99096594807466e-10
"young CD vs old CD","Downregulated","Ankrd32",511.925846103457,-0.937709188342137,6.9854301781181e-11,9.29062213689707e-09
"young CD vs old CD","Downregulated","Gm830",50.9422802981775,-2.62597025584523,8.91851436338109e-11,1.1651683853681e-08
"young CD vs old CD","Downregulated","8430408G22Rik",270.139951260142,-2.74800562980273,1.10739272523252e-09,1.0476761740672e-07
"young CD vs old CD","Downregulated","2310008N11Rik",10.0460452089811,-4.34983924111576,1.6720304449133e-09,1.47809493762006e-07
"young CD vs old CD","Downregulated","Iglv1",15.0156637614587,-5.14585965988712,3.81102485875963e-09,2.93032083280564e-07
"young CD vs old CD","Downregulated","Igkv3-2",313.131329495194,-11.8173011235781,8.62116723813486e-09,6.03195696381919e-07
"young CD vs old CD","Downregulated","Zfml",1447.89248856759,-0.358129283219915,3.96171367335035e-08,2.27507483196947e-06
"young CD vs old CD","Downregulated","Tmem8",55.6185433105495,-1.38183230835359,1.49908091120266e-07,6.93759607902346e-06
"young CD vs old CD","Downregulated","Gm8424",166.232600714476,-0.760635914280756,1.73814897340962e-07,7.82326015074579e-06
"young CD vs old CD","Downregulated","Fam196b",74.2037758442721,-2.50833231796853,2.18395196112729e-07,9.5449109828837e-06
"young CD vs old CD","Downregulated","Gm14029",16.0108985937931,-2.27185178664105,2.18928185419814e-07,9.5449109828837e-06
"young CD vs old CD","Downregulated","Dupd1",777.748471576029,-1.53848601511682,2.23224309612221e-07,9.66410698769859e-06
"young CD vs old CD","Downregulated","Tlr13",13.664904807826,-2.35958888530204,2.30596008025561e-07,9.92504042705934e-06
"young CD vs old CD","Downregulated","Srrm4os",316.743743006055,-1.49891588000153,3.06873707835974e-07,1.25495195257133e-05
"young CD vs old CD","Downregulated","Gm17767",4.1738709233844,-5.14180968517712,3.3446853495776e-07,1.34911447584192e-05
"young CD vs old CD","Downregulated","Mup3",65.8374766619486,-4.30124166587738,8.29341164235111e-07,2.76378411006838e-05
"young CD vs old CD","Downregulated","Skp1a",6532.03257347446,-0.418420228015536,1.10377730215854e-06,3.52109487112234e-05
"young CD vs old CD","Downregulated","3632451O06Rik",192.80581718375,-0.668274081025236,1.59606745809954e-06,4.83834576671942e-05
"young CD vs old CD","Downregulated","Pzp",309.080765003229,-9.33952328441018,2.50382530648322e-06,6.94811522549094e-05
"young CD vs old CD","Downregulated","1300017J02Rik",33.3922509144136,-7.75667993140084,3.17556644647103e-06,8.39669064899855e-05
"young CD vs old CD","Downregulated","AI662270",34.4054355717876,-1.24378734705089,3.29346714162675e-06,8.60556732952844e-05
"young CD vs old CD","Downregulated","A530040E14Rik",5.56341058641547,-4.69206386121218,3.35494490227556e-06,8.73528246777673e-05
"young CD vs old CD","Downregulated","Cml2",61.8424563125192,-9.06340508098045,3.52337805034444e-06,9.01484058184314e-05
"young CD vs old CD","Downregulated","Fam134b",7272.78641838578,-1.13784848285224,3.59040755722473e-06,9.15460911352481e-05
"young CD vs old CD","Downregulated","Gm15943",149.263078486634,-1.41012028534834,3.90195153577366e-06,9.83012124959499e-05
"young CD vs old CD","Downregulated","Aox3",23.3721740182036,-2.44566172048036,4.19817478020625e-06,0.000103641562341446
"young CD vs old CD","Downregulated","A230046K03Rik",680.357520154268,-0.306957858526392,5.62758827714938e-06,0.000132504123980154
"young CD vs old CD","Downregulated","Gm13496",10.4687405913853,-2.39177880917996,6.16502157156329e-06,0.000143104109215391
"young CD vs old CD","Downregulated","A830019P07Rik",9.55761366635404,-2.19269900628912,8.61506851173158e-06,0.000187519933449519
"young CD vs old CD","Downregulated","AK129341",42.0649164268555,-1.38312918232795,8.8195058804308e-06,0.000190633038525329
"young CD vs old CD","Downregulated","Gm7609",10.4073127512036,-2.61066484117414,1.01391792395997e-05,0.000212620316923593
"young CD vs old CD","Downregulated","Mcpt4",130.60793480257,-1.02527255029298,1.10985409425753e-05,0.000228837653540837
"young CD vs old CD","Downregulated","2310039L15Rik",46.5964649682756,-1.13258487337377,1.46403128739045e-05,0.000282470268451717
"young CD vs old CD","Downregulated","2010107G23Rik",28.2385634403704,-1.3149288333628,1.66957209090664e-05,0.000309258378645605
"young CD vs old CD","Downregulated","Gm10647",11.7913325090383,-2.5323676736025,2.14471006239696e-05,0.000378736299655099
"young CD vs old CD","Downregulated","9930111J21Rik2",182.11039071677,-0.564867477675643,2.41251581063595e-05,0.000413658198750506
"young CD vs old CD","Downregulated","Figf",85.8641171665165,-0.744167063786565,2.43644590868708e-05,0.000416093201036942
"young CD vs old CD","Downregulated","Fam73a",496.85516013144,-0.417436569382663,2.90132089408631e-05,0.000476973277944279
"young CD vs old CD","Downregulated","Clca6",86.6478843525926,-4.57230689197143,3.11986723475063e-05,0.000506138461391468
"young CD vs old CD","Downregulated","Sept7",4289.5044588395,-0.37971189587742,3.35836451783526e-05,0.000535994977046508
"young CD vs old CD","Downregulated","Zfp97",201.015019806572,-0.686877118877183,3.89888627114444e-05,0.000608448816288641
"young CD vs old CD","Downregulated","Slmo2",1289.37228779152,-0.285634779925576,4.84813611538622e-05,0.000720050638545741
"young CD vs old CD","Downregulated","2810032G03Rik",18.8685767721238,-1.48664024321523,5.10736104001585e-05,0.000747154821416154
"young CD vs old CD","Downregulated","Tnfrsf23",402.208724193156,-0.929670169363068,5.55827260767325e-05,0.000795532795083236
"young CD vs old CD","Downregulated","Gm7325",9.22398525528846,-5.18442770733618,5.69121375163957e-05,0.000809096480536839
"young CD vs old CD","Downregulated","Cbr2",288.634056939849,-0.684434467931609,5.71012532278182e-05,0.000809610875868379
"young CD vs old CD","Downregulated","Ly6c2",11.391113930236,-2.28732443637514,5.86622144310304e-05,0.000825576998708581
"young CD vs old CD","Downregulated","Igkv4-55",6.31090651372832,-6.18512566837355,6.2134656107931e-05,0.000861308852696136
"young CD vs old CD","Downregulated","1500017E21Rik",480.199447741704,-1.06884009984625,6.51200610321451e-05,0.000892634597045087
"young CD vs old CD","Downregulated","9830004L10Rik",49.149629337904,-1.01974345673295,6.78683923439048e-05,0.000923447996472872
"young CD vs old CD","Downregulated","Lipo1",330.062905205224,-0.342171606755161,8.61409228604091e-05,0.00111259706403169
"young CD vs old CD","Downregulated","Gm1966",40.5078845285648,-2.26856445107363,8.66505576952798e-05,0.00111624972360857
"young CD vs old CD","Downregulated","4430402I18Rik",53.2429059327719,-1.03530339829945,8.73740980224506e-05,0.0011221418612494
"young CD vs old CD","Downregulated","Wfdc21",20.4536181314435,-3.59943022798796,8.74552114882001e-05,0.0011221418612494
"young CD vs old CD","Downregulated","Sprr2a2",569.589752051315,-6.01124729725539,9.76784592417462e-05,0.0012255304939232
"young CD vs old CD","Downregulated","1810065E05Rik",92.8835011524715,-7.4602188847524,0.000103747714382953,0.00128492240556672
"young CD vs old CD","Downregulated","Uox",99.8042327428614,-7.38505401867118,0.000104252020122281,0.00128900550507976
"young CD vs old CD","Downregulated","Zfp65",205.014559076106,-0.618854983971129,0.00010682469192367,0.00131530686144215
"young CD vs old CD","Downregulated","Gm10221",561.06256813852,-0.794015896642863,0.000107037922867108,0.0013168340460726
"young CD vs old CD","Downregulated","Usmg5",2973.78264425874,-0.647677154272111,0.000113907482422347,0.00137724501474292
"young CD vs old CD","Downregulated","Zfp954",113.266703378162,-0.618500829299174,0.000128669890981117,0.00152085956809787
"young CD vs old CD","Downregulated","Prkcdbp",260.202181122227,-0.684735227440531,0.000154771350684666,0.00176303198314639
