"contrast","direction","Developmental_stage","primary_tissue","plotted_gene_n","human_symbol","primary_tissue_cell_type_name","primary_organ_system","primary_specific_cell_type","primary_general_cell_type","input_list_combined_p","input_list_combined_log10p","input_list_raw_p","input_list_permutated_p","input_list_rank_p","webcsea_job"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"C3orf70","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"CANX","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"COPZ1","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"CUTA","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"EIF5B","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"FUCA2","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"GLRX","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"GTF2A1","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"HSPA5","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"MCFD2","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"MSI2","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"NME1","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"NUDT4","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"PIGK","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"PSPH","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"RNGTT","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"RPN1","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"SCARB2","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"TMEM19","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"YKT6","Madissoon_2020_spleen_Plasma_IgG","Lymphatic system","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"GNB3","Madissoon_2020_spleen_Plasma_IgM","Lymphatic system","Plasma_IgM","Plasma cell",0.00011596115612277,3.93568746341673,1.76580381581566e-05,0.00012351266479544,0.0745387453874539,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"ALDH3A2","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"ANP32E","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"ARMC6","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"CCDC34","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"COA3","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"DCTN3","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"DERA","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"GINS2","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"INO80C","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
