"contrast","direction","Developmental_stage","primary_tissue","gene_n","contrast_direction_stage_total_genes_with_hit","fraction_of_contrast_direction_stage_genes_with_hit"
"old ID vs old CD","Downregulated","Adult","Spleen",38,140,0.271428571428571
"old ID vs old CD","Downregulated","Adult","Small intestine",27,140,0.192857142857143
"old ID vs old CD","Downregulated","Adult","Blood",9,140,0.0642857142857143
"old ID vs old CD","Downregulated","Adult","Heart",8,140,0.0571428571428571
"old ID vs old CD","Downregulated","Adult","Liver",7,140,0.05
"old ID vs old CD","Downregulated","Adult","Caecum",6,140,0.0428571428571429
"old ID vs old CD","Downregulated","Adult","Thyroid gland",6,140,0.0428571428571429
"old ID vs old CD","Downregulated","Adult","Visual cortex",6,140,0.0428571428571429
"old ID vs old CD","Downregulated","Adult","Thymus",5,140,0.0357142857142857
"old ID vs old CD","Downregulated","Adult","Large intestine",4,140,0.0285714285714286
"old ID vs old CD","Downregulated","Adult","Fallopian tube",3,140,0.0214285714285714
"old ID vs old CD","Downregulated","Adult","Lung",3,140,0.0214285714285714
"old ID vs old CD","Downregulated","Adult","Lymph node",3,140,0.0214285714285714
"old ID vs old CD","Downregulated","Adult","Bladder organ",2,140,0.0142857142857143
"old ID vs old CD","Downregulated","Adult","Eye",2,140,0.0142857142857143
"old ID vs old CD","Downregulated","Adult","Skin of body",2,140,0.0142857142857143
"old ID vs old CD","Downregulated","Adult","Trachea",2,140,0.0142857142857143
"old ID vs old CD","Downregulated","Adult","Bone marrow",1,140,0.00714285714285714
"old ID vs old CD","Downregulated","Adult","Gall bladder",1,140,0.00714285714285714
"old ID vs old CD","Downregulated","Adult","Jejunum",1,140,0.00714285714285714
"old ID vs old CD","Downregulated","Adult","Placenta",1,140,0.00714285714285714
"old ID vs old CD","Downregulated","Adult","Prostate gland",1,140,0.00714285714285714
"old ID vs old CD","Downregulated","Adult","Saliva-secreting gland",1,140,0.00714285714285714
"old ID vs old CD","Downregulated","Adult","Tongue",1,140,0.00714285714285714
"old ID vs old CD","Downregulated","Fetal","Intestine",21,136,0.154411764705882
"old ID vs old CD","Downregulated","Fetal","Placenta",17,136,0.125
"old ID vs old CD","Downregulated","Fetal","Kidney",15,136,0.110294117647059
"old ID vs old CD","Downregulated","Fetal","Pancreas",13,136,0.0955882352941176
"old ID vs old CD","Downregulated","Fetal","Eye",11,136,0.0808823529411765
"old ID vs old CD","Downregulated","Fetal","Adrenal gland",10,136,0.0735294117647059
"old ID vs old CD","Downregulated","Fetal","Muscle organ",8,136,0.0588235294117647
"old ID vs old CD","Downregulated","Fetal","Heart",7,136,0.0514705882352941
"old ID vs old CD","Downregulated","Fetal","Stomach",7,136,0.0514705882352941
"old ID vs old CD","Downregulated","Fetal","Immature gonad",6,136,0.0441176470588235
"old ID vs old CD","Downregulated","Fetal","Lung",5,136,0.0367647058823529
"old ID vs old CD","Downregulated","Fetal","Skin of body",4,136,0.0294117647058824
"old ID vs old CD","Downregulated","Fetal","Spleen",4,136,0.0294117647058824
"old ID vs old CD","Downregulated","Fetal","Spinal cord",3,136,0.0220588235294118
"old ID vs old CD","Downregulated","Fetal","Liver",2,136,0.0147058823529412
"old ID vs old CD","Downregulated","Fetal","Cerebellum",1,136,0.00735294117647059
"old ID vs old CD","Downregulated","Fetal","Rib",1,136,0.00735294117647059
"old ID vs old CD","Downregulated","Fetal","Vault of skull",1,136,0.00735294117647059
"old ID vs old CD","Upregulated","Adult","Heart",45,204,0.220588235294118
"old ID vs old CD","Upregulated","Adult","Ileum",20,204,0.0980392156862745
"old ID vs old CD","Upregulated","Adult","Transverse colon",17,204,0.0833333333333333
"old ID vs old CD","Upregulated","Adult","Retina",14,204,0.0686274509803922
"old ID vs old CD","Upregulated","Adult","Tongue",13,204,0.0637254901960784
"old ID vs old CD","Upregulated","Adult","Trachea",12,204,0.0588235294117647
"old ID vs old CD","Upregulated","Adult","Visual cortex",12,204,0.0588235294117647
"old ID vs old CD","Upregulated","Adult","Stomach",9,204,0.0441176470588235
"old ID vs old CD","Upregulated","Adult","Lung",8,204,0.0392156862745098
"old ID vs old CD","Upregulated","Adult","Eye",7,204,0.0343137254901961
"old ID vs old CD","Upregulated","Adult","Muscle organ",7,204,0.0343137254901961
"old ID vs old CD","Upregulated","Adult","Esophagus",5,204,0.0245098039215686
"old ID vs old CD","Upregulated","Adult","Thyroid gland",5,204,0.0245098039215686
"old ID vs old CD","Upregulated","Adult","Adrenal gland",3,204,0.0147058823529412
"old ID vs old CD","Upregulated","Adult","Kidney",3,204,0.0147058823529412
"old ID vs old CD","Upregulated","Adult","Mammary gland",3,204,0.0147058823529412
"old ID vs old CD","Upregulated","Adult","Spleen",3,204,0.0147058823529412
"old ID vs old CD","Upregulated","Adult","Pancreas",2,204,0.00980392156862745
"old ID vs old CD","Upregulated","Adult","Saliva-secreting gland",2,204,0.00980392156862745
"old ID vs old CD","Upregulated","Adult","Small intestine",2,204,0.00980392156862745
"old ID vs old CD","Upregulated","Adult","Uterus",2,204,0.00980392156862745
"old ID vs old CD","Upregulated","Adult","Ascending colon",1,204,0.00490196078431373
"old ID vs old CD","Upregulated","Adult","Bone marrow",1,204,0.00490196078431373
"old ID vs old CD","Upregulated","Adult","Cerebellar hemisphere",1,204,0.00490196078431373
