"contrast","direction","primary_tissue","gene_n","contrast_direction_total_genes_with_hit","fraction_of_contrast_direction_genes_with_hit"
"old ID vs old CD","Downregulated","Spleen",38,140,0.271428571428571
"old ID vs old CD","Downregulated","Small intestine",21,140,0.15
"old ID vs old CD","Downregulated","Intestine",11,140,0.0785714285714286
"old ID vs old CD","Downregulated","Blood",9,140,0.0642857142857143
"old ID vs old CD","Downregulated","Heart",8,140,0.0571428571428571
"old ID vs old CD","Downregulated","Caecum",6,140,0.0428571428571429
"old ID vs old CD","Downregulated","Placenta",6,140,0.0428571428571429
"old ID vs old CD","Downregulated","Visual cortex",6,140,0.0428571428571429
"old ID vs old CD","Downregulated","Thymus",5,140,0.0357142857142857
"old ID vs old CD","Downregulated","Large intestine",4,140,0.0285714285714286
"old ID vs old CD","Downregulated","Lung",3,140,0.0214285714285714
"old ID vs old CD","Downregulated","Lymph node",3,140,0.0214285714285714
"old ID vs old CD","Downregulated","Thyroid gland",3,140,0.0214285714285714
"old ID vs old CD","Downregulated","Bladder organ",2,140,0.0142857142857143
"old ID vs old CD","Downregulated","Eye",2,140,0.0142857142857143
"old ID vs old CD","Downregulated","Fallopian tube",2,140,0.0142857142857143
"old ID vs old CD","Downregulated","Liver",2,140,0.0142857142857143
"old ID vs old CD","Downregulated","Skin of body",2,140,0.0142857142857143
"old ID vs old CD","Downregulated","Trachea",2,140,0.0142857142857143
"old ID vs old CD","Downregulated","Bone marrow",1,140,0.00714285714285714
"old ID vs old CD","Downregulated","Gall bladder",1,140,0.00714285714285714
"old ID vs old CD","Downregulated","Prostate gland",1,140,0.00714285714285714
"old ID vs old CD","Downregulated","Saliva-secreting gland",1,140,0.00714285714285714
"old ID vs old CD","Downregulated","Tongue",1,140,0.00714285714285714
"old ID vs old CD","Upregulated","Heart",48,204,0.235294117647059
"old ID vs old CD","Upregulated","Ileum",20,204,0.0980392156862745
"old ID vs old CD","Upregulated","Transverse colon",17,204,0.0833333333333333
"old ID vs old CD","Upregulated","Tongue",12,204,0.0588235294117647
"old ID vs old CD","Upregulated","Trachea",12,204,0.0588235294117647
"old ID vs old CD","Upregulated","Retina",11,204,0.053921568627451
"old ID vs old CD","Upregulated","Visual cortex",10,204,0.0490196078431373
"old ID vs old CD","Upregulated","Adrenal gland",9,204,0.0441176470588235
"old ID vs old CD","Upregulated","Stomach",9,204,0.0441176470588235
"old ID vs old CD","Upregulated","Lung",8,204,0.0392156862745098
"old ID vs old CD","Upregulated","Muscle organ",7,204,0.0343137254901961
"old ID vs old CD","Upregulated","Eye",6,204,0.0294117647058824
"old ID vs old CD","Upregulated","Thyroid gland",4,204,0.0196078431372549
"old ID vs old CD","Upregulated","Esophagus",3,204,0.0147058823529412
"old ID vs old CD","Upregulated","Kidney",3,204,0.0147058823529412
"old ID vs old CD","Upregulated","Pancreas",2,204,0.00980392156862745
"old ID vs old CD","Upregulated","Rib",2,204,0.00980392156862745
"old ID vs old CD","Upregulated","Saliva-secreting gland",2,204,0.00980392156862745
"old ID vs old CD","Upregulated","Small intestine",2,204,0.00980392156862745
"old ID vs old CD","Upregulated","Spleen",2,204,0.00980392156862745
"old ID vs old CD","Upregulated","Ascending colon",1,204,0.00490196078431373
"old ID vs old CD","Upregulated","Cerebellar hemisphere",1,204,0.00490196078431373
"old ID vs old CD","Upregulated","Cerebral hemisphere",1,204,0.00490196078431373
"old ID vs old CD","Upregulated","Duodenum",1,204,0.00490196078431373
"old ID vs old CD","Upregulated","Fallopian tube",1,204,0.00490196078431373
"old ID vs old CD","Upregulated","Intestine",1,204,0.00490196078431373
"old ID vs old CD","Upregulated","Large intestine",1,204,0.00490196078431373
"old ID vs old CD","Upregulated","Liver",1,204,0.00490196078431373
"old ID vs old CD","Upregulated","Mammary gland",1,204,0.00490196078431373
"old ID vs old CD","Upregulated","Placenta",1,204,0.00490196078431373
"old ID vs old CD","Upregulated","Pleura",1,204,0.00490196078431373
"old ID vs old CD","Upregulated","Sigmoid colon",1,204,0.00490196078431373
"old ID vs old CD","Upregulated","Skin of body",1,204,0.00490196078431373
"old ID vs old CD","Upregulated","Thymus",1,204,0.00490196078431373
"old ID vs old CD","Upregulated","Uterus",1,204,0.00490196078431373
"young CD vs old CD","Downregulated","Blood",918,2560,0.35859375
"young CD vs old CD","Downregulated","Small intestine",271,2560,0.105859375
"young CD vs old CD","Downregulated","Tongue",248,2560,0.096875
"young CD vs old CD","Downregulated","Eye",225,2560,0.087890625
"young CD vs old CD","Downregulated","Liver",173,2560,0.067578125
"young CD vs old CD","Downregulated","Bone marrow",130,2560,0.05078125
"young CD vs old CD","Downregulated","Pancreas",115,2560,0.044921875
"young CD vs old CD","Downregulated","Lung",65,2560,0.025390625
