"direction","human_symbol","best_muscle_combined_p","best_muscle_combined_log10p","muscle_tissue_cell_type_hits","muscle_specific_cell_type_hits","muscle_general_cell_type_hits"
"Downregulated","ALDH3A2",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; TS_Muscle_tendon cell; Fetal_HCA_Muscle_Satellite cells","mesenchymal stem cell; tendon cell; Satellite cells","Mesenchymal stem cell; Cell of skeletal muscle; Skeletal muscle satellite cell"
"Downregulated","ARL2BP",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; TS_Muscle_tendon cell; TS_Muscle_endothelial cell of artery; AdultMuscle_Smooth muscle cell","mesenchymal stem cell; tendon cell; endothelial cell of artery; Smooth muscle cell","Mesenchymal stem cell; Cell of skeletal muscle; Endothelial cell; Smooth muscle cell"
"Downregulated","ATF5",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"Downregulated","AUTS2",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; TS_Muscle_tendon cell; TS_Muscle_t cell; Fetal_HCA_Muscle_Stromal cells; TS_Muscle_mature nk t cell; Fetal_HCA_Muscle_Lymphatic endothelial cells; Fetal_HCA_Muscle_Vascular endothelial cells","mesenchymal stem cell; tendon cell; t cell; Stromal cells; mature nk t cell; Lymphatic endothelial cells; Vascular endothelial cells","Mesenchymal stem cell; Cell of skeletal muscle; T cell; Stromal cell; Natural killer cell; Endothelial cell"
"Downregulated","BCL6",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; TS_Muscle_pericyte cell","mesenchymal stem cell; pericyte cell","Mesenchymal stem cell; Pericyte cell"
"Downregulated","CLN5",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"Downregulated","COA3",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; FetalMuscle_Primordial germ cell; TS_Muscle_smooth muscle cell; AdultMuscle_Smooth muscle cell; TS_Muscle_fast muscle cell; TS_Muscle_slow muscle cell","mesenchymal stem cell; Primordial germ cell; smooth muscle cell; Smooth muscle cell; fast muscle cell; slow muscle cell","Mesenchymal stem cell; Primordial germ cell; Smooth muscle cell; Cell of skeletal muscle"
"Downregulated","CSTB",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; TS_Muscle_macrophage; TS_Muscle_tendon cell; FetalMuscle_Dendritic cell; FetalMuscle_Fetal stromal cell; FetalMuscle_Endothelial cell; AdultMuscle_Dendritic cell; Fetal_HCA_Muscle_Lymphatic endothelial cells; AdultMuscle_Macrophage","mesenchymal stem cell; macrophage; tendon cell; Dendritic cell; Fetal stromal cell; Endothelial cell; Lymphatic endothelial cells; Macrophage","Mesenchymal stem cell; Macrophage; Cell of skeletal muscle; Dendritic cell; Stromal cell; Endothelial cell"
"Downregulated","DCTN3",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; TS_Muscle_smooth muscle cell; TS_Muscle_fast muscle cell; Fetal_HCA_Muscle_Erythroblasts","mesenchymal stem cell; smooth muscle cell; fast muscle cell; Erythroblasts","Mesenchymal stem cell; Smooth muscle cell; Cell of skeletal muscle; Erythroblast"
"Downregulated","F10",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; TS_Muscle_pericyte cell; FetalMuscle_Fetal stromal cell; Fetal_HCA_Muscle_Stromal cells","mesenchymal stem cell; pericyte cell; Fetal stromal cell; Stromal cells","Mesenchymal stem cell; Pericyte cell; Stromal cell"
"Downregulated","FUCA2",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"Downregulated","GLRX",0.0562947464755684,1.24953213238006,"TS_Muscle_mesenchymal stem cell; TS_Muscle_macrophage; TS_Muscle_fast muscle cell; TS_Muscle_slow muscle cell; FetalMuscle_Dendritic cell; FetalMuscle_Macrophage; Fetal_HCA_Muscle_Erythroblasts; FetalMuscle_Endothelial cell","mesenchymal stem cell; macrophage; fast muscle cell; slow muscle cell; Dendritic cell; Macrophage; Erythroblasts; Endothelial cell","Mesenchymal stem cell; Macrophage; Cell of skeletal muscle; Dendritic cell; Erythroblast; Endothelial cell"
