"contrast","direction","Developmental_stage","human_symbol","best_muscle_combined_p","best_muscle_combined_log10p","muscle_tissue_cell_type_hits","muscle_specific_cell_type_hits","muscle_general_cell_type_hits"
"old ID vs old CD","Upregulated","Adult","ABCA9",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; TS_Muscle_mesenchymal stem cell","Smooth muscle cell; mesenchymal stem cell","Smooth muscle cell; Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","ABI3BP",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; TS_Muscle_mesenchymal stem cell","Smooth muscle cell; mesenchymal stem cell","Smooth muscle cell; Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","ADAMTSL3",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; TS_Muscle_mesenchymal stem cell","Smooth muscle cell; mesenchymal stem cell","Smooth muscle cell; Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","APOL1",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell","Smooth muscle cell","Smooth muscle cell"
"old ID vs old CD","Upregulated","Adult","BGN",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; TS_Muscle_mesenchymal stem cell","Smooth muscle cell; mesenchymal stem cell","Smooth muscle cell; Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","CFH",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; TS_Muscle_mesenchymal stem cell; TS_Muscle_endothelial cell of lymphatic vessel","Smooth muscle cell; mesenchymal stem cell; endothelial cell of lymphatic vessel","Smooth muscle cell; Mesenchymal stem cell; Endothelial cell"
"old ID vs old CD","Upregulated","Adult","COL14A1",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; TS_Muscle_mesenchymal stem cell","Smooth muscle cell; mesenchymal stem cell","Smooth muscle cell; Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","CRISPLD2",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; TS_Muscle_mesenchymal stem cell","Smooth muscle cell; mesenchymal stem cell","Smooth muscle cell; Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","ECM2",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; TS_Muscle_mesenchymal stem cell","Smooth muscle cell; mesenchymal stem cell","Smooth muscle cell; Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","EFHD1",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; TS_Muscle_mesenchymal stem cell","Smooth muscle cell; mesenchymal stem cell","Smooth muscle cell; Mesenchymal stem cell"
